date,AIG,dcf,Deviation
1973-01-02,24.7,,
1973-01-03,24.81,,
1973-01-04,24.52,,
1973-01-05,24.67,,
1973-01-08,24.6,,
1973-01-09,24.74,,
1973-01-10,24.74,,
1973-01-11,24.92,,
1973-01-12,24.96,,
1973-01-15,25.03,,
1973-01-16,24.63,,
1973-01-17,24.24,,
1973-01-18,24.09,,
1973-01-19,23.77,,
1973-01-22,23.81,,
1973-01-23,23.95,,
1973-01-24,23.81,,
1973-01-26,23.16,,
1973-01-29,22.44,,
1973-01-30,22.44,,
1973-01-31,22.51,,
1973-02-01,22.44,,
1973-02-02,22.4,,
1973-02-05,22.4,,
1973-02-06,22.51,,
1973-02-07,22.44,,
1973-02-08,22.19,,
1973-02-09,22.29,,
1973-02-12,22.58,,
1973-02-13,22.87,,
1973-02-14,22.47,,
1973-02-15,21.94,,
1973-02-16,21.97,,
1973-02-20,22.15,,
1973-02-21,22.01,,
1973-02-22,21.94,,
1973-02-23,21.61,,
1973-02-26,21.5,,
1973-02-27,20.6,,
1973-02-28,20.57,,
1973-03-01,20.57,,
1973-03-02,20.89,,
1973-03-05,21.0,,
1973-03-06,21.5,,
1973-03-07,21.97,,
1973-03-08,22.01,,
1973-03-09,22.01,,
1973-03-12,22.08,,
1973-03-13,22.12,,
1973-03-14,22.15,,
1973-03-15,22.08,,
1973-03-16,22.15,,
1973-03-19,21.68,,
1973-03-20,21.5,,
1973-03-21,21.18,,
1973-03-22,20.57,,
1973-03-23,20.64,,
1973-03-26,20.64,,
1973-03-27,20.82,,
1973-03-28,21.58,,
1973-03-29,22.08,,
1973-03-30,21.72,,
1973-04-02,21.29,,
1973-04-03,21.07,,
1973-04-04,20.35,,
1973-04-05,20.57,,
1973-04-06,20.71,,
1973-04-09,20.71,,
1973-04-10,20.57,,
1973-04-11,20.64,,
1973-04-12,21.0,,
1973-04-13,21.07,,
1973-04-16,21.04,,
1973-04-17,20.89,,
1973-04-18,20.82,,
1973-04-19,20.78,,
1973-04-23,20.53,,
1973-04-24,20.21,,
1973-04-25,20.07,,
1973-04-26,19.92,,
1973-04-27,19.71,,
1973-04-30,19.63,,
1973-05-01,19.27,,
1973-05-02,19.38,,
1973-05-03,19.38,,
1973-05-04,19.99,,
