date,APA,dcf,Deviation
1980-06-10,6.6,,
1980-06-11,7.36,,
1980-06-12,7.03,,
1980-06-13,6.89,,
1980-06-16,6.85,,
1980-06-17,6.78,,
1980-06-18,6.78,,
1980-06-19,6.78,,
1980-06-20,6.75,,
1980-06-23,6.71,,
1980-06-24,6.93,,
1980-06-25,7.18,,
1980-06-26,6.93,,
1980-06-27,6.89,,
1980-06-30,6.82,,
1980-07-01,6.89,,
1980-07-02,6.96,,
1980-07-03,7.0,,
1980-07-07,7.11,,
1980-07-08,7.11,,
1980-07-09,7.18,,
1980-07-10,7.25,,
1980-07-11,7.11,,
1980-07-14,7.11,,
1980-07-15,7.25,,
1980-07-16,7.18,,
1980-07-17,7.25,,
1980-07-18,7.18,,
1980-07-21,7.18,,
1980-07-22,7.25,,
1980-07-23,7.11,,
1980-07-24,7.0,,
1980-07-25,6.78,,
1980-07-28,6.75,,
1980-07-29,6.96,,
1980-07-30,7.07,,
1980-07-31,7.07,,
1980-08-01,6.89,,
1980-08-04,6.71,,
1980-08-05,6.6,,
1980-08-06,6.71,,
1980-08-07,6.93,,
1980-08-08,7.11,,
1980-08-11,6.96,,
1980-08-12,6.78,,
1980-08-13,6.89,,
1980-08-14,6.89,,
1980-08-15,6.93,,
1980-08-18,6.82,,
1980-08-19,6.82,,
1980-08-20,6.93,,
1980-08-21,7.29,,
1980-08-22,7.4,,
1980-08-25,7.29,,
1980-08-26,7.72,,
1980-08-27,7.79,,
1980-08-28,7.65,,
1980-08-29,7.79,,
1980-09-02,7.79,,
1980-09-03,7.79,,
1980-09-04,7.61,,
1980-09-05,7.79,,
1980-09-08,7.9,,
1980-09-09,7.9,,
1980-09-10,8.15,,
1980-09-11,8.55,,
1980-09-12,8.77,,
1980-09-15,8.77,,
1980-09-16,8.84,,
1980-09-17,8.77,,
1980-09-18,8.55,,
1980-09-19,8.33,,
1980-09-22,8.48,,
1980-09-23,8.87,,
1980-09-24,9.27,,
1980-09-25,8.95,,
1980-09-26,8.59,,
1980-09-29,8.12,,
1980-09-30,8.44,,
1980-10-01,8.62,,
1980-10-02,8.48,,
1980-10-03,9.09,,
1980-10-06,9.27,,
1980-10-07,9.49,,
1980-10-08,9.56,,
1980-10-09,9.45,,
1980-10-10,9.34,,
1980-10-13,9.56,,
1980-10-14,9.63,,
1980-10-15,10.32,,
1980-10-16,9.92,,
1980-10-17,9.85,,
1980-10-20,9.92,,
1980-10-21,9.92,,
1980-10-22,10.1,,
1980-10-23,9.81,,
1980-10-24,9.74,,
1980-10-27,9.24,,
1980-10-28,9.09,,
1980-10-29,9.24,,
1980-10-30,8.87,,
1980-10-31,9.24,,
1980-11-03,9.74,,
1980-11-05,10.1,,
1980-11-06,9.88,,
1980-11-07,9.78,,
1980-11-10,10.03,,
1980-11-11,10.46,,
1980-11-12,10.64,,
1980-11-13,10.86,,
1980-11-14,10.86,,
1980-11-17,10.5,,
1980-11-18,10.64,,
1980-11-19,10.97,,
1980-11-20,10.93,,
1980-11-21,10.53,,
1980-11-24,10.32,,
1980-11-25,11.0,,
1980-11-26,11.11,,
1980-11-28,11.29,,
1980-12-01,11.4,,
1980-12-02,11.4,,
1980-12-03,11.87,,
1980-12-04,11.62,,
1980-12-05,11.11,,
1980-12-08,10.35,,
1980-12-09,10.57,,
1980-12-10,10.79,,
1980-12-11,9.99,,
1980-12-12,10.21,,
1980-12-15,10.32,,
1980-12-16,10.32,,
1980-12-17,10.46,,
1980-12-18,10.43,,
1980-12-19,10.1,,
