date,BIO,dcf,Deviation
1980-02-27,2.55,,
1980-02-28,2.55,,
1980-02-29,2.66,,
1980-03-03,2.66,,
1980-03-04,2.56,,
1980-03-05,2.56,,
1980-03-06,2.56,,
1980-03-07,2.13,,
1980-03-10,2.14,,
1980-03-11,2.13,,
1980-03-12,2.06,,
1980-03-13,2.03,,
1980-03-14,2.03,,
1980-03-17,2.0,,
1980-03-18,2.0,,
1980-03-19,1.93,,
1980-03-20,1.93,,
1980-03-21,1.87,,
1980-03-24,1.83,,
1980-03-25,1.83,,
1980-03-26,1.85,,
1980-03-27,1.8,,
1980-03-28,1.81,,
1980-03-31,1.8,,
1980-04-01,1.78,,
1980-04-02,1.8,,
1980-04-03,1.8,,
1980-04-07,1.78,,
1980-04-08,1.74,,
1980-04-09,1.74,,
1980-04-10,1.69,,
1980-04-11,1.69,,
1980-04-14,1.63,,
1980-04-15,1.67,,
1980-04-16,1.69,,
1980-04-17,1.67,,
1980-04-18,1.69,,
1980-04-21,1.7,,
1980-04-22,1.76,,
1980-04-23,1.76,,
1980-04-24,1.8,,
1980-04-25,1.8,,
1980-04-28,1.81,,
1980-04-29,1.87,,
1980-04-30,1.83,,
1980-05-01,1.87,,
1980-05-02,1.89,,
1980-05-05,1.94,,
1980-05-06,2.0,,
1980-05-07,2.07,,
1980-05-08,2.02,,
1980-05-09,2.02,,
1980-05-12,2.04,,
1980-05-13,2.02,,
1980-05-14,2.06,,
1980-05-15,2.04,,
1980-05-16,2.02,,
1980-05-19,2.0,,
1980-05-20,1.96,,
1980-05-21,1.96,,
1980-05-22,1.85,,
1980-05-23,1.93,,
1980-05-27,1.87,,
1980-05-28,1.89,,
1980-05-29,1.87,,
1980-05-30,1.87,,
1980-06-02,1.89,,
1980-06-03,1.85,,
1980-06-04,1.83,,
1980-06-05,1.96,,
1980-06-06,1.87,,
1980-06-09,1.8,,
1980-06-10,1.8,,
1980-06-11,1.8,,
1980-06-12,1.8,,
1980-06-13,1.8,,
1980-06-16,1.78,,
1980-06-17,1.78,,
1980-06-18,1.74,,
1980-06-19,1.74,,
1980-06-20,1.69,,
1980-06-23,1.67,,
1980-06-24,1.63,,
1980-06-25,1.61,,
1980-06-26,1.67,,
1980-06-27,1.63,,
1980-06-30,1.52,,
1980-07-01,1.69,,
1980-07-02,1.69,,
1980-07-03,1.69,,
1980-07-07,1.93,,
1980-07-08,1.87,,
1980-07-09,1.74,,
1980-07-10,1.69,,
1980-07-11,1.74,,
1980-07-14,1.81,,
1980-07-15,1.78,,
1980-07-16,1.8,,
1980-07-17,1.76,,
1980-07-18,1.81,,
1980-07-21,1.78,,
1980-07-22,1.78,,
1980-07-23,1.76,,
1980-07-24,1.8,,
1980-07-25,1.8,,
1980-07-28,1.76,,
1980-07-29,1.69,,
1980-07-30,1.78,,
1980-07-31,1.8,,
1980-08-01,1.7,,
1980-08-04,1.69,,
1980-08-05,1.69,,
1980-08-06,1.7,,
1980-08-07,1.69,,
1980-08-08,1.74,,
1980-08-11,1.78,,
1980-08-12,1.78,,
1980-08-13,1.76,,
1980-08-14,1.8,,
1980-08-15,1.78,,
1980-08-18,1.74,,
1980-08-19,1.69,,
1980-08-20,1.63,,
1980-08-21,1.63,,
1980-08-22,1.57,,
1980-08-25,1.63,,
1980-08-26,1.63,,
1980-08-27,1.63,,
1980-08-28,1.61,,
1980-08-29,1.56,,
1980-09-02,1.61,,
1980-09-03,1.63,,
1980-09-04,1.69,,
1980-09-05,1.76,,
1980-09-08,1.7,,
1980-09-09,1.83,,
1980-09-10,1.87,,
1980-09-11,1.89,,
1980-09-12,1.83,,
1980-09-15,2.04,,
1980-09-16,2.15,,
1980-09-17,2.24,,
1980-09-18,2.15,,
1980-09-19,2.15,,
1980-09-22,2.31,,
1980-09-23,2.37,,
1980-09-24,2.54,,
1980-09-25,2.41,,
1980-09-26,2.3,,
1980-09-29,2.19,,
1980-09-30,2.28,,
1980-10-01,2.37,,
1980-10-02,2.37,,
1980-10-03,2.5,,
1980-10-06,2.57,,
1980-10-07,2.52,,
1980-10-08,2.57,,
1980-10-09,2.52,,
1980-10-10,2.65,,
1980-10-13,2.65,,
1980-10-14,2.65,,
1980-10-15,2.65,,
1980-10-16,2.48,,
1980-10-17,2.52,,
1980-10-20,2.56,,
1980-10-21,2.63,,
1980-10-22,2.63,,
1980-10-23,2.52,,
1980-10-24,2.52,,
1980-10-27,2.44,,
1980-10-28,2.48,,
1980-10-29,2.48,,
1980-10-30,2.39,,
1980-10-31,2.41,,
1980-11-03,2.44,,
1980-11-05,2.37,,
1980-11-06,2.33,,
1980-11-07,2.3,,
1980-11-10,2.2,,
1980-11-11,2.19,,
1980-11-12,2.2,,
1980-11-13,2.2,,
1980-11-14,2.2,,
1980-11-17,2.13,,
1980-11-18,2.11,,
1980-11-19,2.06,,
1980-11-20,2.19,,
1980-11-21,2.26,,
1980-11-24,2.26,,
1980-11-25,2.31,,
1980-11-26,2.31,,
1980-11-28,2.39,,
1980-12-01,2.33,,
1980-12-02,2.31,,
1980-12-03,2.31,,
1980-12-04,2.31,,
1980-12-05,2.3,,
1980-12-08,2.13,,
1980-12-09,2.37,,
1980-12-10,2.26,,
1980-12-11,2.2,,
1980-12-12,2.28,,
1980-12-15,2.37,,
1980-12-16,2.7,,
1980-12-17,2.78,,
1980-12-18,2.78,,
1980-12-19,2.96,,
1980-12-22,2.74,,
1980-12-23,2.76,,
1980-12-24,2.78,,
1980-12-26,2.8,,
1980-12-29,2.74,,
1980-12-30,2.78,,
1980-12-31,2.96,,
1981-01-02,2.98,,
1981-01-05,3.11,,
1981-01-06,3.13,,
1981-01-07,2.96,,
1981-01-08,2.76,,
1981-01-09,2.8,,
1981-01-12,3.0,,
1981-01-13,3.11,,
1981-01-14,3.0,,
1981-01-15,3.04,,
1981-01-16,3.06,,
1981-01-19,3.07,,
1981-01-20,2.96,,
1981-01-21,3.07,,
1981-01-22,3.26,,
1981-01-23,3.67,,
1981-01-26,3.43,,
1981-01-27,3.39,,
1981-01-28,3.39,,
1981-01-29,3.52,,
1981-01-30,3.54,,
1981-02-02,3.31,,
1981-02-03,3.2,,
1981-02-04,3.28,,
1981-02-05,3.31,,
1981-02-06,3.26,,
1981-02-09,3.24,,
1981-02-10,3.28,,
1981-02-11,3.02,,
1981-02-12,3.07,,
1981-02-13,3.11,,
1981-02-17,3.13,,
1981-02-18,3.07,,
1981-02-19,3.07,,
1981-02-20,3.02,,
1981-02-23,2.91,,
1981-02-24,2.83,,
1981-02-25,2.78,,
1981-02-26,2.91,,
1981-02-27,2.96,,
1981-03-02,2.96,,
1981-03-03,2.87,,
1981-03-04,2.91,,
1981-03-05,2.87,,
1981-03-06,2.91,,
1981-03-09,2.91,,
1981-03-10,3.02,,
1981-03-11,3.04,,
1981-03-12,3.06,,
1981-03-13,3.26,,
1981-03-16,3.41,,
1981-03-17,3.2,,
1981-03-18,3.15,,
1981-03-19,3.13,,
1981-03-20,3.17,,
1981-03-23,3.15,,
1981-03-24,3.2,,
1981-03-25,3.2,,
1981-03-26,3.15,,
1981-03-27,3.15,,
1981-03-30,3.2,,
1981-03-31,3.15,,
1981-04-01,3.13,,
1981-04-02,3.02,,
1981-04-03,3.02,,
1981-04-06,3.04,,
1981-04-07,3.07,,
1981-04-08,3.06,,
1981-04-09,3.07,,
1981-04-10,3.11,,
1981-04-13,3.06,,
1981-04-14,3.07,,
1981-04-15,3.06,,
1981-04-16,3.17,,
1981-04-20,3.2,,
1981-04-21,3.15,,
1981-04-22,3.11,,
1981-04-23,2.96,,
1981-04-24,2.98,,
1981-04-27,2.96,,
1981-04-28,2.93,,
1981-04-29,2.87,,
1981-04-30,2.83,,
1981-05-01,2.78,,
1981-05-04,2.81,,
1981-05-05,2.93,,
1981-05-06,3.02,,
1981-05-07,2.98,,
1981-05-08,3.02,,
1981-05-11,3.06,,
1981-05-12,3.15,,
1981-05-13,3.07,,
1981-05-14,3.15,,
1981-05-15,3.17,,
1981-05-18,3.15,,
1981-05-19,3.11,,
1981-05-20,3.11,,
1981-05-21,3.07,,
1981-05-22,3.04,,
1981-05-26,3.06,,
1981-05-27,3.11,,
1981-05-28,3.06,,
1981-05-29,3.11,,
1981-06-01,3.11,,
1981-06-02,3.04,,
1981-06-03,3.04,,
1981-06-04,2.91,,
1981-06-05,2.98,,
1981-06-08,2.96,,
1981-06-09,2.93,,
1981-06-10,2.91,,
1981-06-11,2.89,,
1981-06-12,2.89,,
1981-06-15,2.78,,
1981-06-16,2.7,,
1981-06-17,2.57,,
1981-06-18,2.54,,
1981-06-19,2.54,,
1981-06-22,2.52,,
1981-06-23,2.5,,
1981-06-24,2.44,,
1981-06-25,2.33,,
1981-06-26,2.39,,
1981-06-29,2.41,,
1981-06-30,2.44,,
1981-07-01,2.48,,
1981-07-02,2.48,,
1981-07-06,2.48,,
1981-07-07,2.5,,
1981-07-08,2.48,,
1981-07-09,2.5,,
1981-07-10,2.52,,
1981-07-13,2.54,,
1981-07-14,2.48,,
1981-07-15,2.46,,
1981-07-16,2.52,,
1981-07-17,2.46,,
1981-07-20,2.44,,
1981-07-21,2.39,,
1981-07-22,2.44,,
1981-07-23,2.39,,
1981-07-24,2.39,,
1981-07-27,2.39,,
1981-07-28,2.46,,
1981-07-29,2.44,,
1981-07-30,2.44,,
1981-07-31,2.44,,
1981-08-03,2.46,,
1981-08-04,2.48,,
1981-08-05,2.44,,
1981-08-06,2.44,,
1981-08-07,2.44,,
1981-08-10,2.39,,
1981-08-11,2.37,,
1981-08-12,2.37,,
1981-08-13,2.44,,
1981-08-14,2.39,,
1981-08-17,2.41,,
1981-08-18,2.31,,
1981-08-19,2.31,,
1981-08-20,2.41,,
1981-08-21,2.37,,
1981-08-24,2.37,,
1981-08-25,2.37,,
1981-08-26,2.33,,
1981-08-27,2.31,,
1981-08-28,2.37,,
1981-08-31,2.31,,
1981-09-01,2.33,,
1981-09-02,2.37,,
1981-09-03,2.33,,
1981-09-04,2.31,,
1981-09-08,2.31,,
1981-09-09,2.28,,
1981-09-10,2.13,,
1981-09-11,2.15,,
