date,BK,dcf,Deviation
1989-09-19,6.58,,
1989-09-20,6.46,,
1989-09-21,6.44,,
1989-09-22,6.49,,
1989-09-25,6.41,,
1989-09-26,6.33,,
1989-09-27,6.36,,
1989-09-28,6.48,,
1989-09-29,6.46,,
1989-10-02,6.49,,
1989-10-03,6.67,,
1989-10-04,6.71,,
1989-10-05,6.69,,
1989-10-06,6.72,,
1989-10-09,6.64,,
1989-10-10,6.67,,
1989-10-11,6.67,,
1989-10-12,6.56,,
1989-10-13,6.14,,
1989-10-16,6.06,,
1989-10-17,5.96,,
1989-10-18,6.0,,
1989-10-19,6.23,,
1989-10-20,6.13,,
1989-10-23,6.01,,
1989-10-24,5.78,,
1989-10-25,5.75,,
1989-10-26,5.68,,
1989-10-27,5.7,,
1989-10-30,5.81,,
1989-10-31,5.88,,
1989-11-01,5.8,,
1989-11-02,5.71,,
1989-11-03,5.73,,
1989-11-06,5.65,,
1989-11-07,5.66,,
1989-11-08,5.68,,
1989-11-09,5.66,,
1989-11-10,5.73,,
1989-11-13,5.86,,
1989-11-14,5.78,,
1989-11-15,5.8,,
1989-11-16,5.83,,
1989-11-17,5.83,,
1989-11-20,5.75,,
1989-11-21,5.7,,
1989-11-22,5.68,,
1989-11-24,5.76,,
1989-11-27,5.75,,
1989-11-28,5.7,,
1989-11-29,5.5,,
1989-11-30,5.33,,
1989-12-01,5.52,,
1989-12-04,5.61,,
1989-12-05,5.5,,
1989-12-06,5.48,,
1989-12-07,5.52,,
1989-12-08,5.35,,
1989-12-11,5.38,,
1989-12-12,5.32,,
1989-12-13,5.28,,
1989-12-14,5.28,,
1989-12-15,5.28,,
1989-12-18,5.12,,
1989-12-19,4.99,,
1989-12-20,4.97,,
1989-12-21,5.22,,
1989-12-22,5.32,,
1989-12-26,5.37,,
1989-12-27,5.42,,
1989-12-28,5.37,,
1989-12-29,5.33,,
1990-01-02,5.42,,
1990-01-03,5.5,,
1990-01-04,5.47,,
1990-01-05,5.48,,
1990-01-08,5.45,,
1990-01-09,5.28,,
1990-01-10,5.22,,
1990-01-11,5.27,,
1990-01-12,5.13,,
1990-01-15,5.13,,
1990-01-16,5.08,,
1990-01-17,5.05,,
1990-01-18,4.99,,
1990-01-19,5.05,,
1990-01-22,4.94,,
1990-01-23,4.97,,
1990-01-24,5.02,,
1990-01-25,4.92,,
1990-01-26,4.84,,
1990-01-29,4.72,,
1990-01-30,4.6,,
1990-01-31,4.7,,
1990-02-01,4.82,,
1990-02-02,4.95,,
1990-02-05,4.94,,
1990-02-06,4.87,,
1990-02-07,4.87,,
1990-02-08,4.87,,
1990-02-09,4.85,,
1990-02-12,4.85,,
1990-02-13,4.89,,
1990-02-14,4.94,,
1990-02-15,5.05,,
1990-02-16,5.0,,
1990-02-20,4.89,,
1990-02-21,5.07,,
1990-02-22,5.02,,
1990-02-23,4.95,,
1990-02-26,4.94,,
1990-02-27,4.97,,
1990-02-28,5.0,,
1990-03-01,5.0,,
1990-03-02,5.08,,
1990-03-05,5.1,,
1990-03-06,5.12,,
1990-03-07,5.12,,
1990-03-08,5.18,,
1990-03-09,5.2,,
1990-03-12,5.22,,
1990-03-13,5.2,,
1990-03-14,5.22,,
1990-03-15,5.18,,
1990-03-16,4.99,,
1990-03-19,4.97,,
1990-03-20,4.8,,
1990-03-21,4.69,,
1990-03-22,4.62,,
1990-03-23,4.65,,
1990-03-26,4.65,,
1990-03-27,4.64,,
1990-03-28,4.44,,
1990-03-29,4.47,,
1990-03-30,4.54,,
1990-04-02,4.5,,
1990-04-03,4.44,,
1990-04-04,4.47,,
1990-04-05,4.14,,
1990-04-06,3.97,,
1990-04-09,4.11,,
1990-04-10,4.21,,
1990-04-11,4.21,,
1990-04-12,4.16,,
1990-04-16,4.16,,
1990-04-17,4.19,,
1990-04-18,4.21,,
1990-04-19,4.24,,
1990-04-20,4.17,,
1990-04-23,4.16,,
1990-04-24,4.14,,
1990-04-25,4.11,,
1990-04-26,4.09,,
1990-04-27,4.04,,
1990-04-30,4.07,,
1990-05-01,4.06,,
1990-05-02,4.07,,
1990-05-03,4.09,,
1990-05-04,4.24,,
1990-05-07,4.41,,
1990-05-08,4.47,,
1990-05-09,4.41,,
1990-05-10,4.47,,
1990-05-11,4.52,,
1990-05-14,4.57,,
1990-05-15,4.57,,
1990-05-16,4.57,,
1990-05-17,4.57,,
1990-05-18,4.57,,
1990-05-21,4.64,,
1990-05-22,4.74,,
1990-05-23,4.7,,
1990-05-24,4.74,,
1990-05-25,4.74,,
1990-05-29,4.79,,
1990-05-30,4.84,,
1990-05-31,4.94,,
1990-06-01,4.89,,
1990-06-04,5.08,,
1990-06-05,5.08,,
1990-06-06,5.02,,
1990-06-07,4.99,,
1990-06-08,4.92,,
1990-06-11,4.94,,
1990-06-12,4.89,,
1990-06-13,4.77,,
1990-06-14,4.64,,
1990-06-15,4.57,,
1990-06-18,4.42,,
1990-06-19,4.5,,
1990-06-20,4.47,,
1990-06-21,4.46,,
1990-06-22,4.34,,
1990-06-25,4.22,,
1990-06-26,4.19,,
1990-06-27,4.17,,
1990-06-28,4.19,,
1990-06-29,4.22,,
1990-07-02,4.26,,
1990-07-03,4.22,,
1990-07-05,4.14,,
1990-07-06,4.12,,
1990-07-09,4.19,,
1990-07-10,4.14,,
1990-07-11,4.14,,
1990-07-12,4.04,,
1990-07-13,3.97,,
1990-07-16,3.79,,
1990-07-17,3.64,,
1990-07-18,3.63,,
1990-07-19,3.58,,
1990-07-20,3.59,,
1990-07-23,3.61,,
1990-07-24,3.63,,
1990-07-25,3.59,,
1990-07-26,3.48,,
1990-07-27,3.44,,
1990-07-30,3.4,,
1990-07-31,3.38,,
1990-08-01,3.26,,
1990-08-02,3.26,,
1990-08-03,3.25,,
1990-08-06,3.15,,
1990-08-07,3.15,,
1990-08-08,3.11,,
1990-08-09,3.35,,
1990-08-10,3.28,,
1990-08-13,3.28,,
1990-08-14,3.26,,
1990-08-15,3.25,,
1990-08-16,3.23,,
1990-08-17,3.21,,
1990-08-20,3.18,,
1990-08-21,3.11,,
1990-08-22,3.08,,
1990-08-23,3.01,,
1990-08-24,3.01,,
1990-08-27,3.11,,
1990-08-28,3.15,,
1990-08-29,3.11,,
1990-08-30,3.15,,
1990-08-31,3.11,,
1990-09-04,3.11,,
1990-09-05,3.11,,
1990-09-06,3.08,,
1990-09-07,3.05,,
1990-09-10,3.05,,
1990-09-11,3.06,,
1990-09-12,3.23,,
1990-09-13,3.18,,
1990-09-14,3.1,,
1990-09-17,3.11,,
1990-09-18,3.03,,
1990-09-19,2.95,,
1990-09-20,2.83,,
1990-09-21,2.72,,
1990-09-24,2.47,,
1990-09-25,2.48,,
1990-09-26,2.32,,
1990-09-27,2.14,,
1990-09-28,2.34,,
1990-10-01,2.38,,
1990-10-02,2.37,,
1990-10-03,2.27,,
1990-10-04,2.27,,
1990-10-05,2.24,,
1990-10-08,2.34,,
1990-10-09,2.29,,
1990-10-10,2.34,,
1990-10-11,2.25,,
1990-10-12,2.42,,
1990-10-15,2.38,,
1990-10-16,2.27,,
1990-10-17,2.27,,
1990-10-18,2.34,,
1990-10-19,2.35,,
1990-10-22,2.42,,
1990-10-23,2.38,,
1990-10-24,2.34,,
1990-10-25,2.29,,
1990-10-26,2.14,,
1990-10-29,1.92,,
1990-10-30,1.84,,
1990-10-31,1.87,,
1990-11-01,1.95,,
1990-11-02,2.29,,
1990-11-05,2.4,,
1990-11-06,2.35,,
1990-11-07,2.3,,
1990-11-08,2.32,,
1990-11-09,2.32,,
1990-11-12,2.42,,
1990-11-13,2.43,,
1990-11-14,2.5,,
1990-11-15,2.5,,
1990-11-16,2.48,,
1990-11-19,2.48,,
1990-11-20,2.42,,
1990-11-21,2.38,,
1990-11-23,2.38,,
1990-11-26,2.38,,
1990-11-27,2.38,,
1990-11-28,2.4,,
1990-11-29,2.38,,
1990-11-30,2.38,,
1990-12-03,2.48,,
1990-12-04,2.62,,
1990-12-05,2.88,,
1990-12-06,2.75,,
1990-12-07,2.67,,
1990-12-10,2.67,,
1990-12-11,2.58,,
1990-12-12,2.45,,
1990-12-13,2.45,,
1990-12-14,2.38,,
1990-12-17,2.32,,
1990-12-18,2.43,,
1990-12-19,2.42,,
1990-12-20,2.52,,
1990-12-21,2.55,,
1990-12-24,2.55,,
1990-12-26,2.5,,
1990-12-27,2.37,,
1990-12-28,2.34,,
1990-12-31,2.35,,
1991-01-02,2.38,,
1991-01-03,2.38,,
1991-01-04,2.42,,
1991-01-07,2.4,,
1991-01-08,2.35,,
1991-01-09,2.32,,
1991-01-10,2.35,,
1991-01-11,2.4,,
1991-01-14,2.25,,
1991-01-15,2.19,,
1991-01-16,2.3,,
1991-01-17,2.38,,
1991-01-18,2.45,,
1991-01-21,2.47,,
1991-01-22,2.48,,
1991-01-23,2.52,,
1991-01-24,2.63,,
1991-01-25,2.67,,
1991-01-28,2.67,,
1991-01-29,2.77,,
1991-01-30,2.78,,
1991-01-31,2.77,,
1991-02-01,2.96,,
1991-02-04,3.2,,
1991-02-05,3.25,,
1991-02-06,3.2,,
1991-02-07,3.21,,
1991-02-08,3.33,,
