BMY,dcf,Deviation
1.87,,
1.88,,
1.89,,
1.88,,
1.87,,
1.88,,
1.86,,
1.87,,
1.87,,
1.84,,
1.86,,
1.84,,
1.85,,
1.86,,
1.86,,
1.84,,
1.82,,
1.84,,
1.83,,
1.84,,
1.85,,
1.86,,
1.85,,
1.86,,
1.86,,
1.86,,
1.86,,
1.85,,
1.85,,
1.86,,
1.86,,
1.84,,
1.84,,
1.85,,
1.87,,
1.88,,
1.88,,
1.9,,
1.9,,
1.91,,
1.91,,
1.91,,
1.93,,
2.01,,
2.05,,
2.07,,
2.05,,
2.06,,
2.08,,
2.15,,
2.14,,
2.09,,
2.08,,
2.06,,
2.04,,
2.04,,
2.03,,
2.06,,
2.02,,
2.0,,
2.0,,
1.99,,
2.0,,
1.99,,
2.04,,
2.04,,
2.02,,
2.0,,
2.0,,
2.0,,
1.99,,
1.97,,
1.96,,
1.97,,
1.97,,
1.97,,
1.98,,
1.98,,
1.96,,
1.96,,
1.92,,
1.91,,
1.96,,
1.94,,
1.93,,
1.9,,
1.88,,
1.88,,
1.85,,
1.87,,
1.9,,
1.9,,
1.89,,
1.88,,
1.9,,
1.88,,
1.97,,
1.98,,
1.96,,
1.94,,
1.99,,
2.01,,
2.03,,
2.05,,
2.04,,
2.04,,
2.02,,
2.05,,
2.03,,
2.02,,
2.02,,
2.02,,
2.0,,
1.97,,
1.96,,
1.93,,
1.92,,
1.9,,
1.91,,
1.91,,
1.9,,
1.91,,
1.93,,
1.93,,
1.9,,
1.91,,
1.93,,
1.94,,
1.96,,
1.97,,
1.99,,
2.02,,
2.04,,
2.04,,
2.04,,
2.04,,
2.01,,
2.0,,
2.0,,
2.0,,
1.99,,
1.96,,
1.99,,
1.99,,
1.99,,
2.05,,
2.04,,
2.05,,
2.1,,
2.11,,
2.09,,
2.12,,
2.11,,
2.11,,
2.05,,
2.02,,
2.05,,
2.07,,
2.08,,
2.04,,
2.04,,
2.06,,
2.02,,
2.04,,
2.04,,
2.03,,
2.04,,
2.02,,
2.02,,
2.02,,
2.06,,
2.0,,
1.99,,
1.99,,
2.07,,
2.06,,
2.05,,
2.02,,
2.01,,
2.02,,
1.99,,
1.96,,
1.93,,
1.94,,
