BWA,dcf,Deviation
3.13,,
3.09,,
3.05,,
3.09,,
3.16,,
3.19,,
3.14,,
3.13,,
3.16,,
3.16,,
3.19,,
3.19,,
3.2,,
3.19,,
3.13,,
3.06,,
3.09,,
3.0,,
2.98,,
2.88,,
2.88,,
2.72,,
2.88,,
2.86,,
2.95,,
2.91,,
2.83,,
2.8,,
2.73,,
2.81,,
2.89,,
2.89,,
3.13,,
3.3,,
3.25,,
3.2,,
3.03,,
3.06,,
3.08,,
3.13,,
3.28,,
3.28,,
3.25,,
3.3,,
3.3,,
3.3,,
3.3,,
3.31,,
3.31,,
3.31,,
3.31,,
3.25,,
3.2,,
3.25,,
3.33,,
3.31,,
3.31,,
3.3,,
3.25,,
3.19,,
3.22,,
3.2,,
3.17,,
3.16,,
3.14,,
3.14,,
3.16,,
2.98,,
2.97,,
2.92,,
2.92,,
2.94,,
3.0,,
3.11,,
3.09,,
3.08,,
3.05,,
3.02,,
3.0,,
3.03,,
2.92,,
2.89,,
2.88,,
2.89,,
2.94,,
3.0,,
3.11,,
3.09,,
3.11,,
3.09,,
3.13,,
3.19,,
3.19,,
3.31,,
3.34,,
3.42,,
3.36,,
3.5,,
3.38,,
3.38,,
3.44,,
3.44,,
3.38,,
3.36,,
3.34,,
3.38,,
3.36,,
3.41,,
3.44,,
3.56,,
3.59,,
3.67,,
3.75,,
3.78,,
3.75,,
3.78,,
3.86,,
3.84,,
4.09,,
3.97,,
3.95,,
3.97,,
4.02,,
4.03,,
4.09,,
4.19,,
4.11,,
4.0,,
3.91,,
3.8,,
3.83,,
3.91,,
3.94,,
4.0,,
3.89,,
3.86,,
3.78,,
3.84,,
3.81,,
3.77,,
3.75,,
3.75,,
3.84,,
4.0,,
4.06,,
4.06,,
4.06,,
4.08,,
4.13,,
4.19,,
4.22,,
4.2,,
4.16,,
4.11,,
4.13,,
4.06,,
4.06,,
4.0,,
3.94,,
3.77,,
3.73,,
3.67,,
3.8,,
3.81,,
3.94,,
3.88,,
3.83,,
3.72,,
3.63,,
3.59,,
3.48,,
3.44,,
3.19,,
3.09,,
3.22,,
3.23,,
3.25,,
3.28,,
3.38,,
3.28,,
3.19,,
3.22,,
3.28,,
3.31,,
3.25,,
3.3,,
3.33,,
3.3,,
3.3,,
3.22,,
3.23,,
3.22,,
3.23,,
3.19,,
3.13,,
3.05,,
3.02,,
3.0,,
3.13,,
3.11,,
3.05,,
2.97,,
2.94,,
2.95,,
2.95,,
2.97,,
2.97,,
2.92,,
2.94,,
2.94,,
2.94,,
2.97,,
2.92,,
3.0,,
2.98,,
2.94,,
2.94,,
2.91,,
2.89,,
2.88,,
2.86,,
2.86,,
2.83,,
2.83,,
2.83,,
3.13,,
3.19,,
3.25,,
3.28,,
3.25,,
3.28,,
3.52,,
3.41,,
3.34,,
3.44,,
3.48,,
3.53,,
3.59,,
3.56,,
3.59,,
3.59,,
3.63,,
3.61,,
3.53,,
3.61,,
3.63,,
3.53,,
3.47,,
3.28,,
3.25,,
3.28,,
3.25,,
3.47,,
3.39,,
3.47,,
3.39,,
3.41,,
3.39,,
3.41,,
3.39,,
3.3,,
3.2,,
3.23,,
3.28,,
3.33,,
3.33,,
3.31,,
3.3,,
3.27,,
3.23,,
3.19,,
3.16,,
3.05,,
3.08,,
3.11,,
3.13,,
3.22,,
3.27,,
3.19,,
3.25,,
3.31,,
3.25,,
3.17,,
3.17,,
3.19,,
3.2,,
3.17,,
3.14,,
3.03,,
2.89,,
2.89,,
2.84,,
2.88,,
2.88,,
2.88,,
2.84,,
2.84,,
2.83,,
2.83,,
2.83,,
2.83,,
2.84,,
2.84,,
2.84,,
2.83,,
2.86,,
2.88,,
2.81,,
2.83,,
2.84,,
2.91,,
3.03,,
3.06,,
2.97,,
3.0,,
3.0,,
2.98,,
3.0,,
2.97,,
3.06,,
3.03,,
3.0,,
2.98,,
2.75,,
2.78,,
2.8,,
2.89,,
2.86,,
2.94,,
2.94,,
2.91,,
2.89,,
2.92,,
2.92,,
2.88,,
2.89,,
2.89,,
2.92,,
3.02,,
3.0,,
3.03,,
3.03,,
2.97,,
2.98,,
3.0,,
3.08,,
3.03,,
3.09,,
3.13,,
3.14,,
3.16,,
3.19,,
3.17,,
3.22,,
3.25,,
3.23,,
3.17,,
3.17,,
3.14,,
3.19,,
3.22,,
3.11,,
3.06,,
2.97,,
3.05,,
3.06,,
3.06,,
3.03,,
2.97,,
2.94,,
2.83,,
2.88,,
2.91,,
2.88,,
2.86,,
2.86,,
2.92,,
3.0,,
3.0,,
3.05,,
3.09,,
3.16,,
3.16,,
3.14,,
3.19,,
3.19,,
3.13,,
3.14,,
3.13,,
3.14,,
3.14,,
3.13,,
3.06,,
3.06,,
3.06,,
3.02,,
3.05,,
3.05,,
3.02,,
3.05,,
3.05,,
3.01,,
3.02,,
3.05,,
3.0,,
3.02,,
3.02,,
3.02,,
3.02,,
3.03,,
3.03,,
3.03,,
3.03,,
3.03,,
3.02,,
3.0,,
3.0,,
3.02,,
2.98,,
2.97,,
2.94,,
2.98,,
3.03,,
3.02,,
3.03,,
3.02,,
3.09,,
3.11,,
3.13,,
3.14,,
3.2,,
3.22,,
3.22,,
3.25,,
3.17,,
3.17,,
3.19,,
3.23,,
3.28,,
3.27,,
3.27,,
3.31,,
3.36,,
3.44,,
3.39,,
3.36,,
3.42,,
3.45,,
3.47,,
3.39,,
3.28,,
3.23,,
3.19,,
3.17,,
3.25,,
3.38,,
3.41,,
3.44,,
3.48,,
3.56,,
3.5,,
3.42,,
3.38,,
3.36,,
3.36,,
3.39,,
3.44,,
3.5,,
3.48,,
3.47,,
3.45,,
3.5,,
3.44,,
3.58,,
3.53,,
3.56,,
3.63,,
3.73,,
3.77,,
3.92,,
4.08,,
4.06,,
4.08,,
4.08,,
4.03,,
3.89,,
3.94,,
3.86,,
3.89,,
3.94,,
3.97,,
4.03,,
4.06,,
4.09,,
4.09,,
4.06,,
4.09,,
4.08,,
4.11,,
4.06,,
4.05,,
4.0,,
4.0,,
3.94,,
3.94,,
3.86,,
3.88,,
3.91,,
3.95,,
3.97,,
3.97,,
3.97,,
3.97,,
3.97,,
3.86,,
3.81,,
3.75,,
3.72,,
3.72,,
3.88,,
4.09,,
4.19,,
3.94,,
4.02,,
3.95,,
3.84,,
3.83,,
3.75,,
3.75,,
3.78,,
3.88,,
3.91,,
3.97,,
3.94,,
3.89,,
3.84,,
3.78,,
3.81,,
4.0,,
3.95,,
3.94,,
3.89,,
3.88,,
3.88,,
3.83,,
3.8,,
3.78,,
3.75,,
3.73,,
3.75,,
3.75,,
3.7,,
3.61,,
3.52,,
3.5,,
3.5,,
3.56,,
3.47,,
3.48,,
3.56,,
3.69,,
3.8,,
3.78,,
3.84,,
3.81,,
3.78,,
3.86,,
3.86,,
3.84,,
3.88,,
3.86,,
3.91,,
3.94,,
3.91,,
3.84,,
3.81,,
3.83,,
3.8,,
3.78,,
3.8,,
3.73,,
3.7,,
3.72,,
3.83,,
3.86,,
3.94,,
3.97,,
3.92,,
3.83,,
3.78,,
3.75,,
3.86,,
3.84,,
3.77,,
3.81,,
3.86,,
3.83,,
3.88,,
3.89,,
3.92,,
4.0,,
4.0,,
4.02,,
4.02,,
4.0,,
4.0,,
4.02,,
3.94,,
3.94,,
3.95,,
3.83,,
3.77,,
3.73,,
3.8,,
3.77,,
3.7,,
3.8,,
3.83,,
3.78,,
3.8,,
3.75,,
3.64,,
3.63,,
3.63,,
3.58,,
3.64,,
3.72,,
3.73,,
3.81,,
3.83,,
3.84,,
3.84,,
3.94,,
4.05,,
4.08,,
4.06,,
3.98,,
4.08,,
4.05,,
4.08,,
4.06,,
4.11,,
4.13,,
4.09,,
4.11,,
4.11,,
4.14,,
4.14,,
4.08,,
3.98,,
3.97,,
4.0,,
4.02,,
4.0,,
4.03,,
4.09,,
4.14,,
4.17,,
4.13,,
4.16,,
4.11,,
4.13,,
4.17,,
4.2,,
4.16,,
4.3,,
4.31,,
4.39,,
4.44,,
4.36,,
4.36,,
4.38,,
4.33,,
4.3,,
4.33,,
4.38,,
4.58,,
4.5,,
4.45,,
4.5,,
4.5,,
4.42,,
4.47,,
4.84,,
4.77,,
4.77,,
4.8,,
4.83,,
4.84,,
4.78,,
4.84,,
4.8,,
4.77,,
4.77,,
4.94,,
4.92,,
4.98,,
5.0,,
5.06,,
5.11,,
5.13,,
5.08,,
5.16,,
5.13,,
5.08,,
5.03,,
5.02,,
4.95,,
5.05,,
5.09,,
5.13,,
5.13,,
5.11,,
5.14,,
5.16,,
5.2,,
5.33,,
5.19,,
4.84,,
4.94,,
5.06,,
4.98,,
4.95,,
5.0,,
5.02,,
4.98,,
4.97,,
4.94,,
4.95,,
4.98,,
4.97,,
4.94,,
4.97,,
5.02,,
4.94,,
4.78,,
4.78,,
4.78,,
4.66,,
4.61,,
4.8,,
4.69,,
4.59,,
4.55,,
4.42,,
4.3,,
4.3,,
4.27,,
4.28,,
4.38,,
4.44,,
4.53,,
4.52,,
4.55,,
4.56,,
4.58,,
4.58,,
4.56,,
4.56,,
4.66,,
4.61,,
4.69,,
4.72,,
4.75,,
4.75,,
4.77,,
4.77,,
4.72,,
4.73,,
4.72,,
4.72,,
4.69,,
4.64,,
4.63,,
4.61,,
4.64,,
4.7,,
4.67,,
4.63,,
4.63,,
4.61,,
4.56,,
4.58,,
4.52,,
4.52,,
4.53,,
4.52,,
4.55,,
4.55,,
4.36,,
4.39,,
4.44,,
4.41,,
4.41,,
4.38,,
4.38,,
4.25,,
4.3,,
4.25,,
4.25,,
4.34,,
4.36,,
4.25,,
4.22,,
4.2,,
4.39,,
4.38,,
4.44,,
4.53,,
4.59,,
4.67,,
4.78,,
4.73,,
4.72,,
4.8,,
4.81,,
4.84,,
4.94,,
4.91,,
4.94,,
4.94,,
4.91,,
4.84,,
4.84,,
4.89,,
4.94,,
4.89,,
4.94,,
4.98,,
4.92,,
4.94,,
4.97,,
5.05,,
4.97,,
5.0,,
4.98,,
4.88,,
4.83,,
4.89,,
4.89,,
4.86,,
4.84,,
4.84,,
4.8,,
4.75,,
4.77,,
4.73,,
4.78,,
4.64,,
4.66,,
4.73,,
4.7,,
4.77,,
4.81,,
4.88,,
4.81,,
4.8,,
4.84,,
4.95,,
4.95,,
4.97,,
4.98,,
4.97,,
4.94,,
4.91,,
4.92,,
4.95,,
4.97,,
4.98,,
5.11,,
5.27,,
5.25,,
5.2,,
5.2,,
5.11,,
5.03,,
4.98,,
4.98,,
4.94,,
4.89,,
4.91,,
5.0,,
5.11,,
5.11,,
5.11,,
5.13,,
5.14,,
5.14,,
5.11,,
5.05,,
5.0,,
4.97,,
4.91,,
5.05,,
5.08,,
4.97,,
4.94,,
5.0,,
5.0,,
4.97,,
4.98,,
4.98,,
5.0,,
5.0,,
5.02,,
4.95,,
4.98,,
5.0,,
4.94,,
4.97,,
5.03,,
5.05,,
5.06,,
5.25,,
5.31,,
5.33,,
5.33,,
5.41,,
5.34,,
5.36,,
5.36,,
5.58,,
5.63,,
5.5,,
5.52,,
5.48,,
5.45,,
5.53,,
5.56,,
5.48,,
5.45,,
5.42,,
5.41,,
5.31,,
5.42,,
5.36,,
5.34,,
5.25,,
5.25,,
5.38,,
5.42,,
5.61,,
5.8,,
5.69,,
5.66,,
5.77,,
5.92,,
6.0,,
6.06,,
6.0,,
6.03,,
5.91,,
5.86,,
6.03,,
6.02,,
6.2,,
6.09,,
6.13,,
6.09,,
6.09,,
6.25,,
6.33,,
6.22,,
6.25,,
6.27,,
6.34,,
6.3,,
6.34,,
6.41,,
6.59,,
6.56,,
6.5,,
6.47,,
6.5,,
6.5,,
6.52,,
6.52,,
6.31,,
6.3,,
6.31,,
6.66,,
6.75,,
6.69,,
6.74,,
6.63,,
6.74,,
6.69,,
6.75,,
6.93,,
6.97,,
7.05,,
7.13,,
7.13,,
7.12,,
7.07,,
7.22,,
7.13,,
6.97,,
6.92,,
6.96,,
6.91,,
7.0,,
6.97,,
7.01,,
7.0,,
6.99,,
7.0,,
6.98,,
6.86,,
6.86,,
6.73,,
6.69,,
6.67,,
6.45,,
6.3,,
6.51,,
6.66,,
6.53,,
6.55,,
6.57,,
6.52,,
6.5,,
6.5,,
6.52,,
6.64,,
6.74,,
6.8,,
6.89,,
6.82,,
6.94,,
6.94,,
6.98,,
7.01,,
6.99,,
7.09,,
7.17,,
7.11,,
7.09,,
7.09,,
7.01,,
6.99,,
6.98,,
6.9,,
6.98,,
7.11,,
7.31,,
7.38,,
7.33,,
7.36,,
7.58,,
7.53,,
7.61,,
7.5,,
7.58,,
7.52,,
7.46,,
7.53,,
7.24,,
7.28,,
7.48,,
7.39,,
7.05,,
7.08,,
6.72,,
6.73,,
6.84,,
6.7,,
6.81,,
6.88,,
6.99,,
7.1,,
6.89,,
6.67,,
6.55,,
6.48,,
6.34,,
6.38,,
6.25,,
6.09,,
6.09,,
6.07,,
5.97,,
5.97,,
5.83,,
5.77,,
5.77,,
5.89,,
6.02,,
6.13,,
6.21,,
6.06,,
6.01,,
6.06,,
6.09,,
5.97,,
5.84,,
5.92,,
6.06,,
6.19,,
6.23,,
6.21,,
6.34,,
6.23,,
6.23,,
6.24,,
6.3,,
6.46,,
6.45,,
6.5,,
6.46,,
6.45,,
6.48,,
6.5,,
6.41,,
6.2,,
6.2,,
6.36,,
6.46,,
6.59,,
6.55,,
6.65,,
6.73,,
6.55,,
6.66,,
6.61,,
6.73,,
6.78,,
6.64,,
6.7,,
6.83,,
6.8,,
6.75,,
6.66,,
6.6,,
6.69,,
6.7,,
6.84,,
6.86,,
6.88,,
6.92,,
6.95,,
7.08,,
7.14,,
7.23,,
7.34,,
7.33,,
7.42,,
7.33,,
7.51,,
7.52,,
7.61,,
7.43,,
7.63,,
7.74,,
7.66,,
7.66,,
7.67,,
7.67,,
7.66,,
7.61,,
7.75,,
7.77,,
7.89,,
8.01,,
8.05,,
7.98,,
7.98,,
8.06,,
7.93,,
8.02,,
8.22,,
8.17,,
8.06,,
8.17,,
8.06,,
8.12,,
8.37,,
8.09,,
8.31,,
8.5,,
8.23,,
8.09,,
8.22,,
8.45,,
8.47,,
8.52,,
8.38,,
7.98,,
8.16,,
7.63,,
7.77,,
7.86,,
7.72,,
7.5,,
7.38,,
7.52,,
7.66,,
7.49,,
7.41,,
7.4,,
7.31,,
7.29,,
7.3,,
7.35,,
7.27,,
7.25,,
7.18,,
7.02,,
7.0,,
7.14,,
7.13,,
7.16,,
7.2,,
7.18,,
5.94,,
6.23,,
6.23,,
6.13,,
5.88,,
5.78,,
5.64,,
5.55,,
5.58,,
5.74,,
5.66,,
5.5,,
5.49,,
5.46,,
5.47,,
5.67,,
5.59,,
5.88,,
6.01,,
6.1,,
6.06,,
6.06,,
6.13,,
6.02,,
5.97,,
6.06,,
6.09,,
6.28,,
6.33,,
6.39,,
6.41,,
6.45,,
6.25,,
6.06,,
5.97,,
5.92,,
6.05,,
5.94,,
6.02,,
6.07,,
5.88,,
5.79,,
5.7,,
5.52,,
5.52,,
5.46,,
5.31,,
5.48,,
5.64,,
5.39,,
5.38,,
5.4,,
5.58,,
5.46,,
5.45,,
5.43,,
5.45,,
5.46,,
5.52,,
5.43,,
5.34,,
5.06,,
5.34,,
5.49,,
5.45,,
5.5,,
5.6,,
5.38,,
5.3,,
5.36,,
5.36,,
5.41,,
5.27,,
5.09,,
5.13,,
5.08,,
4.98,,
4.99,,
4.99,,
4.98,,
4.95,,
4.8,,
4.63,,
4.16,,
4.38,,
4.5,,
4.45,,
4.56,,
4.31,,
4.31,,
4.41,,
4.5,,
4.59,,
4.68,,
5.07,,
4.98,,
5.1,,
5.13,,
5.3,,
5.44,,
5.81,,
5.76,,
5.94,,
5.92,,
5.86,,
6.06,,
6.06,,
6.2,,
6.34,,
6.26,,
6.25,,
6.22,,
6.13,,
6.02,,
6.07,,
6.24,,
6.23,,
6.27,,
6.38,,
6.38,,
6.38,,
6.37,,
6.47,,
6.39,,
6.23,,
6.15,,
6.08,,
6.07,,
5.88,,
5.88,,
5.87,,
5.73,,
5.6,,
6.06,,
6.25,,
6.63,,
6.54,,
6.44,,
6.34,,
6.22,,
5.97,,
6.29,,
6.23,,
6.38,,
6.56,,
6.79,,
6.98,,
6.81,,
6.72,,
6.67,,
6.72,,
6.66,,
6.66,,
6.46,,
6.39,,
6.34,,
6.52,,
6.48,,
6.44,,
6.48,,
6.36,,
6.22,,
6.16,,
5.94,,
5.98,,
6.02,,
6.07,,
5.96,,
5.84,,
5.63,,
5.39,,
5.65,,
5.55,,
5.37,,
5.55,,
5.61,,
5.54,,
5.41,,
5.47,,
5.45,,
5.52,,
5.66,,
5.58,,
5.39,,
5.45,,
5.72,,
5.76,,
5.84,,
5.96,,
6.06,,
5.95,,
5.93,,
5.8,,
5.8,,
5.77,,
5.77,,
5.61,,
5.58,,
5.59,,
5.65,,
5.55,,
5.47,,
5.48,,
5.52,,
5.47,,
5.61,,
5.93,,
5.98,,
5.91,,
5.98,,
5.96,,
5.91,,
5.91,,
5.92,,
6.06,,
6.24,,
6.36,,
6.62,,
6.8,,
7.24,,
7.0,,
7.0,,
6.91,,
6.8,,
6.8,,
6.97,,
7.35,,
7.22,,
7.09,,
6.96,,
7.16,,
7.18,,
7.16,,
7.25,,
7.37,,
7.41,,
7.41,,
7.47,,
7.45,,
7.27,,
7.22,,
7.28,,
7.19,,
7.2,,
7.05,,
6.98,,
6.86,,
6.72,,
6.93,,
6.97,,
7.02,,
7.25,,
7.2,,
7.16,,
7.14,,
7.09,,
6.98,,
6.88,,
6.91,,
6.86,,
6.81,,
6.98,,
6.95,,
6.9,,
6.84,,
6.86,,
6.88,,
6.93,,
7.06,,
7.01,,
6.88,,
6.97,,
7.13,,
7.18,,
7.12,,
7.13,,
7.12,,
7.02,,
6.97,,
6.91,,
6.91,,
6.8,,
6.8,,
6.73,,
6.87,,
6.7,,
6.64,,
6.5,,
6.59,,
6.59,,
6.38,,
6.35,,
6.23,,
6.14,,
6.3,,
6.11,,
6.05,,
6.05,,
5.84,,
5.94,,
5.92,,
5.91,,
5.84,,
5.94,,
6.08,,
6.13,,
6.15,,
6.2,,
6.09,,
6.19,,
