date,CE,dcf,Deviation
2005-01-21,16.0,,
2005-01-24,16.0,,
2005-01-25,15.65,,
2005-01-26,15.59,,
2005-01-27,15.78,,
2005-01-28,16.0,,
2005-01-31,16.13,,
2005-02-01,16.2,,
2005-02-02,16.2,,
2005-02-03,16.01,,
2005-02-04,16.04,,
2005-02-07,15.75,,
2005-02-08,15.8,,
2005-02-09,15.79,,
2005-02-10,15.58,,
2005-02-11,15.57,,
2005-02-14,15.6,,
2005-02-15,15.94,,
2005-02-16,16.1,,
2005-02-17,16.5,,
2005-02-18,16.74,,
2005-02-22,16.45,,
2005-02-23,16.6,,
2005-02-24,16.75,,
2005-02-25,17.27,,
2005-02-28,16.7,,
2005-03-01,16.16,,
2005-03-02,16.36,,
2005-03-03,16.25,,
2005-03-04,16.51,,
2005-03-07,17.09,,
2005-03-08,17.25,,
2005-03-09,17.95,,
2005-03-10,17.9,,
2005-03-11,18.0,,
2005-03-14,17.85,,
2005-03-15,17.65,,
2005-03-16,17.32,,
2005-03-17,17.39,,
2005-03-18,17.26,,
2005-03-21,16.95,,
2005-03-22,16.99,,
2005-03-23,16.9,,
2005-03-24,18.09,,
2005-03-28,17.83,,
2005-03-29,17.41,,
2005-03-30,17.7,,
2005-03-31,17.99,30.361677921871074,-0.40747675255981564
2005-04-01,18.1,29.651677921871073,-0.38957923232231506
2005-04-04,17.39,29.59167792187107,-0.4123347771656053
2005-04-05,17.33,29.511677921871073,-0.412774832868559
2005-04-06,17.25,29.541677921871074,-0.4160792069556406
2005-04-07,17.28,29.28167792187107,-0.40986988361438037
2005-04-08,17.02,29.34167792187107,-0.41993774025740305
2005-04-11,17.08,29.571677921871075,-0.4224203291701716
2005-04-12,17.31,29.071677921871075,-0.4045751316274243
2005-04-13,16.81,28.441677921871072,-0.4089659531980899
2005-04-14,16.18,27.911677921871078,-0.42031431985958645
2005-04-15,15.65,27.56167792187107,-0.4321826107843302
2005-04-18,15.3,27.861677921871067,-0.4508586294442197
2005-04-19,15.6,27.361677921871074,-0.4298595267240386
2005-04-20,15.1,27.501677921871075,-0.45094259183395047
2005-04-21,15.24,27.261677921871073,-0.4409735144081689
2005-04-22,15.0,27.53167792187107,-0.45517305401556896
2005-04-25,15.27,27.041677921871074,-0.4353161056012077
2005-04-26,14.78,26.56167792187107,-0.4435592494015581
2005-04-27,14.3,26.361677921871074,-0.45754591030277525
2005-04-28,14.1,26.81167792187107,-0.4741097501958944
2005-04-29,14.55,27.38167792187107,-0.4686227760944405
2005-05-02,15.12,27.38167792187107,-0.4478059363950474
2005-05-03,15.12,27.471677921871073,-0.4496149800896403
2005-05-04,15.21,27.761677921871073,-0.4521224530158052
2005-05-05,15.5,27.73167792187107,-0.4410724066654599
2005-05-06,15.47,28.17167792187107,-0.4508669294422867
2005-05-09,15.91,27.41167792187107,-0.419590437136071
2005-05-10,15.15,27.351677921871076,-0.44610345137598717
2005-05-11,15.09,27.111677921871074,-0.4434132758774457
2005-05-12,14.85,26.52167792187107,-0.44008067499553016
2005-05-13,14.26,26.321677921871075,-0.4582412245022133
2005-05-16,14.06,26.42167792187107,-0.4678611993691152
2005-05-17,14.16,26.901677921871073,-0.4736387804090125
2005-05-18,14.64,27.541677921871074,-0.46844197214381567
2005-05-19,15.28,27.81167792187107,-0.45059050220109786
2005-05-20,15.55,28.511677921871073,-0.4546094395913569
2005-05-23,16.25,28.361677921871074,-0.4270437720657976
2005-05-24,16.1,28.20167792187107,-0.429111982464204
2005-05-25,15.94,27.88167792187107,-0.4282983956465448
2005-05-26,15.62,27.791677921871074,-0.437961247107444
2005-05-27,15.53,27.741677921871077,-0.44019247704709286
2005-05-31,15.48,28.02167792187107,-0.44757055437005877
2005-06-01,15.76,28.211677921871075,-0.4413660880559651
2005-06-02,15.95,28.141677921871075,-0.4332249823808828
2005-06-03,15.88,28.111677921871067,-0.4351102042313434
2005-06-06,15.85,28.081677921871073,-0.43557503778449724
2005-06-07,15.82,28.05167792187107,-0.436040865574547
2005-06-08,15.79,28.06167792187107,-0.43731091048930515
2005-06-09,15.8,28.06167792187107,-0.43695455261121097
2005-06-10,15.8,27.901677921871073,-0.4337258123241765
2005-06-13,15.64,27.961677921871075,-0.4406630373291476
2005-06-14,15.7,28.13167792187107,-0.441910289048419
2005-06-15,15.87,28.56167792187107,-0.4443603753458908
2005-06-16,16.3,27.911677921871078,-0.4160150441107082
2005-06-17,15.65,27.641677921871075,-0.43382597669234957
2005-06-20,15.38,27.73167792187107,-0.4453995880332111
2005-06-21,15.47,28.121677921871072,-0.4498905775473476
2005-06-22,15.86,28.041677921871074,-0.4344133027920555
2005-06-23,15.78,28.101677921871076,-0.4384676942112883
2005-06-24,15.84,27.931677921871074,-0.43290195296155276
2005-06-27,15.67,27.98167792187107,-0.43999069520587986
2005-06-28,15.72,28.06167792187107,-0.4398054156359643
2005-06-29,15.8,28.151677921871073,-0.4387545906198024
2005-06-30,15.89,22.355551984825322,-0.2892145981997698
2005-07-01,15.97,22.425551984825322,-0.28786591247312865
2005-07-05,16.04,22.605551984825315,-0.2904397994454039
2005-07-06,16.22,22.48555198482532,-0.2786479064002394
2005-07-07,16.1,22.615551984825316,-0.2881005066423826
2005-07-08,16.23,23.32555198482532,-0.30419653045901784
2005-07-11,16.94,23.805551984825318,-0.2884012934966479
2005-07-12,17.42,24.16555198482532,-0.27913916425584506
2005-07-13,17.78,24.15555198482532,-0.26393733369580963
2005-07-14,17.77,24.24555198482532,-0.2670820606137655
2005-07-15,17.86,24.07555198482532,-0.2581686180546534
2005-07-18,17.69,24.365551984825316,-0.2739749950660998
2005-07-19,17.98,24.805551984825318,-0.27516226968062707
2005-07-20,18.42,24.91555198482532,-0.26070271245772114
2005-07-21,18.53,24.805551984825318,-0.2529898140813136
2005-07-22,18.42,24.785551984825318,-0.2568251047514518
2005-07-25,18.4,24.785551984825318,-0.2576320264618195
2005-07-26,18.4,25.175551984825322,-0.26913221163569
2005-07-27,18.79,25.085551984825322,-0.2509632631816756
2005-07-28,18.7,25.205551984825316,-0.25809996102215504
2005-07-29,18.82,25.195551984825318,-0.2530427588435118
2005-08-01,18.81,25.265551984825322,-0.2555080525730281
2005-08-02,18.88,24.97555198482532,-0.2440607514311942
2005-08-03,18.59,24.82555198482532,-0.25117475690517643
2005-08-04,18.44,24.82555198482532,-0.25721691862998675
2005-08-05,18.44,24.805551984825318,-0.25661803408847395
2005-08-08,18.42,25.395551984825318,-0.27467613182786654
2005-08-09,19.01,25.505551984825313,-0.2546720803646939
2005-08-10,19.12,25.965551984825318,-0.2636397635153671
2005-08-11,19.58,25.99555198482532,-0.24679422035624954
2005-08-12,19.61,26.125551984825318,-0.24939384969204825
2005-08-15,19.74,25.98555198482532,-0.24034709705118107
2005-08-16,19.6,25.82555198482532,-0.2410617201321913
2005-08-17,19.44,25.615551984825316,-0.2410860397809783
2005-08-18,19.23,25.595551984825317,-0.24869758576018297
2005-08-19,19.21,25.845551984825317,-0.2567386445730099
2005-08-22,19.46,26.445551984825318,-0.2641484658302343
2005-08-23,20.06,26.13555198482532,-0.23246312105261346
2005-08-24,19.75,25.535551984825318,-0.22656851076739692
2005-08-25,19.15,25.215551984825318,-0.24054805496526743
2005-08-26,18.83,24.99555198482532,-0.2466659663514692
2005-08-29,18.61,24.795551984825316,-0.2494621611412735
2005-08-30,18.41,24.81555198482532,-0.25812651633710615
