CHRW,dcf,Deviation
5.69,,
5.59,,
5.53,,
5.59,,
5.72,,
5.59,,
5.72,,
5.42,,
5.59,,
5.66,,
5.5,,
5.5,,
5.73,,
5.78,,
5.91,,
6.25,,
6.44,,
6.16,,
6.0,,
5.69,,
5.5,,
5.44,,
5.81,,
5.72,,
5.56,,
5.56,,
5.53,,
5.53,,
5.52,,
5.25,,
5.25,,
5.27,,
5.34,,
5.5,,
5.55,,
5.69,,
5.72,,
5.59,,
5.38,,
5.31,,
5.16,,
5.22,,
5.22,,
5.03,,
5.0,,
4.94,,
5.06,,
5.0,,
4.94,,
5.06,,
5.28,,
5.28,,
5.59,,
5.78,,
5.63,,
5.42,,
5.56,,
5.75,,
5.5,,
5.34,,
5.44,,
5.36,,
5.38,,
5.56,,
5.78,,
5.75,,
5.66,,
5.81,,
5.72,,
5.63,,
5.66,,
5.72,,
5.72,,
6.0,,
6.0,,
5.91,,
5.88,,
5.94,,
6.06,,
6.25,,
5.75,,
5.91,,
5.94,,
5.91,,
5.91,,
5.84,,
5.78,,
5.72,,
5.5,,
5.59,,
5.47,,
5.69,,
5.41,,
5.38,,
5.41,,
5.41,,
5.44,,
5.44,,
5.38,,
5.52,,
5.53,,
5.69,,
5.91,,
5.75,,
5.78,,
5.88,,
5.88,,
5.81,,
6.0,,
5.88,,
5.88,,
5.95,,
6.0,,
6.5,,
6.19,,
6.69,,
6.28,,
6.33,,
6.19,,
6.13,,
6.0,,
5.81,,
5.78,,
5.75,,
5.83,,
5.83,,
5.81,,
5.75,,
5.81,,
5.78,,
5.75,,
5.63,,
5.59,,
5.63,,
5.72,,
5.73,,
5.69,,
5.69,,
5.72,,
5.69,,
5.69,,
5.65,,
5.64,,
5.59,,
5.53,,
5.59,,
5.44,,
5.53,,
5.63,,
5.66,,
5.69,,
5.69,,
5.7,,
5.72,,
5.78,,
5.89,,
5.97,,
5.97,,
5.89,,
5.81,,
5.94,,
5.92,,
5.72,,
5.56,,
5.53,,
5.5,,
5.88,,
