CMS,dcf,Deviation
33.5,,
34.0,,
34.0,,
34.0,,
34.25,,
34.38,,
34.63,,
34.88,,
35.13,,
35.0,,
35.5,,
36.25,,
37.38,,
38.5,,
38.13,,
38.38,,
38.0,,
37.38,,
35.0,,
34.38,,
33.5,,
33.13,,
33.0,,
32.75,,
33.0,,
33.38,,
33.38,,
33.88,,
33.75,,
33.88,,
34.13,,
34.25,,
33.75,,
33.63,,
33.5,,
33.88,,
34.0,,
33.88,,
33.88,,
33.75,,
33.75,,
33.88,,
33.88,,
33.88,,
33.75,,
33.63,,
33.5,,
33.63,,
33.88,,
33.88,,
33.88,,
34.38,,
34.25,,
34.88,,
35.25,,
35.38,,
35.5,,
35.25,,
34.88,,
35.5,,
37.25,,
37.0,,
37.25,,
36.5,,
36.13,,
36.5,,
36.75,,
37.13,,
38.0,,
37.13,,
37.5,,
38.0,,
37.63,,
38.5,,
38.0,,
37.5,,
37.75,,
36.38,,
37.0,,
36.75,,
36.25,,
35.38,,
35.88,,
35.88,,
35.88,,
36.38,,
35.25,,
34.88,,
34.25,,
33.0,,
33.5,,
33.38,,
32.63,,
33.75,,
34.38,,
34.5,,
34.63,,
34.25,,
34.63,,
34.88,,
34.88,,
35.0,,
34.75,,
34.38,,
34.75,,
34.38,,
34.38,,
34.0,,
33.75,,
32.63,,
32.63,,
32.63,,
33.13,,
33.63,,
33.88,,
33.75,,
34.13,,
34.63,,
35.0,,
35.0,,
34.63,,
34.75,,
34.13,,
33.75,,
33.38,,
33.13,,
32.5,,
32.75,,
32.63,,
32.88,,
33.0,,
33.25,,
32.25,,
32.38,,
32.38,,
32.13,,
32.5,,
32.5,,
32.25,,
31.5,,
30.88,,
30.25,,
29.5,,
29.5,,
29.0,,
29.25,,
30.0,,
29.5,,
29.5,,
29.13,,
29.0,,
29.63,,
29.5,,
29.63,,
29.38,,
29.13,,
29.5,,
30.0,,
30.0,,
29.88,,
29.88,,
30.13,,
29.75,,
30.25,,
30.5,,
31.38,,
31.25,,
31.13,,
30.25,,
30.88,,
31.0,,
28.63,,
29.13,,
29.38,,
29.0,,
29.25,,
29.25,,
29.38,,
29.88,,
30.75,,
30.88,,
30.5,,
30.75,,
30.5,,
30.75,,
31.0,,
31.0,,
31.13,,
30.88,,
31.0,,
31.5,,
31.63,,
31.13,,
31.13,,
31.5,,
31.38,,
31.5,,
31.88,,
31.38,,
31.75,,
31.63,,
32.75,,
32.38,,
32.13,,
31.75,,
31.88,,
32.0,,
31.75,,
31.88,,
31.75,,
31.88,,
31.5,,
31.0,,
31.0,,
30.88,,
31.13,,
31.25,,
31.25,,
31.5,,
31.75,,
31.63,,
31.13,,
30.13,,
31.13,,
31.25,,
31.38,,
31.38,,
30.63,,
31.0,,
31.25,,
31.5,,
30.5,,
30.38,,
30.0,,
29.63,,
27.88,,
28.38,,
29.25,,
29.5,,
29.5,,
29.38,,
29.25,,
28.75,,
28.75,,
29.0,,
29.5,,
29.38,,
29.38,,
29.38,,
28.88,,
28.25,,
28.25,,
28.0,,
27.75,,
27.63,,
26.63,,
25.63,,
25.75,,
26.13,,
27.5,,
28.5,,
27.38,,
27.88,,
26.5,,
26.5,,
26.13,,
26.75,,
26.88,,
26.75,,
26.63,,
26.38,,
25.88,,
25.75,,
25.88,,
26.0,,
26.13,,
26.13,,
25.88,,
26.13,,
26.63,,
26.25,,
26.0,,
25.63,,
26.25,,
26.13,,
26.13,,
26.25,,
25.75,,
25.5,,
25.63,,
25.38,,
26.25,,
26.38,,
26.63,,
26.88,,
26.88,,
27.0,,
26.0,,
25.25,,
25.63,,
25.88,,
26.13,,
26.5,,
26.5,,
26.88,,
26.63,,
25.75,,
25.63,,
25.75,,
25.75,,
25.25,,
25.25,,
25.25,,
25.38,,
25.25,,
25.63,,
25.63,,
25.25,,
27.0,,
26.88,,
27.25,,
28.38,,
28.0,,
28.0,,
27.88,,
27.5,,
27.75,,
27.63,,
27.5,,
27.13,,
27.25,,
27.5,,
27.25,,
26.63,,
26.75,,
27.5,,
27.5,,
27.25,,
27.63,,
29.63,,
29.63,,
29.38,,
29.75,,
29.75,,
29.63,,
29.75,,
29.25,,
28.63,,
29.75,,
30.0,,
30.0,,
30.63,,
30.38,,
30.75,,
30.75,,
30.75,,
30.25,,
31.88,,
31.5,,
31.63,,
32.0,,
32.63,,
32.63,,
32.0,,
31.5,,
31.0,,
31.0,,
31.38,,
32.75,,
32.25,,
32.25,,
32.0,,
31.63,,
30.88,,
30.63,,
30.63,,
30.25,,
30.13,,
30.0,,
30.38,,
30.75,,
30.25,,
30.5,,
30.38,,
30.13,,
30.0,,
30.13,,
30.38,,
30.5,,
30.5,,
30.0,,
30.0,,
30.0,,
30.13,,
30.38,,
30.0,,
30.13,,
29.88,,
29.63,,
29.0,,
28.63,,
28.38,,
28.25,,
28.5,,
28.63,,
28.38,,
28.25,,
27.75,,
28.5,,
28.75,,
28.88,,
28.63,,
25.38,,
24.63,,
25.0,,
24.63,,
24.38,,
24.25,,
23.75,,
25.88,,
26.5,,
26.13,,
26.38,,
26.38,,
26.25,,
26.25,,
26.25,,
26.25,,
26.25,,
26.5,,
26.5,,
27.13,,
27.0,,
26.75,,
26.63,,
26.88,,
26.88,,
26.88,,
