date,COO,dcf,Deviation
1989-09-19,4.5,,
1989-09-20,4.5,,
1989-09-21,4.5,,
1989-09-22,4.5,,
1989-09-25,4.88,,
1989-09-26,4.88,,
1989-09-27,4.69,,
1989-09-28,4.5,,
1989-09-29,4.5,,
1989-10-02,4.5,,
1989-10-03,4.31,,
1989-10-04,4.31,,
1989-10-05,4.31,,
1989-10-06,4.13,,
1989-10-09,4.31,,
1989-10-10,4.13,,
1989-10-11,4.13,,
1989-10-12,4.13,,
1989-10-13,3.75,,
1989-10-16,3.75,,
1989-10-17,3.75,,
1989-10-18,3.75,,
1989-10-19,3.94,,
1989-10-20,3.75,,
1989-10-23,3.75,,
1989-10-24,3.75,,
1989-10-25,3.56,,
1989-10-26,3.38,,
1989-10-27,3.56,,
1989-10-30,3.38,,
1989-10-31,3.75,,
1989-11-01,3.56,,
1989-11-02,3.38,,
1989-11-03,3.38,,
1989-11-06,3.38,,
1989-11-07,3.38,,
1989-11-08,3.38,,
1989-11-09,3.38,,
1989-11-10,3.75,,
1989-11-13,4.13,,
1989-11-14,3.94,,
1989-11-15,3.75,,
1989-11-16,3.75,,
1989-11-17,3.75,,
1989-11-20,3.94,,
1989-11-21,3.94,,
1989-11-22,3.94,,
1989-11-24,3.94,,
1989-11-27,4.13,,
1989-11-28,4.88,,
1989-11-29,4.69,,
1989-11-30,4.88,,
1989-12-01,4.5,,
1989-12-04,4.5,,
1989-12-05,4.5,,
1989-12-06,4.69,,
1989-12-07,4.5,,
1989-12-08,4.69,,
1989-12-11,4.5,,
1989-12-12,4.5,,
1989-12-13,4.69,,
1989-12-14,4.69,,
1989-12-15,4.69,,
1989-12-18,4.5,,
1989-12-19,4.5,,
1989-12-20,4.5,,
1989-12-21,4.5,,
1989-12-22,4.5,,
1989-12-26,4.13,,
1989-12-27,4.5,,
1989-12-28,4.5,,
1989-12-29,4.88,,
1990-01-02,5.06,,
1990-01-03,5.06,,
1990-01-04,5.25,,
1990-01-05,6.0,,
1990-01-08,5.81,,
1990-01-09,6.19,,
1990-01-10,6.38,,
1990-01-11,6.38,,
1990-01-12,6.38,,
1990-01-15,6.0,,
1990-01-16,6.19,,
1990-01-17,6.38,,
1990-01-18,6.56,,
1990-01-19,6.94,,
1990-01-22,6.56,,
1990-01-23,6.56,,
1990-01-24,6.19,,
1990-01-25,6.38,,
1990-01-26,7.13,,
1990-01-29,7.13,,
1990-01-30,6.75,,
1990-01-31,6.75,,
1990-02-01,6.75,,
1990-02-02,6.75,,
1990-02-05,6.19,,
1990-02-06,6.0,,
1990-02-07,6.38,,
1990-02-08,6.0,,
1990-02-09,6.19,,
1990-02-12,6.0,,
1990-02-13,5.81,,
1990-02-14,5.63,,
1990-02-15,5.63,,
1990-02-16,5.81,,
1990-02-20,5.63,,
1990-02-21,5.63,,
1990-02-22,5.63,,
1990-02-23,5.63,,
1990-02-26,5.63,,
1990-02-27,5.63,,
1990-02-28,5.63,,
1990-03-01,5.63,,
1990-03-02,5.63,,
1990-03-05,5.44,,
1990-03-06,5.63,,
1990-03-07,5.63,,
1990-03-08,5.63,,
1990-03-09,5.44,,
1990-03-12,5.44,,
1990-03-13,5.81,,
1990-03-14,5.81,,
1990-03-15,6.0,,
1990-03-16,6.38,,
1990-03-19,6.94,,
1990-03-20,6.75,,
1990-03-21,6.75,,
1990-03-22,6.56,,
1990-03-23,6.38,,
1990-03-26,6.38,,
1990-03-27,6.19,,
1990-03-28,6.56,,
1990-03-29,6.56,,
1990-03-30,6.75,,
1990-04-02,6.38,,
1990-04-03,6.56,,
1990-04-04,6.56,,
1990-04-05,6.75,,
1990-04-06,6.56,,
1990-04-09,6.75,,
1990-04-10,6.75,,
1990-04-11,6.75,,
1990-04-12,6.94,,
1990-04-16,6.94,,
1990-04-17,6.75,,
1990-04-18,6.56,,
1990-04-19,6.38,,
1990-04-20,6.38,,
1990-04-23,6.0,,
1990-04-24,6.0,,
1990-04-25,6.19,,
1990-04-26,6.0,,
1990-04-27,6.0,,
1990-04-30,6.0,,
1990-05-01,6.0,,
1990-05-02,6.0,,
1990-05-03,6.0,,
1990-05-04,6.0,,
1990-05-07,6.0,,
1990-05-08,6.0,,
1990-05-09,5.81,,
1990-05-10,6.0,,
1990-05-11,6.19,,
1990-05-14,6.19,,
1990-05-15,6.0,,
1990-05-16,6.0,,
1990-05-17,6.0,,
1990-05-18,6.0,,
1990-05-21,6.0,,
1990-05-22,5.81,,
1990-05-23,5.81,,
1990-05-24,5.81,,
1990-05-25,6.0,,
1990-05-29,6.19,,
1990-05-30,6.19,,
1990-05-31,6.19,,
1990-06-01,6.0,,
1990-06-04,6.0,,
1990-06-05,5.81,,
1990-06-06,5.81,,
1990-06-07,5.81,,
1990-06-08,6.0,,
1990-06-11,5.81,,
1990-06-12,6.0,,
1990-06-13,5.81,,
1990-06-14,5.81,,
1990-06-15,5.81,,
1990-06-18,6.0,,
1990-06-19,5.81,,
1990-06-20,5.44,,
1990-06-21,5.44,,
1990-06-22,5.25,,
1990-06-25,5.06,,
1990-06-26,4.88,,
1990-06-27,5.06,,
1990-06-28,5.44,,
1990-06-29,5.81,,
1990-07-02,5.63,,
1990-07-03,5.25,,
1990-07-05,5.44,,
1990-07-06,5.06,,
1990-07-09,5.25,,
1990-07-10,5.06,,
1990-07-11,5.44,,
1990-07-12,5.44,,
1990-07-13,6.19,,
1990-07-16,6.0,,
1990-07-17,6.0,,
1990-07-18,6.0,,
1990-07-19,6.0,,
1990-07-20,6.0,,
1990-07-23,5.81,,
1990-07-24,6.0,,
1990-07-25,5.81,,
1990-07-26,5.63,,
1990-07-27,5.81,,
1990-07-30,5.63,,
1990-07-31,5.81,,
1990-08-01,5.63,,
1990-08-02,5.63,,
1990-08-03,5.63,,
1990-08-06,5.44,,
1990-08-07,5.63,,
1990-08-08,5.25,,
1990-08-09,5.25,,
1990-08-10,5.63,,
1990-08-13,5.63,,
1990-08-14,5.81,,
1990-08-15,5.63,,
1990-08-16,5.63,,
1990-08-17,5.44,,
1990-08-20,5.44,,
1990-08-21,5.25,,
1990-08-22,5.06,,
1990-08-23,4.88,,
1990-08-24,4.88,,
1990-08-27,5.06,,
1990-08-28,5.06,,
1990-08-29,5.06,,
1990-08-30,4.88,,
1990-08-31,5.25,,
1990-09-04,4.69,,
1990-09-05,4.5,,
1990-09-06,4.5,,
1990-09-07,4.31,,
1990-09-10,4.31,,
1990-09-11,4.31,,
1990-09-12,4.13,,
1990-09-13,4.31,,
1990-09-14,4.69,,
1990-09-17,5.06,,
1990-09-18,5.06,,
1990-09-19,4.69,,
1990-09-20,4.5,,
1990-09-21,4.5,,
1990-09-24,4.13,,
1990-09-25,3.94,,
1990-09-26,4.31,,
1990-09-27,4.31,,
1990-09-28,4.13,,
1990-10-01,3.94,,
1990-10-02,4.13,,
1990-10-03,3.94,,
1990-10-04,3.94,,
1990-10-05,3.75,,
1990-10-08,3.75,,
1990-10-09,3.75,,
1990-10-10,3.94,,
1990-10-11,4.13,,
1990-10-12,4.31,,
1990-10-15,4.69,,
1990-10-16,4.5,,
1990-10-17,4.31,,
1990-10-18,4.88,,
1990-10-19,4.69,,
1990-10-22,4.5,,
1990-10-23,4.88,,
1990-10-24,5.25,,
1990-10-25,5.25,,
1990-10-26,5.44,,
1990-10-29,5.25,,
1990-10-30,5.25,,
1990-10-31,5.44,,
1990-11-01,6.0,,
1990-11-02,6.0,,
1990-11-05,5.81,,
1990-11-06,5.81,,
1990-11-07,5.63,,
1990-11-08,6.0,,
1990-11-09,6.38,,
1990-11-12,6.0,,
1990-11-13,6.0,,
1990-11-14,6.0,,
1990-11-15,5.81,,
1990-11-16,6.0,,
1990-11-19,5.81,,
1990-11-20,5.81,,
1990-11-21,5.63,,
1990-11-23,5.44,,
1990-11-26,5.44,,
1990-11-27,5.81,,
1990-11-28,6.0,,
1990-11-29,5.81,,
1990-11-30,5.81,,
1990-12-03,5.81,,
1990-12-04,5.44,,
1990-12-05,5.63,,
1990-12-06,5.63,,
1990-12-07,5.44,,
1990-12-10,5.25,,
1990-12-11,5.44,,
1990-12-12,5.44,,
1990-12-13,5.44,,
1990-12-14,5.25,,
1990-12-17,5.25,,
1990-12-18,4.88,,
1990-12-19,5.44,,
1990-12-20,5.25,,
1990-12-21,5.44,,
1990-12-24,5.44,,
1990-12-26,5.63,,
1990-12-27,5.44,,
1990-12-28,5.44,,
1990-12-31,5.44,,
1991-01-02,6.0,,
1991-01-03,5.81,,
1991-01-04,6.0,,
1991-01-07,6.0,,
1991-01-08,6.0,,
1991-01-09,5.81,,
1991-01-10,5.63,,
1991-01-11,5.81,,
1991-01-14,5.63,,
1991-01-15,5.63,,
1991-01-16,5.63,,
1991-01-17,5.81,,
1991-01-18,6.0,,
1991-01-21,5.81,,
1991-01-22,5.81,,
1991-01-23,5.81,,
1991-01-24,6.0,,
1991-01-25,6.0,,
1991-01-28,5.81,,
1991-01-29,5.63,,
1991-01-30,6.19,,
1991-01-31,6.56,,
1991-02-01,6.94,,
1991-02-04,6.75,,
1991-02-05,6.94,,
1991-02-06,6.75,,
1991-02-07,6.56,,
1991-02-08,7.69,,
1991-02-11,7.69,,
1991-02-12,7.5,,
1991-02-13,7.5,,
1991-02-14,7.5,,
1991-02-15,7.5,,
1991-02-19,7.31,,
1991-02-20,6.75,,
1991-02-21,6.94,,
1991-02-22,6.94,,
1991-02-25,7.13,,
1991-02-26,7.13,,
1991-02-27,6.94,,
1991-02-28,6.94,,
1991-03-01,7.13,,
1991-03-04,7.31,,
1991-03-05,7.5,,
1991-03-06,7.69,,
1991-03-07,7.69,,
1991-03-08,7.13,,
1991-03-11,7.31,,
1991-03-12,6.75,,
1991-03-13,6.94,,
1991-03-14,7.13,,
1991-03-15,6.94,,
1991-03-18,7.13,,
1991-03-19,6.75,,
1991-03-20,6.56,,
1991-03-21,6.75,,
1991-03-22,6.75,,
1991-03-25,6.94,,
1991-03-26,6.94,,
1991-03-27,6.56,,
1991-03-28,7.31,,
1991-04-01,7.88,,
1991-04-02,7.88,,
1991-04-03,8.63,,
1991-04-04,8.44,,
1991-04-05,8.44,,
1991-04-08,8.63,,
1991-04-09,8.25,,
1991-04-10,8.44,,
1991-04-11,8.44,,
1991-04-12,8.44,,
1991-04-15,8.44,,
1991-04-16,8.25,,
1991-04-17,8.25,,
1991-04-18,8.25,,
1991-04-19,7.88,,
1991-04-22,7.31,,
1991-04-23,7.13,,
1991-04-24,7.5,,
1991-04-25,7.5,,
1991-04-26,7.88,,
1991-04-29,7.69,,
1991-04-30,7.5,,
1991-05-01,7.69,,
1991-05-02,7.5,,
1991-05-03,7.5,,
1991-05-06,7.13,,
1991-05-07,7.5,,
1991-05-08,7.31,,
1991-05-09,7.31,,
1991-05-10,7.31,,
1991-05-13,7.5,,
1991-05-14,7.5,,
1991-05-15,7.31,,
1991-05-16,7.31,,
1991-05-17,7.69,,
1991-05-20,8.06,,
1991-05-21,8.44,,
1991-05-22,8.44,,
1991-05-23,8.06,,
1991-05-24,8.06,,
1991-05-28,7.69,,
1991-05-29,7.5,,
1991-05-30,7.31,,
1991-05-31,7.13,,
1991-06-03,7.31,,
1991-06-04,7.13,,
1991-06-05,7.13,,
1991-06-06,7.31,,
1991-06-07,7.31,,
1991-06-10,7.13,,
1991-06-11,6.75,,
1991-06-12,6.75,,
1991-06-13,6.75,,
1991-06-14,7.13,,
1991-06-17,7.13,,
1991-06-18,7.5,,
1991-06-19,7.69,,
1991-06-20,7.5,,
1991-06-21,7.5,,
1991-06-24,7.13,,
1991-06-25,7.31,,
1991-06-26,6.94,,
1991-06-27,7.13,,
1991-06-28,7.13,,
1991-07-01,6.94,,
1991-07-02,6.56,,
1991-07-03,6.56,,
1991-07-05,6.56,,
1991-07-08,6.56,,
1991-07-09,6.19,,
1991-07-10,6.94,,
1991-07-11,6.94,,
1991-07-12,6.94,,
1991-07-15,6.94,,
1991-07-16,6.75,,
1991-07-17,6.38,,
1991-07-18,6.38,,
1991-07-19,6.38,,
1991-07-22,6.75,,
1991-07-23,6.75,,
1991-07-24,6.56,,
1991-07-25,6.75,,
1991-07-26,6.56,,
1991-07-29,6.75,,
1991-07-30,6.94,,
1991-07-31,7.13,,
1991-08-01,6.94,,
1991-08-02,7.13,,
1991-08-05,7.13,,
1991-08-06,6.75,,
1991-08-07,6.75,,
1991-08-08,6.56,,
1991-08-09,6.75,,
1991-08-12,6.94,,
1991-08-13,6.75,,
1991-08-14,6.56,,
1991-08-15,6.56,,
1991-08-16,6.56,,
1991-08-19,6.38,,
1991-08-20,6.38,,
1991-08-21,6.75,,
1991-08-22,6.75,,
1991-08-23,7.13,,
1991-08-26,6.94,,
1991-08-27,6.94,,
1991-08-28,6.75,,
1991-08-29,6.56,,
1991-08-30,6.56,,
1991-09-03,6.75,,
1991-09-04,6.56,,
1991-09-05,6.56,,
1991-09-06,6.56,,
1991-09-09,6.56,,
1991-09-10,6.56,,
1991-09-11,6.56,,
1991-09-12,6.38,,
1991-09-13,6.38,,
1991-09-16,6.38,,
1991-09-17,6.38,,
1991-09-18,6.56,,
1991-09-19,6.56,,
1991-09-20,6.56,,
1991-09-23,6.75,,
1991-09-24,6.75,,
1991-09-25,6.75,,
1991-09-26,6.56,,
1991-09-27,6.38,,
1991-09-30,6.56,,
1991-10-01,6.56,,
1991-10-02,6.56,,
1991-10-03,6.38,,
1991-10-04,6.0,,
1991-10-07,5.81,,
1991-10-08,6.0,,
1991-10-09,6.0,,
1991-10-10,5.81,,
1991-10-11,5.63,,
1991-10-14,5.44,,
1991-10-15,5.63,,
1991-10-16,5.44,,
1991-10-17,5.63,,
1991-10-18,5.63,,
1991-10-21,4.88,,
1991-10-22,5.06,,
1991-10-23,4.88,,
1991-10-24,5.25,,
1991-10-25,5.25,,
1991-10-28,5.06,,
1991-10-29,5.06,,
1991-10-30,4.88,,
1991-10-31,4.69,,
1991-11-01,4.88,,
1991-11-04,5.25,,
1991-11-05,5.06,,
1991-11-06,4.88,,
1991-11-07,4.88,,
1991-11-08,4.69,,
1991-11-11,4.5,,
1991-11-12,5.25,,
1991-11-13,5.81,,
1991-11-14,6.38,,
1991-11-15,5.63,,
1991-11-18,5.81,,
1991-11-19,5.63,,
1991-11-20,5.44,,
1991-11-21,5.81,,
1991-11-22,5.63,,
1991-11-25,6.0,,
1991-11-26,6.19,,
1991-11-27,5.81,,
1991-11-29,6.0,,
1991-12-02,5.63,,
1991-12-03,5.63,,
1991-12-04,5.25,,
1991-12-05,5.44,,
1991-12-06,5.44,,
1991-12-09,5.25,,
1991-12-10,5.44,,
1991-12-11,5.25,,
1991-12-12,5.06,,
1991-12-13,5.06,,
1991-12-16,5.06,,
1991-12-17,5.06,,
1991-12-18,5.06,,
1991-12-19,4.88,,
1991-12-20,4.88,,
1991-12-23,4.88,,
1991-12-24,4.88,,
1991-12-26,4.88,,
1991-12-27,5.06,,
1991-12-30,4.88,,
1991-12-31,5.06,,
1992-01-02,4.88,,
1992-01-03,5.06,,
1992-01-06,4.88,,
1992-01-07,4.88,,
1992-01-08,4.88,,
1992-01-09,5.06,,
1992-01-10,5.44,,
1992-01-13,5.25,,
1992-01-14,5.63,,
1992-01-15,6.0,,
1992-01-16,6.0,,
1992-01-17,6.0,,
1992-01-20,5.81,,
1992-01-21,5.81,,
1992-01-22,6.0,,
1992-01-23,6.0,,
1992-01-24,6.38,,
1992-01-27,6.56,,
1992-01-28,6.56,,
1992-01-29,6.38,,
1992-01-30,6.19,,
1992-01-31,6.56,,
1992-02-03,6.38,,
1992-02-04,6.38,,
1992-02-05,6.0,,
1992-02-06,5.81,,
1992-02-07,5.81,,
1992-02-10,5.44,,
1992-02-11,5.44,,
