date,CPRT,dcf,Deviation
1994-03-17,0.61,,
1994-03-18,0.64,,
1994-03-21,0.64,,
1994-03-22,0.64,,
1994-03-23,0.64,,
1994-03-24,0.64,,
1994-03-25,0.67,,
1994-03-28,0.63,,
1994-03-29,0.59,,
1994-03-30,0.6,,
1994-03-31,0.58,,
1994-04-04,0.57,,
1994-04-05,0.58,,
1994-04-06,0.59,,
1994-04-07,0.61,,
1994-04-08,0.61,,
1994-04-11,0.63,,
1994-04-12,0.62,,
1994-04-13,0.62,,
1994-04-14,0.61,,
1994-04-15,0.61,,
1994-04-18,0.6,,
1994-04-19,0.59,,
1994-04-20,0.58,,
1994-04-21,0.58,,
1994-04-22,0.58,,
1994-04-25,0.58,,
1994-04-26,0.6,,
1994-04-28,0.61,,
1994-04-29,0.6,,
1994-05-02,0.63,,
1994-05-03,0.65,,
1994-05-04,0.66,,
1994-05-05,0.67,,
1994-05-06,0.66,,
1994-05-09,0.65,,
1994-05-10,0.67,,
1994-05-11,0.65,,
1994-05-12,0.64,,
1994-05-13,0.66,,
1994-05-16,0.64,,
1994-05-17,0.64,,
1994-05-18,0.64,,
1994-05-19,0.64,,
1994-05-20,0.64,,
1994-05-23,0.64,,
1994-05-24,0.64,,
1994-05-25,0.65,,
1994-05-26,0.65,,
1994-05-27,0.64,,
1994-05-31,0.66,,
1994-06-01,0.65,,
1994-06-02,0.68,,
1994-06-03,0.69,,
1994-06-06,0.71,,
1994-06-07,0.7,,
1994-06-08,0.69,,
1994-06-09,0.63,,
1994-06-10,0.64,,
1994-06-13,0.65,,
1994-06-14,0.65,,
1994-06-15,0.66,,
1994-06-16,0.66,,
1994-06-17,0.64,,
1994-06-20,0.66,,
1994-06-21,0.63,,
1994-06-22,0.63,,
1994-06-23,0.61,,
1994-06-24,0.59,,
1994-06-27,0.59,,
1994-06-28,0.62,,
1994-06-29,0.62,,
1994-06-30,0.63,,
1994-07-01,0.64,,
1994-07-05,0.62,,
1994-07-06,0.61,,
1994-07-07,0.61,,
1994-07-08,0.61,,
1994-07-11,0.59,,
1994-07-12,0.59,,
1994-07-13,0.61,,
1994-07-14,0.61,,
1994-07-15,0.61,,
1994-07-18,0.61,,
1994-07-19,0.61,,
1994-07-20,0.61,,
1994-07-21,0.61,,
1994-07-22,0.6,,
1994-07-25,0.6,,
1994-07-26,0.61,,
1994-07-27,0.6,,
1994-07-28,0.6,,
1994-07-29,0.6,,
1994-08-01,0.61,,
1994-08-02,0.61,,
1994-08-03,0.62,,
1994-08-04,0.6,,
1994-08-05,0.59,,
1994-08-08,0.59,,
1994-08-09,0.59,,
1994-08-10,0.59,,
1994-08-11,0.59,,
1994-08-12,0.59,,
1994-08-15,0.59,,
1994-08-16,0.58,,
1994-08-17,0.59,,
1994-08-18,0.6,,
1994-08-19,0.61,,
1994-08-22,0.61,,
1994-08-23,0.6,,
1994-08-24,0.61,,
1994-08-25,0.61,,
1994-08-26,0.61,,
1994-08-29,0.65,,
1994-08-30,0.63,,
1994-08-31,0.65,,
1994-09-01,0.63,,
1994-09-02,0.63,,
1994-09-06,0.64,,
1994-09-07,0.65,,
1994-09-08,0.63,,
1994-09-09,0.63,,
1994-09-12,0.64,,
1994-09-13,0.64,,
1994-09-14,0.63,,
1994-09-15,0.62,,
1994-09-16,0.61,,
1994-09-19,0.61,,
1994-09-20,0.61,,
1994-09-21,0.61,,
1994-09-22,0.61,,
1994-09-23,0.61,,
1994-09-26,0.61,,
1994-09-27,0.62,,
1994-09-28,0.65,,
1994-09-29,0.63,,
1994-09-30,0.66,,
1994-10-03,0.65,,
1994-10-04,0.65,,
1994-10-05,0.66,,
1994-10-06,0.65,,
1994-10-07,0.64,,
1994-10-10,0.64,,
1994-10-11,0.68,,
1994-10-12,0.68,,
1994-10-13,0.69,,
1994-10-14,0.68,,
1994-10-17,0.69,,
1994-10-18,0.69,,
1994-10-19,0.68,,
1994-10-20,0.69,,
1994-10-21,0.71,,
1994-10-24,0.72,,
1994-10-25,0.73,,
1994-10-26,0.75,,
1994-10-27,0.76,,
1994-10-28,0.76,,
1994-10-31,0.78,,
1994-11-01,0.78,,
1994-11-02,0.75,,
1994-11-03,0.74,,
1994-11-04,0.72,,
1994-11-07,0.71,,
1994-11-08,0.72,,
1994-11-09,0.72,,
1994-11-10,0.73,,
1994-11-11,0.73,,
1994-11-14,0.74,,
1994-11-15,0.74,,
1994-11-16,0.73,,
1994-11-17,0.73,,
1994-11-18,0.73,,
1994-11-21,0.74,,
1994-11-22,0.73,,
1994-11-23,0.72,,
1994-11-25,0.72,,
1994-11-28,0.72,,
1994-11-29,0.72,,
1994-11-30,0.71,,
1994-12-01,0.71,,
1994-12-02,0.73,,
1994-12-05,0.73,,
1994-12-06,0.73,,
1994-12-07,0.73,,
1994-12-08,0.7,,
1994-12-09,0.71,,
1994-12-12,0.7,,
1994-12-13,0.71,,
1994-12-14,0.71,,
1994-12-15,0.7,,
1994-12-16,0.69,,
1994-12-19,0.67,,
1994-12-20,0.65,,
1994-12-21,0.66,,
1994-12-22,0.66,,
1994-12-23,0.67,,
1994-12-27,0.68,,
1994-12-28,0.68,,
1994-12-29,0.69,,
1994-12-30,0.73,,
1995-01-03,0.73,,
1995-01-04,0.73,,
1995-01-05,0.73,,
1995-01-06,0.73,,
1995-01-09,0.72,,
1995-01-10,0.71,,
1995-01-11,0.7,,
1995-01-12,0.71,,
1995-01-13,0.71,,
1995-01-16,0.76,,
1995-01-17,0.81,,
1995-01-18,0.81,,
1995-01-19,0.8,,
1995-01-20,0.79,,
1995-01-23,0.79,,
1995-01-24,0.8,,
1995-01-25,0.79,,
1995-01-26,0.76,,
1995-01-27,0.77,,
1995-01-30,0.77,,
1995-01-31,0.77,,
1995-02-01,0.75,,
1995-02-02,0.77,,
1995-02-03,0.77,,
1995-02-06,0.76,,
1995-02-07,0.78,,
1995-02-08,0.76,,
1995-02-09,0.77,,
1995-02-10,0.8,,
1995-02-13,0.8,,
1995-02-14,0.8,,
1995-02-15,0.8,,
1995-02-16,0.81,,
1995-02-17,0.81,,
1995-02-21,0.8,,
1995-02-22,0.81,,
1995-02-23,0.81,,
1995-02-24,0.81,,
1995-02-27,0.79,,
1995-02-28,0.79,,
1995-03-01,0.78,,
1995-03-02,0.78,,
1995-03-03,0.79,,
1995-03-06,0.78,,
1995-03-07,0.78,,
1995-03-08,0.78,,
1995-03-09,0.79,,
1995-03-10,0.79,,
1995-03-13,0.77,,
1995-03-14,0.77,,
1995-03-15,0.79,,
1995-03-16,0.79,,
1995-03-17,0.77,,
1995-03-20,0.77,,
1995-03-21,0.79,,
1995-03-22,0.78,,
1995-03-23,0.79,,
1995-03-24,0.8,,
1995-03-27,0.79,,
1995-03-28,0.8,,
1995-03-29,0.78,,
1995-03-30,0.78,,
1995-03-31,0.79,,
1995-04-03,0.79,,
1995-04-04,0.8,,
1995-04-05,0.8,,
1995-04-06,0.79,,
1995-04-07,0.79,,
1995-04-10,0.77,,
1995-04-11,0.8,,
1995-04-12,0.81,,
1995-04-13,0.82,,
1995-04-17,0.82,,
1995-04-18,0.81,,
1995-04-19,0.79,,
1995-04-20,0.8,,
1995-04-21,0.79,,
1995-04-24,0.8,,
1995-04-25,0.8,,
1995-04-26,0.79,,
1995-04-27,0.8,,
1995-04-28,0.85,,
1995-05-01,0.87,,
1995-05-02,0.88,,
1995-05-03,0.86,,
1995-05-04,0.86,,
1995-05-05,0.89,,
1995-05-08,0.92,,
1995-05-09,0.93,,
1995-05-10,0.91,,
1995-05-11,0.91,,
1995-05-12,0.86,,
1995-05-15,0.84,,
1995-05-16,0.82,,
1995-05-17,0.8,,
1995-05-18,0.84,,
1995-05-19,0.84,,
1995-05-22,0.87,,
1995-05-23,0.86,,
1995-05-24,0.84,,
1995-05-25,0.83,,
1995-05-26,0.84,,
1995-05-30,0.84,,
1995-05-31,0.88,,
1995-06-01,0.88,,
1995-06-02,0.9,,
1995-06-05,0.91,,
1995-06-06,0.93,,
1995-06-07,0.92,,
1995-06-08,0.91,,
1995-06-09,0.91,,
1995-06-12,0.94,,
1995-06-13,0.97,,
1995-06-14,0.93,,
1995-06-15,0.93,,
1995-06-16,0.93,,
1995-06-19,0.9,,
1995-06-20,0.91,,
1995-06-21,0.92,,
1995-06-22,0.91,,
1995-06-23,0.93,,
1995-06-26,0.94,,
1995-06-27,0.93,,
1995-06-28,0.94,,
1995-06-29,0.92,,
1995-06-30,0.95,,
1995-07-03,0.95,,
1995-07-05,0.95,,
1995-07-06,0.94,,
1995-07-07,0.94,,
1995-07-10,0.95,,
1995-07-11,0.97,,
1995-07-12,0.97,,
1995-07-13,0.96,,
1995-07-14,0.96,,
1995-07-17,0.95,,
1995-07-18,0.94,,
1995-07-19,0.93,,
1995-07-20,0.94,,
1995-07-21,0.93,,
1995-07-24,0.94,,
1995-07-25,0.93,,
1995-07-26,0.94,,
1995-07-27,0.94,,
1995-07-28,0.93,,
1995-07-31,0.86,,
1995-08-01,0.88,,
1995-08-02,0.93,,
1995-08-03,0.97,,
1995-08-04,0.97,,
1995-08-07,0.97,,
1995-08-08,0.96,,
1995-08-09,0.95,,
1995-08-10,0.94,,
1995-08-11,0.93,,
1995-08-14,0.92,,
1995-08-15,0.92,,
1995-08-16,0.92,,
1995-08-17,0.92,,
1995-08-18,0.91,,
1995-08-21,0.93,,
1995-08-22,0.91,,
1995-08-23,0.9,,
1995-08-24,0.88,,
1995-08-25,0.89,,
1995-08-28,0.89,,
1995-08-29,0.88,,
1995-08-30,0.89,,
1995-08-31,0.92,,
1995-09-01,0.91,,
1995-09-05,0.92,,
1995-09-06,0.91,,
1995-09-07,0.91,,
1995-09-08,0.9,,
1995-09-11,0.9,,
1995-09-12,0.91,,
1995-09-13,0.92,,
1995-09-14,0.92,,
1995-09-15,0.92,,
1995-09-18,0.92,,
1995-09-19,0.91,,
1995-09-20,0.92,,
1995-09-21,0.95,,
1995-09-22,0.99,,
1995-09-25,0.98,,
1995-09-26,0.99,,
1995-09-27,0.99,,
1995-09-28,0.97,,
1995-09-29,0.95,,
1995-10-02,0.96,,
1995-10-03,0.97,,
1995-10-04,0.97,,
1995-10-05,0.95,,
1995-10-06,0.94,,
1995-10-09,0.91,,
1995-10-10,0.88,,
1995-10-11,0.81,,
1995-10-12,0.82,,
1995-10-13,0.93,,
1995-10-16,0.96,,
1995-10-17,0.97,,
1995-10-18,0.98,,
1995-10-19,0.94,,
1995-10-20,0.95,,
1995-10-23,0.96,,
1995-10-24,0.96,,
1995-10-25,0.92,,
1995-10-26,0.89,,
1995-10-27,0.89,,
1995-10-30,0.93,,
1995-10-31,0.95,,
1995-11-01,0.94,,
1995-11-02,0.96,,
1995-11-03,0.97,,
1995-11-06,0.97,,
1995-11-07,0.98,,
1995-11-08,0.95,,
1995-11-09,0.95,,
1995-11-10,0.93,,
1995-11-13,0.93,,
1995-11-14,0.9,,
1995-11-15,0.87,,
1995-11-16,0.85,,
1995-11-17,0.88,,
1995-11-20,0.87,,
1995-11-21,0.85,,
1995-11-22,0.85,,
1995-11-24,0.86,,
1995-11-27,0.89,,
1995-11-28,0.88,,
1995-11-29,0.9,,
1995-11-30,0.99,,
1995-12-01,0.92,,
1995-12-04,0.91,,
1995-12-05,0.91,,
1995-12-06,0.94,,
1995-12-07,0.98,,
1995-12-08,0.98,,
1995-12-11,0.99,,
1995-12-12,1.06,,
1995-12-13,1.04,,
1995-12-14,0.94,,
1995-12-15,0.99,,
1995-12-18,0.98,,
1995-12-19,1.0,,
1995-12-20,1.03,,
1995-12-21,1.03,,
1995-12-22,1.03,,
1995-12-26,1.04,,
1995-12-27,1.04,,
1995-12-28,1.08,,
1995-12-29,1.09,,
1996-01-02,1.15,,
1996-01-03,1.13,,
1996-01-04,1.07,,
1996-01-05,1.06,,
1996-01-08,1.06,,
1996-01-09,1.07,,
1996-01-10,1.05,,
1996-01-11,1.03,,
1996-01-12,1.03,,
1996-01-15,1.05,,
1996-01-16,1.17,,
1996-01-17,1.2,,
1996-01-18,1.18,,
1996-01-19,1.17,,
1996-01-22,1.16,,
1996-01-23,1.15,,
1996-01-24,1.19,,
1996-01-25,1.2,,
1996-01-26,1.2,,
1996-01-29,1.24,,
1996-01-30,1.23,,
1996-01-31,1.24,,
1996-02-01,1.24,,
1996-02-02,1.23,,
1996-02-05,1.24,,
1996-02-06,1.21,,
1996-02-07,1.22,,
1996-02-08,1.22,,
1996-02-09,1.15,,
