DFS,dcf,Deviation
28.75,,
29.08,,
29.93,,
29.7,,
29.81,,
31.21,,
31.7,,
31.3,,
30.41,,
29.58,,
29.5,,
28.5,,
27.5,,
26.67,,
25.93,,
25.64,,
25.54,,
24.9,,
25.21,,
26.34,,
27.16,,
26.84,,
26.5,,
26.36,,
26.71,,
26.3,,
26.12,,
25.0,,
24.1,,
24.62,,
23.33,,
23.57,,
23.05,,
22.88,,
23.37,,
21.99,,
22.15,,
22.88,,
24.29,,
22.16,,
20.86,,
22.1,,
21.96,,
21.66,,
22.85,,
23.18,,
23.45,,
23.67,,
23.73,,
23.7,,
23.99,,
23.83,,
22.71,,
23.33,,
22.76,,
23.14,24.248353035658045,-0.04570838415409795
23.43,23.36835303565805,0.0026380534498038344
22.55,23.098353035658047,-0.02373991924062835
22.28,21.92835303565805,0.01603617762675258
21.11,21.378353035658048,-0.012552558899670552
20.56,21.42835303565805,-0.04052355466670998
20.61,21.81835303565805,-0.05538241285596679
21.0,22.158353035658045,-0.05227613414200871
21.34,22.08835303565805,-0.033879983466850394
21.27,22.13835303565805,-0.03922392213455994
21.32,23.908353035658045,-0.10826145288208078
23.09,24.22835303565805,-0.0469843341799866
23.41,23.47835303565805,-0.0029113215715871332
22.66,23.218353035658048,-0.024047917386756268
22.4,23.07835303565805,-0.02939347684862681
22.26,22.538353035658048,-0.012350194143186166
21.72,22.06835303565805,-0.015785185015627645
21.25,21.48835303565805,-0.01109219656166871
20.67,21.61835303565805,-0.043867959510782484
20.8,22.38835303565805,-0.07094550604630323
21.57,22.18835303565805,-0.027868361147144083
21.37,22.16835303565805,-0.036013186652787854
21.35,22.83835303565805,-0.06516901780676776
22.02,23.548353035658046,-0.06490275703543857
22.73,23.468353035658048,-0.031461646862742665
22.65,23.848353035658047,-0.050248880242013794
23.03,23.468353035658048,-0.018678474582004445
22.65,22.848353035658047,-0.008681283738416035
22.03,22.948353035658045,-0.040018254653441554
22.13,22.198353035658045,-0.00307919400814316
21.38,21.748353035658045,-0.016937054270459218
20.93,21.598353035658047,-0.030944629646280086
20.78,21.348353035658047,-0.026622804799448896
20.53,20.61835303565805,-0.0042851645572877795
19.8,20.498353035658045,-0.03406873881248995
19.68,20.22835303565805,-0.027108140474482845
19.41,19.208353035658046,0.010497878915887382
18.39,18.378353035658048,0.0006337327571930285
17.56,19.748353035658045,-0.1108119260227276
18.93,20.308353035658044,-0.06787123668954786
19.49,20.958353035658046,-0.07006051635640576
20.14,20.11835303565805,0.001075980936589671
19.3,19.33835303565805,-0.0019832627725498986
18.52,18.998353035658045,-0.025178658105796003
18.18,18.968353035658048,-0.041561491088659475
18.15,19.058353035658044,-0.04766167537974153
18.24,18.07835303565805,0.008941465188953446
17.26,18.51835303565805,-0.06795167114672795
17.7,18.63835303565805,-0.05034527642344988
17.82,18.82835303565805,-0.05355503127375949
18.01,19.81835303565805,-0.091246383208755
19.0,19.108353035658045,-0.005670453934771169
18.29,18.498353035658045,-0.011263328970769315
17.68,18.57835303565805,-0.04835482639035937
17.76,17.558353035658044,0.01148438944885366
