date,DLTR,dcf,Deviation
1995-03-07,1.17,,
1995-03-08,1.09,,
1995-03-09,1.11,,
1995-03-10,1.16,,
1995-03-13,1.15,,
1995-03-14,1.17,,
1995-03-15,1.2,,
1995-03-16,1.17,,
1995-03-17,1.17,,
1995-03-20,1.17,,
1995-03-21,1.18,,
1995-03-22,1.19,,
1995-03-23,1.19,,
1995-03-24,1.19,,
1995-03-27,1.27,,
1995-03-28,1.33,,
1995-03-29,1.28,,
1995-03-30,1.32,,
1995-03-31,1.35,,
1995-04-03,1.45,,
1995-04-04,1.38,,
1995-04-05,1.44,,
1995-04-06,1.42,,
1995-04-07,1.42,,
1995-04-10,1.42,,
1995-04-11,1.43,,
1995-04-12,1.4,,
1995-04-13,1.43,,
1995-04-17,1.4,,
1995-04-18,1.38,,
1995-04-19,1.43,,
1995-04-20,1.37,,
1995-04-21,1.37,,
1995-04-24,1.37,,
1995-04-25,1.35,,
1995-04-26,1.34,,
1995-04-27,1.4,,
1995-04-28,1.48,,
1995-05-01,1.53,,
1995-05-02,1.58,,
1995-05-03,1.61,,
1995-05-04,1.61,,
1995-05-05,1.61,,
1995-05-08,1.59,,
1995-05-09,1.59,,
1995-05-10,1.61,,
1995-05-11,1.56,,
1995-05-12,1.66,,
1995-05-15,1.66,,
1995-05-16,1.69,,
1995-05-17,1.69,,
1995-05-18,1.55,,
1995-05-19,1.58,,
1995-05-22,1.53,,
1995-05-23,1.58,,
1995-05-24,1.45,,
1995-05-25,1.45,,
1995-05-26,1.5,,
1995-05-30,1.45,,
1995-05-31,1.48,,
1995-06-01,1.45,,
1995-06-02,1.47,,
1995-06-05,1.5,,
1995-06-06,1.5,,
1995-06-07,1.56,,
1995-06-08,1.65,,
1995-06-09,1.63,,
1995-06-12,1.65,,
1995-06-13,1.63,,
1995-06-14,1.63,,
1995-06-15,1.63,,
1995-06-16,1.65,,
1995-06-19,1.57,,
1995-06-20,1.6,,
1995-06-21,1.58,,
1995-06-22,1.58,,
1995-06-23,1.65,,
1995-06-26,1.64,,
1995-06-27,1.68,,
1995-06-28,1.7,,
1995-06-29,1.7,,
1995-06-30,1.74,,
1995-07-03,1.74,,
1995-07-05,1.76,,
1995-07-06,1.8,,
1995-07-07,1.8,,
1995-07-10,1.78,,
1995-07-11,1.91,,
1995-07-12,1.91,,
1995-07-13,1.99,,
1995-07-14,1.99,,
1995-07-17,1.98,,
1995-07-18,2.01,,
1995-07-19,1.93,,
1995-07-20,1.91,,
1995-07-21,1.93,,
1995-07-24,1.93,,
1995-07-25,1.91,,
1995-07-26,1.96,,
1995-07-27,1.98,,
1995-07-28,1.93,,
1995-07-31,1.99,,
1995-08-01,2.01,,
1995-08-02,1.96,,
1995-08-03,1.97,,
1995-08-04,1.93,,
1995-08-07,1.89,,
1995-08-08,1.92,,
1995-08-09,1.91,,
1995-08-10,1.92,,
1995-08-11,1.86,,
1995-08-14,1.79,,
1995-08-15,1.81,,
1995-08-16,1.79,,
1995-08-17,1.82,,
1995-08-18,1.98,,
1995-08-21,2.01,,
1995-08-22,2.01,,
1995-08-23,1.92,,
1995-08-24,1.97,,
1995-08-25,1.98,,
1995-08-28,1.94,,
1995-08-29,1.94,,
1995-08-30,1.94,,
1995-08-31,1.96,,
1995-09-01,1.96,,
1995-09-05,1.99,,
1995-09-06,2.01,,
1995-09-07,1.98,,
1995-09-08,1.99,,
1995-09-11,2.02,,
1995-09-12,1.99,,
1995-09-13,1.99,,
1995-09-14,2.03,,
1995-09-15,2.08,,
1995-09-18,2.04,,
1995-09-19,2.21,,
1995-09-20,2.21,,
1995-09-21,2.29,,
1995-09-22,2.2,,
1995-09-25,2.19,,
1995-09-26,2.2,,
1995-09-27,2.04,,
1995-09-28,2.14,,
1995-09-29,2.24,,
1995-10-02,2.26,,
1995-10-03,2.11,,
1995-10-04,1.99,,
1995-10-05,2.01,,
1995-10-06,2.02,,
1995-10-09,1.98,,
1995-10-10,1.94,,
1995-10-11,1.98,,
1995-10-12,1.98,,
1995-10-13,2.01,,
1995-10-16,1.98,,
1995-10-17,1.92,,
1995-10-18,1.94,,
1995-10-19,1.94,,
1995-10-20,1.94,,
1995-10-23,1.91,,
1995-10-24,1.88,,
1995-10-25,1.88,,
1995-10-26,1.88,,
1995-10-27,1.77,,
1995-10-30,1.79,,
1995-10-31,1.78,,
1995-11-01,1.75,,
1995-11-02,1.8,,
1995-11-03,1.81,,
1995-11-06,1.78,,
1995-11-07,1.78,,
1995-11-08,1.78,,
1995-11-09,1.77,,
1995-11-10,1.71,,
1995-11-13,1.68,,
1995-11-14,1.7,,
1995-11-15,1.71,,
1995-11-16,1.7,,
1995-11-17,1.78,,
1995-11-20,1.77,,
1995-11-21,1.78,,
1995-11-22,1.78,,
1995-11-24,1.78,,
1995-11-27,1.73,,
1995-11-28,1.75,,
1995-11-29,1.74,,
1995-11-30,1.84,,
1995-12-01,1.88,,
1995-12-04,1.91,,
1995-12-05,1.98,,
1995-12-06,1.94,,
1995-12-07,1.95,,
1995-12-08,1.88,,
1995-12-11,1.88,,
1995-12-12,1.88,,
1995-12-13,1.88,,
1995-12-14,1.88,,
1995-12-15,1.86,,
1995-12-18,1.74,,
1995-12-19,1.57,,
1995-12-20,1.56,,
1995-12-21,1.53,,
1995-12-22,1.45,,
1995-12-26,1.49,,
1995-12-27,1.64,,
1995-12-28,1.68,,
1995-12-29,1.63,,
1996-01-02,1.65,,
1996-01-03,1.68,,
1996-01-04,1.83,,
1996-01-05,1.89,,
1996-01-08,1.85,,
1996-01-09,1.83,,
1996-01-10,1.82,,
1996-01-11,1.79,,
1996-01-12,1.85,,
1996-01-15,1.85,,
1996-01-16,1.94,,
1996-01-17,2.04,,
1996-01-18,2.09,,
1996-01-19,2.06,,
1996-01-22,2.09,,
1996-01-23,2.27,,
1996-01-24,2.35,,
1996-01-25,2.34,,
1996-01-26,2.37,,
1996-01-29,2.3,,
1996-01-30,2.3,,
1996-01-31,2.32,,
1996-02-01,2.26,,
1996-02-02,2.21,,
1996-02-05,2.23,,
1996-02-06,2.37,,
1996-02-07,2.3,,
1996-02-08,2.27,,
1996-02-09,2.3,,
1996-02-12,2.35,,
1996-02-13,2.3,,
1996-02-14,2.3,,
1996-02-15,2.33,,
1996-02-16,2.3,,
1996-02-20,2.29,,
1996-02-21,2.29,,
1996-02-22,2.34,,
1996-02-23,2.3,,
1996-02-26,2.29,,
1996-02-27,2.28,,
1996-02-28,2.29,,
1996-02-29,2.49,,
1996-03-01,2.45,,
1996-03-04,2.62,,
1996-03-05,2.59,,
1996-03-06,2.58,,
