date,DRI,dcf,Deviation
1995-05-09,5.81,,
1995-05-10,6.18,,
1995-05-11,6.33,,
1995-05-12,6.26,,
1995-05-15,6.26,,
1995-05-16,6.26,,
1995-05-17,6.11,,
1995-05-18,6.18,,
1995-05-19,6.18,,
1995-05-22,6.63,,
1995-05-23,6.7,,
1995-05-24,6.56,,
1995-05-25,6.41,,
1995-05-26,6.48,,
1995-05-30,6.63,,
1995-05-31,6.56,,
1995-06-01,6.48,,
1995-06-02,6.41,,
1995-06-05,6.56,,
1995-06-06,6.56,,
1995-06-07,6.56,,
1995-06-08,6.63,,
1995-06-09,6.56,,
1995-06-12,6.56,,
1995-06-13,6.63,,
1995-06-14,6.63,,
1995-06-15,6.7,,
1995-06-16,6.63,,
1995-06-19,6.78,,
1995-06-20,6.7,,
1995-06-21,6.48,,
1995-06-22,6.41,,
1995-06-23,6.48,,
1995-06-26,6.41,,
1995-06-27,6.63,,
1995-06-28,6.7,,
1995-06-29,6.63,,
1995-06-30,6.48,,
1995-07-03,6.56,,
1995-07-05,6.63,,
1995-07-06,6.48,,
1995-07-07,6.63,,
1995-07-10,6.41,,
1995-07-11,6.41,,
1995-07-12,6.26,,
1995-07-13,6.26,,
1995-07-14,6.26,,
1995-07-17,6.18,,
1995-07-18,6.26,,
1995-07-19,6.18,,
1995-07-20,6.18,,
1995-07-21,6.18,,
1995-07-24,6.33,,
1995-07-25,6.33,,
1995-07-26,6.41,,
1995-07-27,6.48,,
1995-07-28,6.33,,
1995-07-31,6.48,,
1995-08-01,6.26,,
1995-08-02,6.26,,
1995-08-03,6.26,,
1995-08-04,6.11,,
1995-08-07,6.26,,
1995-08-08,6.26,,
1995-08-09,6.11,,
1995-08-10,5.96,,
1995-08-11,5.88,,
1995-08-14,5.88,,
1995-08-15,5.88,,
1995-08-16,5.96,,
1995-08-17,6.11,,
1995-08-18,6.33,,
1995-08-21,6.11,,
1995-08-22,6.56,,
1995-08-23,6.33,,
1995-08-24,6.26,,
1995-08-25,6.18,,
1995-08-28,6.18,,
1995-08-29,6.11,,
1995-08-30,6.03,,
1995-08-31,6.11,,
1995-09-01,5.96,,
1995-09-05,6.03,,
1995-09-06,6.48,,
1995-09-07,6.48,,
1995-09-08,6.7,,
1995-09-11,6.93,,
1995-09-12,6.93,,
1995-09-13,6.85,,
1995-09-14,6.85,,
1995-09-15,6.56,,
1995-09-18,6.63,,
1995-09-19,6.78,,
1995-09-20,6.56,,
1995-09-21,6.56,,
1995-09-22,6.56,,
1995-09-25,6.78,,
1995-09-26,6.85,,
1995-09-27,6.85,,
1995-09-28,6.93,,
1995-09-29,6.85,,
1995-10-02,6.85,,
1995-10-03,6.85,,
1995-10-04,6.63,,
1995-10-05,6.78,,
1995-10-06,6.78,,
1995-10-09,6.85,,
1995-10-10,6.93,,
1995-10-11,6.93,,
1995-10-12,7.0,,
1995-10-13,6.93,,
1995-10-16,6.93,,
1995-10-17,6.85,,
1995-10-18,6.85,,
1995-10-19,7.0,,
1995-10-20,7.0,,
1995-10-23,7.08,,
1995-10-24,7.0,,
1995-10-25,6.93,,
1995-10-26,6.78,,
1995-10-27,6.7,,
1995-10-30,6.78,,
1995-10-31,6.78,,
1995-11-01,6.78,,
1995-11-02,7.0,,
1995-11-03,7.0,,
1995-11-06,7.0,,
1995-11-07,7.0,,
1995-11-08,7.08,,
1995-11-09,7.08,,
1995-11-10,6.93,,
