DVA,dcf,Deviation
4.08,,
3.9,,
4.18,,
4.0,,
3.9,,
3.8,,
3.83,,
4.05,,
4.1,,
4.15,,
4.15,,
4.1,,
4.1,,
4.15,,
4.3,,
4.3,,
4.4,,
4.53,,
4.85,,
5.33,,
5.6,,
5.38,,
5.38,,
5.25,,
5.33,,
5.68,,
5.65,,
5.7,,
5.73,,
5.93,,
5.95,,
5.95,,
5.95,,
5.73,,
5.45,,
5.28,,
5.2,,
5.2,,
5.2,,
5.6,,
5.6,,
6.0,,
5.85,,
5.9,,
5.65,,
5.63,,
5.6,,
5.5,,
5.55,,
5.55,,
5.75,,
5.85,,
5.98,,
5.95,,
5.68,,
5.68,,
5.63,,
5.6,,
5.58,,
5.6,,
5.53,,
5.48,,
5.48,,
5.55,,
5.7,,
5.88,,
5.95,,
6.25,,
6.4,,
6.15,,
6.08,,
6.23,,
5.88,,
5.88,,
5.8,,
5.88,,
5.8,,
5.83,,
6.05,,
6.0,,
6.1,,
6.13,,
5.98,,
5.9,,
5.95,,
5.98,,
6.0,,
5.93,,
6.08,,
6.0,,
5.9,,
5.88,,
5.93,,
5.95,,
5.93,,
5.95,,
5.95,,
5.93,,
5.88,,
5.83,,
5.98,,
6.13,,
6.18,,
6.2,,
6.23,,
6.58,,
6.55,,
6.63,,
7.0,,
7.05,,
7.1,,
7.25,,
7.13,,
7.08,,
7.08,,
7.15,,
7.25,,
7.08,,
7.1,,
7.2,,
7.63,,
8.08,,
7.95,,
7.88,,
7.6,,
7.65,,
7.7,,
7.28,,
7.1,,
7.5,,
7.8,,
7.88,,
7.98,,
8.65,,
9.03,,
8.78,,
8.65,,
8.45,,
8.23,,
8.25,,
8.18,,
8.03,,
7.93,,
8.2,,
8.05,,
7.93,,
8.23,,
8.25,,
8.28,,
8.18,,
7.98,,
8.08,,
7.9,,
7.73,,
7.7,,
7.73,,
7.7,,
7.78,,
7.75,,
7.78,,
7.78,,
7.75,,
7.73,,
7.58,,
7.75,,
7.68,,
7.85,,
8.45,,
8.45,,
8.38,,
8.2,,
8.18,,
7.8,,
7.88,,
7.83,,
7.15,,
7.05,,
6.73,,
6.5,,
6.78,,
6.83,,
7.1,,
6.95,,
6.83,,
6.73,,
6.9,,
7.03,,
7.1,,
7.13,,
7.15,,
6.95,,
7.03,,
7.33,,
7.43,,
7.6,,
7.45,,
7.6,,
7.68,,
7.6,,
7.6,,
7.58,,
7.55,,
7.48,,
7.28,,
7.45,,
7.5,,
7.58,,
7.73,,
7.88,,
7.98,,
8.1,,
8.23,,
8.1,,
8.05,,
7.95,,
7.98,,
7.9,,
7.78,,
7.63,,
7.5,,
7.55,,
7.83,,
7.7,,
7.7,,
7.88,,
7.85,,
7.8,,
7.78,,
7.78,,
7.78,,
7.8,,
8.0,,
7.8,,
8.13,,
8.15,,
8.6,,
8.88,,
9.0,,
8.9,,
8.95,,
9.05,,
9.23,,
8.85,,
8.58,,
8.23,,
8.35,,
8.63,,
8.7,,
8.65,,
8.58,,
8.45,,
8.38,,
8.33,,
7.93,,
7.8,,
7.8,,
7.8,,
7.8,,
7.8,,
7.8,,
7.8,,
7.25,,
7.38,,
7.4,,
7.25,,
7.0,,
6.73,,
7.25,,
7.25,,
6.95,,
6.9,,
6.85,,
6.8,,
6.85,,
6.85,,
6.88,,
6.8,,
6.85,,
6.73,,
6.8,,
7.0,,
6.95,,
6.8,,
6.6,,
6.45,,
6.45,,
6.53,,
6.6,,
6.68,,
6.95,,
6.95,,
6.95,,
6.93,,
6.8,,
6.93,,
7.25,,
7.18,,
7.1,,
6.98,,
6.95,,
6.83,,
6.48,,
6.4,,
6.55,,
6.45,,
6.63,,
6.8,,
6.8,,
6.83,,
6.85,,
6.88,,
6.73,,
6.7,,
6.65,,
6.75,,
7.0,,
7.1,,
7.33,,
7.23,,
6.98,,
7.03,,
7.05,,
7.08,,
7.08,,
6.95,,
6.95,,
7.18,,
7.2,,
7.3,,
7.25,,
7.28,,
7.3,,
7.2,,
7.28,,
6.93,,
6.93,,
6.98,,
6.98,,
6.75,,
6.8,,
6.73,,
6.73,,
6.8,,
6.75,,
6.68,,
6.58,,
6.28,,
6.15,,
6.25,,
6.38,,
6.38,,
6.35,,
6.25,,
6.13,,
6.33,,
6.25,,
6.08,,
6.15,,
5.73,,
5.63,,
5.83,,
5.98,,
5.9,,
5.93,,
5.88,,
5.78,,
5.8,,
6.0,,
5.98,,
5.93,,
5.95,,
6.08,,
6.08,,
6.13,,
6.25,,
6.43,,
6.43,,
6.53,,
6.43,,
6.55,,
6.8,,
7.28,,
7.1,,
7.0,,
7.33,,
7.2,,
7.15,,
7.25,,
7.25,,
6.9,,
6.85,,
6.8,,
6.63,,
6.83,,
6.8,,
7.0,,
6.9,,
6.95,,
6.95,,
7.2,,
7.33,,
7.6,,
7.95,,
7.93,,
7.95,,
7.88,,
7.63,,
7.9,,
7.8,,
7.8,,
7.78,,
7.43,,
7.55,,
7.5,,
7.58,,
7.68,,
7.65,,
7.73,,
7.78,,
7.73,,
8.04,,
8.23,,
8.33,,
8.5,,
8.53,,
8.51,,
8.45,,
8.39,,
8.53,,
8.48,,
8.54,,
8.44,,
8.43,,
8.48,,
8.23,,
8.01,,
8.05,,
7.73,,
7.6,,
7.5,,
7.28,,
7.7,,
8.25,,
8.54,,
8.86,,
9.04,,
9.26,,
9.4,,
9.06,,
9.0,,
8.49,,
8.69,,
8.79,,
8.66,,
8.56,,
8.55,,
8.68,,
8.55,,
8.48,,
8.74,,
8.73,,
9.36,,
9.39,,
9.15,,
9.18,,
9.3,,
9.45,,
9.45,,
9.49,,
9.5,,
9.4,,
9.3,,
9.5,,
9.4,,
9.65,,
9.43,,
9.48,,
9.63,,
10.03,,
9.91,,
9.73,,
9.78,,
9.79,,
9.79,,
10.0,,
10.2,,
10.14,,
9.6,,
9.69,,
9.91,,
9.94,,
9.83,,
9.78,,
10.0,,
10.26,,
10.46,,
10.23,,
10.24,,
10.39,,
10.81,,
10.77,,
10.44,,
10.63,,
9.67,,
9.73,,
10.52,,
9.92,,
10.27,,
11.15,,
10.83,,
10.73,,
10.75,,
10.08,,
10.21,,
10.42,,
9.6,,
9.88,,
10.38,,
10.42,,
10.38,,
9.27,,
9.38,,
9.5,,
9.08,,
8.35,,
8.54,,
8.63,,
8.46,,
8.4,,
8.44,,
8.54,,
9.21,,
9.06,,
9.29,,
9.21,,
9.13,,
9.27,,
9.25,,
9.31,,
9.31,,
9.25,,
9.19,,
9.04,,
9.08,,
9.1,,
9.19,,
9.17,,
9.23,,
9.17,,
9.04,,
9.0,,
8.92,,
8.69,,
8.42,,
8.17,,
7.92,,
8.13,,
8.29,,
8.29,,
8.31,,
8.33,,
8.31,,
8.29,,
8.27,,
8.0,,
7.75,,
7.63,,
8.1,,
8.13,,
8.67,,
9.58,,
9.92,,
9.69,,
9.71,,
9.71,,
9.65,,
9.67,,
9.67,,
9.94,,
9.81,,
9.92,,
9.88,,
10.33,,
10.38,,
10.25,,
10.19,,
10.38,,
10.73,,
11.21,,
11.54,,
10.9,,
10.77,,
10.77,,
10.96,,
11.0,,
11.02,,
11.71,,
11.83,,
11.9,,
11.52,,
11.13,,
11.33,,
11.13,,
11.08,,
11.38,,
11.13,,
11.02,,
10.83,,
10.73,,
11.1,,
10.81,,
11.13,,
11.04,,
10.67,,
10.5,,
10.38,,
10.63,,
10.79,,
10.71,,
10.73,,
10.77,,
10.77,,
10.52,,
10.63,,
10.35,,
10.35,,
10.17,,
10.21,,
10.1,,
10.27,,
11.04,,
10.9,,
11.02,,
11.0,,
10.85,,
10.81,,
10.63,,
10.27,,
10.1,,
10.52,,
10.54,,
10.33,,
10.21,,
10.29,,
10.19,,
10.58,,
10.69,,
10.54,,
10.4,,
10.23,,
10.23,,
10.21,,
10.21,,
10.44,,
10.44,,
10.63,,
10.92,,
11.0,,
10.96,,
10.67,,
11.02,,
11.0,,
11.02,,
11.15,,
10.96,,
10.96,,
11.17,,
11.65,,
12.04,,
11.79,,
11.79,,
11.79,,
11.5,,
11.17,,
11.35,,
11.67,,
11.25,,
11.15,,
11.17,,
10.98,,
10.6,,
10.96,,
11.04,,
11.15,,
11.0,,
11.27,,
11.15,,
11.02,,
10.65,,
10.46,,
10.38,,
10.5,,
10.77,,
10.54,,
10.15,,
9.88,,
8.29,,
8.5,,
8.23,,
8.83,,
8.58,,
8.44,,
8.83,,
8.6,,
8.69,,
8.65,,
8.65,,
8.33,,
8.0,,
7.9,,
7.42,,
7.1,,
6.75,,
6.4,,
6.5,,
6.33,,
6.63,,
6.67,,
7.0,,
7.65,,
8.15,,
8.17,,
7.79,,
7.92,,
7.65,,
7.73,,
8.04,,
8.0,,
8.35,,
8.5,,
8.65,,
9.23,,
9.38,,
9.02,,
9.02,,
8.54,,
8.0,,
7.02,,
6.5,,
6.73,,
7.15,,
7.33,,
7.58,,
7.33,,
7.23,,
7.31,,
7.31,,
7.29,,
7.94,,
8.04,,
8.25,,
7.94,,
7.73,,
7.42,,
7.27,,
7.79,,
7.9,,
8.0,,
8.17,,
8.25,,
8.88,,
9.92,,
9.75,,
10.06,,
9.15,,
9.48,,
8.85,,
8.75,,
8.94,,
9.13,,
8.96,,
8.98,,
9.17,,
9.04,,
8.75,,
8.83,,
8.77,,
8.88,,
8.85,,
8.77,,
8.67,,
8.35,,
8.69,,
8.94,,
8.73,,
8.42,,
8.27,,
8.08,,
7.48,,
7.58,,
7.6,,
8.08,,
7.98,,
8.25,,
8.35,,
8.27,,
8.71,,
9.13,,
9.02,,
9.44,,
9.85,,
9.33,,
8.98,,
8.35,,
8.6,,
8.56,,
8.21,,
8.31,,
8.46,,
8.29,,
8.5,,
8.31,,
8.0,,
7.83,,
8.17,,
7.81,,
7.63,,
7.58,,
7.46,,
7.77,,
8.04,,
8.0,,
8.17,,
7.94,,
7.58,,
7.5,,
7.42,,
7.17,,
7.13,,
6.58,,
6.88,,
7.0,,
2.92,,
3.13,,
3.33,,
3.1,,
2.88,,
3.0,,
2.96,,
2.94,,
2.92,,
2.75,,
2.5,,
2.81,,
2.79,,
2.9,,
3.13,,
3.02,,
3.06,,
3.08,,
3.21,,
3.63,,
3.44,,
3.73,,
3.79,,
3.52,,
3.58,,
3.77,,
3.65,,
3.48,,
3.46,,
3.67,,
3.56,,
3.65,,
3.44,,
3.35,,
3.27,,
3.5,,
3.52,,
3.5,,
3.52,,
3.54,,
3.65,,
3.48,,
3.52,,
3.67,,
3.71,,
4.42,,
4.65,,
4.69,,
4.56,,
4.77,,
4.63,,
4.67,,
4.73,,
4.79,,
4.88,,
4.88,,
5.1,,
4.83,,
5.21,,
5.31,,
5.15,,
4.96,,
4.94,,
4.98,,
5.23,,
5.15,,
5.06,,
4.98,,
5.0,,
5.13,,
5.13,,
4.98,,
4.96,,
4.98,,
5.0,,
5.0,,
4.96,,
4.9,,
4.88,,
5.0,,
4.96,,
4.77,,
4.88,,
4.83,,
4.94,,
4.92,,
4.85,,
4.83,,
4.65,,
4.67,,
4.81,,
5.0,,
5.19,,
5.1,,
5.04,,
4.96,,
4.81,,
4.73,,
4.75,,
4.65,,
4.63,,
4.52,,
4.54,,
4.29,,
2.88,,
2.77,,
3.08,,
3.29,,
3.17,,
3.08,,
3.0,,
2.92,,
2.81,,
2.79,,
2.83,,
2.79,,
2.65,,
2.71,,
2.71,,
2.65,,
2.83,,
2.71,,
2.69,,
2.73,,
2.83,,
2.92,,
2.94,,
2.92,,
3.0,,
2.9,,
2.83,,
2.81,,
2.77,,
2.79,,
2.79,,
2.69,,
2.65,,
2.6,,
2.67,,
2.69,,
2.63,,
2.65,,
2.67,,
2.65,,
2.69,,
2.83,,
2.69,,
2.73,,
2.67,,
2.63,,
2.56,,
2.52,,
2.5,,
2.5,,
2.52,,
2.35,,
2.48,,
2.38,,
2.17,,
2.0,,
2.25,,
2.02,,
1.96,,
1.98,,
2.0,,
1.96,,
2.02,,
2.0,,
2.42,,
2.67,,
2.71,,
2.81,,
2.85,,
2.67,,
2.65,,
2.67,,
2.56,,
2.44,,
2.6,,
2.67,,
2.58,,
2.56,,
2.5,,
2.52,,
2.44,,
2.31,,
2.08,,
2.31,,
2.33,,
2.38,,
2.35,,
2.33,,
2.38,,
2.42,,
2.46,,
2.33,,
2.33,,
2.35,,
2.38,,
2.25,,
2.33,,
2.33,,
2.33,,
2.23,,
2.29,,
2.23,,
2.25,,
2.29,,
2.29,,
2.29,,
2.23,,
2.19,,
2.1,,
2.04,,
2.04,,
2.1,,
2.04,,
2.08,,
2.08,,
2.13,,
2.23,,
2.29,,
2.25,,
2.06,,
2.0,,
2.21,,
2.25,,
2.23,,
2.21,,
2.31,,
2.4,,
2.4,,
1.63,,
1.77,,
1.92,,
1.67,,
1.65,,
1.65,,
1.58,,
1.52,,
1.54,,
1.52,,
1.56,,
1.52,,
1.46,,
1.46,,
1.46,,
1.42,,
1.33,,
1.35,,
1.25,,
1.29,,
1.29,,
1.31,,
1.27,,
1.27,,
1.29,,
1.29,,
1.17,,
1.04,,
1.0,,
0.96,,
1.04,,
1.0,,
1.17,,
1.17,,
1.15,,
1.1,,
1.04,,
0.96,,
1.0,,
0.9,,
0.96,,
0.96,,
0.9,,
