date,EQR,dcf,Deviation
1993-08-12,14.31,,
1993-08-13,13.88,,
1993-08-16,14.0,,
1993-08-17,14.06,,
1993-08-18,14.06,,
1993-08-19,13.81,,
1993-08-20,13.94,,
1993-08-23,14.0,,
1993-08-24,14.19,,
1993-08-25,14.0,,
1993-08-26,14.31,,
1993-08-27,14.13,,
1993-08-30,14.13,,
1993-08-31,14.38,,
1993-09-01,14.31,,
1993-09-02,14.5,,
1993-09-03,14.63,,
1993-09-07,14.69,,
1993-09-08,14.5,,
1993-09-09,14.63,,
1993-09-10,15.13,,
1993-09-13,15.0,,
1993-09-14,14.75,,
1993-09-15,14.75,,
1993-09-16,14.88,,
1993-09-17,15.06,,
1993-09-20,14.75,,
1993-09-21,14.81,,
1993-09-22,14.94,,
1993-09-23,14.81,,
1993-09-24,15.06,,
1993-09-27,15.69,,
1993-09-28,15.75,,
1993-09-29,15.75,,
1993-09-30,15.56,,
1993-10-01,15.56,,
1993-10-04,15.25,,
1993-10-05,15.25,,
1993-10-06,15.5,,
1993-10-07,15.56,,
1993-10-08,17.13,,
1993-10-11,17.0,,
1993-10-12,18.0,,
1993-10-13,17.75,,
1993-10-14,17.75,,
1993-10-15,18.13,,
1993-10-18,18.06,,
1993-10-19,17.5,,
1993-10-20,17.44,,
1993-10-21,17.25,,
1993-10-22,17.5,,
1993-10-25,17.38,,
1993-10-26,16.94,,
1993-10-27,16.75,,
1993-10-28,17.0,,
1993-10-29,17.31,,
1993-11-01,17.38,,
1993-11-02,17.31,,
1993-11-03,17.5,,
1993-11-04,16.88,,
1993-11-05,17.38,,
1993-11-08,17.94,,
1993-11-09,17.94,,
1993-11-10,17.63,,
1993-11-11,17.38,,
1993-11-12,17.44,,
1993-11-15,17.25,,
1993-11-16,16.94,,
1993-11-17,16.44,,
1993-11-18,15.75,,
1993-11-19,15.75,,
1993-11-22,15.69,,
1993-11-23,15.56,,
1993-11-24,15.56,,
1993-11-26,15.5,,
1993-11-29,15.5,,
1993-11-30,16.25,,
1993-12-01,15.81,,
1993-12-02,15.63,,
1993-12-03,15.5,,
1993-12-06,15.69,,
1993-12-07,15.75,,
1993-12-08,15.5,,
1993-12-09,15.56,,
1993-12-10,15.63,,
1993-12-13,15.63,,
1993-12-14,14.88,,
1993-12-15,15.5,,
1993-12-16,15.75,,
1993-12-17,15.63,,
1993-12-20,15.63,,
1993-12-21,15.38,,
1993-12-22,15.5,,
1993-12-23,15.5,,
1993-12-27,15.5,,
1993-12-28,15.94,,
1993-12-29,15.81,,
1993-12-30,15.75,,
1993-12-31,15.94,,
1994-01-03,15.25,,
1994-01-04,15.44,,
1994-01-05,15.0,,
1994-01-06,14.94,,
1994-01-07,14.44,,
1994-01-10,14.5,,
1994-01-11,14.63,,
1994-01-12,14.88,,
1994-01-13,15.0,,
1994-01-14,14.88,,
1994-01-17,14.5,,
1994-01-18,14.38,,
1994-01-19,14.5,,
1994-01-20,14.69,,
1994-01-21,14.56,,
1994-01-24,14.56,,
1994-01-25,14.38,,
1994-01-26,14.38,,
1994-01-27,14.56,,
1994-01-28,14.38,,
1994-01-31,14.56,,
1994-02-01,14.56,,
1994-02-02,14.63,,
1994-02-03,14.56,,
1994-02-04,14.31,,
1994-02-07,14.5,,
1994-02-08,14.5,,
1994-02-09,14.56,,
1994-02-10,14.63,,
1994-02-11,14.94,,
1994-02-14,15.31,,
1994-02-15,15.19,,
1994-02-16,15.31,,
1994-02-17,15.94,,
1994-02-18,16.19,,
1994-02-22,16.63,,
1994-02-23,16.63,,
1994-02-24,16.0,,
1994-02-25,16.06,,
1994-02-28,16.44,,
1994-03-01,16.31,,
1994-03-02,16.0,,
1994-03-03,16.0,,
1994-03-04,16.0,,
1994-03-07,16.13,,
1994-03-08,16.0,,
1994-03-09,15.69,,
1994-03-10,15.88,,
1994-03-11,15.94,,
1994-03-14,16.25,,
1994-03-15,16.0,,
1994-03-16,15.94,,
1994-03-17,16.31,,
1994-03-18,16.38,,
1994-03-21,16.38,,
1994-03-22,16.25,,
1994-03-23,16.69,,
1994-03-24,16.69,,
1994-03-25,16.69,,
1994-03-28,16.38,,
1994-03-29,15.63,,
1994-03-30,15.25,,
1994-03-31,15.06,,
1994-04-04,14.88,,
1994-04-05,15.0,,
1994-04-06,15.88,,
1994-04-07,16.63,,
1994-04-08,16.06,,
1994-04-11,16.63,,
1994-04-12,16.38,,
1994-04-13,15.75,,
1994-04-14,15.63,,
1994-04-15,15.88,,
1994-04-18,16.0,,
1994-04-19,16.0,,
1994-04-20,15.88,,
1994-04-21,15.88,,
1994-04-22,15.94,,
1994-04-25,16.31,,
1994-04-26,16.19,,
1994-04-28,16.38,,
1994-04-29,16.38,,
1994-05-02,16.25,,
1994-05-03,16.19,,
1994-05-04,16.13,,
1994-05-05,16.13,,
1994-05-06,16.13,,
1994-05-09,16.38,,
1994-05-10,17.06,,
1994-05-11,17.38,,
1994-05-12,17.44,,
1994-05-13,17.56,,
1994-05-16,17.5,,
1994-05-17,17.31,,
1994-05-18,17.25,,
1994-05-19,17.0,,
1994-05-20,17.0,,
1994-05-23,17.13,,
1994-05-24,17.25,,
1994-05-25,17.31,,
1994-05-26,17.13,,
1994-05-27,17.31,,
1994-05-31,16.88,,
1994-06-01,17.0,,
1994-06-02,17.19,,
1994-06-03,17.13,,
1994-06-06,17.31,,
1994-06-07,17.5,,
1994-06-08,17.38,,
1994-06-09,17.25,,
1994-06-10,17.0,,
