date,FDX,dcf,Deviation
1978-04-12,0.95,,
1978-04-13,0.99,,
1978-04-14,1.05,,
1978-04-17,1.02,,
1978-04-18,1.01,,
1978-04-19,1.03,,
1978-04-20,1.06,,
1978-04-21,1.05,,
1978-04-24,1.03,,
1978-04-25,1.08,,
1978-04-26,1.13,,
1978-04-27,1.13,,
1978-04-28,1.2,,
1978-05-01,1.15,,
1978-05-02,1.16,,
1978-05-03,1.13,,
1978-05-04,1.15,,
1978-05-05,1.16,,
1978-05-08,1.17,,
1978-05-09,1.18,,
1978-05-10,1.19,,
1978-05-11,1.23,,
1978-05-12,1.25,,
1978-05-15,1.24,,
1978-05-16,1.32,,
1978-05-17,1.31,,
1978-05-18,1.3,,
1978-05-19,1.23,,
1978-05-22,1.22,,
1978-05-23,1.17,,
1978-05-24,1.13,,
1978-05-25,1.16,,
1978-05-26,1.18,,
1978-05-30,1.23,,
1978-05-31,1.23,,
1978-06-01,1.22,,
1978-06-02,1.21,,
1978-06-05,1.23,,
1978-06-06,1.25,,
1978-06-07,1.23,,
1978-06-08,1.25,,
1978-06-09,1.24,,
1978-06-12,1.27,,
1978-06-13,1.34,,
1978-06-14,1.36,,
1978-06-15,1.36,,
1978-06-16,1.32,,
1978-06-19,1.28,,
1978-06-20,1.23,,
1978-06-21,1.2,,
1978-06-22,1.22,,
1978-06-23,1.2,,
1978-06-26,1.16,,
1978-06-27,1.15,,
1978-06-28,1.16,,
1978-06-29,1.2,,
1978-06-30,1.25,,
1978-07-03,1.26,,
1978-07-05,1.24,,
1978-07-06,1.31,,
1978-07-07,1.33,,
1978-07-10,1.35,,
1978-07-11,1.38,,
1978-07-12,1.36,,
1978-07-13,1.35,,
1978-07-14,1.37,,
1978-07-17,1.43,,
1978-07-18,1.43,,
1978-07-19,1.48,,
1978-07-20,1.48,,
1978-07-21,1.44,,
1978-07-24,1.44,,
1978-07-25,1.43,,
1978-07-26,1.43,,
1978-07-27,1.45,,
1978-07-28,1.45,,
1978-07-31,1.44,,
1978-08-01,1.47,,
1978-08-02,1.49,,
1978-08-03,1.56,,
1978-08-04,1.64,,
1978-08-07,1.7,,
1978-08-08,1.74,,
1978-08-09,1.73,,
1978-08-10,1.72,,
1978-08-11,1.72,,
