date,FISV,dcf,Deviation
1986-09-25,0.28,,
1986-09-26,0.28,,
1986-09-29,0.27,,
1986-09-30,0.28,,
1986-10-01,0.28,,
1986-10-02,0.28,,
1986-10-03,0.28,,
1986-10-06,0.28,,
1986-10-07,0.28,,
1986-10-08,0.28,,
1986-10-09,0.28,,
1986-10-10,0.28,,
1986-10-13,0.28,,
1986-10-14,0.28,,
1986-10-15,0.28,,
1986-10-16,0.28,,
1986-10-17,0.28,,
1986-10-20,0.28,,
1986-10-21,0.28,,
1986-10-22,0.28,,
1986-10-23,0.28,,
1986-10-24,0.29,,
1986-10-27,0.3,,
1986-10-28,0.3,,
1986-10-29,0.31,,
1986-10-30,0.31,,
1986-10-31,0.32,,
1986-11-03,0.33,,
1986-11-04,0.33,,
1986-11-05,0.32,,
1986-11-06,0.32,,
1986-11-07,0.32,,
1986-11-10,0.32,,
1986-11-11,0.32,,
1986-11-12,0.32,,
1986-11-13,0.32,,
1986-11-14,0.32,,
1986-11-17,0.32,,
1986-11-18,0.31,,
1986-11-19,0.3,,
1986-11-20,0.31,,
1986-11-21,0.31,,
1986-11-24,0.31,,
1986-11-25,0.31,,
1986-11-26,0.31,,
1986-11-28,0.3,,
1986-12-01,0.3,,
1986-12-02,0.29,,
1986-12-03,0.31,,
1986-12-04,0.31,,
1986-12-05,0.3,,
1986-12-08,0.3,,
1986-12-09,0.3,,
1986-12-10,0.31,,
1986-12-11,0.31,,
1986-12-12,0.31,,
1986-12-15,0.31,,
1986-12-16,0.3,,
1986-12-17,0.3,,
1986-12-18,0.31,,
1986-12-19,0.3,,
1986-12-22,0.31,,
1986-12-23,0.31,,
1986-12-24,0.31,,
1986-12-26,0.3,,
1986-12-29,0.31,,
1986-12-30,0.31,,
1986-12-31,0.3,,
1987-01-02,0.31,,
1987-01-05,0.32,,
1987-01-06,0.32,,
1987-01-07,0.33,,
1987-01-08,0.32,,
1987-01-09,0.33,,
1987-01-12,0.34,,
1987-01-13,0.36,,
1987-01-14,0.36,,
1987-01-15,0.35,,
1987-01-16,0.35,,
1987-01-19,0.35,,
