date,GPC,dcf,Deviation
1980-03-17,4.2,,
1980-03-18,4.35,,
1980-03-19,4.42,,
1980-03-20,4.44,,
1980-03-21,4.35,,
1980-03-24,4.25,,
1980-03-25,4.22,,
1980-03-26,4.44,,
1980-03-27,4.35,,
1980-03-28,4.49,,
1980-03-31,4.52,,
1980-04-01,4.54,,
1980-04-02,4.47,,
1980-04-03,4.54,,
1980-04-07,4.44,,
1980-04-08,4.52,,
1980-04-09,4.54,,
1980-04-10,4.54,,
1980-04-11,4.4,,
1980-04-14,4.07,,
1980-04-15,4.1,,
1980-04-16,4.05,,
1980-04-17,4.02,,
1980-04-18,4.05,,
1980-04-21,4.05,,
1980-04-22,4.05,,
1980-04-23,3.95,,
1980-04-24,3.98,,
1980-04-25,3.98,,
1980-04-28,4.02,,
1980-04-29,4.12,,
1980-04-30,4.07,,
1980-05-01,4.0,,
1980-05-02,3.95,,
1980-05-05,4.0,,
1980-05-06,4.02,,
1980-05-07,3.98,,
1980-05-08,4.0,,
1980-05-09,3.95,,
1980-05-12,3.95,,
1980-05-13,4.15,,
1980-05-14,4.3,,
1980-05-15,4.54,,
1980-05-16,4.52,,
1980-05-19,4.54,,
1980-05-20,4.57,,
1980-05-21,4.57,,
1980-05-22,4.54,,
1980-05-23,4.47,,
1980-05-27,4.54,,
1980-05-28,4.59,,
1980-05-29,4.54,,
1980-05-30,4.52,,
1980-06-02,4.47,,
1980-06-03,4.57,,
1980-06-04,4.52,,
1980-06-05,4.57,,
1980-06-06,4.52,,
1980-06-09,4.72,,
1980-06-10,4.74,,
1980-06-11,4.84,,
1980-06-12,4.64,,
1980-06-13,4.62,,
1980-06-16,4.62,,
1980-06-17,4.35,,
1980-06-18,4.57,,
1980-06-19,4.64,,
1980-06-20,4.64,,
1980-06-23,4.74,,
1980-06-24,4.72,,
1980-06-25,4.74,,
1980-06-26,4.74,,
1980-06-27,4.74,,
1980-06-30,4.67,,
1980-07-01,4.69,,
1980-07-02,4.77,,
1980-07-03,4.72,,
1980-07-07,4.94,,
1980-07-08,4.99,,
1980-07-09,5.11,,
1980-07-10,5.11,,
1980-07-11,5.19,,
1980-07-14,5.73,,
1980-07-15,5.43,,
1980-07-16,5.21,,
1980-07-17,5.16,,
1980-07-18,5.14,,
1980-07-21,5.01,,
1980-07-22,4.94,,
1980-07-23,4.96,,
1980-07-24,4.99,,
1980-07-25,5.01,,
1980-07-28,5.01,,
1980-07-29,4.99,,
1980-07-30,5.16,,
1980-07-31,5.26,,
1980-08-01,5.23,,
1980-08-04,5.36,,
1980-08-05,5.33,,
1980-08-06,5.33,,
1980-08-07,5.43,,
1980-08-08,5.38,,
1980-08-11,5.23,,
1980-08-12,5.19,,
1980-08-13,4.91,,
1980-08-14,5.11,,
1980-08-15,5.16,,
1980-08-18,5.09,,
1980-08-19,5.14,,
1980-08-20,5.14,,
1980-08-21,5.14,,
1980-08-22,5.01,,
1980-08-25,5.21,,
1980-08-26,5.31,,
1980-08-27,5.21,,
1980-08-28,5.14,,
1980-08-29,5.04,,
1980-09-02,5.11,,
1980-09-03,5.14,,
1980-09-04,5.21,,
1980-09-05,5.23,,
1980-09-08,5.14,,
1980-09-09,5.28,,
1980-09-10,5.33,,
1980-09-11,5.38,,
1980-09-12,5.38,,
1980-09-15,5.51,,
1980-09-16,5.65,,
1980-09-17,5.68,,
1980-09-18,5.7,,
1980-09-19,5.53,,
1980-09-22,5.58,,
1980-09-23,5.65,,
1980-09-24,5.51,,
1980-09-25,5.48,,
1980-09-26,5.38,,
1980-09-29,5.33,,
1980-09-30,5.38,,
1980-10-01,5.43,,
1980-10-02,5.73,,
1980-10-03,5.73,,
1980-10-06,5.8,,
1980-10-07,5.8,,
1980-10-08,5.78,,
