date,IDXX,dcf,Deviation
1991-06-21,0.95,,
1991-06-24,0.91,,
1991-06-25,0.91,,
1991-06-26,0.91,,
1991-06-27,0.91,,
1991-06-28,0.91,,
1991-07-01,0.93,,
1991-07-02,0.91,,
1991-07-03,0.88,,
1991-07-05,0.88,,
1991-07-08,0.86,,
1991-07-09,0.88,,
1991-07-10,0.88,,
1991-07-11,0.88,,
1991-07-12,0.86,,
1991-07-15,0.86,,
1991-07-16,0.88,,
1991-07-17,0.86,,
1991-07-18,0.87,,
1991-07-19,0.89,,
1991-07-22,0.88,,
1991-07-23,0.88,,
1991-07-24,0.9,,
1991-07-25,0.88,,
1991-07-26,0.94,,
1991-07-29,0.95,,
1991-07-30,0.93,,
1991-07-31,0.91,,
1991-08-01,0.94,,
1991-08-02,0.92,,
1991-08-05,0.92,,
1991-08-06,0.92,,
1991-08-07,0.93,,
1991-08-08,0.94,,
1991-08-09,0.92,,
1991-08-12,0.94,,
1991-08-13,0.92,,
1991-08-14,0.93,,
1991-08-15,0.93,,
1991-08-16,0.93,,
1991-08-19,0.84,,
1991-08-20,0.88,,
1991-08-21,0.9,,
1991-08-22,0.91,,
1991-08-23,0.92,,
1991-08-26,0.92,,
1991-08-27,0.9,,
1991-08-28,0.93,,
1991-08-29,1.03,,
1991-08-30,1.03,,
1991-09-03,0.99,,
1991-09-04,0.98,,
1991-09-05,0.98,,
1991-09-06,0.96,,
1991-09-09,0.99,,
1991-09-10,0.99,,
1991-09-11,0.99,,
1991-09-12,0.96,,
1991-09-13,0.99,,
1991-09-16,0.97,,
1991-09-17,1.0,,
1991-09-18,1.03,,
1991-09-19,1.02,,
1991-09-20,1.03,,
1991-09-23,1.03,,
1991-09-24,1.04,,
1991-09-25,1.02,,
1991-09-26,1.04,,
1991-09-27,1.09,,
1991-09-30,1.12,,
1991-10-01,1.13,,
1991-10-02,1.14,,
1991-10-03,1.13,,
1991-10-04,1.14,,
1991-10-07,1.15,,
1991-10-08,1.15,,
1991-10-09,1.2,,
1991-10-10,1.25,,
1991-10-11,1.28,,
1991-10-14,1.3,,
1991-10-15,1.3,,
1991-10-16,1.3,,
1991-10-17,1.23,,
1991-10-18,1.23,,
1991-10-21,1.3,,
1991-10-22,1.25,,
1991-10-23,1.38,,
1991-10-24,1.42,,
1991-10-25,1.45,,
1991-10-28,1.53,,
1991-10-29,1.66,,
1991-10-30,1.59,,
1991-10-31,1.66,,
1991-11-01,1.75,,
1991-11-04,1.64,,
1991-11-05,1.73,,
1991-11-06,1.78,,
1991-11-07,1.8,,
1991-11-08,1.81,,
1991-11-11,1.78,,
1991-11-12,1.75,,
1991-11-13,1.58,,
1991-11-14,1.61,,
1991-11-15,1.63,,
1991-11-18,1.61,,
1991-11-19,1.59,,
1991-11-20,1.63,,
1991-11-21,1.61,,
1991-11-22,1.44,,
1991-11-25,1.36,,
1991-11-26,1.2,,
1991-11-27,1.25,,
1991-11-29,1.25,,
1991-12-02,1.39,,
1991-12-03,1.44,,
1991-12-04,1.52,,
1991-12-05,1.52,,
1991-12-06,1.52,,
1991-12-09,1.47,,
1991-12-10,1.52,,
1991-12-11,1.52,,
1991-12-12,1.52,,
1991-12-13,1.47,,
1991-12-16,1.47,,
1991-12-17,1.44,,
1991-12-18,1.31,,
1991-12-19,1.28,,
1991-12-20,1.27,,
1991-12-23,1.28,,
1991-12-24,1.31,,
1991-12-26,1.25,,
1991-12-27,1.28,,
1991-12-30,1.39,,
1991-12-31,1.39,,
1992-01-02,1.38,,
1992-01-03,1.39,,
1992-01-06,1.42,,
1992-01-07,1.5,,
1992-01-08,1.5,,
1992-01-09,1.56,,
1992-01-10,1.59,,
1992-01-13,1.59,,
1992-01-14,1.56,,
1992-01-15,1.52,,
1992-01-16,1.53,,
1992-01-17,1.55,,
1992-01-20,1.51,,
1992-01-21,1.51,,
1992-01-22,1.53,,
1992-01-23,1.52,,
1992-01-24,1.55,,
1992-01-27,1.52,,
1992-01-28,1.45,,
