date,INTU,dcf,Deviation
1993-03-12,2.65,,
1993-03-15,2.61,,
1993-03-16,2.55,,
1993-03-17,2.46,,
1993-03-18,2.54,,
1993-03-19,2.52,,
1993-03-22,2.38,,
1993-03-23,2.54,,
1993-03-24,2.48,,
1993-03-25,2.38,,
1993-03-26,2.38,,
1993-03-29,2.36,,
1993-03-30,2.38,,
1993-03-31,2.31,,
1993-04-01,2.31,,
1993-04-02,2.21,,
1993-04-05,2.25,,
1993-04-06,2.25,,
1993-04-07,2.17,,
1993-04-08,2.13,,
1993-04-12,2.1,,
1993-04-13,2.04,,
1993-04-14,2.13,,
1993-04-15,2.06,,
1993-04-16,2.06,,
1993-04-19,2.04,,
1993-04-20,2.04,,
1993-04-21,2.02,,
1993-04-22,2.13,,
1993-04-23,2.15,,
1993-04-26,2.06,,
1993-04-27,2.29,,
1993-04-28,2.27,,
1993-04-29,2.23,,
1993-04-30,2.29,,
1993-05-03,2.42,,
1993-05-04,2.42,,
1993-05-05,2.54,,
1993-05-06,2.48,,
1993-05-07,2.52,,
1993-05-10,2.58,,
1993-05-11,2.56,,
1993-05-12,2.56,,
1993-05-13,2.58,,
1993-05-14,2.56,,
1993-05-17,2.58,,
1993-05-18,2.58,,
1993-05-19,2.67,,
1993-05-20,2.71,,
1993-05-21,2.65,,
1993-05-24,2.65,,
1993-05-25,2.63,,
1993-05-26,2.53,,
1993-05-27,2.48,,
1993-05-28,2.42,,
1993-06-01,2.38,,
1993-06-02,2.42,,
1993-06-03,2.42,,
1993-06-04,2.38,,
1993-06-07,2.34,,
1993-06-08,2.25,,
1993-06-09,2.19,,
1993-06-10,2.23,,
1993-06-11,2.54,,
1993-06-14,2.56,,
1993-06-15,2.54,,
1993-06-16,2.56,,
1993-06-17,2.52,,
1993-06-18,2.52,,
1993-06-21,2.69,,
1993-06-22,2.63,,
1993-06-23,2.65,,
1993-06-24,2.79,,
1993-06-25,2.73,,
1993-06-28,2.75,,
1993-06-29,2.67,,
1993-06-30,2.71,,
1993-07-01,2.6,,
1993-07-02,2.67,,
1993-07-06,2.63,,
1993-07-07,2.63,,
1993-07-08,2.68,,
1993-07-09,2.67,,
1993-07-12,2.67,,
1993-07-13,2.71,,
1993-07-14,2.66,,
1993-07-15,2.71,,
1993-07-16,2.69,,
1993-07-19,2.65,,
1993-07-20,2.63,,
1993-07-21,2.52,,
1993-07-22,2.43,,
1993-07-23,2.42,,
1993-07-26,2.44,,
1993-07-27,2.44,,
1993-07-28,2.35,,
1993-07-29,2.4,,
1993-07-30,2.4,,
1993-08-02,2.44,,
1993-08-03,2.4,,
1993-08-04,2.42,,
1993-08-05,2.52,,
1993-08-06,2.52,,
1993-08-09,2.6,,
1993-08-10,2.67,,
1993-08-11,2.69,,
1993-08-12,2.67,,
1993-08-13,2.7,,
1993-08-16,2.67,,
1993-08-17,2.67,,
1993-08-18,2.71,,
1993-08-19,2.67,,
1993-08-20,2.69,,
1993-08-23,2.71,,
1993-08-24,2.59,,
1993-08-25,2.67,,
1993-08-26,2.6,,
1993-08-27,2.63,,
1993-08-30,2.63,,
1993-08-31,2.6,,
1993-09-01,2.69,,
1993-09-02,2.68,,
1993-09-03,2.67,,
1993-09-07,2.75,,
1993-09-08,2.79,,
1993-09-09,2.92,,
1993-09-10,3.04,,
1993-09-13,3.13,,
1993-09-14,3.15,,
1993-09-15,3.15,,
1993-09-16,3.15,,
1993-09-17,3.14,,
1993-09-20,2.96,,
1993-09-21,2.88,,
1993-09-22,2.81,,
1993-09-23,2.77,,
1993-09-24,2.65,,
1993-09-27,2.7,,
1993-09-28,2.9,,
1993-09-29,2.96,,
1993-09-30,2.94,,
1993-10-01,2.88,,
1993-10-04,2.85,,
1993-10-05,2.75,,
1993-10-06,2.77,,
1993-10-07,2.83,,
1993-10-08,2.76,,
1993-10-11,2.79,,
1993-10-12,2.81,,
1993-10-13,2.83,,
1993-10-14,2.92,,
1993-10-15,2.96,,
1993-10-18,3.0,,
1993-10-19,2.94,,
1993-10-20,2.9,,
1993-10-21,2.92,,
1993-10-22,2.88,,
1993-10-25,2.85,,
1993-10-26,2.81,,
1993-10-27,2.79,,
1993-10-28,2.78,,
1993-10-29,2.82,,
1993-11-01,3.0,,
1993-11-02,3.19,,
1993-11-03,3.23,,
1993-11-04,3.19,,
1993-11-05,3.19,,
1993-11-08,3.15,,
1993-11-09,3.63,,
1993-11-10,3.73,,
1993-11-11,3.83,,
1993-11-12,3.79,,
1993-11-15,3.63,,
1993-11-16,3.52,,
1993-11-17,3.46,,
1993-11-18,3.47,,
1993-11-19,3.5,,
1993-11-22,3.42,,
1993-11-23,3.46,,
1993-11-24,3.42,,
1993-11-26,3.46,,
1993-11-29,3.33,,
1993-11-30,3.23,,
1993-12-01,3.48,,
1993-12-02,3.43,,
1993-12-03,3.31,,
1993-12-06,3.42,,
1993-12-07,3.33,,
1993-12-08,3.38,,
1993-12-09,3.31,,
1993-12-10,3.17,,
1993-12-13,3.23,,
1993-12-14,3.23,,
1993-12-15,3.23,,
1993-12-16,3.13,,
1993-12-17,3.35,,
1993-12-20,3.48,,
1993-12-21,3.54,,
1993-12-22,3.52,,
1993-12-23,3.52,,
1993-12-27,3.56,,
1993-12-28,3.56,,
1993-12-29,3.58,,
1993-12-30,3.58,,
1993-12-31,3.55,,
1994-01-03,3.48,,
1994-01-04,3.45,,
1994-01-05,3.35,,
1994-01-06,3.45,,
1994-01-07,3.44,,
1994-01-10,3.47,,
1994-01-11,3.46,,
1994-01-12,3.5,,
1994-01-13,3.58,,
1994-01-14,3.68,,
1994-01-17,3.75,,
1994-01-18,3.86,,
1994-01-19,3.83,,
1994-01-20,3.84,,
1994-01-21,3.83,,
1994-01-24,3.9,,
1994-01-25,3.88,,
1994-01-26,3.81,,
1994-01-27,3.78,,
1994-01-28,3.88,,
1994-01-31,3.89,,
1994-02-01,3.96,,
1994-02-02,3.96,,
1994-02-03,4.05,,
1994-02-04,3.95,,
1994-02-07,3.92,,
1994-02-08,4.0,,
1994-02-09,3.85,,
1994-02-10,3.9,,
1994-02-11,3.88,,
1994-02-14,3.9,,
1994-02-15,3.92,,
1994-02-16,3.92,,
1994-02-17,3.94,,
1994-02-18,3.85,,
1994-02-22,3.9,,
1994-02-23,3.88,,
1994-02-24,3.8,,
1994-02-25,3.75,,
1994-02-28,3.75,,
1994-03-01,3.75,,
1994-03-02,3.81,,
1994-03-03,3.81,,
1994-03-04,3.78,,
1994-03-07,3.82,,
1994-03-08,3.8,,
1994-03-09,3.81,,
1994-03-10,3.79,,
1994-03-11,3.75,,
1994-03-14,3.75,,
1994-03-15,3.77,,
1994-03-16,3.69,,
1994-03-17,3.58,,
1994-03-18,3.58,,
1994-03-21,3.52,,
1994-03-22,3.56,,
1994-03-23,3.65,,
1994-03-24,3.52,,
1994-03-25,3.31,,
1994-03-28,3.17,,
1994-03-29,3.08,,
1994-03-30,3.11,,
1994-03-31,3.03,,
1994-04-04,2.92,,
1994-04-05,3.04,,
1994-04-06,2.93,,
1994-04-07,2.86,,
1994-04-08,2.66,,
1994-04-11,2.73,,
1994-04-12,2.79,,
1994-04-13,2.68,,
1994-04-14,2.63,,
1994-04-15,2.6,,
1994-04-18,2.57,,
1994-04-19,2.42,,
1994-04-20,2.33,,
1994-04-21,2.44,,
1994-04-22,2.5,,
1994-04-25,2.67,,
1994-04-26,2.84,,
1994-04-28,2.96,,
1994-04-29,3.0,,
1994-05-02,2.95,,
1994-05-03,2.9,,
1994-05-04,2.83,,
1994-05-05,2.58,,
1994-05-06,2.54,,
1994-05-09,2.44,,
1994-05-10,2.44,,
1994-05-11,2.27,,
1994-05-12,2.5,,
1994-05-13,2.56,,
1994-05-16,2.52,,
1994-05-17,2.46,,
1994-05-18,2.64,,
1994-05-19,2.79,,
1994-05-20,2.69,,
1994-05-23,2.77,,
1994-05-24,2.75,,
1994-05-25,2.71,,
1994-05-26,2.68,,
1994-05-27,2.79,,
1994-05-31,2.9,,
1994-06-01,2.9,,
1994-06-02,3.0,,
1994-06-03,3.0,,
1994-06-06,3.04,,
1994-06-07,2.91,,
1994-06-08,2.79,,
1994-06-09,2.69,,
1994-06-10,2.79,,
1994-06-13,2.81,,
1994-06-14,2.92,,
1994-06-15,2.93,,
1994-06-16,2.78,,
1994-06-17,2.79,,
1994-06-20,2.73,,
1994-06-21,2.65,,
1994-06-22,2.67,,
1994-06-23,2.53,,
1994-06-24,2.61,,
1994-06-27,2.6,,
1994-06-28,2.7,,
1994-06-29,2.82,,
1994-06-30,2.77,,
1994-07-01,2.81,,
1994-07-05,2.79,,
1994-07-06,2.85,,
1994-07-07,2.82,,
1994-07-08,2.88,,
1994-07-11,2.92,,
1994-07-12,2.92,,
1994-07-13,3.15,,
1994-07-14,3.23,,
1994-07-15,3.17,,
1994-07-18,3.14,,
1994-07-19,3.07,,
1994-07-20,2.91,,
1994-07-21,2.86,,
1994-07-22,2.91,,
1994-07-25,2.92,,
1994-07-26,2.94,,
1994-07-27,2.97,,
1994-07-28,2.96,,
1994-07-29,3.0,,
1994-08-01,3.05,,
1994-08-02,3.13,,
1994-08-03,3.15,,
1994-08-04,2.96,,
1994-08-05,2.92,,
1994-08-08,2.96,,
1994-08-09,3.04,,
1994-08-10,3.1,,
1994-08-11,3.25,,
1994-08-12,3.31,,
1994-08-15,3.29,,
1994-08-16,3.44,,
1994-08-17,3.46,,
1994-08-18,3.33,,
1994-08-19,3.33,,
1994-08-22,3.48,,
1994-08-23,3.59,,
1994-08-24,3.69,,
1994-08-25,3.67,,
1994-08-26,3.67,,
1994-08-29,3.68,,
1994-08-30,3.58,,
1994-08-31,3.56,,
1994-09-01,3.54,,
1994-09-02,3.56,,
1994-09-06,3.63,,
1994-09-07,3.63,,
1994-09-08,3.69,,
1994-09-09,3.58,,
1994-09-12,3.56,,
1994-09-13,3.52,,
1994-09-14,3.51,,
1994-09-15,3.48,,
1994-09-16,3.34,,
1994-09-19,3.41,,
1994-09-20,3.38,,
1994-09-21,3.31,,
1994-09-22,3.34,,
1994-09-23,3.24,,
1994-09-26,3.31,,
1994-09-27,3.46,,
1994-09-28,3.69,,
1994-09-29,3.65,,
1994-09-30,3.65,,
1994-10-03,3.6,,
1994-10-04,3.46,,
1994-10-05,3.44,,
1994-10-06,3.4,,
1994-10-07,3.5,,
1994-10-10,3.56,,
1994-10-11,3.72,,
1994-10-12,3.92,,
1994-10-13,4.19,,
1994-10-14,5.61,,
1994-10-17,5.5,,
1994-10-18,5.52,,
1994-10-19,5.6,,
1994-10-20,5.69,,
1994-10-21,5.67,,
1994-10-24,5.54,,
1994-10-25,5.49,,
1994-10-26,5.66,,
1994-10-27,5.67,,
1994-10-28,5.72,,
1994-10-31,5.88,,
1994-11-01,5.79,,
1994-11-02,5.79,,
1994-11-03,5.75,,
1994-11-04,5.65,,
1994-11-07,5.58,,
1994-11-08,5.67,,
1994-11-09,5.67,,
1994-11-10,5.63,,
1994-11-11,5.52,,
1994-11-14,5.63,,
1994-11-15,5.69,,
1994-11-16,5.67,,
1994-11-17,5.75,,
1994-11-18,5.68,,
1994-11-21,5.71,,
1994-11-22,5.52,,
1994-11-23,5.48,,
1994-11-25,5.57,,
1994-11-28,5.71,,
1994-11-29,5.76,,
1994-11-30,5.81,,
1994-12-01,5.79,,
1994-12-02,5.6,,
1994-12-05,5.56,,
1994-12-06,5.56,,
1994-12-07,5.56,,
1994-12-08,5.45,,
1994-12-09,5.4,,
1994-12-12,5.46,,
1994-12-13,5.6,,
1994-12-14,5.63,,
1994-12-15,5.69,,
1994-12-16,5.69,,
1994-12-19,5.73,,
1994-12-20,5.5,,
1994-12-21,5.63,,
1994-12-22,5.56,,
1994-12-23,5.6,,
1994-12-27,5.58,,
1994-12-28,5.54,,
1994-12-29,5.56,,
1994-12-30,5.56,,
1995-01-03,5.58,,
1995-01-04,5.58,,
1995-01-05,5.67,,
1995-01-06,5.71,,
1995-01-09,5.71,,
1995-01-10,5.73,,
1995-01-11,5.73,,
1995-01-12,5.68,,
