date,IQV,dcf,Deviation
2013-05-09,42.11,42.39,-0.0066053314460957635
2013-05-10,42.39,43.32,-0.02146814404432129
2013-05-13,43.32,44.43,-0.024983119513842023
2013-05-14,44.43,45.5,-0.0235164835164835
2013-05-15,45.5,45.85,-0.007633587786259555
2013-05-16,45.85,45.52,0.0072495606326890005
2013-05-17,45.52,45.38,0.0030850594975759815
2013-05-20,45.38,45.05,0.007325194228634979
2013-05-21,45.05,44.65,0.008958566629339249
2013-05-22,44.65,45.0,-0.007777777777777772
2013-05-23,45.0,45.03,-0.0006662225183211579
2013-05-24,45.03,45.43,-0.008804754567466433
2013-05-28,45.43,44.47,0.021587587137396058
2013-05-29,44.47,44.25,0.004971751412429448
2013-05-30,44.25,44.04,0.004768392370572139
2013-05-31,44.04,44.58,-0.012113055181695809
2013-06-03,44.58,43.19,0.032183375781430934
2013-06-04,43.19,42.85,0.00793465577596253
2013-06-05,42.85,43.23,-0.008790191996298713
2013-06-06,43.23,42.97,0.006050733069583369
2013-06-07,42.97,43.64,-0.015352887259395098
2013-06-10,43.64,43.95,-0.0070534698521047545
2013-06-11,43.95,43.0,0.02209302325581408
2013-06-12,43.0,42.9,0.002331002331002363
2013-06-13,42.9,43.09,-0.004409375725226372
2013-06-14,43.09,43.53,-0.010107971513898417
2013-06-17,43.53,43.89,-0.008202323991797655
2013-06-18,43.89,43.79,0.0022836263987211503
2013-06-19,43.79,43.34,0.01038301799723107
2013-06-20,43.34,44.19,-0.01923512106811487
2013-06-21,44.19,43.32,0.020083102493074767
2013-06-24,43.32,43.0,0.007441860465116301
2013-06-25,43.0,42.02,0.023322227510709004
2013-06-26,42.02,42.33,-0.007323411292227577
2013-06-27,42.33,42.56,-0.005404135338345939
2013-06-28,42.56,42.95,-0.009080325960419078
2013-07-01,42.95,43.06,-0.002554575011611715
2013-07-02,43.06,43.62,-0.012838147638697728
2013-07-03,43.62,43.24,0.008788159111933203
2013-07-05,43.24,43.93,-0.015706806282722474
2013-07-08,43.93,43.69,0.005493247882810692
2013-07-09,43.69,43.61,0.001834441641825224
2013-07-10,43.61,43.27,0.007857638086433916
2013-07-11,43.27,43.5,-0.005287356321838965
2013-07-12,43.5,43.65,-0.0034364261168384758
2013-07-15,43.65,43.74,-0.002057613168724326
2013-07-16,43.74,43.83,-0.00205338809034894
2013-07-17,43.83,44.04,-0.00476839237057225
2013-07-18,44.04,44.07,-0.000680735194009574
2013-07-19,44.07,44.57,-0.011218308279111522
2013-07-22,44.57,44.32,0.005640794223826795
2013-07-23,44.32,43.52,0.018382352941176405
2013-07-24,43.52,43.48,0.0009199632014720294
2013-07-25,43.48,43.27,0.004853247053385523
2013-07-26,43.27,43.47,-0.004600874166091451
2013-07-29,43.47,43.39,0.0018437427978796883
2013-07-30,43.39,44.85,-0.03255295429208471
2013-07-31,44.85,46.29,-0.03110823071937774
2013-08-01,46.29,45.22,0.02366209641751449
2013-08-02,45.22,45.33,-0.002426649018310134
2013-08-05,45.33,45.95,-0.013492927094668206
2013-08-06,45.95,45.54,0.009003074220465646
2013-08-07,45.54,45.38,0.003525782282943979
2013-08-08,45.38,45.64,-0.005696757230499561
2013-08-09,45.64,45.58,0.0013163668275559814
2013-08-12,45.58,45.38,0.004407227853679974
2013-08-13,45.38,45.3,0.0017660044150111798
2013-08-14,45.3,44.75,0.012290502793296021
2013-08-15,44.75,44.16,0.01336050724637694
2013-08-16,44.16,44.32,-0.0036101083032491488
2013-08-19,44.32,44.29,0.0006773538044706484
2013-08-20,44.29,44.0,0.006590909090909092
2013-08-21,44.0,43.66,0.00778744846541457
2013-08-22,43.66,43.53,0.002986446129106257
2013-08-23,43.53,43.43,0.0023025558369791366
2013-08-26,43.43,43.12,0.007189239332096475
2013-08-27,43.12,43.98,-0.019554342883128628
2013-08-28,43.98,43.9,0.0018223234624146212
2013-08-29,43.9,43.26,0.014794267221451607
2013-08-30,43.26,43.1,0.003712296983758634
2013-09-03,43.1,43.23,-0.0030071709461021445
2013-09-04,43.23,43.19,0.000926140310256951
2013-09-05,43.19,42.82,0.008640822045772989
2013-09-06,42.82,43.15,-0.0076477404403244575
2013-09-09,43.15,43.77,-0.014164953164267913
2013-09-10,43.77,43.73,0.0009147038646240002
2013-09-11,43.73,44.47,-0.01664043175174279
2013-09-12,44.47,44.37,0.0022537750732476436
2013-09-13,44.37,44.45,-0.001799775028121564
2013-09-16,44.45,44.77,-0.007147643511279833
2013-09-17,44.77,45.09,-0.007096917276558035
2013-09-18,45.09,44.0,0.02477272727272739
2013-09-19,44.0,44.72,-0.01610017889087656
2013-09-20,44.72,44.86,-0.0031208203299153414
2013-09-23,44.86,44.76,0.0022341376228776078
2013-09-24,44.76,44.69,0.0015663459386887624
2013-09-25,44.69,45.1,-0.00909090909090915
2013-09-26,45.1,44.93,0.00378366347651915
2013-09-27,44.93,44.88,0.0011140819964348125
2013-09-30,44.88,44.67,0.004701141705842904
2013-10-01,44.67,44.04,0.014305177111716638
2013-10-02,44.04,43.25,0.01826589595375716
2013-10-03,43.25,43.98,-0.01659845384265568
2013-10-04,43.98,42.55,0.03360752056404226
2013-10-07,42.55,41.58,0.0233285233285232
2013-10-08,41.58,42.22,-0.015158692562766474
2013-10-09,42.22,42.57,-0.008221752407798988
2013-10-10,42.57,42.23,0.00805114847264976
2013-10-11,42.23,42.02,0.004997620180866136
2013-10-14,42.02,41.99,0.00071445582281493
2013-10-15,41.99,43.12,-0.02620593692022255
2013-10-16,43.12,43.53,-0.009418791637950896
2013-10-17,43.53,43.93,-0.009105394946505752
2013-10-18,43.93,43.98,-0.0011368804001817834
2013-10-21,43.98,44.11,-0.0029471775107685616
2013-10-22,44.11,43.81,0.00684775165487328
2013-10-23,43.81,44.55,-0.016610549943883113
2013-10-24,44.55,44.31,0.005416384563303955
2013-10-25,44.31,43.9,0.00933940774487474
2013-10-28,43.9,43.77,0.002970070824765747
2013-10-29,43.77,43.38,0.008990318118948792
2013-10-30,43.38,41.99,0.03310311979042635
2013-10-31,41.99,43.43,-0.03315680405249821
2013-11-01,43.43,44.2,-0.017420814479638058
2013-11-04,44.2,44.09,0.002494896801995994
2013-11-05,44.09,44.0,0.0020454545454546835
2013-11-06,44.0,44.05,-0.0011350737797956034
2013-11-07,44.05,44.09,-0.0009072352007258866
2013-11-08,44.09,43.98,0.002501136880400434
2013-11-11,43.98,44.14,-0.0036248300860898253
2013-11-12,44.14,44.37,-0.00518368266846958
2013-11-13,44.37,43.97,0.009097111667045743
2013-11-14,43.97,43.98,-0.00022737608003631227
2013-11-15,43.98,43.31,0.01546986839067177
2013-11-18,43.31,42.86,0.010499300046663551
2013-11-19,42.86,42.88,-0.0004664179104478805
