date,MAA,dcf,Deviation
1994-01-28,21.63,,
1994-01-31,21.38,,
1994-02-01,21.25,,
1994-02-02,21.25,,
1994-02-03,21.5,,
1994-02-04,21.13,,
1994-02-07,21.38,,
1994-02-08,22.0,,
1994-02-09,22.25,,
1994-02-10,23.0,,
1994-02-11,23.5,,
1994-02-14,23.88,,
1994-02-15,23.13,,
1994-02-16,23.38,,
1994-02-17,24.13,,
1994-02-18,24.25,,
1994-02-22,23.75,,
1994-02-23,23.38,,
1994-02-24,23.25,,
1994-02-25,22.88,,
1994-02-28,22.63,,
1994-03-01,23.0,,
1994-03-02,23.5,,
1994-03-03,23.0,,
1994-03-04,23.0,,
1994-03-07,22.88,,
1994-03-08,22.63,,
1994-03-09,22.5,,
1994-03-10,22.5,,
1994-03-11,22.0,,
1994-03-14,23.25,,
1994-03-15,22.88,,
1994-03-16,23.38,,
1994-03-17,23.5,,
1994-03-18,23.25,,
1994-03-21,23.25,,
1994-03-22,23.25,,
1994-03-23,23.38,,
1994-03-24,24.0,,
1994-03-25,23.75,,
1994-03-28,23.5,,
1994-03-29,23.25,,
1994-03-30,23.13,,
1994-03-31,23.13,,
1994-04-04,22.75,,
1994-04-05,23.13,,
1994-04-06,23.13,,
1994-04-07,23.38,,
1994-04-08,23.38,,
1994-04-11,23.5,,
1994-04-12,23.25,,
1994-04-13,23.25,,
1994-04-14,23.38,,
1994-04-15,23.75,,
1994-04-18,23.38,,
1994-04-19,23.13,,
1994-04-20,22.88,,
1994-04-21,23.38,,
1994-04-22,24.0,,
1994-04-25,24.0,,
1994-04-26,24.0,,
1994-04-28,24.38,,
1994-04-29,24.38,,
1994-05-02,24.63,,
1994-05-03,24.5,,
1994-05-04,24.75,,
1994-05-05,25.5,,
1994-05-06,25.25,,
1994-05-09,25.13,,
1994-05-10,25.38,,
1994-05-11,25.63,,
1994-05-12,25.5,,
1994-05-13,25.75,,
1994-05-16,25.63,,
1994-05-17,25.75,,
1994-05-18,25.25,,
1994-05-19,25.25,,
1994-05-20,25.25,,
1994-05-23,24.5,,
1994-05-24,24.13,,
1994-05-25,24.63,,
1994-05-26,25.0,,
1994-05-27,24.88,,
1994-05-31,25.0,,
1994-06-01,25.0,,
1994-06-02,25.0,,
1994-06-03,24.88,,
1994-06-06,24.88,,
1994-06-07,24.88,,
1994-06-08,24.88,,
1994-06-09,25.0,,
1994-06-10,25.0,,
1994-06-13,25.25,,
1994-06-14,25.25,,
1994-06-15,25.63,,
1994-06-16,26.25,,
1994-06-17,26.13,,
1994-06-20,26.38,,
1994-06-21,26.63,,
1994-06-22,26.63,,
1994-06-23,26.38,,
1994-06-24,26.0,,
1994-06-27,26.13,,
1994-06-28,26.0,,
1994-06-29,25.5,,
1994-06-30,25.0,,
1994-07-01,25.0,,
1994-07-05,25.0,,
1994-07-06,24.88,,
1994-07-07,24.75,,
1994-07-08,24.75,,
1994-07-11,24.38,,
1994-07-12,24.75,,
1994-07-13,25.63,,
1994-07-14,26.0,,
1994-07-15,26.63,,
1994-07-18,26.25,,
1994-07-19,26.13,,
1994-07-20,25.88,,
1994-07-21,25.75,,
1994-07-22,25.75,,
1994-07-25,25.75,,
1994-07-26,25.5,,
1994-07-27,25.25,,
1994-07-28,24.88,,
1994-07-29,24.5,,
1994-08-01,24.88,,
1994-08-02,24.75,,
1994-08-03,25.0,,
1994-08-04,25.13,,
1994-08-05,25.5,,
1994-08-08,25.5,,
1994-08-09,25.25,,
1994-08-10,25.25,,
1994-08-11,25.38,,
1994-08-12,25.75,,
1994-08-15,25.0,,
1994-08-16,25.13,,
1994-08-17,25.25,,
1994-08-18,24.88,,
1994-08-19,24.5,,
1994-08-22,24.25,,
1994-08-23,24.38,,
1994-08-24,24.5,,
1994-08-25,24.75,,
1994-08-26,25.0,,
1994-08-29,25.0,,
1994-08-30,25.0,,
1994-08-31,24.5,,
1994-09-01,24.5,,
1994-09-02,24.5,,
1994-09-06,24.5,,
1994-09-07,24.5,,
1994-09-08,24.38,,
1994-09-09,24.88,,
1994-09-12,24.75,,
1994-09-13,24.88,,
1994-09-14,24.75,,
1994-09-15,24.88,,
1994-09-16,24.88,,
1994-09-19,24.88,,
1994-09-20,24.75,,
1994-09-21,24.63,,
1994-09-22,24.63,,
1994-09-23,24.63,,
1994-09-26,24.63,,
1994-09-27,24.5,,
1994-09-28,24.63,,
1994-09-29,24.63,,
1994-09-30,24.63,,
1994-10-03,24.5,,
1994-10-04,24.5,,
1994-10-05,24.38,,
1994-10-06,24.13,,
1994-10-07,23.88,,
1994-10-10,23.88,,
1994-10-11,24.0,,
1994-10-12,23.88,,
1994-10-13,25.38,,
1994-10-14,25.5,,
1994-10-17,25.5,,
1994-10-18,25.25,,
1994-10-19,25.25,,
1994-10-20,25.0,,
1994-10-21,24.88,,
1994-10-24,25.0,,
1994-10-25,24.88,,
1994-10-26,24.75,,
1994-10-27,25.0,,
1994-10-28,25.0,,
1994-10-31,24.88,,
1994-11-01,25.0,,
1994-11-02,24.88,,
1994-11-03,24.88,,
1994-11-04,24.75,,
1994-11-07,24.13,,
1994-11-08,24.5,,
1994-11-09,24.88,,
1994-11-10,24.75,,
1994-11-11,25.13,,
1994-11-14,24.75,,
1994-11-15,24.75,,
1994-11-16,24.63,,
1994-11-17,24.13,,
1994-11-18,24.5,,
1994-11-21,24.63,,
1994-11-22,24.63,,
1994-11-23,24.5,,
1994-11-25,24.63,,
1994-11-28,24.5,,
1994-11-29,24.63,,
1994-11-30,24.5,,
1994-12-01,24.63,,
1994-12-02,24.38,,
1994-12-05,24.63,,
1994-12-06,24.5,,
1994-12-07,24.0,,
1994-12-08,23.63,,
1994-12-09,23.63,,
1994-12-12,23.5,,
1994-12-13,23.5,,
1994-12-14,23.25,,
1994-12-15,23.88,,
1994-12-16,24.5,,
1994-12-19,24.5,,
1994-12-20,24.5,,
1994-12-21,24.5,,
1994-12-22,25.13,,
1994-12-23,25.13,,
1994-12-27,25.38,,
1994-12-28,25.13,,
1994-12-29,25.25,,
1994-12-30,26.75,,
1995-01-03,26.75,,
1995-01-04,26.63,,
1995-01-05,26.5,,
1995-01-06,26.38,,
1995-01-09,26.0,,
1995-01-10,25.88,,
1995-01-11,25.88,,
1995-01-12,25.75,,
1995-01-13,25.63,,
1995-01-16,25.63,,
1995-01-17,25.25,,
1995-01-18,25.13,,
1995-01-19,25.13,,
1995-01-20,25.0,,
1995-01-23,24.88,,
1995-01-24,24.75,,
1995-01-25,25.0,,
1995-01-26,25.13,,
1995-01-27,25.0,,
1995-01-30,25.13,,
1995-01-31,25.25,,
1995-02-01,24.75,,
1995-02-02,25.0,,
1995-02-03,25.0,,
1995-02-06,25.25,,
1995-02-07,25.13,,
1995-02-08,25.0,,
1995-02-09,25.0,,
1995-02-10,26.0,,
1995-02-13,26.75,,
1995-02-14,26.63,,
1995-02-15,26.75,,
1995-02-16,26.25,,
1995-02-17,26.13,,
1995-02-21,26.13,,
1995-02-22,26.13,,
1995-02-23,25.88,,
1995-02-24,25.88,,
1995-02-27,26.13,,
1995-02-28,25.75,,
1995-03-01,25.25,,
1995-03-02,25.25,,
1995-03-03,25.13,,
1995-03-06,25.38,,
1995-03-07,25.5,,
1995-03-08,25.63,,
1995-03-09,25.63,,
1995-03-10,25.75,,
1995-03-13,25.5,,
1995-03-14,25.25,,
1995-03-15,25.13,,
1995-03-16,25.25,,
1995-03-17,25.25,,
1995-03-20,25.25,,
1995-03-21,25.13,,
1995-03-22,25.25,,
1995-03-23,25.25,,
1995-03-24,25.25,,
1995-03-27,25.75,,
1995-03-28,25.88,,
1995-03-29,26.0,,
1995-03-30,26.0,,
1995-03-31,25.75,,
1995-04-03,26.38,,
1995-04-04,26.38,,
1995-04-05,26.38,,
1995-04-06,26.25,,
1995-04-07,25.75,,
1995-04-10,25.5,,
1995-04-11,25.88,,
1995-04-12,26.0,,
1995-04-13,26.13,,
1995-04-17,26.13,,
1995-04-18,26.0,,
1995-04-19,26.0,,
1995-04-20,25.88,,
1995-04-21,25.88,,
1995-04-24,25.5,,
1995-04-25,25.13,,
1995-04-26,25.25,,
1995-04-27,24.88,,
1995-04-28,25.0,,
1995-05-01,25.25,,
1995-05-02,25.25,,
1995-05-03,25.25,,
1995-05-04,25.38,,
1995-05-05,25.13,,
1995-05-08,25.25,,
1995-05-09,26.0,,
1995-05-10,26.13,,
1995-05-11,26.25,,
1995-05-12,26.25,,
1995-05-15,26.0,,
1995-05-16,26.13,,
1995-05-17,25.88,,
1995-05-18,25.5,,
1995-05-19,25.63,,
1995-05-22,25.5,,
1995-05-23,25.13,,
1995-05-24,25.13,,
1995-05-25,25.38,,
1995-05-26,25.0,,
1995-05-30,25.25,,
1995-05-31,25.13,,
1995-06-01,24.88,,
1995-06-02,25.0,,
1995-06-05,25.0,,
1995-06-06,25.25,,
1995-06-07,25.38,,
1995-06-08,25.38,,
1995-06-09,25.38,,
1995-06-12,25.38,,
1995-06-13,25.38,,
1995-06-14,25.5,,
1995-06-15,25.5,,
1995-06-16,25.63,,
1995-06-19,25.5,,
1995-06-20,25.63,,
1995-06-21,25.75,,
1995-06-22,25.5,,
1995-06-23,25.5,,
1995-06-26,25.38,,
1995-06-27,25.13,,
1995-06-28,25.13,,
1995-06-29,25.0,,
1995-06-30,25.0,,
1995-07-03,25.0,,
1995-07-05,24.88,,
1995-07-06,25.0,,
1995-07-07,25.13,,
1995-07-10,25.13,,
1995-07-11,25.25,,
1995-07-12,24.88,,
1995-07-13,24.88,,
1995-07-14,25.13,,
1995-07-17,25.0,,
1995-07-18,25.25,,
1995-07-19,25.13,,
1995-07-20,25.0,,
1995-07-21,25.0,,
1995-07-24,25.0,,
1995-07-25,25.0,,
1995-07-26,25.25,,
1995-07-27,25.13,,
1995-07-28,25.13,,
1995-07-31,25.0,,
1995-08-01,25.0,,
1995-08-02,25.0,,
1995-08-03,25.13,,
1995-08-04,25.0,,
1995-08-07,25.13,,
1995-08-08,25.38,,
1995-08-09,25.38,,
1995-08-10,25.88,,
1995-08-11,26.25,,
1995-08-14,25.63,,
1995-08-15,25.75,,
1995-08-16,25.63,,
1995-08-17,25.75,,
1995-08-18,25.63,,
1995-08-21,25.88,,
1995-08-22,26.0,,
1995-08-23,26.13,,
1995-08-24,25.75,,
1995-08-25,26.0,,
1995-08-28,25.75,,
1995-08-29,25.63,,
1995-08-30,25.63,,
1995-08-31,25.63,,
1995-09-01,26.13,,
1995-09-05,26.0,,
1995-09-06,26.25,,
1995-09-07,26.0,,
1995-09-08,25.5,,
1995-09-11,25.5,,
1995-09-12,25.5,,
1995-09-13,25.38,,
1995-09-14,25.38,,
1995-09-15,25.38,,
1995-09-18,25.38,,
1995-09-19,25.25,,
1995-09-20,25.13,,
1995-09-21,25.0,,
1995-09-22,24.25,,
1995-09-25,24.63,,
1995-09-26,24.5,,
1995-09-27,24.5,,
1995-09-28,24.75,,
1995-09-29,24.75,,
1995-10-02,24.75,,
1995-10-03,24.5,,
1995-10-04,24.5,,
1995-10-05,24.5,,
1995-10-06,24.25,,
1995-10-09,24.13,,
1995-10-10,24.38,,
1995-10-11,24.38,,
1995-10-12,24.88,,
1995-10-13,24.88,,
1995-10-16,24.88,,
1995-10-17,25.0,,
1995-10-18,25.0,,
1995-10-19,24.88,,
1995-10-20,23.88,,
1995-10-23,24.13,,
1995-10-24,24.0,,
1995-10-25,23.88,,
1995-10-26,23.0,,
1995-10-27,22.88,,
1995-10-30,23.0,,
1995-10-31,23.0,,
1995-11-01,23.0,,
1995-11-02,22.63,,
1995-11-03,22.63,,
1995-11-06,22.63,,
1995-11-07,22.75,,
1995-11-08,22.75,,
1995-11-09,22.75,,
1995-11-10,22.75,,
1995-11-13,22.25,,
1995-11-14,22.0,,
1995-11-15,21.75,,
1995-11-16,22.25,,
1995-11-17,22.88,,
1995-11-20,22.75,,
1995-11-21,22.5,,
1995-11-22,22.38,,
1995-11-24,22.5,,
1995-11-27,22.63,,
1995-11-28,22.63,,
1995-11-29,22.5,,
1995-11-30,22.63,,
1995-12-01,22.88,,
1995-12-04,23.75,,
1995-12-05,23.88,,
1995-12-06,23.63,,
1995-12-07,23.0,,
1995-12-08,23.5,,
1995-12-11,23.5,,
1995-12-12,23.63,,
1995-12-13,23.88,,
1995-12-14,24.75,,
1995-12-15,24.38,,
1995-12-18,24.63,,
1995-12-19,25.0,,
1995-12-20,24.63,,
1995-12-21,24.88,,
1995-12-22,25.13,,
1995-12-26,25.0,,
1995-12-27,25.25,,
1995-12-28,24.88,,
1995-12-29,24.75,,
1996-01-02,25.0,,
1996-01-03,25.0,,
1996-01-04,24.75,,
1996-01-05,25.0,,
1996-01-08,25.0,,
1996-01-09,25.0,,
1996-01-10,25.13,,
1996-01-11,25.13,,
1996-01-12,25.38,,
1996-01-15,25.25,,
1996-01-16,25.25,,
