date,NEE,dcf,Deviation
1973-02-21,9.06,,
1973-02-22,9.19,,
1973-02-23,9.31,,
1973-02-26,9.28,,
1973-02-27,9.38,,
1973-02-28,9.5,,
1973-03-01,9.56,,
1973-03-02,9.56,,
1973-03-05,9.59,,
1973-03-06,9.66,,
1973-03-07,9.75,,
1973-03-08,9.69,,
1973-03-09,9.66,,
1973-03-12,9.69,,
1973-03-13,9.97,,
1973-03-14,9.75,,
1973-03-15,9.56,,
1973-03-16,9.19,,
1973-03-19,9.09,,
1973-03-20,9.13,,
1973-03-21,9.03,,
1973-03-22,8.94,,
1973-03-23,8.84,,
1973-03-26,8.59,,
1973-03-27,8.75,,
1973-03-28,8.63,,
1973-03-29,8.59,,
1973-03-30,8.53,,
1973-04-02,8.47,,
1973-04-03,8.31,,
1973-04-04,8.75,,
1973-04-05,8.75,,
1973-04-06,8.81,,
1973-04-09,8.81,,
1973-04-10,9.22,,
1973-04-11,9.41,,
1973-04-12,9.44,,
1973-04-13,9.38,,
1973-04-16,9.69,,
1973-04-17,9.5,,
1973-04-18,9.63,,
1973-04-19,9.63,,
1973-04-23,9.63,,
1973-04-24,9.53,,
1973-04-25,9.47,,
1973-04-26,9.38,,
1973-04-27,9.5,,
1973-04-30,9.56,,
1973-05-01,9.44,,
1973-05-02,9.5,,
1973-05-03,9.66,,
1973-05-04,9.72,,
1973-05-07,9.56,,
1973-05-08,9.66,,
1973-05-09,9.69,,
1973-05-10,9.75,,
1973-05-11,9.66,,
1973-05-14,9.41,,
1973-05-15,9.44,,
1973-05-16,9.69,,
1973-05-17,9.59,,
1973-05-18,9.5,,
1973-05-21,9.47,,
1973-05-22,9.28,,
1973-05-23,9.22,,
1973-05-24,9.41,,
1973-05-25,9.56,,
1973-05-29,9.63,,
1973-05-30,9.63,,
1973-05-31,9.63,,
1973-06-01,9.53,,
1973-06-04,9.44,,
1973-06-05,9.56,,
1973-06-06,9.56,,
1973-06-07,9.69,,
1973-06-08,9.56,,
1973-06-11,9.59,,
1973-06-12,9.63,,
1973-06-13,9.59,,
1973-06-14,9.63,,
1973-06-15,9.47,,
1973-06-18,9.31,,
1973-06-19,9.34,,
1973-06-20,9.31,,
1973-06-21,9.16,,
1973-06-22,9.25,,
1973-06-25,9.16,,
1973-06-26,9.16,,
1973-06-27,9.16,,
1973-06-28,9.16,,
1973-06-29,8.97,,
1973-07-02,8.84,,
1973-07-03,8.84,,
1973-07-05,8.84,,
1973-07-06,8.72,,
1973-07-09,8.75,,
1973-07-10,8.69,,
1973-07-11,8.75,,
1973-07-12,8.75,,
1973-07-13,8.72,,
1973-07-16,8.72,,
1973-07-17,8.72,,
1973-07-18,8.75,,
1973-07-19,8.75,,
1973-07-20,8.78,,
1973-07-23,8.94,,
1973-07-24,8.97,,
1973-07-25,8.97,,
1973-07-26,8.94,,
1973-07-27,8.84,,
1973-07-30,8.81,,
1973-07-31,8.72,,
1973-08-01,8.66,,
1973-08-02,8.41,,
1973-08-03,8.41,,
1973-08-06,8.47,,
1973-08-07,8.5,,
1973-08-08,8.5,,
1973-08-09,8.41,,
1973-08-10,8.34,,
1973-08-13,8.25,,
1973-08-14,8.16,,
1973-08-15,8.22,,
1973-08-16,8.22,,
1973-08-17,8.22,,
1973-08-20,8.31,,
1973-08-21,8.25,,
1973-08-22,8.28,,
1973-08-23,8.25,,
1973-08-24,8.34,,
1973-08-27,8.34,,
1973-08-28,8.28,,
1973-08-29,8.25,,
1973-08-30,8.41,,
1973-08-31,8.41,,
1973-09-04,8.53,,
1973-09-05,8.56,,
1973-09-06,8.78,,
1973-09-07,8.97,,
1973-09-10,8.91,,
1973-09-11,8.81,,
1973-09-12,8.75,,
1973-09-13,8.72,,
1973-09-14,8.84,,
1973-09-17,8.84,,
1973-09-18,8.84,,
1973-09-19,8.84,,
1973-09-20,8.88,,
1973-09-21,9.06,,
1973-09-24,9.38,,
1973-09-25,9.38,,
1973-09-26,9.63,,
1973-09-27,9.59,,
1973-09-28,9.47,,
1973-10-01,9.19,,
