date,PXD,dcf,Deviation
1997-08-08,37.0,,
1997-08-11,36.81,,
1997-08-12,36.94,,
1997-08-13,37.5,,
1997-08-14,36.88,,
1997-08-15,36.06,,
1997-08-18,36.06,,
1997-08-19,36.13,,
1997-08-20,35.56,,
1997-08-21,35.31,,
1997-08-22,35.31,,
1997-08-25,36.75,,
1997-08-26,38.0,,
1997-08-27,37.69,,
1997-08-28,39.13,,
1997-08-29,39.94,,
1997-09-02,41.75,,
1997-09-03,42.56,,
1997-09-04,44.0,,
1997-09-05,44.06,,
1997-09-08,43.75,,
1997-09-09,42.88,,
1997-09-10,42.31,,
1997-09-11,41.75,,
1997-09-12,41.63,,
1997-09-15,41.25,,
1997-09-16,41.25,,
1997-09-17,40.31,,
1997-09-18,40.69,,
1997-09-19,40.31,,
1997-09-22,39.69,,
1997-09-23,39.5,,
1997-09-24,39.69,,
1997-09-25,39.69,,
1997-09-26,40.63,,
1997-09-29,41.19,,
1997-09-30,42.0,,
1997-10-01,41.5,,
1997-10-02,41.38,,
1997-10-03,41.81,,
1997-10-06,43.13,,
1997-10-07,43.69,,
1997-10-08,43.13,,
1997-10-09,42.5,,
1997-10-10,42.13,,
1997-10-13,41.88,,
1997-10-14,41.31,,
1997-10-15,41.38,,
1997-10-16,41.13,,
1997-10-17,40.81,,
1997-10-20,41.44,,
1997-10-21,41.56,,
1997-10-22,41.88,,
1997-10-23,41.25,,
1997-10-24,41.06,,
1997-10-27,40.31,,
1997-10-28,40.69,,
1997-10-29,41.56,,
1997-10-30,41.13,,
1997-10-31,40.06,,
1997-11-03,39.5,,
1997-11-04,40.13,,
1997-11-05,39.06,,
1997-11-06,38.38,,
1997-11-07,36.88,,
1997-11-10,36.0,,
1997-11-11,35.31,,
1997-11-12,32.56,,
1997-11-13,30.75,,
1997-11-14,31.0,,
1997-11-17,32.69,,
1997-11-18,32.06,,
1997-11-19,31.75,,
1997-11-20,32.25,,
1997-11-21,32.38,,
1997-11-24,31.25,,
1997-11-25,30.25,,
1997-11-26,31.19,,
1997-11-28,31.94,,
1997-12-01,30.38,,
1997-12-02,30.5,,
1997-12-03,30.38,,
1997-12-04,30.38,,
1997-12-05,30.25,,
1997-12-08,29.75,,
1997-12-09,29.25,,
1997-12-10,28.0,,
1997-12-11,27.5,,
1997-12-12,27.19,,
1997-12-15,26.38,,
1997-12-16,26.94,,
1997-12-17,27.69,,
1997-12-18,27.63,,
1997-12-19,27.13,,
1997-12-22,26.06,,
1997-12-23,26.5,,
1997-12-24,26.44,,
1997-12-26,26.25,,
1997-12-29,27.31,,
1997-12-30,27.5,,
1997-12-31,29.0,,
1998-01-02,28.69,,
1998-01-05,27.44,,
1998-01-06,25.88,,
1998-01-07,25.06,,
1998-01-08,24.63,,
1998-01-09,23.75,,
1998-01-12,23.25,,
1998-01-13,24.19,,
1998-01-14,24.25,,
1998-01-15,24.0,,
1998-01-16,24.0,,
1998-01-20,24.63,,
1998-01-21,24.31,,
1998-01-22,23.81,,
1998-01-23,22.63,,
1998-01-26,20.88,,
1998-01-27,21.63,,
1998-01-28,22.13,,
1998-01-29,21.94,,
1998-01-30,21.69,,
1998-02-02,21.31,,
1998-02-03,21.5,,
1998-02-04,21.31,,
1998-02-05,22.0,,
1998-02-06,22.38,,
1998-02-09,22.06,,
1998-02-10,23.13,,
1998-02-11,22.56,,
1998-02-12,22.44,,
1998-02-13,22.31,,
1998-02-17,22.13,,
1998-02-18,21.94,,
1998-02-19,22.0,,
1998-02-20,22.0,,
1998-02-23,21.88,,
1998-02-24,21.81,,
1998-02-25,22.06,,
1998-02-26,22.94,,
1998-02-27,23.69,,
1998-03-02,23.81,,
1998-03-03,24.06,,
1998-03-04,24.13,,
1998-03-05,24.0,,
1998-03-06,23.69,,
1998-03-09,22.75,,
1998-03-10,22.38,,
1998-03-11,22.38,,
1998-03-12,22.75,,
1998-03-13,23.0,,
1998-03-16,23.5,,
1998-03-17,23.63,,
1998-03-18,23.94,,
1998-03-19,24.94,,
1998-03-20,26.06,,
1998-03-23,26.56,,
1998-03-24,26.44,,
1998-03-25,25.13,,
1998-03-26,24.81,,
1998-03-27,24.88,,
1998-03-30,25.0,,
1998-03-31,24.88,,
1998-04-01,25.69,,
1998-04-02,25.25,,
1998-04-03,25.0,,
1998-04-06,24.38,,
1998-04-07,24.63,,
1998-04-08,24.5,,
1998-04-09,24.25,,
1998-04-13,24.19,,
1998-04-14,24.19,,
1998-04-15,24.13,,
1998-04-16,23.94,,
1998-04-17,24.38,,
1998-04-20,23.69,,
1998-04-21,24.06,,
1998-04-22,23.81,,
1998-04-23,23.56,,
1998-04-24,23.56,,
1998-04-27,23.5,,
1998-04-28,23.63,,
1998-04-29,24.06,,
1998-04-30,23.94,,
1998-05-01,24.25,,
1998-05-04,23.81,,
1998-05-05,24.38,,
1998-05-06,23.88,,
1998-05-07,23.56,,
1998-05-08,23.94,,
1998-05-11,23.75,,
1998-05-12,23.81,,
1998-05-13,23.75,,
1998-05-14,23.69,,
1998-05-15,23.5,,
1998-05-18,23.25,,
1998-05-19,23.19,,
1998-05-20,23.06,,
1998-05-21,23.06,,
1998-05-22,22.81,,
1998-05-26,22.88,,
1998-05-27,22.44,,
1998-05-28,22.81,,
1998-05-29,23.25,,
1998-06-01,22.94,,
1998-06-02,22.63,,
1998-06-03,22.63,,
1998-06-04,23.06,,
1998-06-05,23.0,,
1998-06-08,22.88,,
1998-06-09,22.75,,
1998-06-10,22.63,,
1998-06-11,22.13,,
1998-06-12,22.06,,
1998-06-15,21.69,,
1998-06-16,21.75,,
1998-06-17,22.38,,
1998-06-18,21.94,,
1998-06-19,21.75,,
1998-06-22,22.25,,
1998-06-23,22.81,,
1998-06-24,23.13,,
1998-06-25,23.06,,
1998-06-26,22.88,,
1998-06-29,23.0,,
1998-06-30,23.88,,
