date,UNH,dcf,Deviation
1984-10-17,0.14,,
1984-10-18,0.15,,
1984-10-19,0.14,,
1984-10-22,0.14,,
1984-10-23,0.14,,
1984-10-24,0.14,,
1984-10-25,0.14,,
1984-10-26,0.14,,
1984-10-29,0.14,,
1984-10-30,0.14,,
1984-10-31,0.14,,
1984-11-01,0.14,,
1984-11-02,0.14,,
1984-11-05,0.14,,
1984-11-06,0.14,,
1984-11-07,0.14,,
1984-11-08,0.14,,
1984-11-09,0.14,,
1984-11-12,0.14,,
1984-11-13,0.14,,
1984-11-14,0.13,,
1984-11-15,0.13,,
1984-11-16,0.13,,
1984-11-19,0.13,,
1984-11-20,0.12,,
1984-11-21,0.12,,
1984-11-23,0.12,,
1984-11-26,0.13,,
1984-11-27,0.13,,
1984-11-28,0.13,,
1984-11-29,0.13,,
1984-11-30,0.13,,
1984-12-03,0.13,,
1984-12-04,0.12,,
1984-12-05,0.12,,
1984-12-06,0.12,,
1984-12-07,0.12,,
1984-12-10,0.12,,
1984-12-11,0.12,,
1984-12-12,0.12,,
1984-12-13,0.12,,
1984-12-14,0.12,,
1984-12-17,0.12,,
1984-12-18,0.12,,
1984-12-19,0.12,,
1984-12-20,0.12,,
1984-12-21,0.12,,
1984-12-24,0.12,,
1984-12-26,0.12,,
1984-12-27,0.12,,
1984-12-28,0.12,,
1984-12-31,0.12,,
1985-01-02,0.12,,
1985-01-03,0.12,,
1985-01-04,0.12,,
1985-01-07,0.13,,
1985-01-08,0.14,,
1985-01-09,0.14,,
1985-01-10,0.15,,
1985-01-11,0.15,,
1985-01-14,0.15,,
1985-01-15,0.16,,
1985-01-16,0.16,,
1985-01-17,0.16,,
1985-01-18,0.16,,
1985-01-21,0.16,,
1985-01-22,0.16,,
1985-01-23,0.16,,
1985-01-24,0.18,,
1985-01-25,0.19,,
1985-01-28,0.19,,
1985-01-29,0.19,,
1985-01-30,0.2,,
1985-01-31,0.2,,
1985-02-01,0.2,,
1985-02-04,0.21,,
1985-02-05,0.23,,
1985-02-06,0.24,,
1985-02-07,0.24,,
1985-02-08,0.27,,
1985-02-11,0.27,,
1985-02-12,0.26,,
1985-02-13,0.26,,
1985-02-14,0.26,,
1985-02-15,0.25,,
1985-02-19,0.25,,
1985-02-20,0.24,,
1985-02-21,0.24,,
1985-02-22,0.25,,
1985-02-25,0.25,,
1985-02-26,0.25,,
1985-02-27,0.25,,
1985-02-28,0.27,,
1985-03-01,0.27,,
1985-03-04,0.27,,
1985-03-05,0.27,,
1985-03-06,0.27,,
1985-03-07,0.27,,
1985-03-08,0.27,,
1985-03-11,0.26,,
1985-03-12,0.26,,
1985-03-13,0.25,,
1985-03-14,0.25,,
1985-03-15,0.25,,
1985-03-18,0.24,,
1985-03-19,0.24,,
1985-03-20,0.24,,
1985-03-21,0.24,,
1985-03-22,0.24,,
1985-03-25,0.24,,
1985-03-26,0.24,,
1985-03-27,0.24,,
1985-03-28,0.24,,
1985-03-29,0.23,,
1985-04-01,0.23,,
1985-04-02,0.21,,
1985-04-03,0.21,,
