date,XRX,dcf,Deviation
1989-09-19,28.6,,
1989-09-20,28.55,,
1989-09-21,28.77,,
1989-09-22,29.15,,
1989-09-25,28.88,,
1989-09-26,28.77,,
1989-09-27,28.55,,
1989-09-28,28.6,,
1989-09-29,28.71,,
1989-10-02,28.88,,
1989-10-03,28.99,,
1989-10-04,28.93,,
1989-10-05,28.88,,
1989-10-06,29.04,,
1989-10-09,29.21,,
1989-10-10,29.21,,
1989-10-11,28.99,,
1989-10-12,28.88,,
1989-10-13,27.45,,
1989-10-16,27.72,,
1989-10-17,27.28,,
1989-10-18,27.45,,
1989-10-19,27.45,,
1989-10-20,27.45,,
1989-10-23,27.12,,
1989-10-24,27.56,,
1989-10-25,26.19,,
1989-10-26,25.69,,
1989-10-27,25.09,,
1989-10-30,25.36,,
1989-10-31,25.86,,
1989-11-01,25.69,,
1989-11-02,25.42,,
1989-11-03,25.42,,
1989-11-06,25.2,,
1989-11-07,24.87,,
1989-11-08,24.92,,
1989-11-09,24.98,,
1989-11-10,24.7,,
1989-11-13,24.59,,
1989-11-14,25.03,,
1989-11-15,25.31,,
1989-11-16,25.25,,
1989-11-17,25.47,,
1989-11-20,25.2,,
1989-11-21,25.14,,
1989-11-22,25.03,,
1989-11-24,25.31,,
1989-11-27,25.14,,
1989-11-28,25.31,,
1989-11-29,25.14,,
1989-11-30,25.2,,
1989-12-01,25.53,,
1989-12-04,25.8,,
1989-12-05,26.35,,
1989-12-06,26.19,,
1989-12-07,26.3,,
1989-12-08,26.24,,
1989-12-11,26.19,,
1989-12-12,25.8,,
1989-12-13,25.31,,
1989-12-14,25.09,,
1989-12-15,24.98,,
1989-12-18,24.65,,
1989-12-19,24.21,,
1989-12-20,24.65,,
1989-12-21,24.7,,
1989-12-22,24.92,,
1989-12-26,24.98,,
1989-12-27,25.03,,
1989-12-28,25.14,,
1989-12-29,25.14,,
1990-01-02,25.36,,
1990-01-03,25.58,,
1990-01-04,25.64,,
1990-01-05,25.69,,
1990-01-08,25.53,,
1990-01-09,25.14,,
1990-01-10,24.92,,
