date,close price,ACN_SHE,ACN_TA,ACN_TL,market cap,PB Ratio
2001-07-19,15.17,,,,6265210000.0,
2001-07-20,15.01,,,,6199130000.0,
2001-07-23,15.0,,,,6195000000.0,
2001-07-24,14.86,,,,6137180000.0,
2001-07-25,14.95,,,,6174350000.0,
2001-07-26,14.5,,,,5988500000.0,
2001-07-27,14.51,,,,5992630000.0,
2001-07-30,14.7,,,,6071100000.0,
2001-07-31,14.96,,,,6178480000.0,
2001-08-01,15.5,,,,6401500000.0,
2001-08-02,15.4,,,,6360200000.0,
2001-08-03,15.15,,,,6256950000.0,
2001-08-06,15.1,,,,6236300000.0,
2001-08-07,15.5,,,,6401500000.0,
2001-08-08,15.0,,,,6195000000.0,
2001-08-09,15.5,,,,6401500000.0,
2001-08-10,15.19,,,,6273470000.0,
2001-08-13,15.01,,,,6199130000.0,
2001-08-14,14.7,,,,6071100000.0,
2001-08-15,14.79,,,,6108270000.0,
2001-08-16,14.05,,,,5802650000.0,
2001-08-17,14.52,,,,5996760000.0,
2001-08-20,15.35,,,,6339550000.0,
2001-08-21,15.46,,,,6384980000.0,
2001-08-22,15.34,,,,6335420000.0,
2001-08-23,15.25,,,,6298250000.0,
2001-08-24,15.4,,,,6360200000.0,
2001-08-27,15.48,,,,6393240000.0,
2001-08-28,15.36,,,,6343680000.0,
2001-08-29,15.01,,,,6199130000.0,
2001-08-30,14.95,,,,6174350000.0,
2001-08-31,14.9,,,,6153700000.0,
2001-09-04,15.38,,,,6351940000.0,
2001-09-05,14.91,,,,6157830000.0,
2001-09-06,14.5,,,,5988500000.0,
2001-09-07,14.52,,,,5996760000.0,
2001-09-10,15.15,,,,6256950000.0,
2001-09-17,14.6,,,,6029800000.0,
2001-09-18,14.55,,,,6009150000.0,
2001-09-19,13.95,,,,5761350000.0,
2001-09-20,12.95,,,,5348350000.0,
2001-09-21,12.75,,,,5265750000.0,
2001-09-24,13.2,,,,5451600000.0,
2001-09-25,12.8,,,,5286400000.0,
2001-09-26,12.2,,,,5038600000.0,
2001-09-27,11.85,,,,4894050000.0,
2001-09-28,12.75,,,,5265750000.0,
2001-10-01,12.7,,,,5245100000.0,
2001-10-02,12.58,,,,5195540000.0,
2001-10-03,12.95,,,,5348350000.0,
2001-10-04,13.49,,,,5571370000.0,
2001-10-05,13.55,,,,5596150000.0,
2001-10-08,13.23,,,,5463990000.0,
2001-10-09,13.4,,,,5534200000.0,
2001-10-10,13.67,,,,5645710000.0,
2001-10-11,15.16,,,,6261080000.0,
2001-10-12,16.55,,,,6835150000.0,
2001-10-15,17.5,,,,7227500000.0,
2001-10-16,17.45,,,,17694300000.0,
2001-10-17,16.98,,,,17217720000.0,
2001-10-18,16.7,,,,16933800000.0,
2001-10-19,16.85,,,,17085900000.0,
2001-10-22,17.5,,,,17745000000.0,
2001-10-23,17.62,,,,17866680000.0,
2001-10-24,17.74,,,,17988360000.0,
2001-10-25,17.74,,,,17988360000.0,
2001-10-26,17.62,,,,17866680000.0,
2001-10-29,17.55,,,,17795700000.0,
2001-10-30,17.35,,,,17592900000.0,
2001-10-31,17.57,,,,17815980000.0,
2001-11-01,18.31,,,,18566340000.0,
2001-11-02,18.25,,,,18505500000.0,
2001-11-05,18.1,,,,18353400000.0,
2001-11-06,17.97,,,,18221580000.0,
2001-11-07,18.9,,,,19164600000.0,
2001-11-08,19.95,,,,20229300000.0,
2001-11-09,19.95,,,,20229300000.0,
2001-11-12,19.49,,,,19762860000.0,
2001-11-13,20.8,,,,21091200000.0,
2001-11-14,20.21,,,,20492940000.0,
2001-11-15,20.25,,,,20533500000.0,
2001-11-16,21.04,,,,21334560000.0,
2001-11-19,22.0,,,,22308000000.0,
2001-11-20,21.25,,,,21547500000.0,
2001-11-21,20.35,,,,20634900000.0,
2001-11-23,20.55,,,,20837700000.0,
2001-11-26,21.5,,,,21801000000.0,
2001-11-27,22.5,,,,22815000000.0,
2001-11-28,21.85,,,,22155900000.0,
2001-11-29,21.43,,,,21730020000.0,
2001-11-30,22.6,,,,22916400000.0,
2001-12-03,22.9,,,,23220600000.0,
2001-12-04,24.2,,,,24538800000.0,
2001-12-05,26.65,,,,27023100000.0,
2001-12-06,26.25,,,,26617500000.0,
2001-12-07,24.86,,,,25208040000.0,
2001-12-10,24.6,,,,24944400000.0,
2001-12-11,24.76,,,,25106640000.0,
2001-12-12,25.17,,,,25522380000.0,
2001-12-13,23.3,,,,23626200000.0,
2001-12-14,23.65,,,,23981100000.0,
2001-12-17,25.46,,,,25816440000.0,
2001-12-18,25.95,,,,26313300000.0,
2001-12-19,26.03,,,,26394420000.0,
2001-12-20,27.05,,,,27428700000.0,
2001-12-21,26.15,,,,26516100000.0,
2001-12-24,26.01,,,,26374140000.0,
2001-12-26,26.24,,,,26607360000.0,
2001-12-27,26.29,,,,26658060000.0,
2001-12-28,26.55,,,,26921700000.0,
2001-12-31,26.92,,,,27296880000.0,
2002-01-02,26.21,,,,26576940000.0,
2002-01-03,25.39,,,,25745460000.0,
2002-01-04,27.7,,,,28087800000.0,
2002-01-07,26.45,,,,26820300000.0,
2002-01-08,27.28,,,,27661920000.0,
2002-01-09,27.57,,,,27955980000.0,
2002-01-10,27.82,,,,28209480000.0,
2002-01-11,26.47,,,,26840580000.0,
2002-01-14,24.94,,,,25837840000.0,
2002-01-15,25.39,,,,26304040000.0,
2002-01-16,26.0,,,,26936000000.0,
2002-01-17,26.0,,,,26936000000.0,
2002-01-18,25.76,,,,26687360000.0,
2002-01-22,24.96,,,,25858560000.0,
2002-01-23,24.55,,,,25433800000.0,
2002-01-24,25.7,,,,26625200000.0,
2002-01-25,25.2,,,,26107200000.0,
2002-01-28,24.0,,,,24864000000.0,
2002-01-29,23.88,,,,24739680000.0,
2002-01-30,24.95,,,,25848200000.0,
2002-01-31,25.78,,,,26708080000.0,
2002-02-01,28.0,,,,29008000000.0,
2002-02-04,27.31,,,,28293160000.0,
2002-02-05,27.2,,,,28179200000.0,
2002-02-06,27.02,,,,27992720000.0,
2002-02-07,27.5,,,,28490000000.0,
2002-02-08,27.72,,,,28717920000.0,
2002-02-11,26.8,,,,27764800000.0,
2002-02-12,25.98,,,,26915280000.0,
2002-02-13,25.8,,,,26728800000.0,
2002-02-14,27.0,,,,27972000000.0,
2002-02-15,27.45,,,,28438200000.0,
2002-02-19,26.95,,,,27920200000.0,
2002-02-20,27.1,,,,28075600000.0,
2002-02-21,26.0,,,,26936000000.0,
2002-02-22,25.63,,,,26552680000.0,
2002-02-25,25.2,,,,26107200000.0,
2002-02-26,25.68,,,,26604480000.0,
2002-02-27,25.74,,,,26666640000.0,
2002-02-28,26.19,,,,27132840000.0,
2002-03-01,26.2,,,,27143200000.0,
2002-03-04,26.8,,,,27764800000.0,
2002-03-05,27.75,,,,28749000000.0,
2002-03-06,27.54,,,,28531440000.0,
2002-03-07,27.14,,,,28117040000.0,
2002-03-08,29.89,,,,30966040000.0,
2002-03-11,29.9,,,,30976400000.0,
2002-03-12,29.81,,,,30883160000.0,
2002-03-13,29.15,,,,30199400000.0,
2002-03-14,28.67,,,,29702120000.0,
2002-03-15,28.99,,,,30033640000.0,
2002-03-18,29.42,,,,30479120000.0,
2002-03-19,26.0,,,,26936000000.0,
2002-03-20,26.55,,,,27505800000.0,
2002-03-21,27.39,,,,28376040000.0,
2002-03-22,27.63,,,,28624680000.0,
2002-03-25,27.05,,,,28023800000.0,
2002-03-26,26.71,,,,27671560000.0,
2002-03-27,26.51,,,,27464360000.0,
2002-03-28,26.7,,,,27661200000.0,
2002-04-01,26.65,,,,27609400000.0,
2002-04-02,26.0,,,,26936000000.0,
2002-04-03,26.01,,,,26946360000.0,
2002-04-04,25.1,,,,26003600000.0,
2002-04-05,25.16,,,,26065760000.0,
2002-04-08,24.03,,,,24895080000.0,
2002-04-09,24.41,,,,25288760000.0,
2002-04-10,24.25,,,,25123000000.0,
2002-04-11,22.55,,,,23361800000.0,
2002-04-12,22.52,,,,23330720000.0,
2002-04-15,22.44,,,,23068320000.0,
2002-04-16,23.75,,,,24415000000.0,
2002-04-17,23.98,,,,24651440000.0,
2002-04-18,23.1,,,,23746800000.0,
2002-04-19,24.48,,,,25165440000.0,
2002-04-22,24.41,,,,25093480000.0,
2002-04-23,23.94,,,,24610320000.0,
2002-04-24,23.15,,,,23798200000.0,
2002-04-25,22.48,,,,23109440000.0,
2002-04-26,21.8,,,,22410400000.0,
2002-04-29,20.26,,,,20827280000.0,
2002-04-30,21.44,,,,22040320000.0,
2002-05-01,21.08,,,,21670240000.0,
2002-05-02,21.2,,,,21793600000.0,
2002-05-03,19.87,,,,20426360000.0,
2002-05-06,20.2,,,,20765600000.0,
2002-05-07,20.66,,,,21238480000.0,
2002-05-08,22.22,,,,22842160000.0,
2002-05-09,20.2,,,,20765600000.0,
2002-05-10,20.46,,,,21032880000.0,
2002-05-13,21.15,,,,21742200000.0,
2002-05-14,21.85,,,,22461800000.0,
2002-05-15,22.22,,,,22842160000.0,
2002-05-16,20.0,,,,20560000000.0,
2002-05-17,20.0,,,,20560000000.0,
2002-05-20,21.46,,,,22060880000.0,
2002-05-21,20.9,,,,21485200000.0,
2002-05-22,20.7,,,,21279600000.0,
2002-05-23,21.01,,,,21598280000.0,
2002-05-24,20.82,,,,21402960000.0,
2002-05-28,21.15,,,,21742200000.0,
2002-05-29,21.08,,,,21670240000.0,
2002-05-30,20.71,,,,21289880000.0,
2002-05-31,20.85,,,,21433800000.0,
2002-06-03,20.31,,,,20878680000.0,
2002-06-04,19.63,,,,20179640000.0,
2002-06-05,19.69,,,,20241320000.0,
2002-06-06,19.52,,,,20066560000.0,
2002-06-07,19.95,,,,20508600000.0,
2002-06-10,20.34,,,,20909520000.0,
2002-06-11,20.39,,,,20960920000.0,
2002-06-12,20.12,,,,20683360000.0,
2002-06-13,19.76,,,,20313280000.0,
2002-06-14,20.0,,,,20560000000.0,
2002-06-17,20.65,,,,21228200000.0,
2002-06-18,20.95,,,,21536600000.0,
2002-06-19,20.41,,,,20981480000.0,
2002-06-20,19.97,,,,20529160000.0,
2002-06-21,19.7,,,,20251600000.0,
2002-06-24,19.15,,,,19686200000.0,
2002-06-25,18.75,,,,19275000000.0,
2002-06-26,18.75,,,,19275000000.0,
2002-06-27,18.82,,,,19346960000.0,
2002-06-28,19.0,,,,19532000000.0,
2002-07-01,16.75,,,,17219000000.0,
2002-07-02,16.9,,,,17373200000.0,
