date,close price,A_SHE,A_TA,A_TL,market cap,PB Ratio
,,3220000000.0,5050000000.0,1830000000.0,,
1999-11-18,31.47,3220000000.0,5050000000.0,1830000000.0,,
1999-11-19,28.88,3220000000.0,5050000000.0,1830000000.0,,
1999-11-22,31.47,3220000000.0,5050000000.0,1830000000.0,,
1999-11-23,28.61,3220000000.0,5050000000.0,1830000000.0,,
1999-11-24,29.37,3220000000.0,5050000000.0,1830000000.0,,
1999-11-26,29.46,3220000000.0,5050000000.0,1830000000.0,,
1999-11-29,30.13,3220000000.0,5050000000.0,1830000000.0,,
1999-11-30,30.18,3220000000.0,5050000000.0,1830000000.0,,
1999-12-01,30.71,3220000000.0,5050000000.0,1830000000.0,,
1999-12-02,31.56,3220000000.0,5050000000.0,1830000000.0,,
1999-12-03,31.83,3220000000.0,5050000000.0,1830000000.0,,
1999-12-06,32.73,3220000000.0,5050000000.0,1830000000.0,,
1999-12-07,32.37,3220000000.0,5050000000.0,1830000000.0,,
1999-12-08,32.32,3220000000.0,5050000000.0,1830000000.0,,
1999-12-09,32.77,3220000000.0,5050000000.0,1830000000.0,,
1999-12-10,32.01,3220000000.0,5050000000.0,1830000000.0,,
1999-12-13,32.55,3220000000.0,5050000000.0,1830000000.0,,
1999-12-14,30.76,3220000000.0,5050000000.0,1830000000.0,,
1999-12-15,29.82,3220000000.0,5050000000.0,1830000000.0,,
1999-12-16,33.8,3220000000.0,5050000000.0,1830000000.0,,
1999-12-17,32.86,3220000000.0,5050000000.0,1830000000.0,,
1999-12-20,33.53,3220000000.0,5050000000.0,1830000000.0,,
1999-12-21,33.35,3220000000.0,5050000000.0,1830000000.0,,
1999-12-22,34.02,3220000000.0,5050000000.0,1830000000.0,,
1999-12-23,35.59,3220000000.0,5050000000.0,1830000000.0,,
1999-12-27,37.78,3220000000.0,5050000000.0,1830000000.0,,
1999-12-28,43.99,3220000000.0,5050000000.0,1830000000.0,,
1999-12-29,51.5,3220000000.0,5050000000.0,1830000000.0,,
1999-12-30,56.69,3220000000.0,5050000000.0,1830000000.0,,
1999-12-31,55.3,3220000000.0,5050000000.0,1830000000.0,,
2000-01-03,51.5,3220000000.0,5050000000.0,1830000000.0,,
2000-01-04,47.57,3220000000.0,5050000000.0,1830000000.0,,
2000-01-05,44.62,3220000000.0,5050000000.0,1830000000.0,,
2000-01-06,42.92,3220000000.0,5050000000.0,1830000000.0,,
2000-01-07,46.49,3220000000.0,5050000000.0,1830000000.0,,
2000-01-10,49.31,3220000000.0,5050000000.0,1830000000.0,,
2000-01-11,48.64,3220000000.0,5050000000.0,1830000000.0,,
2000-01-12,47.66,3220000000.0,5050000000.0,1830000000.0,,
2000-01-13,48.37,3220000000.0,5050000000.0,1830000000.0,,
2000-01-14,48.91,3220000000.0,5050000000.0,1830000000.0,,
2000-01-18,51.14,3220000000.0,5050000000.0,1830000000.0,,
2000-01-19,50.07,3220000000.0,5050000000.0,1830000000.0,,
2000-01-20,48.73,3220000000.0,5050000000.0,1830000000.0,,
2000-01-21,49.18,3220000000.0,5050000000.0,1830000000.0,,
2000-01-24,49.0,3220000000.0,5050000000.0,1830000000.0,,
2000-01-25,48.42,3220000000.0,5050000000.0,1830000000.0,,
2000-01-26,48.86,3220000000.0,5050000000.0,1830000000.0,,
2000-01-27,48.95,3220000000.0,5050000000.0,1830000000.0,,
2000-01-28,48.69,3220000000.0,5050000000.0,1830000000.0,,
2000-01-31,47.34,3220000000.0,5050000000.0,1830000000.0,,
2000-02-01,50.79,3220000000.0,5050000000.0,1830000000.0,,
2000-02-02,54.72,3220000000.0,5050000000.0,1830000000.0,,
2000-02-03,55.62,3220000000.0,5050000000.0,1830000000.0,,
2000-02-04,54.54,3220000000.0,5050000000.0,1830000000.0,,
2000-02-07,56.87,3220000000.0,5050000000.0,1830000000.0,,
2000-02-08,56.51,3220000000.0,5050000000.0,1830000000.0,,
2000-02-09,54.18,3220000000.0,5050000000.0,1830000000.0,,
2000-02-10,54.86,3220000000.0,5050000000.0,1830000000.0,,
2000-02-11,53.92,3220000000.0,5050000000.0,1830000000.0,,
2000-02-14,54.68,3220000000.0,5050000000.0,1830000000.0,,
2000-02-15,58.57,3220000000.0,5050000000.0,1830000000.0,,
2000-02-16,57.94,3220000000.0,5050000000.0,1830000000.0,,
2000-02-17,69.38,3220000000.0,5050000000.0,1830000000.0,,
2000-02-18,67.06,3220000000.0,5050000000.0,1830000000.0,,
2000-02-22,65.45,3220000000.0,5050000000.0,1830000000.0,,
2000-02-23,70.82,3220000000.0,5050000000.0,1830000000.0,,
2000-02-24,76.36,3220000000.0,5050000000.0,1830000000.0,,
2000-02-25,77.34,3220000000.0,5050000000.0,1830000000.0,,
2000-02-28,72.25,3220000000.0,5050000000.0,1830000000.0,,
2000-02-29,74.3,3220000000.0,5050000000.0,1830000000.0,,
2000-03-01,78.06,3220000000.0,5050000000.0,1830000000.0,,
2000-03-02,75.32,3220000000.0,5050000000.0,1830000000.0,,
2000-03-03,77.25,3220000000.0,5050000000.0,1830000000.0,,
2000-03-06,113.73,3220000000.0,5050000000.0,1830000000.0,,
2000-03-07,101.57,3220000000.0,5050000000.0,1830000000.0,,
2000-03-08,108.73,3220000000.0,5050000000.0,1830000000.0,,
2000-03-09,109.44,3220000000.0,5050000000.0,1830000000.0,,
2000-03-10,101.57,3220000000.0,5050000000.0,1830000000.0,,
2000-03-13,93.88,3220000000.0,5050000000.0,1830000000.0,,
2000-03-14,86.82,3220000000.0,5050000000.0,1830000000.0,,
2000-03-15,81.72,4486000000.0,7107000000.0,2621000000.0,,
2000-03-16,84.45,4486000000.0,7107000000.0,2621000000.0,,
2000-03-17,86.64,4486000000.0,7107000000.0,2621000000.0,,
2000-03-20,81.37,4486000000.0,7107000000.0,2621000000.0,,
2000-03-21,82.26,4486000000.0,7107000000.0,2621000000.0,,
2000-03-22,85.43,4486000000.0,7107000000.0,2621000000.0,,
2000-03-23,85.61,4486000000.0,7107000000.0,2621000000.0,,
2000-03-24,85.84,4486000000.0,7107000000.0,2621000000.0,,
2000-03-27,81.72,4486000000.0,7107000000.0,2621000000.0,,
2000-03-28,85.21,4486000000.0,7107000000.0,2621000000.0,,
2000-03-29,80.11,4486000000.0,7107000000.0,2621000000.0,,
2000-03-30,75.11,4486000000.0,7107000000.0,2621000000.0,,
2000-03-31,74.39,4486000000.0,7107000000.0,2621000000.0,,
2000-04-03,70.1,4486000000.0,7107000000.0,2621000000.0,,
2000-04-04,66.88,4486000000.0,7107000000.0,2621000000.0,,
2000-04-05,69.34,4486000000.0,7107000000.0,2621000000.0,,
2000-04-06,75.11,4486000000.0,7107000000.0,2621000000.0,,
2000-04-07,87.27,4486000000.0,7107000000.0,2621000000.0,,
2000-04-10,76.63,4486000000.0,7107000000.0,2621000000.0,,
2000-04-11,72.2,4486000000.0,7107000000.0,2621000000.0,,
2000-04-12,61.52,4486000000.0,7107000000.0,2621000000.0,,
2000-04-13,64.38,4486000000.0,7107000000.0,2621000000.0,,
2000-04-14,59.15,4486000000.0,7107000000.0,2621000000.0,,
2000-04-17,56.87,4486000000.0,7107000000.0,2621000000.0,,
2000-04-18,62.23,4486000000.0,7107000000.0,2621000000.0,,
2000-04-19,62.41,4486000000.0,7107000000.0,2621000000.0,,
2000-04-20,64.33,4486000000.0,7107000000.0,2621000000.0,,
2000-04-24,65.54,4486000000.0,7107000000.0,2621000000.0,,
2000-04-25,64.38,4486000000.0,7107000000.0,2621000000.0,,
2000-04-26,65.72,4486000000.0,7107000000.0,2621000000.0,,
2000-04-27,64.91,4486000000.0,7107000000.0,2621000000.0,,
2000-04-28,63.39,4486000000.0,7107000000.0,2621000000.0,,
2000-05-01,68.22,4486000000.0,7107000000.0,2621000000.0,,
2000-05-02,72.08,4486000000.0,7107000000.0,2621000000.0,,
2000-05-03,65.45,4486000000.0,7107000000.0,2621000000.0,,
2000-05-04,64.56,4486000000.0,7107000000.0,2621000000.0,,
2000-05-05,65.41,4486000000.0,7107000000.0,2621000000.0,,
2000-05-08,60.62,4486000000.0,7107000000.0,2621000000.0,,
2000-05-09,57.36,4486000000.0,7107000000.0,2621000000.0,,
2000-05-10,55.08,4486000000.0,7107000000.0,2621000000.0,,
2000-05-11,54.77,4486000000.0,7107000000.0,2621000000.0,,
2000-05-12,64.78,4486000000.0,7107000000.0,2621000000.0,,
2000-05-15,63.08,4486000000.0,7107000000.0,2621000000.0,,
2000-05-16,63.3,4486000000.0,7107000000.0,2621000000.0,,
2000-05-17,55.79,4486000000.0,7107000000.0,2621000000.0,,
2000-05-18,50.79,4486000000.0,7107000000.0,2621000000.0,,
2000-05-19,47.66,4486000000.0,7107000000.0,2621000000.0,,
2000-05-22,44.62,4486000000.0,7107000000.0,2621000000.0,,
2000-05-23,41.49,4486000000.0,7107000000.0,2621000000.0,,
2000-05-24,42.2,4486000000.0,7107000000.0,2621000000.0,,
2000-05-25,49.18,4486000000.0,7107000000.0,2621000000.0,,
2000-05-26,46.49,4486000000.0,7107000000.0,2621000000.0,,
2000-05-30,53.92,4486000000.0,7107000000.0,2621000000.0,,
2000-05-31,52.66,4486000000.0,7107000000.0,2621000000.0,,
2000-06-01,52.22,4486000000.0,7107000000.0,2621000000.0,,
2000-06-02,58.48,4486000000.0,7107000000.0,2621000000.0,,
2000-06-05,56.51,4486000000.0,7107000000.0,2621000000.0,,
2000-06-06,50.79,4486000000.0,7107000000.0,2621000000.0,,
2000-06-07,47.93,4486000000.0,7107000000.0,2621000000.0,,
2000-06-08,49.45,4486000000.0,7107000000.0,2621000000.0,,
2000-06-09,50.7,4486000000.0,7107000000.0,2621000000.0,,
2000-06-12,47.21,4642000000.0,7321000000.0,2679000000.0,,
2000-06-13,49.4,4642000000.0,7321000000.0,2679000000.0,,
2000-06-14,48.46,4642000000.0,7321000000.0,2679000000.0,,
2000-06-15,47.17,4642000000.0,7321000000.0,2679000000.0,,
2000-06-16,44.8,4642000000.0,7321000000.0,2679000000.0,,
2000-06-19,48.64,4642000000.0,7321000000.0,2679000000.0,,
2000-06-20,52.66,4642000000.0,7321000000.0,2679000000.0,,
2000-06-21,56.15,4642000000.0,7321000000.0,2679000000.0,,
2000-06-22,54.18,4642000000.0,7321000000.0,2679000000.0,,
2000-06-23,53.74,4642000000.0,7321000000.0,2679000000.0,,
2000-06-26,53.74,4642000000.0,7321000000.0,2679000000.0,,
2000-06-27,53.96,4642000000.0,7321000000.0,2679000000.0,,
2000-06-28,56.87,4642000000.0,7321000000.0,2679000000.0,,
2000-06-29,54.27,4642000000.0,7321000000.0,2679000000.0,,
2000-06-30,52.75,4642000000.0,7321000000.0,2679000000.0,,
2000-07-03,52.71,4642000000.0,7321000000.0,2679000000.0,,
2000-07-05,50.25,4642000000.0,7321000000.0,2679000000.0,,
2000-07-06,49.45,4642000000.0,7321000000.0,2679000000.0,,
2000-07-07,48.28,4642000000.0,7321000000.0,2679000000.0,,
2000-07-10,49.0,4642000000.0,7321000000.0,2679000000.0,,
2000-07-11,48.15,4642000000.0,7321000000.0,2679000000.0,,
2000-07-12,49.36,4642000000.0,7321000000.0,2679000000.0,,
2000-07-13,50.79,4642000000.0,7321000000.0,2679000000.0,,
2000-07-14,55.12,4642000000.0,7321000000.0,2679000000.0,,
2000-07-17,55.97,4642000000.0,7321000000.0,2679000000.0,,
2000-07-18,54.81,4642000000.0,7321000000.0,2679000000.0,,
2000-07-19,52.98,4642000000.0,7321000000.0,2679000000.0,,
2000-07-20,38.63,4642000000.0,7321000000.0,2679000000.0,,
2000-07-21,34.38,4642000000.0,7321000000.0,2679000000.0,,
2000-07-24,35.41,4642000000.0,7321000000.0,2679000000.0,,
2000-07-25,32.01,4642000000.0,7321000000.0,2679000000.0,,
2000-07-26,30.76,4642000000.0,7321000000.0,2679000000.0,,
2000-07-27,29.15,4642000000.0,7321000000.0,2679000000.0,,
2000-07-28,29.51,4642000000.0,7321000000.0,2679000000.0,,
2000-07-31,29.15,4642000000.0,7321000000.0,2679000000.0,,
2000-08-01,28.97,4642000000.0,7321000000.0,2679000000.0,,
2000-08-02,28.7,4642000000.0,7321000000.0,2679000000.0,,
2000-08-03,29.33,4642000000.0,7321000000.0,2679000000.0,,
2000-08-04,28.66,4642000000.0,7321000000.0,2679000000.0,,
2000-08-07,28.43,4642000000.0,7321000000.0,2679000000.0,,
2000-08-08,27.76,4642000000.0,7321000000.0,2679000000.0,,
2000-08-09,28.12,4642000000.0,7321000000.0,2679000000.0,,
2000-08-10,27.9,4642000000.0,7321000000.0,2679000000.0,,
2000-08-11,29.06,4642000000.0,7321000000.0,2679000000.0,,
2000-08-14,31.12,4642000000.0,7321000000.0,2679000000.0,,
2000-08-15,30.4,4642000000.0,7321000000.0,2679000000.0,,
2000-08-16,31.12,4642000000.0,7321000000.0,2679000000.0,,
2000-08-17,33.26,4642000000.0,7321000000.0,2679000000.0,,
2000-08-18,40.33,4642000000.0,7321000000.0,2679000000.0,,
2000-08-21,43.28,4642000000.0,7321000000.0,2679000000.0,,
2000-08-22,43.28,4642000000.0,7321000000.0,2679000000.0,,
2000-08-23,43.28,4642000000.0,7321000000.0,2679000000.0,,
2000-08-24,42.74,4642000000.0,7321000000.0,2679000000.0,,
2000-08-25,41.85,4642000000.0,7321000000.0,2679000000.0,,
2000-08-28,41.93,4642000000.0,7321000000.0,2679000000.0,,
2000-08-29,45.06,4642000000.0,7321000000.0,2679000000.0,,
2000-08-30,43.9,4642000000.0,7321000000.0,2679000000.0,,
