date,close price,CHTR_SHE,CHTR_TA,CHTR_TL,market cap,PB Ratio
2003-04-15,,2862000000.0,24962000000.0,24962000000.0,,
2003-08-05,,-174000000.0,21730000000.0,21730000000.0,,
2003-11-03,,-127000000.0,21451000000.0,21451000000.0,,
2004-03-15,,-175000000.0,21364000000.0,21364000000.0,,
2004-05-10,,-441000000.0,20572000000.0,20572000000.0,,
2004-08-09,,-797000000.0,20519000000.0,20519000000.0,,
2004-11-04,,-4082000000.0,17084000000.0,17084000000.0,,
2005-03-03,,-4406000000.0,17673000000.0,17673000000.0,,
2005-05-03,,-4751000000.0,16794000000.0,16794000000.0,,
2005-08-02,,-5102000000.0,16779000000.0,16779000000.0,,
2005-11-02,,-5006000000.0,16524000000.0,16524000000.0,,
2006-02-28,,-4920000000.0,16431000000.0,16431000000.0,,
2006-05-02,,-5383000000.0,16203000000.0,16203000000.0,,
2006-08-08,,-5762000000.0,16145000000.0,16145000000.0,,
2006-10-31,,-5827000000.0,15198000000.0,15198000000.0,,
2007-02-28,,-6219000000.0,15100000000.0,15100000000.0,,
2007-05-03,,-6543000000.0,15177000000.0,15177000000.0,,
2007-08-02,,-6849000000.0,15051000000.0,15051000000.0,,
2007-11-08,,-7334000000.0,14919000000.0,14919000000.0,,
2008-02-27,,-7892000000.0,14666000000.0,14666000000.0,,
2008-05-12,,-8350000000.0,15157000000.0,15157000000.0,,
2008-08-05,,-8504000000.0,14710000000.0,14710000000.0,,
2008-11-06,,-8834000000.0,15157000000.0,15157000000.0,,
2009-03-16,,-10506000000.0,13882000000.0,13882000000.0,,
2009-05-07,,-10714000000.0,13650000000.0,13650000000.0,,
2009-08-06,,-10813000000.0,13740000000.0,13740000000.0,,
2009-11-09,,-11834000000.0,10905000000.0,10905000000.0,,
2010-01-05,35.0,-11834000000.0,10905000000.0,10905000000.0,3955733845.0,-0.33426853515294913
2010-01-06,35.0,-11834000000.0,10905000000.0,10905000000.0,3955733845.0,-0.33426853515294913
2010-01-07,35.0,-11834000000.0,10905000000.0,10905000000.0,3955733845.0,-0.33426853515294913
2010-01-08,33.5,-11834000000.0,10905000000.0,10905000000.0,3786202394.5,-0.31994274078925133
2010-01-11,33.5,-11834000000.0,10905000000.0,10905000000.0,3786202394.5,-0.31994274078925133
2010-01-12,33.5,-11834000000.0,10905000000.0,10905000000.0,3786202394.5,-0.31994274078925133
2010-01-13,32.75,-11834000000.0,10905000000.0,10905000000.0,3701436669.25,-0.3127798436074024
2010-01-14,32.75,-11834000000.0,10905000000.0,10905000000.0,3701436669.25,-0.3127798436074024
2010-01-15,32.25,-11834000000.0,10905000000.0,10905000000.0,3644926185.75,-0.3080045788195031
2010-01-19,32.0,-11834000000.0,10905000000.0,10905000000.0,3616670944.0,-0.3056169464255535
2010-01-20,31.75,-11834000000.0,10905000000.0,10905000000.0,3588415702.25,-0.30322931403160386
2010-01-21,31.6,-11834000000.0,10905000000.0,10905000000.0,3571462557.2000003,-0.3017967345952341
2010-01-22,31.5,-11834000000.0,10905000000.0,10905000000.0,3560160460.5,-0.30084168163765423
2010-01-25,31.25,-11834000000.0,10905000000.0,10905000000.0,3531905218.75,-0.29845404924370456
2010-01-26,30.75,-11834000000.0,10905000000.0,10905000000.0,3475394735.25,-0.2936787844558053
2010-01-27,30.75,-11834000000.0,10905000000.0,10905000000.0,3475394735.25,-0.2936787844558053
2010-01-28,30.75,-11834000000.0,10905000000.0,10905000000.0,3475394735.25,-0.2936787844558053
2010-01-29,30.63,-11834000000.0,10905000000.0,10905000000.0,3461832219.21,-0.2925327209067095
2010-02-01,30.5,-11834000000.0,10905000000.0,10905000000.0,3447139493.5,-0.2912911520618557
2010-02-02,30.5,-11834000000.0,10905000000.0,10905000000.0,3447139493.5,-0.2912911520618557
2010-02-03,29.75,-11834000000.0,10905000000.0,10905000000.0,3362373768.25,-0.28412825488000676
2010-02-04,30.25,-11834000000.0,10905000000.0,10905000000.0,3418884251.75,-0.288903519667906
2010-02-05,30.5,-11834000000.0,10905000000.0,10905000000.0,3447139493.5,-0.2912911520618557
2010-02-08,29.85,-11834000000.0,10905000000.0,10905000000.0,3373675864.9500003,-0.2850833078375866
