date,DAL,DAL_SHE,PB Ratio
2002-05-14,,0.0,
2003-05-15,,0.0,
2003-08-13,,0.0,
2003-11-14,,0.0,
2004-03-12,,0.0,
2004-05-10,,0.0,
2004-08-09,,0.0,
2004-11-15,,0.0,
2005-03-10,,0.0,
2005-05-10,,0.0,
2005-08-15,,0.0,
2005-11-14,,0.0,
2006-03-27,,0.0,
2006-05-12,,0.0,
2006-08-09,,0.0,
2006-11-09,,0.0,
2007-03-02,,0.0,
2007-04-27,,0.0,
2007-05-03,20720000000.0,0.0,inf
2007-05-04,20980000000.0,0.0,inf
2007-05-07,20360000000.0,0.0,inf
2007-05-08,19630000000.0,0.0,inf
2007-05-09,19790000000.0,0.0,inf
2007-05-10,19700000000.0,0.0,inf
2007-05-11,19300000000.0,0.0,inf
2007-05-14,18890000000.0,0.0,inf
2007-05-15,18200000000.0,0.0,inf
2007-05-16,18340000000.0,0.0,inf
2007-05-17,19020000000.0,0.0,inf
2007-05-18,19310000000.0,0.0,inf
2007-05-21,19000000000.0,0.0,inf
2007-05-22,19480000000.0,0.0,inf
2007-05-23,19210000000.0,0.0,inf
2007-05-24,19020000000.0,0.0,inf
2007-05-25,18760000000.0,0.0,inf
2007-05-29,19090000000.0,0.0,inf
2007-05-30,18980000000.0,0.0,inf
2007-05-31,19050000000.0,0.0,inf
2007-06-01,19550000000.0,0.0,inf
2007-06-04,18840000000.0,0.0,inf
2007-06-05,18950000000.0,0.0,inf
2007-06-06,18930000000.0,0.0,inf
2007-06-07,18480000000.0,0.0,inf
2007-06-08,18830000000.0,0.0,inf
2007-06-11,18380000000.0,0.0,inf
2007-06-12,18400000000.0,0.0,inf
2007-06-13,18640000000.0,0.0,inf
2007-06-14,18900000000.0,0.0,inf
2007-06-15,18880000000.0,0.0,inf
2007-06-18,18540000000.0,0.0,inf
2007-06-19,18870000000.0,0.0,inf
2007-06-20,19360000000.0,0.0,inf
2007-06-21,19510000000.0,0.0,inf
2007-06-22,19750000000.0,0.0,inf
2007-06-25,19430000000.0,0.0,inf
2007-06-26,19490000000.0,0.0,inf
2007-06-27,19420000000.0,0.0,inf
2007-06-28,19670000000.0,0.0,inf
2007-06-29,19700000000.0,0.0,inf
2007-07-02,19580000000.0,0.0,inf
2007-07-03,20250000000.0,0.0,inf
2007-07-05,20520000000.0,0.0,inf
2007-07-06,20830000000.0,0.0,inf
2007-07-09,21330000000.0,0.0,inf
2007-07-10,20650000000.0,0.0,inf
2007-07-11,20120000000.0,0.0,inf
2007-07-12,20430000000.0,0.0,inf
2007-07-13,20500000000.0,0.0,inf
2007-07-16,20940000000.0,0.0,inf
2007-07-17,21190000000.0,0.0,inf
2007-07-18,21370000000.0,0.0,inf
2007-07-19,21510000000.0,0.0,inf
2007-07-20,21400000000.0,0.0,inf
2007-07-23,21110000000.0,0.0,inf
2007-07-24,21330000000.0,0.0,inf
2007-07-25,20780000000.0,0.0,inf
2007-07-26,19360000000.0,0.0,inf
2007-07-27,18590000000.0,0.0,inf
2007-07-30,18050000000.0,0.0,inf
2007-07-31,17820000000.0,0.0,inf
2007-08-01,18350000000.0,0.0,inf
2007-08-02,18880000000.0,0.0,inf
2007-08-03,18700000000.0,0.0,inf
2007-08-06,18020000000.0,0.0,inf
2007-08-07,18450000000.0,0.0,inf
2007-08-08,18490000000.0,0.0,inf
2007-08-09,17870000000.0,0.0,inf
2007-08-10,17560000000.0,0.0,inf
2007-08-13,17290000000.0,0.0,inf
2007-08-14,16969999999.999998,0.0,inf
2007-08-15,15750000000.0,0.0,inf
2007-08-16,15920000000.0,0.0,inf
2007-08-17,16000000000.0,0.0,inf
2007-08-20,16079999999.999998,0.0,inf
2007-08-21,17710000000.0,0.0,inf
2007-08-22,18100000000.0,0.0,inf
2007-08-23,18000000000.0,0.0,inf
2007-08-24,18240000000.0,0.0,inf
2007-08-27,17700000000.0,0.0,inf
2007-08-28,17350000000.0,0.0,inf
2007-08-29,17360000000.0,0.0,inf
2007-08-30,16980000000.0,0.0,inf
2007-08-31,16879999999.999998,0.0,inf
2007-09-04,17530000000.0,0.0,inf
2007-09-05,17620000000.0,0.0,inf
2007-09-06,18070000000.0,0.0,inf
2007-09-07,17620000000.0,0.0,inf
2007-09-10,17440000000.0,0.0,inf
2007-09-11,17690000000.0,0.0,inf
2007-09-12,17149999999.999998,0.0,inf
2007-09-13,17590000000.0,0.0,inf
2007-09-14,17650000000.0,0.0,inf
2007-09-17,17149999999.999998,0.0,inf
2007-09-18,17450000000.0,0.0,inf
2007-09-19,18290000000.0,0.0,inf
2007-09-20,17720000000.0,0.0,inf
2007-09-21,17560000000.0,0.0,inf
2007-09-24,16030000000.000002,0.0,inf
2007-09-25,17079999999.999998,0.0,inf
2007-09-26,17870000000.0,0.0,inf
2007-09-27,17820000000.0,0.0,inf
2007-09-28,17950000000.0,0.0,inf
2007-10-01,18220000000.0,0.0,inf
2007-10-02,18980000000.0,0.0,inf
2007-10-03,19280000000.0,0.0,inf
2007-10-04,18610000000.0,0.0,inf
2007-10-05,19190000000.0,0.0,inf
2007-10-08,19480000000.0,0.0,inf
2007-10-09,19590000000.0,0.0,inf
2007-10-10,19630000000.0,0.0,inf
2007-10-11,19390000000.0,0.0,inf
2007-10-12,19960000000.0,0.0,inf
2007-10-15,20000000000.0,0.0,inf
2007-10-16,20080000000.0,0.0,inf
2007-10-17,20400000000.0,0.0,inf
2007-10-18,19960000000.0,0.0,inf
2007-10-19,19500000000.0,0.0,inf
2007-10-22,20000000000.0,0.0,inf
2007-10-23,20820000000.0,0.0,inf
2007-10-24,20580000000.0,0.0,inf
2007-10-25,20060000000.0,0.0,inf
2007-10-26,19740000000.0,0.0,inf
2007-10-29,19850000000.0,0.0,inf
2007-10-30,20680000000.0,0.0,inf
2007-10-31,20800000000.0,0.0,inf
2007-11-01,20200000000.0,0.0,inf
2007-11-02,19930000000.0,0.0,inf
2007-11-05,19510000000.0,0.0,inf
2007-11-06,18510000000.0,0.0,inf
2007-11-07,17450000000.0,0.0,inf
2007-11-08,17000000000.0,0.0,inf
2007-11-09,16500000000.0,0.0,inf
2007-11-12,17880000000.0,0.0,inf
2007-11-13,18750000000.0,0.0,inf
2007-11-14,19520000000.0,0.0,inf
2007-11-15,19840000000.0,0.0,inf
2007-11-16,19970000000.0,0.0,inf
2007-11-19,19010000000.0,0.0,inf
2007-11-20,17450000000.0,0.0,inf
2007-11-21,17910000000.0,0.0,inf
2007-11-23,18150000000.0,0.0,inf
2007-11-26,17480000000.0,0.0,inf
2007-11-27,17560000000.0,0.0,inf
2007-11-28,18770000000.0,0.0,inf
2007-11-29,18630000000.0,0.0,inf
2007-11-30,19760000000.0,0.0,inf
2007-12-03,19580000000.0,0.0,inf
2007-12-04,18610000000.0,0.0,inf
2007-12-05,18300000000.0,0.0,inf
2007-12-06,18380000000.0,0.0,inf
2007-12-07,18700000000.0,0.0,inf
2007-12-10,18240000000.0,0.0,inf
2007-12-11,17030000000.000002,0.0,inf
2007-12-12,15740000000.0,0.0,inf
