date,FE,FE_SHE,PB Ratio
2004-11-04,,8624410000000.0,
2004-12-31,12935060370000.0,8624410000000.0,1.499819740712698
2005-01-03,12882678450000.0,8624410000000.0,1.493746059150713
2005-01-04,12840118140000.0,8624410000000.0,1.4888111928816
2005-01-05,12735354300000.0,8624410000000.0,1.4766638297576298
2005-01-06,12738628169999.998,8624410000000.0,1.4770434348552537
2005-01-07,12604399500000.0,8624410000000.0,1.461479625852667
2005-01-10,12538922100000.0,8624410000000.0,1.4538875239001856
2005-01-11,12525826620000.0,8624410000000.0,1.4523691035096893
2005-01-12,12538922100000.0,8624410000000.0,1.4538875239001856
2005-01-13,12702615600000.0,8624410000000.0,1.472867778781389
2005-01-14,12807379440000.0,8624410000000.0,1.4850151419053592
2005-01-18,12905595540000.0,8624410000000.0,1.4964032948340813
2005-01-19,12866309100000.0,8624410000000.0,1.4918480336625926
2005-01-20,12718984950000.0,8624410000000.0,1.4747658042695095
2005-01-21,12682972380000.0,8624410000000.0,1.4705901481956447
2005-01-24,12846665880000.0,8624410000000.0,1.4895704030768482
2005-01-25,12761545259999.998,8624410000000.0,1.4797006705386222
2005-01-26,13033276470000.0,8624410000000.0,1.5112078936414202
2005-01-27,13095480000000.0,8624410000000.0,1.5184203904962774
2005-01-28,12899047800000.0,8624410000000.0,1.4956440846388332
2005-01-31,13016907120000.0,8624410000000.0,1.5093098681532997
2005-02-01,13095480000000.0,8624410000000.0,1.5184203904962774
2005-02-02,13213339320000.0,8624410000000.0,1.5320861740107439
2005-02-03,13039824210000.0,8624410000000.0,1.5119671038366682
2005-02-04,13144588050000.0,8624410000000.0,1.5241144669606386
2005-02-07,13115123220000.0,8624410000000.0,1.5206980210820218
2005-02-08,13226434800000.0,8624410000000.0,1.5336045944012402
2005-02-09,13268995110000.0,8624410000000.0,1.538539460670353
2005-02-10,13396676040000.0,8624410000000.0,1.5533440594776917
2005-02-11,13445784090000.0,8624410000000.0,1.5590381359420529
2005-02-14,13547274060000.0,8624410000000.0,1.570805893968399
2005-02-15,13494892140000.0,8624410000000.0,1.5647322124064138
2005-02-16,13429414740000.002,8624410000000.0,1.5571401104539326
2005-02-17,13586560500000.0,8624410000000.0,1.5753611551398878
2005-02-18,13314829290000.0,8624410000000.0,1.54385393203709
2005-02-22,13052919690000.0,8624410000000.0,1.5134855242271645
2005-02-23,13219887060000.0,8624410000000.0,1.5328453842059921
2005-02-24,13265721240000.002,8624410000000.0,1.5381598555727292
2005-02-25,13462153440000.0,8624410000000.0,1.560936161430173
2005-02-28,13501439880000.0,8624410000000.0,1.565491422601662
2005-03-01,13612751460000.0,8624410000000.0,1.5783979959208805
2005-03-02,13501439880000.0,8624410000000.0,1.565491422601662
2005-03-03,13514535360000.0,8624410000000.0,1.5670098429921584
2005-03-04,13576738890000.0,8624410000000.0,1.5742223398470157
2005-03-07,13674954990000.002,8624410000000.0,1.585610492775738
2005-03-08,13612751460000.0,8624410000000.0,1.5783979959208805
2005-03-09,13265721240000.002,8624410000000.0,1.5381598555727292
2005-03-10,13481796660000.0,0.0,inf
2005-03-11,13288638330000.002,0.0,inf
2005-03-14,13756801740000.002,0.0,inf
2005-03-15,13694598210000.0,0.0,inf
2005-03-16,13629120810000.0,0.0,inf
2005-03-17,13645490160000.0,0.0,inf
2005-03-18,13537452450000.0,0.0,inf
2005-03-21,13488344400000.0,0.0,inf
2005-03-22,13321377030000.0,0.0,inf
2005-03-23,13252625759999.998,0.0,inf
2005-03-24,13360663470000.0,0.0,inf
2005-03-28,13377032820000.0,0.0,inf
2005-03-29,13327924770000.0,0.0,inf
2005-03-30,13478522790000.0,0.0,inf
2005-03-31,13733884650000.0,0.0,inf
2005-04-01,0.0,0.0,
