date,close price,HRB_SHE,HRB_TA,HRB_TL,market cap,PB Ratio
1973-02-21,0.46,,,,193246000.0,
1973-02-22,0.45,,,,189045000.0,
1973-02-23,0.42,,,,176442000.0,
1973-02-26,0.41,,,,172241000.0,
1973-02-27,0.39,,,,163839000.0,
1973-02-28,0.41,,,,172241000.0,
1973-03-01,0.44,,,,184844000.0,
1973-03-02,0.46,,,,193246000.0,
1973-03-05,0.48,,,,201648000.0,
1973-03-06,0.47,,,,197447000.0,
1973-03-07,0.47,,,,197447000.0,
1973-03-08,0.47,,,,197447000.0,
1973-03-09,0.47,,,,197447000.0,
1973-03-12,0.47,,,,197447000.0,
1973-03-13,0.48,,,,201648000.0,
1973-03-14,0.46,,,,193246000.0,
1973-03-15,0.46,,,,193246000.0,
1973-03-16,0.45,,,,189045000.0,
1973-03-19,0.42,,,,176442000.0,
1973-03-20,0.42,,,,176442000.0,
1973-03-21,0.4,,,,168040000.0,
1973-03-22,0.39,,,,163839000.0,
1973-03-23,0.41,,,,172241000.0,
1973-03-26,0.43,,,,180643000.0,
1973-03-27,0.45,,,,189045000.0,
1973-03-28,0.46,,,,193246000.0,
1973-03-29,0.46,,,,193246000.0,
1973-03-30,0.44,,,,184844000.0,
1973-04-02,0.4,,,,168040000.0,
1973-04-03,0.41,,,,172241000.0,
1973-04-04,0.41,,,,172241000.0,
1973-04-05,0.41,,,,172241000.0,
1973-04-06,0.45,,,,189045000.0,
1973-04-09,0.46,,,,193246000.0,
1973-04-10,0.44,,,,184844000.0,
1973-04-11,0.43,,,,180643000.0,
1973-04-12,0.43,,,,180643000.0,
1973-04-13,0.43,,,,180643000.0,
1973-04-16,0.43,,,,180643000.0,
1973-04-17,0.42,,,,176442000.0,
1973-04-18,0.43,,,,180643000.0,
1973-04-19,0.42,,,,176442000.0,
1973-04-23,0.42,,,,176442000.0,
1973-04-24,0.39,,,,163839000.0,
1973-04-25,0.37,,,,155437000.0,
1973-04-26,0.37,,,,155437000.0,
1973-04-27,0.36,,,,151236000.0,
1973-04-30,0.34,,,,142834000.0,
1973-05-01,0.33,,,,138633000.0,
1973-05-02,0.36,,,,151236000.0,
1973-05-03,0.37,,,,155437000.0,
1973-05-04,0.37,,,,155437000.0,
1973-05-07,0.35,,,,147035000.0,
1973-05-08,0.35,,,,147035000.0,
1973-05-09,0.34,,,,142834000.0,
1973-05-10,0.29,,,,121829000.0,
1973-05-11,0.26,,,,109226000.0,
1973-05-14,0.27,,,,113427000.0,
1973-05-15,0.27,,,,113427000.0,
1973-05-16,0.28,,,,117628000.0,
1973-05-17,0.29,,,,121829000.0,
1973-05-18,0.28,,,,117628000.0,
1973-05-21,0.27,,,,113427000.0,
1973-05-22,0.27,,,,113427000.0,
1973-05-23,0.25,,,,105025000.0,
1973-05-24,0.26,,,,109226000.0,
1973-05-25,0.26,,,,109226000.0,
1973-05-29,0.26,,,,109226000.0,
1973-05-30,0.23,,,,96623000.0,
1973-05-31,0.18,,,,75618000.0,
1973-06-01,0.2,,,,84020000.0,
1973-06-04,0.2,,,,84020000.0,
1973-06-05,0.19,,,,79819000.0,
1973-06-06,0.19,,,,79819000.0,
1973-06-07,0.23,,,,96623000.0,
1973-06-08,0.25,,,,105025000.0,
1973-06-11,0.24,,,,100824000.0,
1973-06-12,0.23,,,,96623000.0,
1973-06-13,0.24,,,,100824000.0,
1973-06-14,0.22,,,,92422000.0,
1973-06-15,0.21,,,,88221000.0,
1973-06-18,0.22,,,,92422000.0,
1973-06-19,0.22,,,,92422000.0,
1973-06-20,0.22,,,,92422000.0,
1973-06-21,0.23,,,,96623000.0,
1973-06-22,0.23,,,,96623000.0,
1973-06-25,0.24,,,,100824000.0,
1973-06-26,0.24,,,,100824000.0,
1973-06-27,0.25,,,,105025000.0,
1973-06-28,0.25,,,,105025000.0,
1973-06-29,0.25,,,,105025000.0,
1973-07-02,0.24,,,,100824000.0,
1973-07-03,0.23,,,,96623000.0,
1973-07-05,0.25,,,,105025000.0,
1973-07-06,0.24,,,,100824000.0,
1973-07-09,0.25,,,,105025000.0,
1973-07-10,0.29,,,,121829000.0,
1973-07-11,0.29,,,,121829000.0,
1973-07-12,0.29,,,,121829000.0,
1973-07-13,0.27,,,,113427000.0,
1973-07-16,0.3,,,,126030000.0,
1973-07-17,0.3,,,,126030000.0,
1973-07-18,0.33,,,,138633000.0,
1973-07-19,0.33,,,,138633000.0,
1973-07-20,0.36,,,,151236000.0,
1973-07-23,0.38,,,,159638000.0,
1973-07-24,0.41,,,,172241000.0,
1973-07-25,0.39,,,,163839000.0,
1973-07-26,0.38,,,,159638000.0,
1973-07-27,0.39,,,,163839000.0,
1973-07-30,0.4,,,,168040000.0,
1973-07-31,0.39,,,,163839000.0,
1973-08-01,0.37,,,,155437000.0,
1973-08-02,0.36,,,,151236000.0,
1973-08-03,0.36,,,,151236000.0,
1973-08-06,0.38,,,,159638000.0,
1973-08-07,0.38,,,,159638000.0,
1973-08-08,0.38,,,,159638000.0,
1973-08-09,0.38,,,,159638000.0,
1973-08-10,0.38,,,,159638000.0,
1973-08-13,0.36,,,,151236000.0,
1973-08-14,0.36,,,,151236000.0,
1973-08-15,0.36,,,,151236000.0,
1973-08-16,0.36,,,,151236000.0,
1973-08-17,0.34,,,,142834000.0,
1973-08-20,0.33,,,,138633000.0,
1973-08-21,0.33,,,,138633000.0,
1973-08-22,0.33,,,,138633000.0,
1973-08-23,0.32,,,,134432000.0,
1973-08-24,0.31,,,,130231000.0,
1973-08-27,0.3,,,,126030000.0,
1973-08-28,0.32,,,,134432000.0,
1973-08-29,0.35,,,,147035000.0,
1973-08-30,0.36,,,,151236000.0,
1973-08-31,0.38,,,,159638000.0,
1973-09-04,0.39,,,,163839000.0,
1973-09-05,0.38,,,,159638000.0,
1973-09-06,0.38,,,,159638000.0,
1973-09-07,0.38,,,,159638000.0,
1973-09-10,0.38,,,,159638000.0,
1973-09-11,0.38,,,,159638000.0,
1973-09-12,0.38,,,,159638000.0,
1973-09-13,0.38,,,,159638000.0,
1973-09-14,0.39,,,,163839000.0,
1973-09-17,0.41,,,,172241000.0,
1973-09-18,0.41,,,,172241000.0,
1973-09-19,0.43,,,,180643000.0,
1973-09-20,0.46,,,,193246000.0,
1973-09-21,0.47,,,,197447000.0,
1973-09-24,0.46,,,,193246000.0,
1973-09-25,0.43,,,,180643000.0,
1973-09-26,0.45,,,,189045000.0,
1973-09-27,0.43,,,,180643000.0,
1973-09-28,0.43,,,,180643000.0,
1973-10-01,0.43,,,,180643000.0,
1973-10-02,0.45,,,,189045000.0,
1973-10-03,0.43,,,,180643000.0,
1973-10-04,0.44,,,,184844000.0,
1973-10-05,0.44,,,,184844000.0,
1973-10-08,0.45,,,,189045000.0,
1973-10-09,0.43,,,,180643000.0,
1973-10-10,0.43,,,,180643000.0,
1973-10-11,0.44,,,,184844000.0,
1973-10-12,0.43,,,,180643000.0,
1973-10-15,0.43,,,,180643000.0,
1973-10-16,0.44,,,,184844000.0,
1973-10-17,0.43,,,,180643000.0,
1973-10-18,0.44,,,,184844000.0,
1973-10-19,0.43,,,,180643000.0,
1973-10-22,0.43,,,,180643000.0,
1973-10-23,0.42,,,,176442000.0,
1973-10-24,0.4,,,,168040000.0,
1973-10-25,0.4,,,,168040000.0,
1973-10-26,0.39,,,,163839000.0,
1973-10-29,0.37,,,,155437000.0,
1973-10-30,0.36,,,,151236000.0,
1973-10-31,0.34,,,,142834000.0,
1973-11-01,0.34,,,,142834000.0,
1973-11-02,0.34,,,,142834000.0,
1973-11-05,0.34,,,,142834000.0,
1973-11-06,0.34,,,,142834000.0,
1973-11-07,0.35,,,,147035000.0,
1973-11-08,0.36,,,,151236000.0,
1973-11-09,0.37,,,,155437000.0,
1973-11-12,0.35,,,,147035000.0,
1973-11-13,0.34,,,,142834000.0,
1973-11-14,0.31,,,,130231000.0,
1973-11-15,0.31,,,,130231000.0,
1973-11-16,0.33,,,,138633000.0,
1973-11-19,0.31,,,,130231000.0,
1973-11-20,0.31,,,,130231000.0,
1973-11-21,0.31,,,,130231000.0,
1973-11-23,0.32,,,,134432000.0,
1973-11-26,0.3,,,,126030000.0,
1973-11-27,0.28,,,,117628000.0,
1973-11-28,0.31,,,,130231000.0,
1973-11-29,0.3,,,,126030000.0,
1973-11-30,0.29,,,,121829000.0,
1973-12-03,0.3,,,,126030000.0,
1973-12-04,0.3,,,,126030000.0,
1973-12-05,0.29,,,,121829000.0,
1973-12-06,0.3,,,,126030000.0,
1973-12-07,0.29,,,,121829000.0,
1973-12-10,0.3,,,,126030000.0,
1973-12-11,0.3,,,,126030000.0,
1973-12-12,0.29,,,,121829000.0,
1973-12-13,0.28,,,,117628000.0,
1973-12-14,0.27,,,,113427000.0,
1973-12-17,0.26,,,,109226000.0,
1973-12-18,0.27,,,,113427000.0,
1973-12-19,0.25,,,,105025000.0,
1973-12-20,0.25,,,,105025000.0,
1973-12-21,0.26,,,,109226000.0,
1973-12-24,0.25,,,,105025000.0,
1973-12-26,0.26,,,,109226000.0,
1973-12-27,0.28,,,,117628000.0,
1973-12-28,0.34,,,,142834000.0,
1973-12-31,0.34,,,,142834000.0,
1974-01-02,0.35,,,,147035000.0,
1974-01-03,0.38,,,,159638000.0,
1974-01-04,0.35,,,,147035000.0,
1974-01-07,0.36,,,,151236000.0,
1974-01-08,0.33,,,,138633000.0,
1974-01-09,0.3,,,,126030000.0,
1974-01-10,0.3,,,,126030000.0,
1974-01-11,0.33,,,,138633000.0,
1974-01-14,0.33,,,,138633000.0,
1974-01-15,0.33,,,,138633000.0,
1974-01-16,0.32,,,,134432000.0,
1974-01-17,0.34,,,,142834000.0,
1974-01-18,0.32,,,,134432000.0,
1974-01-21,0.34,,,,142834000.0,
1974-01-22,0.33,,,,138633000.0,
1974-01-23,0.33,,,,138633000.0,
1974-01-24,0.32,,,,134432000.0,
1974-01-25,0.32,,,,134432000.0,
1974-01-28,0.33,,,,138633000.0,
1974-01-29,0.33,,,,138633000.0,
