date,close price,K_SHE,K_TA,K_TL,market cap,PB Ratio
,,1529000000.0,3244000000.0,1715000000.0,,
1973-02-21,1.81,1529000000.0,3244000000.0,1715000000.0,,
1973-02-22,1.83,1529000000.0,3244000000.0,1715000000.0,,
1973-02-23,1.77,1529000000.0,3244000000.0,1715000000.0,,
1973-02-26,1.73,1529000000.0,3244000000.0,1715000000.0,,
1973-02-27,1.76,1529000000.0,3244000000.0,1715000000.0,,
1973-02-28,1.78,1529000000.0,3244000000.0,1715000000.0,,
1973-03-01,1.83,1529000000.0,3244000000.0,1715000000.0,,
1973-03-02,1.82,1529000000.0,3244000000.0,1715000000.0,,
1973-03-05,1.81,1529000000.0,3244000000.0,1715000000.0,,
1973-03-06,1.81,1529000000.0,3244000000.0,1715000000.0,,
1973-03-07,1.81,1529000000.0,3244000000.0,1715000000.0,,
1973-03-08,1.81,1529000000.0,3244000000.0,1715000000.0,,
1973-03-09,1.8,1529000000.0,3244000000.0,1715000000.0,,
1973-03-12,1.8,1529000000.0,3244000000.0,1715000000.0,,
1973-03-13,1.8,1529000000.0,3244000000.0,1715000000.0,,
1973-03-14,1.77,1529000000.0,3244000000.0,1715000000.0,,
1973-03-15,1.77,1529000000.0,3244000000.0,1715000000.0,,
1973-03-16,1.8,1529000000.0,3244000000.0,1715000000.0,,
1973-03-19,1.83,1529000000.0,3244000000.0,1715000000.0,,
1973-03-20,1.85,1529000000.0,3244000000.0,1715000000.0,,
1973-03-21,1.82,1529000000.0,3244000000.0,1715000000.0,,
1973-03-22,1.78,1529000000.0,3244000000.0,1715000000.0,,
1973-03-23,1.84,1529000000.0,3244000000.0,1715000000.0,,
1973-03-26,1.84,1529000000.0,3244000000.0,1715000000.0,,
1973-03-27,1.89,1529000000.0,3244000000.0,1715000000.0,,
1973-03-28,1.89,1529000000.0,3244000000.0,1715000000.0,,
1973-03-29,1.91,1529000000.0,3244000000.0,1715000000.0,,
1973-03-30,1.96,1529000000.0,3244000000.0,1715000000.0,,
1973-04-02,1.97,1529000000.0,3244000000.0,1715000000.0,,
1973-04-03,1.99,1529000000.0,3244000000.0,1715000000.0,,
1973-04-04,1.95,1529000000.0,3244000000.0,1715000000.0,,
1973-04-05,2.02,1529000000.0,3244000000.0,1715000000.0,,
1973-04-06,1.97,1529000000.0,3244000000.0,1715000000.0,,
1973-04-09,1.99,1529000000.0,3244000000.0,1715000000.0,,
1973-04-10,1.98,1529000000.0,3244000000.0,1715000000.0,,
1973-04-11,1.98,1529000000.0,3244000000.0,1715000000.0,,
1973-04-12,1.95,1529000000.0,3244000000.0,1715000000.0,,
1973-04-13,1.97,1529000000.0,3244000000.0,1715000000.0,,
1973-04-16,1.99,1529000000.0,3244000000.0,1715000000.0,,
1973-04-17,2.02,1529000000.0,3244000000.0,1715000000.0,,
1973-04-18,2.0,1529000000.0,3244000000.0,1715000000.0,,
1973-04-19,2.0,1529000000.0,3244000000.0,1715000000.0,,
1973-04-23,1.99,1529000000.0,3244000000.0,1715000000.0,,
1973-04-24,1.99,1529000000.0,3244000000.0,1715000000.0,,
1973-04-25,1.98,1529000000.0,3244000000.0,1715000000.0,,
1973-04-26,1.95,1529000000.0,3244000000.0,1715000000.0,,
1973-04-27,1.92,1529000000.0,3244000000.0,1715000000.0,,
1973-04-30,1.95,1529000000.0,3244000000.0,1715000000.0,,
1973-05-01,1.92,1529000000.0,3244000000.0,1715000000.0,,
1973-05-02,1.98,1529000000.0,3244000000.0,1715000000.0,,
1973-05-03,2.06,1529000000.0,3244000000.0,1715000000.0,,
1973-05-04,2.17,1529000000.0,3244000000.0,1715000000.0,,
1973-05-07,2.08,1529000000.0,3244000000.0,1715000000.0,,
1973-05-08,2.13,1529000000.0,3244000000.0,1715000000.0,,
1973-05-09,2.09,1529000000.0,3244000000.0,1715000000.0,,
1973-05-10,2.08,1529000000.0,3244000000.0,1715000000.0,,
1973-05-11,2.13,1529000000.0,3244000000.0,1715000000.0,,
1973-05-14,2.09,1529000000.0,3244000000.0,1715000000.0,,
1973-05-15,2.05,1529000000.0,3244000000.0,1715000000.0,,
1973-05-16,2.02,1529000000.0,3244000000.0,1715000000.0,,
1973-05-17,2.0,1529000000.0,3244000000.0,1715000000.0,,
1973-05-18,1.97,1529000000.0,3244000000.0,1715000000.0,,
1973-05-21,2.02,1529000000.0,3244000000.0,1715000000.0,,
1973-05-22,2.05,1529000000.0,3244000000.0,1715000000.0,,
1973-05-23,2.03,1529000000.0,3244000000.0,1715000000.0,,
1973-05-24,2.05,1529000000.0,3244000000.0,1715000000.0,,
