date,ABBV,ABBV_EPS,PE Ratio
,,0.58,
2013-01-02,35.12,0.58,60.55172413793103
2013-01-03,34.83,0.58,60.05172413793104
2013-01-04,34.39,0.58,59.293103448275865
2013-01-07,34.46,0.58,59.413793103448285
2013-01-08,33.71,0.58,58.12068965517242
2013-01-09,33.9,0.58,58.44827586206897
2013-01-10,34.0,0.58,58.62068965517242
2013-01-11,33.85,0.58,58.362068965517246
2013-01-14,34.09,0.58,58.77586206896553
2013-01-15,34.6,0.58,59.65517241379311
2013-01-16,35.54,0.58,61.27586206896552
2013-01-17,36.42,0.58,62.79310344827587
2013-01-18,37.32,0.58,64.3448275862069
2013-01-22,36.42,0.58,62.79310344827587
2013-01-23,37.8,0.58,65.17241379310344
2013-01-24,37.46,0.58,64.58620689655173
2013-01-25,37.6,0.58,64.82758620689656
2013-01-28,36.89,0.58,63.60344827586207
2013-01-29,37.31,0.58,64.32758620689656
2013-01-30,36.93,0.58,63.67241379310345
2013-01-31,36.69,0.58,63.258620689655174
2013-02-01,37.18,0.58,64.10344827586208
2013-02-04,37.28,0.58,64.27586206896552
2013-02-05,37.2,0.58,64.13793103448276
2013-02-06,37.14,0.58,64.0344827586207
2013-02-07,36.42,0.58,62.79310344827587
2013-02-08,36.25,0.58,62.50000000000001
2013-02-11,35.85,0.58,61.81034482758621
2013-02-12,35.42,0.58,61.06896551724139
2013-02-13,35.27,0.58,60.81034482758621
2013-02-14,36.57,0.58,63.05172413793104
2013-02-15,37.58,0.58,64.79310344827586
2013-02-19,38.19,0.58,65.8448275862069
2013-02-20,38.61,0.58,66.56896551724138
2013-02-21,38.78,0.58,66.86206896551725
2013-02-22,38.46,0.58,66.3103448275862
2013-02-25,37.37,0.58,64.43103448275862
2013-02-26,37.09,0.58,63.948275862068975
2013-02-27,36.73,0.58,63.32758620689655
2013-02-28,36.92,0.58,63.65517241379311
2013-03-01,37.81,0.58,65.18965517241381
2013-03-04,38.24,0.58,65.93103448275863
2013-03-05,37.51,0.58,64.67241379310344
2013-03-06,37.74,0.58,65.06896551724138
2013-03-07,37.49,0.58,64.63793103448276
2013-03-08,37.34,0.58,64.3793103448276
2013-03-11,37.67,0.58,64.94827586206897
2013-03-12,37.17,0.58,64.08620689655173
2013-03-13,37.17,0.58,64.08620689655173
2013-03-14,37.56,0.58,64.75862068965517
2013-03-15,38.5,0.58,66.37931034482759
2013-03-18,38.16,0.58,65.79310344827586
2013-03-19,38.36,0.58,66.13793103448276
2013-03-20,39.06,0.58,67.3448275862069
2013-03-21,38.49,0.58,66.36206896551725
2013-03-22,38.97,0.58,67.1896551724138
2013-03-25,39.32,0.58,67.79310344827587
2013-03-26,40.21,0.58,69.32758620689656
2013-03-27,40.15,0.58,69.22413793103449
2013-03-28,40.78,0.58,70.31034482758622
2013-04-01,41.12,0.58,70.89655172413794
2013-04-02,40.71,0.58,70.1896551724138
2013-04-03,40.57,0.58,69.94827586206897
2013-04-04,41.6,0.58,71.72413793103449
2013-04-05,41.31,0.58,71.22413793103449
