date,AKAM,AKAM_EPS,PE Ratio
,,-0.17,
1999-10-29,145.19,-0.17,-854.0588235294117
1999-11-01,174.31,-0.17,-1025.3529411764705
1999-11-02,192.75,-0.17,-1133.8235294117646
1999-11-03,190.88,-0.17,-1122.8235294117646
1999-11-04,173.25,-0.17,-1019.1176470588234
1999-11-05,174.25,-0.17,-1025.0
1999-11-08,187.56,-0.17,-1103.2941176470588
1999-11-09,189.75,-0.17,-1116.1764705882351
1999-11-10,190.0,-0.17,-1117.6470588235293
1999-11-11,182.19,-0.17,-1071.705882352941
1999-11-12,177.31,-0.17,-1043.0
1999-11-15,171.75,-0.17,-1010.2941176470588
1999-11-16,184.0,-0.17,-1082.3529411764705
1999-11-17,189.38,-0.17,-1114.0
1999-11-18,187.38,-0.17,-1102.2352941176468
1999-11-19,185.0,-0.17,-1088.235294117647
1999-11-22,184.88,-0.17,-1087.5294117647059
1999-11-23,210.0,-0.17,-1235.2941176470588
1999-11-24,201.0,-0.17,-1182.3529411764705
1999-11-26,206.5,-0.17,-1214.705882352941
1999-11-29,227.0,-0.17,-1335.2941176470588
1999-11-30,237.0,-0.17,-1394.1176470588234
1999-12-01,217.63,-0.17,-1280.1764705882351
1999-12-02,215.25,-0.17,-1266.1764705882351
1999-12-03,207.0,-0.17,-1217.6470588235293
1999-12-06,216.75,-0.17,-1275.0
1999-12-07,226.0,-0.17,-1329.4117647058822
1999-12-08,241.5,-0.17,-1420.5882352941176
1999-12-09,250.0,-0.17,-1470.5882352941176
1999-12-10,243.5,-0.17,-1432.3529411764705
1999-12-13,228.5,-0.17,-1344.1176470588234
1999-12-14,217.0,-0.17,-1276.470588235294
1999-12-15,230.38,-0.17,-1355.1764705882351
1999-12-16,271.0,-0.17,-1594.1176470588234
1999-12-17,281.75,-0.17,-1657.3529411764705
1999-12-20,286.25,-0.17,-1683.8235294117646
1999-12-21,301.88,-0.17,-1775.7647058823527
1999-12-22,291.0,-0.17,-1711.764705882353
1999-12-23,281.44,-0.17,-1655.5294117647059
1999-12-27,285.88,-0.17,-1681.6470588235293
1999-12-28,271.5,-0.17,-1597.0588235294117
1999-12-29,303.56,-0.17,-1785.6470588235293
1999-12-30,327.0,-0.17,-1923.5294117647059
1999-12-31,327.63,-0.17,-1927.2352941176468
2000-01-03,321.25,-0.17,-1889.705882352941
2000-01-04,300.0,-0.17,-1764.705882352941
2000-01-05,283.5,-0.17,-1667.6470588235293
2000-01-06,236.13,-0.17,-1388.9999999999998
2000-01-07,248.38,-0.17,-1461.0588235294117
2000-01-10,285.5,-0.17,-1679.4117647058822
2000-01-11,278.44,-0.17,-1637.8823529411764
2000-01-12,254.0,-0.17,-1494.1176470588234
2000-01-13,232.81,-0.17,-1369.4705882352941
2000-01-14,230.0,-0.17,-1352.941176470588
2000-01-18,211.5,-0.17,-1244.1176470588234
2000-01-19,224.75,-0.17,-1322.0588235294117
2000-01-20,234.0,-0.17,-1376.470588235294
2000-01-21,269.0,-0.17,-1582.3529411764705
2000-01-24,262.06,-0.17,-1541.5294117647059
2000-01-25,279.31,-0.17,-1643.0
2000-01-26,277.5,-0.17,-1632.3529411764705
2000-01-27,281.13,-0.17,-1653.705882352941
2000-01-28,270.06,-0.17,-1588.5882352941176
2000-01-31,249.13,-0.17,-1465.470588235294
2000-02-01,239.06,-0.17,-1406.235294117647
2000-02-02,233.63,-0.17,-1374.2941176470588
2000-02-03,245.38,-0.17,-1443.4117647058822
2000-02-04,235.0,-0.17,-1382.3529411764705
2000-02-07,228.63,-0.17,-1344.8823529411764
2000-02-08,240.94,-0.17,-1417.2941176470588
2000-02-09,234.88,-0.17,-1381.6470588235293
2000-02-10,229.0,-0.17,-1347.0588235294117
2000-02-11,233.06,-0.17,-1370.941176470588
2000-02-14,230.38,-0.17,-1355.1764705882351
2000-02-15,222.5,-0.17,-1308.8235294117646
2000-02-16,246.13,-0.17,-1447.8235294117646
2000-02-17,252.0,-0.17,-1482.3529411764705
2000-02-18,241.69,-0.17,-1421.705882352941
2000-02-22,242.13,-0.17,-1424.2941176470588
2000-02-23,252.06,-0.17,-1482.705882352941
2000-02-24,274.81,-0.17,-1616.5294117647059
2000-02-25,267.06,-0.17,-1570.941176470588
2000-02-28,256.75,-0.17,-1510.2941176470588
2000-02-29,261.25,-0.17,-1536.764705882353
2000-03-01,278.63,-0.17,-1638.9999999999998
2000-03-02,268.0,-0.17,-1576.470588235294
2000-03-03,268.38,-0.17,-1578.705882352941
2000-03-06,254.0,-0.17,-1494.1176470588234
2000-03-07,262.44,-0.17,-1543.764705882353
2000-03-08,265.0,-0.17,-1558.8235294117646
2000-03-09,286.0,-0.17,-1682.3529411764705
2000-03-10,296.0,-0.17,-1741.1764705882351
2000-03-13,284.75,-0.17,-1674.9999999999998
2000-03-14,269.75,-0.17,-1586.764705882353
2000-03-15,240.25,-0.17,-1413.2352941176468
2000-03-16,229.13,-0.17,-1347.8235294117646
2000-03-17,218.94,-0.17,-1287.8823529411764
2000-03-20,213.25,-0.17,-1254.4117647058822
