date,ALXN,ALXN_EPS,PE Ratio
,,-0.1,
1996-02-28,2.28,-0.1,-22.799999999999997
1996-02-29,2.31,-0.1,-23.099999999999998
1996-03-01,2.31,-0.1,-23.099999999999998
1996-03-04,2.25,-0.1,-22.5
1996-03-05,2.28,-0.1,-22.799999999999997
1996-03-06,2.19,-0.1,-21.9
1996-03-07,2.22,-0.1,-22.2
1996-03-08,2.09,-0.1,-20.9
1996-03-11,2.16,-0.1,-21.6
1996-03-12,2.16,-0.1,-21.6
1996-03-13,2.09,-0.1,-20.9
1996-03-14,2.09,-0.1,-20.9
1996-03-15,2.19,-0.1,-21.9
1996-03-18,2.09,-0.1,-20.9
1996-03-19,2.09,-0.1,-20.9
1996-03-20,2.09,-0.1,-20.9
1996-03-21,2.09,-0.1,-20.9
1996-03-22,2.09,-0.1,-20.9
1996-03-25,2.09,-0.1,-20.9
1996-03-26,2.13,-0.1,-21.299999999999997
1996-03-27,2.19,-0.1,-21.9
1996-03-28,2.19,-0.1,-21.9
1996-03-29,2.09,-0.1,-20.9
1996-04-01,2.16,-0.1,-21.6
1996-04-02,2.19,-0.1,-21.9
1996-04-03,2.25,-0.1,-22.5
1996-04-04,2.22,-0.1,-22.2
1996-04-08,2.22,-0.1,-22.2
1996-04-09,2.19,-0.1,-21.9
1996-04-10,2.22,-0.1,-22.2
1996-04-11,2.19,-0.1,-21.9
1996-04-12,2.19,-0.1,-21.9
1996-04-15,2.19,-0.1,-21.9
1996-04-16,2.22,-0.1,-22.2
1996-04-17,2.16,-0.1,-21.6
1996-04-18,2.19,-0.1,-21.9
1996-04-19,2.16,-0.1,-21.6
1996-04-22,2.19,-0.1,-21.9
1996-04-23,2.16,-0.1,-21.6
1996-04-24,2.16,-0.1,-21.6
1996-04-25,2.22,-0.1,-22.2
1996-04-26,2.16,-0.1,-21.6
1996-04-29,2.22,-0.1,-22.2
1996-04-30,2.22,-0.1,-22.2
1996-05-01,2.25,-0.1,-22.5
1996-05-02,2.31,-0.1,-23.099999999999998
1996-05-03,2.31,-0.1,-23.099999999999998
1996-05-06,2.38,-0.1,-23.799999999999997
1996-05-07,2.53,-0.1,-25.299999999999997
1996-05-08,2.75,-0.1,-27.5
1996-05-09,2.78,-0.1,-27.799999999999997
1996-05-10,2.69,-0.1,-26.9
1996-05-13,2.69,-0.1,-26.9
1996-05-14,2.69,-0.1,-26.9
1996-05-15,2.63,-0.1,-26.299999999999997
1996-05-16,2.63,-0.1,-26.299999999999997
1996-05-17,2.53,-0.1,-25.299999999999997
1996-05-20,2.38,-0.1,-23.799999999999997
1996-05-21,2.47,-0.1,-24.7
1996-05-22,2.56,-0.1,-25.599999999999998
1996-05-23,2.5,-0.1,-25.0
1996-05-24,2.5,-0.1,-25.0
1996-05-28,2.52,-0.1,-25.2
1996-05-29,2.47,-0.1,-24.7
1996-05-30,2.47,-0.1,-24.7
1996-05-31,2.59,-0.1,-25.9
1996-06-03,2.47,-0.1,-24.7
1996-06-04,2.47,-0.1,-24.7
1996-06-05,2.53,-0.1,-25.299999999999997
1996-06-06,2.47,-0.1,-24.7
1996-06-07,2.47,-0.1,-24.7
1996-06-10,2.47,-0.1,-24.7
1996-06-11,2.48,-0.1,-24.799999999999997
1996-06-12,2.47,-0.1,-24.7
1996-06-13,2.47,-0.1,-24.7
1996-06-14,2.5,-0.1,-25.0
1996-06-17,2.53,-0.1,-25.299999999999997
1996-06-18,2.41,-0.1,-24.1
1996-06-19,2.38,-0.1,-23.799999999999997
1996-06-20,2.38,-0.1,-23.799999999999997
1996-06-21,2.28,-0.1,-22.799999999999997
1996-06-24,2.28,-0.1,-22.799999999999997
1996-06-25,2.22,-0.1,-22.2
1996-06-26,2.22,-0.1,-22.2
1996-06-27,2.16,-0.1,-21.6
1996-06-28,2.19,-0.1,-21.9
1996-07-01,2.16,-0.1,-21.6
1996-07-02,2.16,-0.1,-21.6
1996-07-03,2.13,-0.1,-21.299999999999997
1996-07-05,2.06,-0.1,-20.599999999999998
1996-07-08,1.97,-0.1,-19.7
1996-07-09,1.91,-0.1,-19.099999999999998
1996-07-10,1.84,-0.1,-18.4
1996-07-11,1.66,-0.1,-16.599999999999998
1996-07-12,1.59,-0.1,-15.9
1996-07-15,1.56,-0.1,-15.6
1996-07-16,1.58,-0.1,-15.8
1996-07-17,1.59,-0.1,-15.9
1996-07-18,1.63,-0.1,-16.299999999999997
1996-07-19,1.59,-0.1,-15.9
1996-07-22,1.5,-0.1,-15.0
1996-07-23,1.59,-0.1,-15.9
1996-07-24,1.56,-0.1,-15.6
1996-07-25,1.56,-0.1,-15.6
1996-07-26,1.59,-0.1,-15.9
1996-07-29,1.5,-0.1,-15.0
1996-07-30,1.53,-0.1,-15.299999999999999
1996-07-31,1.5,-0.1,-15.0
1996-08-01,1.53,-0.1,-15.299999999999999
1996-08-02,1.5,-0.1,-15.0
1996-08-05,1.56,-0.1,-15.6
1996-08-06,1.56,-0.1,-15.6
1996-08-07,1.53,-0.1,-15.299999999999999
1996-08-08,1.66,-0.1,-16.599999999999998
1996-08-09,1.75,-0.1,-17.5
1996-08-12,1.75,-0.1,-17.5
1996-08-13,1.75,-0.1,-17.5
1996-08-14,1.75,-0.1,-17.5
1996-08-15,1.75,-0.1,-17.5
1996-08-16,1.75,-0.1,-17.5
1996-08-19,1.75,-0.1,-17.5
1996-08-20,1.73,-0.1,-17.299999999999997
1996-08-21,1.75,-0.1,-17.5
1996-08-22,1.75,-0.1,-17.5
1996-08-23,1.78,-0.1,-17.8
1996-08-26,1.91,-0.1,-19.099999999999998
1996-08-27,1.97,-0.1,-19.7
1996-08-28,2.06,-0.1,-20.599999999999998
1996-08-29,2.06,-0.1,-20.599999999999998
1996-08-30,2.13,-0.1,-21.299999999999997
1996-09-03,2.03,-0.1,-20.299999999999997
1996-09-04,1.95,-0.1,-19.5
1996-09-05,1.94,-0.1,-19.4
1996-09-06,1.88,-0.1,-18.799999999999997
1996-09-09,1.81,-0.1,-18.099999999999998
1996-09-10,1.84,-0.1,-18.4
1996-09-11,1.84,-0.1,-18.4
1996-09-12,1.84,-0.1,-18.4
1996-09-13,1.81,-0.1,-18.099999999999998
1996-09-16,1.88,-0.1,-18.799999999999997
1996-09-17,1.88,-0.1,-18.799999999999997
1996-09-18,1.88,-0.1,-18.799999999999997
1996-09-19,1.78,-0.1,-17.8
1996-09-20,1.78,-0.1,-17.8
1996-09-23,1.84,-0.1,-18.4
1996-09-24,1.78,-0.1,-17.8
1996-09-25,2.16,-0.1,-21.6
1996-09-26,2.53,-0.1,-25.299999999999997
1996-09-27,2.47,-0.1,-24.7
1996-09-30,2.5,-0.1,-25.0
1996-10-01,2.53,-0.1,-25.299999999999997
1996-10-02,2.5,-0.1,-25.0
