date,ATVI,ATVI_EPS,PE Ratio
,,-0.36,
1993-10-25,0.94,-0.36,-2.611111111111111
1993-10-26,0.86,-0.36,-2.388888888888889
1993-10-27,0.86,-0.36,-2.388888888888889
1993-10-28,0.82,-0.36,-2.2777777777777777
1993-10-29,0.83,-0.36,-2.3055555555555554
1993-11-01,0.88,-0.36,-2.4444444444444446
1993-11-02,0.88,-0.36,-2.4444444444444446
1993-11-03,0.96,-0.36,-2.6666666666666665
1993-11-04,0.96,-0.36,-2.6666666666666665
1993-11-05,1.0,-0.36,-2.7777777777777777
1993-11-08,1.0,-0.36,-2.7777777777777777
1993-11-09,0.88,-0.36,-2.4444444444444446
1993-11-10,0.9,-0.36,-2.5
1993-11-11,0.9,-0.36,-2.5
1993-11-12,0.9,-0.36,-2.5
1993-11-15,0.9,-0.36,-2.5
1993-11-16,1.02,-0.36,-2.8333333333333335
1993-11-17,0.92,-0.36,-2.555555555555556
1993-11-18,0.92,-0.36,-2.555555555555556
1993-11-19,0.89,-0.36,-2.4722222222222223
1993-11-22,0.95,-0.36,-2.638888888888889
1993-11-23,0.92,-0.36,-2.555555555555556
1993-11-24,0.9,-0.36,-2.5
1993-11-26,0.9,-0.36,-2.5
1993-11-29,0.96,-0.36,-2.6666666666666665
1993-11-30,0.96,-0.36,-2.6666666666666665
1993-12-01,0.96,-0.36,-2.6666666666666665
1993-12-02,0.94,-0.36,-2.611111111111111
1993-12-03,0.92,-0.36,-2.555555555555556
1993-12-06,0.92,-0.36,-2.555555555555556
1993-12-07,0.88,-0.36,-2.4444444444444446
1993-12-08,0.88,-0.36,-2.4444444444444446
1993-12-09,0.88,-0.36,-2.4444444444444446
1993-12-10,0.85,-0.36,-2.361111111111111
1993-12-13,0.88,-0.36,-2.4444444444444446
1993-12-14,0.85,-0.36,-2.361111111111111
1993-12-15,0.86,-0.36,-2.388888888888889
1993-12-16,0.85,-0.36,-2.361111111111111
1993-12-17,0.85,-0.36,-2.361111111111111
1993-12-20,0.9,-0.36,-2.5
1993-12-21,0.9,-0.36,-2.5
1993-12-22,0.9,-0.36,-2.5
1993-12-23,0.85,-0.36,-2.361111111111111
1993-12-27,0.94,-0.36,-2.611111111111111
1993-12-28,1.0,-0.36,-2.7777777777777777
1993-12-29,1.13,-0.36,-3.138888888888889
1993-12-30,1.1,-0.36,-3.055555555555556
1993-12-31,1.1,-0.36,-3.055555555555556
1994-01-03,1.17,-0.36,-3.25
1994-01-04,1.1,-0.36,-3.055555555555556
1994-01-05,1.17,-0.36,-3.25
1994-01-06,1.11,-0.36,-3.083333333333334
1994-01-07,1.09,-0.36,-3.027777777777778
1994-01-10,1.08,-0.36,-3.0000000000000004
1994-01-11,1.06,-0.36,-2.9444444444444446
1994-01-12,1.1,-0.36,-3.055555555555556
1994-01-13,1.07,-0.36,-2.9722222222222223
1994-01-14,1.1,-0.36,-3.055555555555556
1994-01-17,1.1,-0.36,-3.055555555555556
1994-01-18,1.02,-0.36,-2.8333333333333335
1994-01-19,1.08,-0.36,-3.0000000000000004
1994-01-20,0.92,-0.36,-2.555555555555556
1994-01-21,0.88,-0.36,-2.4444444444444446
1994-01-24,0.81,-0.36,-2.2500000000000004
1994-01-25,0.71,-0.36,-1.972222222222222
1994-01-26,0.81,-0.36,-2.2500000000000004
1994-01-27,0.9,-0.36,-2.5
1994-01-28,0.92,-0.36,-2.555555555555556
1994-01-31,0.92,-0.36,-2.555555555555556
1994-02-01,0.81,-0.36,-2.2500000000000004
1994-02-02,0.92,-0.36,-2.555555555555556
1994-02-03,0.86,-0.36,-2.388888888888889
1994-02-04,0.85,-0.36,-2.361111111111111
1994-02-07,0.88,-0.36,-2.4444444444444446
1994-02-08,0.88,-0.36,-2.4444444444444446
1994-02-09,0.94,-0.36,-2.611111111111111
1994-02-10,0.83,-0.36,-2.3055555555555554
1994-02-11,0.94,-0.36,-2.611111111111111
1994-02-14,0.94,-0.36,-2.611111111111111
1994-02-15,0.94,-0.36,-2.611111111111111
1994-02-16,0.83,-0.36,-2.3055555555555554
1994-02-17,0.83,-0.36,-2.3055555555555554
1994-02-18,0.98,-0.36,-2.7222222222222223
1994-02-22,0.98,-0.36,-2.7222222222222223
1994-02-23,0.83,-0.36,-2.3055555555555554
1994-02-24,0.83,-0.36,-2.3055555555555554
1994-02-25,0.83,-0.36,-2.3055555555555554
1994-02-28,0.96,-0.36,-2.6666666666666665
1994-03-01,0.96,-0.36,-2.6666666666666665
1994-03-02,0.88,-0.36,-2.4444444444444446
1994-03-03,0.88,-0.36,-2.4444444444444446
1994-03-04,0.81,-0.36,-2.2500000000000004
1994-03-07,0.83,-0.36,-2.3055555555555554
1994-03-08,0.81,-0.36,-2.2500000000000004
1994-03-09,0.81,-0.36,-2.2500000000000004
1994-03-10,0.81,-0.36,-2.2500000000000004
1994-03-11,0.92,-0.36,-2.555555555555556
1994-03-14,0.79,-0.36,-2.1944444444444446
1994-03-15,0.79,-0.36,-2.1944444444444446
1994-03-16,0.83,-0.36,-2.3055555555555554
1994-03-17,0.75,-0.36,-2.0833333333333335
1994-03-18,0.71,-0.36,-1.972222222222222
1994-03-21,0.69,-0.36,-1.9166666666666665
1994-03-22,0.73,-0.36,-2.0277777777777777
1994-03-23,0.77,-0.36,-2.138888888888889
1994-03-24,0.75,-0.36,-2.0833333333333335
1994-03-25,0.69,-0.36,-1.9166666666666665
1994-03-28,0.69,-0.36,-1.9166666666666665
1994-03-29,0.69,-0.36,-1.9166666666666665
1994-03-30,0.75,-0.36,-2.0833333333333335
1994-03-31,0.72,-0.36,-2.0
1994-04-04,0.72,-0.36,-2.0
1994-04-05,0.75,-0.36,-2.0833333333333335
1994-04-06,0.75,-0.36,-2.0833333333333335
1994-04-07,0.75,-0.36,-2.0833333333333335
1994-04-08,0.71,-0.36,-1.972222222222222
1994-04-11,0.75,-0.36,-2.0833333333333335
1994-04-12,0.67,-0.36,-1.8611111111111114
1994-04-13,0.72,-0.36,-2.0
1994-04-14,0.67,-0.36,-1.8611111111111114
1994-04-15,0.63,-0.36,-1.75
1994-04-18,0.58,-0.36,-1.6111111111111112
1994-04-19,0.58,-0.36,-1.6111111111111112
1994-04-20,0.58,-0.36,-1.6111111111111112
1994-04-21,0.49,-0.36,-1.3611111111111112
1994-04-22,0.49,-0.36,-1.3611111111111112
1994-04-25,0.49,-0.36,-1.3611111111111112
1994-04-26,0.49,-0.36,-1.3611111111111112
1994-04-28,0.46,-0.36,-1.277777777777778
1994-04-29,0.5,-0.36,-1.3888888888888888
1994-05-02,0.52,-0.36,-1.4444444444444446
1994-05-03,0.52,-0.36,-1.4444444444444446
1994-05-04,0.56,-0.36,-1.5555555555555558
1994-05-05,0.56,-0.36,-1.5555555555555558
1994-05-06,0.51,-0.36,-1.4166666666666667
1994-05-09,0.51,-0.36,-1.4166666666666667
1994-05-10,0.48,-0.36,-1.3333333333333333
1994-05-11,0.5,-0.36,-1.3888888888888888
1994-05-12,0.5,-0.36,-1.3888888888888888
1994-05-13,0.6,-0.36,-1.6666666666666667
1994-05-16,0.6,-0.36,-1.6666666666666667
1994-05-17,0.54,-0.36,-1.5000000000000002
1994-05-18,0.54,-0.36,-1.5000000000000002
1994-05-19,0.44,-0.36,-1.2222222222222223
1994-05-20,0.44,-0.36,-1.2222222222222223
1994-05-23,0.44,-0.36,-1.2222222222222223
1994-05-24,0.42,-0.36,-1.1666666666666667
1994-05-25,0.42,-0.36,-1.1666666666666667
1994-05-26,0.5,-0.36,-1.3888888888888888
1994-05-27,0.48,-0.36,-1.3333333333333333
1994-05-31,0.48,-0.36,-1.3333333333333333
1994-06-01,0.44,-0.36,-1.2222222222222223
1994-06-02,0.44,-0.36,-1.2222222222222223
1994-06-03,0.44,-0.36,-1.2222222222222223
1994-06-06,0.44,-0.36,-1.2222222222222223
1994-06-07,0.46,-0.36,-1.277777777777778
1994-06-08,0.46,-0.36,-1.277777777777778
1994-06-09,0.46,-0.36,-1.277777777777778
1994-06-10,0.56,-0.36,-1.5555555555555558
1994-06-13,0.56,-0.36,-1.5555555555555558
1994-06-14,0.42,-0.36,-1.1666666666666667
1994-06-15,0.42,-0.36,-1.1666666666666667
1994-06-16,0.44,-0.36,-1.2222222222222223
1994-06-17,0.46,-0.36,-1.277777777777778
1994-06-20,0.48,-0.36,-1.3333333333333333
1994-06-21,0.42,-0.36,-1.1666666666666667
1994-06-22,0.43,-0.36,-1.1944444444444444
1994-06-23,0.43,-0.36,-1.1944444444444444
1994-06-24,0.43,-0.36,-1.1944444444444444
1994-06-27,0.42,-0.36,-1.1666666666666667
