date,CAT,CAT_EPS,PE Ratio
1962-01-02,1.6,,
1962-01-03,1.62,,
1962-01-04,1.66,,
1962-01-05,1.68,,
1962-01-08,1.69,,
1962-01-09,1.7,,
1962-01-10,1.68,,
1962-01-11,1.71,,
1962-01-12,1.72,,
1962-01-15,1.71,,
1962-01-16,1.69,,
1962-01-17,1.68,,
1962-01-18,1.72,,
1962-01-19,1.75,,
1962-01-22,1.74,,
1962-01-23,1.71,,
1962-01-24,1.7,,
1962-01-25,1.71,,
1962-01-26,1.71,,
1962-01-29,1.72,,
1962-01-30,1.7,,
1962-01-31,1.71,,
1962-02-01,1.74,,
1962-02-02,1.73,,
1962-02-05,1.72,,
1962-02-06,1.73,,
1962-02-07,1.71,,
1962-02-08,1.71,,
1962-02-09,1.69,,
1962-02-12,1.7,,
1962-02-13,1.69,,
1962-02-14,1.68,,
1962-02-15,1.67,,
1962-02-16,1.68,,
1962-02-19,1.68,,
1962-02-20,1.67,,
1962-02-21,1.64,,
1962-02-23,1.64,,
1962-02-26,1.7,,
1962-02-27,1.68,,
1962-02-28,1.68,,
1962-03-01,1.68,,
1962-03-02,1.69,,
1962-03-05,1.69,,
1962-03-06,1.68,,
1962-03-07,1.66,,
1962-03-08,1.64,,
1962-03-09,1.64,,
1962-03-12,1.61,,
1962-03-13,1.63,,
1962-03-14,1.66,,
1962-03-15,1.65,,
1962-03-16,1.66,,
1962-03-19,1.66,,
1962-03-20,1.7,,
1962-03-21,1.66,,
1962-03-22,1.68,,
1962-03-23,1.68,,
1962-03-26,1.67,,
1962-03-27,1.67,,
1962-03-28,1.7,,
1962-03-29,1.68,,
1962-03-30,1.7,,
1962-04-02,1.67,,
1962-04-03,1.67,,
1962-04-04,1.67,,
1962-04-05,1.69,,
1962-04-06,1.68,,
1962-04-09,1.66,,
1962-04-10,1.68,,
1962-04-11,1.67,,
1962-04-12,1.66,,
1962-04-13,1.61,,
1962-04-16,1.57,,
1962-04-17,1.59,,
1962-04-18,1.6,,
1962-04-19,1.6,,
1962-04-23,1.55,,
1962-04-24,1.57,,
1962-04-25,1.53,,
1962-04-26,1.55,,
1962-04-27,1.54,,
1962-04-30,1.48,,
1962-05-01,1.49,,
1962-05-02,1.5,,
1962-05-03,1.57,,
1962-05-04,1.55,,
1962-05-07,1.55,,
1962-05-08,1.55,,
1962-05-09,1.54,,
1962-05-10,1.47,,
1962-05-11,1.47,,
1962-05-14,1.45,,
1962-05-15,1.53,,
1962-05-16,1.52,,
1962-05-17,1.51,,
1962-05-18,1.54,,
1962-05-21,1.52,,
1962-05-22,1.5,,
1962-05-23,1.46,,
1962-05-24,1.45,,
1962-05-25,1.44,,
1962-05-28,1.36,,
1962-05-29,1.35,,
1962-05-31,1.43,,
1962-06-01,1.45,,
1962-06-04,1.39,,
1962-06-05,1.41,,
1962-06-06,1.44,,
1962-06-07,1.46,,
1962-06-08,1.45,,
1962-06-11,1.41,,
1962-06-12,1.4,,
1962-06-13,1.38,,
1962-06-14,1.34,,
1962-06-15,1.37,,
1962-06-18,1.38,,
1962-06-19,1.39,,
1962-06-20,1.36,,
1962-06-21,1.33,,
1962-06-22,1.29,,
1962-06-25,1.23,,
1962-06-26,1.26,,
1962-06-27,1.25,,
1962-06-28,1.32,,
1962-06-29,1.33,,
1962-07-02,1.33,,
1962-07-03,1.35,,
1962-07-05,1.39,,
1962-07-06,1.38,,
1962-07-09,1.37,,
1962-07-10,1.38,,
1962-07-11,1.35,,
1962-07-12,1.36,,
1962-07-13,1.34,,
1962-07-16,1.35,,
1962-07-17,1.33,,
1962-07-18,1.3,,
1962-07-19,1.3,,
1962-07-20,1.33,,
1962-07-23,1.32,,
1962-07-24,1.29,,
1962-07-25,1.28,,
1962-07-26,1.27,,
1962-07-27,1.29,,
1962-07-30,1.3,,
1962-07-31,1.32,,
1962-08-01,1.32,,
1962-08-02,1.32,,
1962-08-03,1.33,,
1962-08-06,1.34,,
1962-08-07,1.35,,
1962-08-08,1.33,,
1962-08-09,1.32,,
1962-08-10,1.31,,
1962-08-13,1.3,,
1962-08-14,1.31,,
1962-08-15,1.41,,
1962-08-16,1.41,,
1962-08-17,1.41,,
1962-08-20,1.4,,
1962-08-21,1.4,,
1962-08-22,1.43,,
1962-08-23,1.44,,
1962-08-24,1.46,,
1962-08-27,1.47,,
1962-08-28,1.46,,
1962-08-29,1.46,,
1962-08-30,1.46,,
1962-08-31,1.46,,
1962-09-04,1.45,,
1962-09-05,1.41,,
1962-09-06,1.41,,
1962-09-07,1.43,,
1962-09-10,1.41,,
1962-09-11,1.41,,
1962-09-12,1.42,,
1962-09-13,1.45,,
1962-09-14,1.41,,
1962-09-17,1.4,,
1962-09-18,1.42,,
1962-09-19,1.41,,
1962-09-20,1.42,,
1962-09-21,1.41,,
1962-09-24,1.37,,
1962-09-25,1.39,,
1962-09-26,1.35,,
1962-09-27,1.33,,
1962-09-28,1.31,,
1962-10-01,1.31,,
1962-10-02,1.31,,
1962-10-03,1.32,,
1962-10-04,1.35,,
1962-10-05,1.34,,
1962-10-08,1.34,,
1962-10-09,1.32,,
1962-10-10,1.35,,
1962-10-11,1.33,,
1962-10-12,1.32,,
1962-10-15,1.37,,
1962-10-16,1.35,,
1962-10-17,1.36,,
1962-10-18,1.33,,
1962-10-19,1.29,,
1962-10-22,1.27,,
1962-10-23,1.24,,
1962-10-24,1.28,,
1962-10-25,1.28,,
1962-10-26,1.27,,
1962-10-29,1.33,,
1962-10-30,1.38,,
1962-10-31,1.37,,
1962-11-01,1.4,,
1962-11-02,1.41,,
1962-11-05,1.44,,
1962-11-07,1.46,,
1962-11-08,1.46,,
1962-11-09,1.45,,
1962-11-12,1.46,,
1962-11-13,1.48,,
1962-11-14,1.51,,
1962-11-15,1.5,,
1962-11-16,1.5,,
1962-11-19,1.5,,
1962-11-20,1.5,,
1962-11-21,1.5,,
1962-11-23,1.5,,
1962-11-26,1.5,,
1962-11-27,1.5,,
1962-11-28,1.51,,
1962-11-29,1.51,,
1962-11-30,1.51,,
1962-12-03,1.51,,
1962-12-04,1.57,,
1962-12-05,1.55,,
1962-12-06,1.58,,
1962-12-07,1.57,,
1962-12-10,1.54,,
1962-12-11,1.54,,
1962-12-12,1.49,,
1962-12-13,1.51,,
1962-12-14,1.49,,
1962-12-17,1.47,,
1962-12-18,1.5,,
1962-12-19,1.51,,
1962-12-20,1.49,,
1962-12-21,1.52,,
1962-12-24,1.53,,
1962-12-26,1.55,,
1962-12-27,1.55,,
1962-12-28,1.54,,
1962-12-31,1.56,,
1963-01-02,1.54,,
1963-01-03,1.56,,
1963-01-04,1.59,,
1963-01-07,1.59,,
1963-01-08,1.59,,
1963-01-09,1.59,,
1963-01-10,1.58,,
1963-01-11,1.58,,
1963-01-14,1.59,,
1963-01-15,1.6,,
1963-01-16,1.57,,
1963-01-17,1.59,,
1963-01-18,1.58,,
1963-01-21,1.55,,
1963-01-22,1.56,,
1963-01-23,1.55,,
1963-01-24,1.56,,
1963-01-25,1.56,,
1963-01-28,1.58,,
1963-01-29,1.59,,
1963-01-30,1.59,,
1963-01-31,1.6,,
1963-02-01,1.58,,
1963-02-04,1.57,,
1963-02-05,1.55,,
1963-02-06,1.56,,
1963-02-07,1.52,,
1963-02-08,1.52,,
1963-02-11,1.49,,
1963-02-12,1.52,,
1963-02-13,1.52,,
1963-02-14,1.52,,
1963-02-15,1.5,,
1963-02-18,1.5,,
1963-02-19,1.49,,
1963-02-20,1.48,,
1963-02-21,1.46,,
1963-02-25,1.47,,
1963-02-26,1.48,,
1963-02-27,1.46,,
1963-02-28,1.46,,
1963-03-01,1.45,,
1963-03-04,1.48,,
1963-03-05,1.47,,
1963-03-06,1.48,,
1963-03-07,1.5,,
1963-03-08,1.48,,
1963-03-11,1.5,,
1963-03-12,1.51,,
1963-03-13,1.49,,
1963-03-14,1.49,,
1963-03-15,1.48,,
1963-03-18,1.49,,
1963-03-19,1.49,,
1963-03-20,1.47,,
1963-03-21,1.47,,
1963-03-22,1.47,,
1963-03-25,1.46,,
1963-03-26,1.48,,
1963-03-27,1.51,,
1963-03-28,1.54,,
1963-03-29,1.52,,
1963-04-01,1.55,,
1963-04-02,1.55,,
1963-04-03,1.56,,
1963-04-04,1.56,,
1963-04-05,1.56,,
1963-04-08,1.57,,
1963-04-09,1.59,,
1963-04-10,1.56,,
1963-04-11,1.56,,
1963-04-15,1.56,,
1963-04-16,1.55,,
1963-04-17,1.54,,
1963-04-18,1.56,,
1963-04-19,1.57,,
1963-04-22,1.55,,
1963-04-23,1.54,,
