date,CMG,CMG_EPS,PE Ratio
2006-01-26,44.0,,
2006-01-27,42.2,,
2006-01-30,44.8,,
2006-01-31,47.52,,
2006-02-01,46.56,,
2006-02-02,44.75,,
2006-02-03,46.55,,
2006-02-06,47.71,,
2006-02-07,46.28,,
2006-02-08,45.74,,
2006-02-09,44.05,,
2006-02-10,42.31,,
2006-02-13,41.48,,
2006-02-14,43.0,,
2006-02-15,42.7,,
2006-02-16,44.45,,
2006-02-17,43.85,,
2006-02-21,43.1,,
2006-02-22,43.87,,
2006-02-23,45.8,,
2006-02-24,46.67,,
2006-02-27,46.53,,
2006-02-28,45.6,,
2006-03-01,45.5,,
2006-03-02,45.75,,
2006-03-03,45.48,,
2006-03-06,45.79,,
2006-03-07,45.0,,
2006-03-08,42.5,,
2006-03-09,41.46,,
2006-03-10,42.11,,
2006-03-13,43.41,,
2006-03-14,48.7,,
2006-03-15,52.01,,
2006-03-16,55.05,,
2006-03-17,53.86,,
2006-03-20,50.09,,
2006-03-21,52.0,,
2006-03-22,54.8,,
2006-03-23,53.88,,
2006-03-24,54.51,,
2006-03-27,54.09,,
2006-03-28,53.2,,
2006-03-29,53.93,,
2006-03-30,55.41,,
2006-03-31,55.39,,
2006-04-03,56.98,,
2006-04-04,57.0,,
2006-04-05,57.15,,
2006-04-06,55.5,,
2006-04-07,54.65,,
2006-04-10,53.73,,
2006-04-11,54.6,,
2006-04-12,54.05,,
2006-04-13,53.02,,
2006-04-17,54.07,,
2006-04-18,53.92,,
2006-04-19,54.0,,
2006-04-20,53.16,,
2006-04-21,53.4,,
2006-04-24,53.31,,
2006-04-25,52.15,,
2006-04-26,51.1,,
2006-04-27,50.78,,
2006-04-28,52.19,,
2006-05-01,51.65,,
2006-05-02,54.56,,
2006-05-03,55.01,,
2006-05-04,55.61,,
2006-05-05,56.9,,
2006-05-08,59.27,,
2006-05-09,67.05,0.26,257.88461538461536
2006-05-10,64.85,0.26,249.4230769230769
2006-05-11,64.2,0.26,246.92307692307693
2006-05-12,63.27,0.26,243.34615384615384
2006-05-15,62.15,0.26,239.03846153846152
2006-05-16,63.9,0.26,245.76923076923075
2006-05-17,64.16,0.26,246.76923076923075
2006-05-18,62.69,0.26,241.11538461538458
2006-05-19,61.83,0.26,237.8076923076923
2006-05-22,60.82,0.26,233.9230769230769
2006-05-23,60.76,0.26,233.69230769230768
2006-05-24,60.15,0.26,231.34615384615384
2006-05-25,61.25,0.26,235.57692307692307
2006-05-26,60.89,0.26,234.19230769230768
2006-05-30,58.09,0.26,223.42307692307693
2006-05-31,57.77,0.26,222.1923076923077
2006-06-01,60.0,0.26,230.76923076923077
2006-06-02,60.57,0.26,232.96153846153845
2006-06-05,58.9,0.26,226.53846153846152
2006-06-06,58.16,0.26,223.69230769230768
2006-06-07,58.61,0.26,225.4230769230769
