date,CMI,CMI_EPS,PE Ratio
1973-02-21,5.23,,
1973-02-22,5.28,,
1973-02-23,5.06,,
1973-02-26,5.0,,
1973-02-27,4.95,,
1973-02-28,4.94,,
1973-03-01,4.95,,
1973-03-02,4.92,,
1973-03-05,4.91,,
1973-03-06,4.8,,
1973-03-07,4.66,,
1973-03-08,4.69,,
1973-03-09,4.72,,
1973-03-12,4.69,,
1973-03-13,4.69,,
1973-03-14,4.66,,
1973-03-15,4.38,,
1973-03-16,4.28,,
1973-03-19,4.23,,
1973-03-20,4.2,,
1973-03-21,4.23,,
1973-03-22,4.28,,
1973-03-23,4.3,,
1973-03-26,4.3,,
1973-03-27,4.52,,
1973-03-28,4.64,,
1973-03-29,4.95,,
1973-03-30,4.91,,
1973-04-02,4.86,,
1973-04-03,4.83,,
1973-04-04,4.64,,
1973-04-05,4.63,,
1973-04-06,4.34,,
1973-04-09,4.27,,
1973-04-10,4.41,,
1973-04-11,4.67,,
1973-04-12,4.84,,
1973-04-13,4.81,,
1973-04-16,4.69,,
1973-04-17,4.69,,
1973-04-18,4.56,,
1973-04-19,4.5,,
1973-04-23,4.5,,
1973-04-24,4.53,,
1973-04-25,4.36,,
1973-04-26,4.38,,
1973-04-27,4.25,,
1973-04-30,4.48,,
1973-05-01,4.41,,
1973-05-02,4.36,,
1973-05-03,4.3,,
1973-05-04,4.36,,
1973-05-07,4.31,,
1973-05-08,4.23,,
1973-05-09,4.23,,
1973-05-10,4.13,,
1973-05-11,4.19,,
1973-05-14,4.09,,
1973-05-15,4.0,,
1973-05-16,4.0,,
1973-05-17,3.94,,
1973-05-18,3.92,,
1973-05-21,3.88,,
1973-05-22,3.84,,
1973-05-23,3.88,,
1973-05-24,3.89,,
1973-05-25,3.98,,
1973-05-29,4.0,,
1973-05-30,3.88,,
1973-05-31,3.91,,
1973-06-01,3.88,,
1973-06-04,3.88,,
1973-06-05,3.81,,
1973-06-06,3.88,,
1973-06-07,3.77,,
1973-06-08,3.83,,
1973-06-11,3.78,,
1973-06-12,3.95,,
1973-06-13,4.05,,
1973-06-14,4.05,,
1973-06-15,3.91,,
1973-06-18,3.8,,
1973-06-19,3.73,,
1973-06-20,3.72,,
1973-06-21,3.67,,
1973-06-22,3.66,,
1973-06-25,3.72,,
1973-06-26,3.77,,
1973-06-27,3.83,,
1973-06-28,3.89,,
1973-06-29,4.11,,
1973-07-02,4.13,,
1973-07-03,4.17,,
1973-07-05,4.55,,
1973-07-06,4.58,,
1973-07-09,4.39,,
1973-07-10,4.44,,
1973-07-11,4.52,,
1973-07-12,4.48,,
1973-07-13,4.47,,
1973-07-16,4.61,,
1973-07-17,4.75,,
1973-07-18,4.75,,
1973-07-19,4.81,,
