date,COP,COP_EPS,PE Ratio
,,0.68,
1981-12-31,5.15,0.68,7.573529411764706
1982-01-04,5.07,0.68,7.455882352941177
1982-01-05,4.88,0.68,7.1764705882352935
1982-01-06,4.78,0.68,7.029411764705882
1982-01-07,4.73,0.68,6.955882352941177
1982-01-08,4.64,0.68,6.823529411764705
1982-01-11,4.45,0.68,6.544117647058823
1982-01-12,4.37,0.68,6.4264705882352935
1982-01-13,4.35,0.68,6.39705882352941
1982-01-14,4.48,0.68,6.588235294117648
1982-01-15,4.92,0.68,7.235294117647058
1982-01-18,5.1,0.68,7.499999999999999
1982-01-19,4.96,0.68,7.294117647058823
1982-01-20,4.72,0.68,6.941176470588235
1982-01-21,4.81,0.68,7.073529411764705
1982-01-22,4.8,0.68,7.058823529411764
1982-01-25,4.97,0.68,7.308823529411764
1982-01-26,4.92,0.68,7.235294117647058
1982-01-27,4.96,0.68,7.294117647058823
1982-01-28,4.99,0.68,7.338235294117647
1982-01-29,4.96,0.68,7.294117647058823
1982-02-01,4.81,0.68,7.073529411764705
1982-02-02,4.7,0.68,6.911764705882352
1982-02-03,4.53,0.68,6.661764705882353
1982-02-04,4.69,0.68,6.897058823529412
1982-02-05,4.7,0.68,6.911764705882352
1982-02-08,4.46,0.68,6.5588235294117645
1982-02-09,4.37,0.68,6.4264705882352935
1982-02-10,4.42,0.68,6.499999999999999
1982-02-11,4.89,0.68,7.191176470588235
1982-02-12,4.69,0.68,6.897058823529412
1982-02-16,4.7,0.68,6.911764705882352
1982-02-17,4.48,0.68,6.588235294117648
1982-02-18,4.43,0.68,6.51470588235294
1982-02-19,4.26,0.68,6.26470588235294
1982-02-22,3.91,0.68,5.75
1982-02-23,4.22,0.68,6.205882352941176
1982-02-24,4.21,0.68,6.191176470588235
1982-02-25,4.07,0.68,5.985294117647059
1982-02-26,4.08,0.68,6.0
1982-03-01,4.0,0.68,5.88235294117647
1982-03-02,3.88,0.68,5.705882352941176
1982-03-03,3.76,0.68,5.529411764705881
1982-03-04,3.76,0.68,5.529411764705881
1982-03-05,3.7,0.68,5.4411764705882355
1982-03-08,3.54,0.68,5.205882352941176
1982-03-09,3.59,0.68,5.279411764705881
1982-03-10,3.49,0.68,5.13235294117647
1982-03-11,3.51,0.68,5.161764705882352
1982-03-12,3.59,0.68,5.279411764705881
1982-03-15,3.81,0.68,5.602941176470588
1982-03-16,3.75,0.68,5.514705882352941
1982-03-17,3.62,0.68,5.323529411764706
1982-03-18,3.65,0.68,5.367647058823529
1982-03-19,3.68,0.68,5.411764705882352
1982-03-22,3.72,0.68,5.470588235294118
1982-03-23,3.67,0.68,5.397058823529411
1982-03-24,3.75,0.68,5.514705882352941
1982-03-25,3.68,0.68,5.411764705882352
1982-03-26,3.73,0.68,5.485294117647058
1982-03-29,3.84,0.68,5.647058823529411
