date,C,C_EPS,PE Ratio
1989-09-19,22.31,,
1989-09-20,22.2,,
1989-09-21,22.51,,
1989-09-22,22.83,,
1989-09-25,22.51,,
1989-09-26,22.51,,
1989-09-27,23.24,,
1989-09-28,23.34,,
1989-09-29,23.14,,
1989-10-02,23.03,,
1989-10-03,23.66,,
1989-10-04,24.07,,
1989-10-05,24.69,,
1989-10-06,24.49,,
1989-10-09,24.28,,
1989-10-10,24.59,,
1989-10-11,24.38,,
1989-10-12,24.38,,
1989-10-13,21.68,,
1989-10-16,23.03,,
1989-10-17,23.45,,
1989-10-18,23.97,,
1989-10-19,24.69,,
1989-10-20,24.59,,
1989-10-23,23.86,,
1989-10-24,23.45,,
1989-10-25,23.86,,
1989-10-26,23.76,,
1989-10-27,22.83,,
1989-10-30,23.45,,
1989-10-31,23.86,,
1989-11-01,23.45,,
1989-11-02,23.55,,
1989-11-03,23.66,,
1989-11-06,23.34,,
1989-11-07,23.03,,
1989-11-08,22.93,,
1989-11-09,22.72,,
1989-11-10,23.03,,
1989-11-13,23.24,,
1989-11-14,23.14,,
1989-11-15,23.03,,
1989-11-16,22.93,,
1989-11-17,23.03,,
1989-11-20,22.93,,
1989-11-21,23.14,,
1989-11-22,23.24,,
1989-11-24,23.66,,
1989-11-27,24.17,,
1989-11-28,24.17,,
1989-11-29,23.86,,
1989-11-30,24.17,,
1989-12-01,24.59,,
1989-12-04,24.69,,
1989-12-05,24.49,,
1989-12-06,23.76,,
1989-12-07,23.45,,
1989-12-08,24.07,,
1989-12-11,24.17,,
1989-12-12,24.38,,
1989-12-13,24.17,,
1989-12-14,24.49,,
1989-12-15,24.17,,
1989-12-18,22.93,,
1989-12-19,22.51,,
1989-12-20,22.51,,
1989-12-21,22.31,,
1989-12-22,22.51,,
1989-12-26,22.51,,
1989-12-27,22.83,,
1989-12-28,22.93,,
1989-12-29,23.66,,
1990-01-02,24.38,,
1990-01-03,24.69,,
1990-01-04,24.38,,
1990-01-05,24.59,,
1990-01-08,24.8,,
1990-01-09,24.49,,
1990-01-10,24.28,,
1990-01-11,24.49,,
1990-01-12,23.24,,
1990-01-15,23.14,,
1990-01-16,23.03,,
1990-01-17,23.66,,
1990-01-18,23.97,,
1990-01-19,23.97,,
1990-01-22,22.93,,
1990-01-23,22.2,,
1990-01-24,22.41,,
1990-01-25,21.58,,
1990-01-26,21.79,,
1990-01-29,21.68,,
1990-01-30,20.85,,
1990-01-31,21.68,,
1990-02-01,21.79,,
1990-02-02,22.41,,
1990-02-05,22.31,,
1990-02-06,21.58,,
1990-02-07,22.41,,
1990-02-08,22.2,,
1990-02-09,22.31,,
1990-02-12,21.79,,
1990-02-13,21.48,,
1990-02-14,21.48,,
1990-02-15,22.0,,
1990-02-16,22.2,,
1990-02-20,21.58,,
1990-02-21,21.58,,
1990-02-22,21.37,,
1990-02-23,21.37,,
1990-02-26,22.2,,
1990-02-27,22.1,,
1990-02-28,22.31,,
1990-03-01,22.31,,
1990-03-02,22.31,,
1990-03-05,22.2,,
1990-03-06,22.2,,
1990-03-07,22.0,,
1990-03-08,22.62,,
1990-03-09,22.72,,
1990-03-12,22.62,,
1990-03-13,22.51,,
1990-03-14,23.34,,
1990-03-15,23.55,,
1990-03-16,23.86,,
1990-03-19,23.66,,
1990-03-20,23.03,,
1990-03-21,23.03,,
1990-03-22,22.41,,
1990-03-23,22.51,,
1990-03-26,22.41,,
1990-03-27,22.72,,
1990-03-28,23.24,,
1990-03-29,23.03,,
1990-03-30,22.83,,
1990-04-02,22.41,,
1990-04-03,23.24,,
1990-04-04,23.34,,
1990-04-05,23.66,,
1990-04-06,23.86,,
1990-04-09,23.66,,
1990-04-10,24.17,,
1990-04-11,24.59,,
1990-04-12,24.49,,
1990-04-16,25.11,,
1990-04-17,25.73,,
1990-04-18,24.8,,
1990-04-19,24.69,,
1990-04-20,23.66,,
1990-04-23,23.66,,
1990-04-24,23.24,,
1990-04-25,23.76,,
1990-04-26,24.07,,
1990-04-27,23.76,,
1990-04-30,23.86,,
1990-05-01,24.07,,
1990-05-02,25.0,,
1990-05-03,24.38,,
1990-05-04,24.69,,
1990-05-07,24.8,,
1990-05-08,24.59,,
1990-05-09,24.59,,
1990-05-10,24.69,,
1990-05-11,25.32,,
1990-05-14,25.94,,
1990-05-15,26.46,,
1990-05-16,26.46,,
1990-05-17,26.66,,
1990-05-18,26.46,,
1990-05-21,26.77,,
1990-05-22,26.98,,
1990-05-23,26.87,,
1990-05-24,27.08,,
1990-05-25,26.56,,
1990-05-29,27.39,,
1990-05-30,27.08,,
1990-05-31,27.08,,
1990-06-01,27.29,,
1990-06-04,27.6,,
1990-06-05,28.53,,
1990-06-06,27.81,,
1990-06-07,27.39,,
1990-06-08,26.56,,
1990-06-11,27.18,,
1990-06-12,27.49,,
1990-06-13,27.6,,
1990-06-14,28.12,,
1990-06-15,27.91,,
1990-06-18,27.39,,
1990-06-19,27.29,,
1990-06-20,27.7,,
1990-06-21,27.91,,
1990-06-22,28.32,,
1990-06-25,28.22,,
1990-06-26,27.81,,
1990-06-27,28.53,,
1990-06-28,28.43,,
1990-06-29,28.32,,
1990-07-02,28.64,,
1990-07-03,29.26,,
1990-07-05,29.05,,
1990-07-06,29.26,,
1990-07-09,28.95,,
1990-07-10,28.95,,
1990-07-11,29.57,,
1990-07-12,30.19,,
1990-07-13,30.5,,
1990-07-16,31.02,,
1990-07-17,30.61,,
1990-07-18,30.09,,
1990-07-19,28.74,,
1990-07-20,27.7,,
1990-07-23,27.18,,
1990-07-24,26.66,,
1990-07-25,27.29,,
1990-07-26,27.81,,
1990-07-27,26.46,,
1990-07-30,26.25,,
1990-07-31,26.77,,
1990-08-01,26.77,,
1990-08-02,26.35,,
1990-08-03,25.83,,
1990-08-06,24.8,,
1990-08-07,24.9,,
1990-08-08,24.9,,
1990-08-09,25.83,,
1990-08-10,25.11,,
1990-08-13,25.0,,
1990-08-14,25.0,,
1990-08-15,25.0,,
1990-08-16,24.59,,
1990-08-17,24.17,,
1990-08-20,24.38,,
1990-08-21,23.86,,
1990-08-22,22.41,,
1990-08-23,22.2,,
1990-08-24,23.66,,
1990-08-27,23.66,,
1990-08-28,23.14,,
1990-08-29,23.03,,
1990-08-30,22.72,,
1990-08-31,23.14,,
1990-09-04,23.03,,
1990-09-05,23.03,,
1990-09-06,22.83,,
1990-09-07,23.03,,
1990-09-10,23.03,,
1990-09-11,23.14,,
1990-09-12,23.14,,
1990-09-13,22.1,,
1990-09-14,21.58,,
1990-09-17,21.37,,
1990-09-18,19.19,,
1990-09-19,17.64,,
1990-09-20,17.12,,
1990-09-21,17.22,,
1990-09-24,16.7,,
1990-09-25,17.74,,
1990-09-26,17.64,,
1990-09-27,17.22,,
1990-09-28,17.01,,
1990-10-01,16.39,,
1990-10-02,15.36,,
1990-10-03,15.77,,
1990-10-04,16.08,,
1990-10-05,15.77,,
1990-10-08,15.36,,
1990-10-09,14.94,,
1990-10-10,15.15,,
1990-10-11,15.25,,
1990-10-12,15.98,,
1990-10-15,15.87,,
1990-10-16,15.46,,
1990-10-17,15.98,,
1990-10-18,17.43,,
1990-10-19,16.91,,
1990-10-22,17.53,,
1990-10-23,17.53,,
1990-10-24,17.53,,
1990-10-25,17.43,,
1990-10-26,15.77,,
1990-10-29,15.46,,
1990-10-30,15.25,,
1990-10-31,15.04,,
1990-11-01,14.94,,
1990-11-02,16.18,,
1990-11-05,16.39,,
1990-11-06,15.87,,
1990-11-07,15.56,,
1990-11-08,15.46,,
1990-11-09,15.98,,
1990-11-12,17.01,,
1990-11-13,17.53,,
1990-11-14,17.95,,
1990-11-15,17.84,,
1990-11-16,17.95,,
1990-11-19,18.05,,
1990-11-20,18.05,,
1990-11-21,17.64,,
1990-11-23,17.74,,
1990-11-26,17.74,,
1990-11-27,18.26,,
1990-11-28,18.36,,
1990-11-29,18.57,,
1990-11-30,18.78,,
1990-12-03,19.09,,
1990-12-04,19.71,,
1990-12-05,20.75,,
1990-12-06,20.65,,
