date,DLR,DLR_EPS,PE Ratio
2004-10-29,12.0,,
2004-11-01,12.0,,
2004-11-02,12.0,,
2004-11-03,12.15,,
2004-11-04,12.06,,
2004-11-05,12.08,,
2004-11-08,12.01,,
2004-11-09,12.01,,
2004-11-10,12.01,,
2004-11-11,12.02,,
2004-11-12,12.29,,
2004-11-15,12.39,,
2004-11-16,12.5,,
2004-11-17,12.51,,
2004-11-18,12.72,,
2004-11-19,12.71,,
2004-11-22,12.63,,
2004-11-23,12.8,,
2004-11-24,12.79,,
2004-11-26,12.65,,
2004-11-29,12.68,,
2004-11-30,12.76,,
2004-12-01,13.15,,
2004-12-02,12.95,,
2004-12-03,13.15,,
2004-12-06,13.12,,
2004-12-07,13.0,,
2004-12-08,12.86,,
2004-12-09,12.85,,
2004-12-10,12.97,,
2004-12-13,12.91,,
2004-12-14,12.9,,
2004-12-15,13.05,,
2004-12-16,13.05,,
2004-12-17,13.4,,
2004-12-20,13.34,,
2004-12-21,13.45,,
2004-12-22,13.7,,
2004-12-23,13.94,,
2004-12-27,13.6,,
2004-12-28,13.53,,
2004-12-29,13.28,,
2004-12-30,13.3,,
2004-12-31,13.47,,
2005-01-03,13.59,,
2005-01-04,13.65,,
2005-01-05,13.2,,
2005-01-06,13.39,,
2005-01-07,13.26,,
2005-01-10,13.3,,
2005-01-11,13.26,,
2005-01-12,13.3,,
2005-01-13,13.37,,
2005-01-14,13.59,,
2005-01-18,13.7,,
2005-01-19,13.65,,
2005-01-20,13.56,,
2005-01-21,13.6,,
2005-01-24,13.52,,
2005-01-25,13.5,,
2005-01-26,13.71,,
2005-01-27,13.7,,
2005-01-28,13.8,,
2005-01-31,13.8,,
2005-02-01,13.8,,
2005-02-02,13.95,,
2005-02-03,13.98,,
2005-02-04,13.96,,
2005-02-07,14.05,,
2005-02-08,14.0,,
2005-02-09,13.85,,
2005-02-10,14.11,,
2005-02-11,14.56,,
2005-02-14,14.5,,
2005-02-15,14.47,,
2005-02-16,14.5,,
2005-02-17,14.0,,
2005-02-18,14.0,,
2005-02-22,13.88,,
2005-02-23,13.85,,
2005-02-24,13.98,,
2005-02-25,14.05,,
2005-02-28,14.33,,
2005-03-01,14.25,,
2005-03-02,14.5,,
2005-03-03,14.41,,
2005-03-04,14.49,,
2005-03-07,14.52,,
2005-03-08,14.25,,
2005-03-09,14.26,,
2005-03-10,14.31,,
2005-03-11,13.98,,
2005-03-14,14.64,,
2005-03-15,14.17,,
2005-03-16,14.0,,
2005-03-17,13.97,,
2005-03-18,14.1,,
2005-03-21,14.14,,
2005-03-22,13.91,,
2005-03-23,14.25,,
2005-03-24,14.51,,
2005-03-28,14.51,,
2005-03-29,14.5,,
2005-03-30,14.68,,
2005-03-31,14.37,-0.3,-47.9
2005-04-01,14.31,-0.3,-47.7
2005-04-04,14.32,-0.3,-47.733333333333334
2005-04-05,14.16,-0.3,-47.2
2005-04-06,14.6,-0.3,-48.666666666666664
2005-04-07,14.43,-0.3,-48.1
2005-04-08,14.02,-0.3,-46.733333333333334
2005-04-11,13.95,-0.3,-46.5
2005-04-12,14.4,-0.3,-48.0
2005-04-13,14.15,-0.3,-47.16666666666667
2005-04-14,13.9,-0.3,-46.333333333333336
2005-04-15,13.83,-0.3,-46.1
2005-04-18,13.84,-0.3,-46.13333333333333
2005-04-19,14.0,-0.3,-46.66666666666667
2005-04-20,13.98,-0.3,-46.6
2005-04-21,14.07,-0.3,-46.900000000000006
2005-04-22,14.0,-0.3,-46.66666666666667
2005-04-25,14.12,-0.3,-47.06666666666666
2005-04-26,14.02,-0.3,-46.733333333333334
2005-04-27,14.16,-0.3,-47.2
2005-04-28,14.1,-0.3,-47.0
2005-04-29,14.27,-0.3,-47.56666666666667
2005-05-02,14.39,-0.3,-47.96666666666667
2005-05-03,14.58,-0.3,-48.6
2005-05-04,14.89,-0.3,-49.63333333333334
2005-05-05,14.9,-0.3,-49.66666666666667
2005-05-06,14.66,-0.3,-48.86666666666667
2005-05-09,14.98,-0.3,-49.93333333333334
2005-05-10,14.88,-0.3,-49.6
2005-05-11,14.6,-0.3,-48.666666666666664
2005-05-12,14.5,-0.3,-48.333333333333336
2005-05-13,14.32,-0.3,-47.733333333333334
2005-05-16,14.56,0.07,208.0
2005-05-17,14.47,0.07,206.7142857142857
2005-05-18,14.6,0.07,208.57142857142856
2005-05-19,14.71,0.07,210.14285714285714
2005-05-20,14.99,0.07,214.14285714285714
2005-05-23,15.23,0.07,217.57142857142856
2005-05-24,15.06,0.07,215.14285714285714
2005-05-25,15.01,0.07,214.42857142857142
2005-05-26,15.06,0.07,215.14285714285714
2005-05-27,15.13,0.07,216.14285714285714
2005-05-31,15.0,0.07,214.28571428571428
2005-06-01,15.08,0.07,215.42857142857142
2005-06-02,15.16,0.07,216.57142857142856
2005-06-03,15.17,0.07,216.7142857142857
2005-06-06,15.2,0.07,217.1428571428571
2005-06-07,15.24,0.07,217.7142857142857
2005-06-08,15.78,0.07,225.4285714285714
2005-06-09,16.0,0.07,228.57142857142856
2005-06-10,16.02,0.07,228.85714285714283
2005-06-13,15.65,0.07,223.57142857142856
2005-06-14,15.73,0.07,224.7142857142857
2005-06-15,16.25,0.07,232.1428571428571
2005-06-16,16.28,0.07,232.57142857142856
2005-06-17,16.1,0.07,230.0
2005-06-20,16.0,0.07,228.57142857142856
2005-06-21,16.38,0.07,233.99999999999997
2005-06-22,16.3,0.07,232.85714285714283
2005-06-23,16.53,0.07,236.14285714285714
2005-06-24,17.13,0.07,244.71428571428567
2005-06-27,16.7,0.07,238.57142857142853
2005-06-28,17.0,0.07,242.85714285714283
2005-06-29,17.21,0.07,245.85714285714283
2005-06-30,17.38,0.07,248.28571428571425
2005-07-01,17.75,0.07,253.57142857142856
2005-07-05,17.65,0.07,252.1428571428571
2005-07-06,17.52,0.07,250.28571428571425
2005-07-07,17.47,0.07,249.57142857142853
2005-07-08,17.85,0.07,255.0
2005-07-11,17.89,0.07,255.57142857142856
2005-07-12,18.03,0.07,257.57142857142856
2005-07-13,17.98,0.07,256.85714285714283
2005-07-14,17.61,0.07,251.57142857142853
2005-07-15,17.24,0.07,246.28571428571425
2005-07-18,17.3,0.07,247.14285714285714
2005-07-19,17.46,0.07,249.42857142857142
2005-07-20,17.8,0.07,254.28571428571428
2005-07-21,18.2,0.07,259.99999999999994
2005-07-22,18.21,0.07,260.1428571428571
2005-07-25,18.43,0.07,263.2857142857143
2005-07-26,18.53,0.07,264.7142857142857
2005-07-27,18.55,0.07,265.0
2005-07-28,18.92,0.07,270.2857142857143
2005-07-29,18.94,0.07,270.57142857142856
2005-08-01,19.05,0.07,272.1428571428571
2005-08-02,19.09,0.07,272.71428571428567
2005-08-03,19.51,0.07,278.7142857142857
2005-08-04,19.16,0.07,273.71428571428567
2005-08-05,19.05,0.07,272.1428571428571
2005-08-08,18.65,0.07,266.4285714285714
2005-08-09,18.75,0.07,267.85714285714283
2005-08-10,18.65,0.07,266.4285714285714
2005-08-11,18.73,0.07,267.57142857142856
2005-08-12,18.7,0.17,109.99999999999999
2005-08-15,19.03,0.17,111.94117647058823
2005-08-16,19.53,0.17,114.88235294117646
2005-08-17,19.55,0.17,115.0
2005-08-18,19.53,0.17,114.88235294117646
2005-08-19,19.66,0.17,115.6470588235294
2005-08-22,19.68,0.17,115.76470588235293
2005-08-23,19.3,0.17,113.52941176470588
2005-08-24,19.26,0.17,113.29411764705883
2005-08-25,19.12,0.17,112.47058823529412
2005-08-26,19.27,0.17,113.35294117647058
2005-08-29,19.13,0.17,112.52941176470587
2005-08-30,19.24,0.17,113.17647058823528
