date,EA,EA_EPS,PE Ratio
1989-09-20,0.52,,
1989-09-21,0.5,,
1989-09-22,0.5,,
1989-09-25,0.47,,
1989-09-26,0.47,,
1989-09-27,0.47,,
1989-09-28,0.45,,
1989-09-29,0.45,,
1989-10-02,0.47,,
1989-10-03,0.5,,
1989-10-04,0.51,,
1989-10-05,0.51,,
1989-10-06,0.51,,
1989-10-09,0.51,,
1989-10-10,0.49,,
1989-10-11,0.48,,
1989-10-12,0.5,,
1989-10-13,0.48,,
1989-10-16,0.46,,
1989-10-17,0.45,,
1989-10-18,0.44,,
1989-10-19,0.48,,
1989-10-20,0.46,,
1989-10-23,0.46,,
1989-10-24,0.45,,
1989-10-25,0.45,,
1989-10-26,0.47,,
1989-10-27,0.49,,
1989-10-30,0.49,,
1989-10-31,0.47,,
1989-11-01,0.48,,
1989-11-02,0.47,,
1989-11-03,0.47,,
1989-11-06,0.47,,
1989-11-07,0.48,,
1989-11-08,0.48,,
1989-11-09,0.48,,
1989-11-10,0.51,,
1989-11-13,0.55,,
1989-11-14,0.54,,
1989-11-15,0.55,,
1989-11-16,0.55,,
1989-11-17,0.53,,
1989-11-20,0.53,,
1989-11-21,0.53,,
1989-11-22,0.54,,
1989-11-24,0.53,,
1989-11-27,0.55,,
1989-11-28,0.52,,
1989-11-29,0.5,,
1989-11-30,0.52,,
1989-12-01,0.53,,
1989-12-04,0.51,,
1989-12-05,0.53,,
1989-12-06,0.55,,
1989-12-07,0.52,,
1989-12-08,0.52,,
1989-12-11,0.52,,
1989-12-12,0.55,,
1989-12-13,0.53,,
1989-12-14,0.52,,
1989-12-15,0.52,,
1989-12-18,0.52,,
1989-12-19,0.52,,
1989-12-20,0.53,,
1989-12-21,0.52,,
1989-12-22,0.57,,
1989-12-26,0.55,,
1989-12-27,0.55,,
1989-12-28,0.55,,
1989-12-29,0.57,,
1990-01-02,0.55,,
1990-01-03,0.57,,
1990-01-04,0.52,,
1990-01-05,0.55,,
1990-01-08,0.55,,
1990-01-09,0.53,,
1990-01-10,0.53,,
1990-01-11,0.55,,
1990-01-12,0.5,,
1990-01-15,0.5,,
1990-01-16,0.51,,
1990-01-17,0.52,,
1990-01-18,0.52,,
1990-01-19,0.54,,
1990-01-22,0.54,,
1990-01-23,0.52,,
1990-01-24,0.5,,
1990-01-25,0.48,,
1990-01-26,0.48,,
1990-01-29,0.51,,
1990-01-30,0.5,,
1990-01-31,0.52,,
1990-02-01,0.51,,
1990-02-02,0.49,,
1990-02-05,0.51,,
1990-02-06,0.51,,
1990-02-07,0.52,,
1990-02-08,0.53,,
1990-02-09,0.52,,
1990-02-12,0.52,,
1990-02-13,0.54,,
1990-02-14,0.54,,
1990-02-15,0.52,,
1990-02-16,0.55,,
1990-02-20,0.55,,
1990-02-21,0.55,,
1990-02-22,0.59,,
1990-02-23,0.59,,
1990-02-26,0.59,,
1990-02-27,0.59,,
1990-02-28,0.61,,
1990-03-01,0.61,,
1990-03-02,0.6,,
1990-03-05,0.6,,
1990-03-06,0.59,,
1990-03-07,0.59,,
1990-03-08,0.58,,
1990-03-09,0.57,,
1990-03-12,0.57,,
1990-03-13,0.56,,
1990-03-14,0.57,,
1990-03-15,0.58,,
1990-03-16,0.58,,
1990-03-19,0.58,,
1990-03-20,0.57,,
1990-03-21,0.55,,
1990-03-22,0.55,,
1990-03-23,0.53,,
1990-03-26,0.53,,
1990-03-27,0.54,,
1990-03-28,0.55,,
1990-03-29,0.54,,
1990-03-30,0.53,,
1990-04-02,0.54,,
1990-04-03,0.57,,
1990-04-04,0.57,,
1990-04-05,0.58,,
1990-04-06,0.74,,
1990-04-09,0.7,,
1990-04-10,0.69,,
1990-04-11,0.67,,
1990-04-12,0.67,,
1990-04-16,0.73,,
1990-04-17,0.72,,
1990-04-18,0.74,,
1990-04-19,0.81,,
1990-04-20,0.78,,
1990-04-23,0.77,,
1990-04-24,0.79,,
1990-04-25,0.8,,
1990-04-26,0.83,,
1990-04-27,0.82,,
1990-04-30,0.89,,
1990-05-01,0.89,,
1990-05-02,0.88,,
1990-05-03,0.88,,
1990-05-04,0.88,,
1990-05-07,0.89,,
1990-05-08,0.96,,
1990-05-09,0.95,,
1990-05-10,0.95,,
1990-05-11,0.95,,
1990-05-14,0.98,,
1990-05-15,0.95,,
1990-05-16,0.96,,
1990-05-17,0.97,,
1990-05-18,0.95,,
1990-05-21,0.94,,
1990-05-22,0.95,,
1990-05-23,0.95,,
1990-05-24,0.99,,
1990-05-25,1.03,,
1990-05-29,1.02,,
1990-05-30,1.03,,
1990-05-31,1.04,,
1990-06-01,1.02,,
1990-06-04,1.01,,
1990-06-05,0.95,,
1990-06-06,0.91,,
1990-06-07,0.87,,
1990-06-08,0.84,,
1990-06-11,0.91,,
1990-06-12,0.97,,
1990-06-13,0.96,,
