date,ECL,ECL_EPS,PE Ratio
1973-02-21,2.5,,
1973-02-22,2.5,,
1973-02-23,2.48,,
1973-02-26,2.48,,
1973-02-27,2.47,,
1973-02-28,2.48,,
1973-03-01,2.46,,
1973-03-02,2.47,,
1973-03-05,2.45,,
1973-03-06,2.45,,
1973-03-07,2.43,,
1973-03-08,2.42,,
1973-03-09,2.41,,
1973-03-12,2.41,,
1973-03-13,2.41,,
1973-03-14,2.42,,
1973-03-15,2.43,,
1973-03-16,2.44,,
1973-03-19,2.43,,
1973-03-20,2.41,,
1973-03-21,2.41,,
1973-03-22,2.35,,
1973-03-23,2.3,,
1973-03-26,2.24,,
1973-03-27,2.3,,
1973-03-28,2.33,,
1973-03-29,2.38,,
1973-03-30,2.36,,
1973-04-02,2.32,,
1973-04-03,2.3,,
1973-04-04,2.27,,
1973-04-05,2.27,,
1973-04-06,2.29,,
1973-04-09,2.29,,
1973-04-10,2.38,,
1973-04-11,2.45,,
1973-04-12,2.44,,
1973-04-13,2.4,,
1973-04-16,2.38,,
1973-04-17,2.37,,
1973-04-18,2.37,,
1973-04-19,2.38,,
1973-04-23,2.33,,
1973-04-24,2.29,,
1973-04-25,2.2,,
1973-04-26,2.2,,
1973-04-27,2.14,,
1973-04-30,2.14,,
1973-05-01,2.17,,
1973-05-02,2.22,,
1973-05-03,2.32,,
1973-05-04,2.38,,
1973-05-07,2.37,,
1973-05-08,2.38,,
1973-05-09,2.37,,
1973-05-10,2.36,,
1973-05-11,2.3,,
1973-05-14,2.22,,
1973-05-15,2.22,,
1973-05-16,2.2,,
1973-05-17,2.16,,
1973-05-18,2.1,,
1973-05-21,2.08,,
1973-05-22,2.1,,
1973-05-23,2.16,,
1973-05-24,2.25,,
1973-05-25,2.27,,
1973-05-29,2.28,,
1973-05-30,2.26,,
1973-05-31,2.22,,
1973-06-01,2.23,,
1973-06-04,2.21,,
1973-06-05,2.23,,
1973-06-06,2.23,,
1973-06-07,2.23,,
1973-06-08,2.27,,
1973-06-11,2.27,,
1973-06-12,2.33,,
1973-06-13,2.3,,
1973-06-14,2.31,,
1973-06-15,2.28,,
1973-06-18,2.26,,
1973-06-19,2.29,,
1973-06-20,2.3,,
1973-06-21,2.32,,
1973-06-22,2.35,,
1973-06-25,2.34,,
1973-06-26,2.38,,
1973-06-27,2.39,,
1973-06-28,2.39,,
1973-06-29,2.38,,
1973-07-02,2.36,,
1973-07-03,2.29,,
1973-07-05,2.28,,
1973-07-06,2.28,,
1973-07-09,2.3,,
1973-07-10,2.33,,
1973-07-11,2.41,,
1973-07-12,2.47,,
1973-07-13,2.47,,
1973-07-16,2.45,,
1973-07-17,2.45,,
1973-07-18,2.45,,
1973-07-19,2.45,,
1973-07-20,2.45,,
1973-07-23,2.47,,
1973-07-24,2.51,,
1973-07-25,2.56,,
1973-07-26,2.52,,
1973-07-27,2.5,,
1973-07-30,2.48,,
1973-07-31,2.49,,
1973-08-01,2.48,,
1973-08-02,2.5,,
1973-08-03,2.55,,
1973-08-06,2.59,,
1973-08-07,2.67,,
1973-08-08,2.61,,
1973-08-09,2.69,,
1973-08-10,2.68,,
1973-08-13,2.6,,
1973-08-14,2.55,,
1973-08-15,2.55,,
1973-08-16,2.55,,
1973-08-17,2.63,,
1973-08-20,2.59,,
1973-08-21,2.59,,
1973-08-22,2.58,,
1973-08-23,2.64,,
1973-08-24,2.63,,
1973-08-27,2.65,,
1973-08-28,2.63,,
1973-08-29,2.63,,
1973-08-30,2.64,,
1973-08-31,2.75,,
1973-09-04,2.73,,
1973-09-05,2.7,,
1973-09-06,2.67,,
1973-09-07,2.69,,
1973-09-10,2.69,,
1973-09-11,2.69,,
1973-09-12,2.73,,
1973-09-13,2.77,,
1973-09-14,2.78,,
1973-09-17,2.81,,
1973-09-18,2.89,,
1973-09-19,3.02,,
1973-09-20,3.02,,
1973-09-21,3.05,,
1973-09-24,3.06,,
1973-09-25,3.09,,
1973-09-26,3.1,,
1973-09-27,3.08,,
1973-09-28,3.12,,
1973-10-01,3.11,,
1973-10-02,3.18,,
1973-10-03,3.18,,
1973-10-04,3.11,,
1973-10-05,3.1,,
1973-10-08,3.09,,
1973-10-09,2.97,,
1973-10-10,2.97,,
1973-10-11,2.99,,
1973-10-12,3.01,,
1973-10-15,3.05,,
1973-10-16,3.07,,
1973-10-17,3.05,,
1973-10-18,3.02,,
1973-10-19,3.02,,
1973-10-22,2.94,,
1973-10-23,2.86,,
1973-10-24,2.78,,
1973-10-25,2.84,,
1973-10-26,2.84,,
1973-10-29,2.77,,
1973-10-30,2.8,,
1973-10-31,2.82,,
1973-11-01,2.83,,
1973-11-02,2.84,,
1973-11-05,2.83,,
1973-11-06,2.81,,
1973-11-07,2.77,,
1973-11-08,2.75,,
1973-11-09,2.7,,
1973-11-12,2.61,,
1973-11-13,2.54,,
1973-11-14,2.48,,
1973-11-15,2.5,,
1973-11-16,2.48,,
1973-11-19,2.45,,
1973-11-20,2.48,,
1973-11-21,2.55,,
1973-11-23,2.56,,
1973-11-26,2.53,,
1973-11-27,2.51,,
1973-11-28,2.51,,
1973-11-29,2.48,,
1973-11-30,2.45,,
1973-12-03,2.43,,
1973-12-04,2.38,,
1973-12-05,2.36,,
1973-12-06,2.43,,
1973-12-07,2.51,,
1973-12-10,2.61,,
1973-12-11,2.58,,
1973-12-12,2.58,,
1973-12-13,2.56,,
1973-12-14,2.55,,
1973-12-17,2.43,,
1973-12-18,2.41,,
1973-12-19,2.39,,
1973-12-20,2.39,,
1973-12-21,2.39,,
1973-12-24,2.38,,
1973-12-26,2.38,,
1973-12-27,2.38,,
1973-12-28,2.38,,
1973-12-31,2.48,,
1974-01-02,2.45,,
1974-01-03,2.47,,
1974-01-04,2.45,,
1974-01-07,2.38,,
1974-01-08,2.27,,
1974-01-09,2.2,,
1974-01-10,2.14,,
1974-01-11,2.22,,
1974-01-14,2.21,,
1974-01-15,2.23,,
1974-01-16,2.32,,
1974-01-17,2.41,,
1974-01-18,2.36,,
1974-01-21,2.34,,
1974-01-22,2.34,,
1974-01-23,2.34,,
1974-01-24,2.36,,
1974-01-25,2.34,,
1974-01-28,2.23,,
1974-01-29,2.2,,
1974-01-30,2.27,,
1974-01-31,2.31,,
1974-02-01,2.34,,
1974-02-04,2.3,,
1974-02-05,2.28,,
1974-02-06,2.2,,
1974-02-07,2.2,,
1974-02-08,2.09,,
1974-02-11,1.97,,
1974-02-12,1.92,,
1974-02-13,1.96,,
1974-02-14,2.02,,
1974-02-15,2.11,,
1974-02-19,2.11,,
1974-02-20,2.1,,
1974-02-21,2.16,,
1974-02-22,2.16,,
1974-02-25,2.14,,
1974-02-26,2.16,,
1974-02-27,2.16,,
1974-02-28,2.16,,
1974-03-01,2.16,,
1974-03-04,2.16,,
1974-03-05,2.23,,
1974-03-06,2.26,,
1974-03-07,2.24,,
1974-03-08,2.25,,
1974-03-11,2.34,,
1974-03-12,2.42,,
1974-03-13,2.41,,
1974-03-14,2.42,,
1974-03-15,2.4,,
1974-03-18,2.37,,
1974-03-19,2.35,,
1974-03-20,2.38,,
1974-03-21,2.42,,
1974-03-22,2.41,,
1974-03-25,2.41,,
1974-03-26,2.41,,
1974-03-27,2.39,,
1974-03-28,2.39,,
1974-03-29,2.41,,
1974-04-01,2.38,,
1974-04-02,2.36,,
1974-04-03,2.33,,
1974-04-04,2.33,,
1974-04-05,2.32,,
1974-04-08,2.26,,
1974-04-09,2.22,,
1974-04-10,2.17,,
1974-04-11,2.16,,
1974-04-15,2.16,,
1974-04-16,2.19,,
1974-04-17,2.23,,
1974-04-18,2.23,,
1974-04-19,2.2,,
1974-04-22,2.19,,
1974-04-23,2.16,,
1974-04-24,2.09,,
1974-04-25,2.09,,
1974-04-26,2.13,,
1974-04-29,2.15,,
1974-04-30,2.14,,
1974-05-01,2.21,,
1974-05-02,2.3,,
1974-05-03,2.3,,
1974-05-06,2.28,,
1974-05-07,2.25,,
1974-05-08,2.19,,
1974-05-09,2.22,,
1974-05-10,2.2,,
1974-05-13,2.2,,
1974-05-14,2.2,,
1974-05-15,2.17,,
1974-05-16,2.13,,
1974-05-17,2.05,,
1974-05-20,2.07,,
1974-05-21,2.09,,
1974-05-22,2.09,,
1974-05-23,2.08,,
1974-05-24,2.16,,
1974-05-28,2.13,,
1974-05-29,2.11,,
1974-05-30,2.13,,
1974-05-31,2.13,,
1974-06-03,2.15,,
1974-06-04,2.18,,
1974-06-05,2.24,,
1974-06-06,2.27,,
1974-06-07,2.27,,
1974-06-10,2.27,,
1974-06-11,2.2,,
1974-06-12,2.29,,
1974-06-13,2.3,,
1974-06-14,2.32,,
1974-06-17,2.31,,
1974-06-18,2.34,,
1974-06-19,2.34,,
1974-06-20,2.3,,
1974-06-21,2.33,,
1974-06-24,2.32,,
1974-06-25,2.27,,
1974-06-26,2.16,,
1974-06-27,2.11,,
1974-06-28,2.05,,
1974-07-01,2.05,,
1974-07-02,2.05,,
1974-07-03,2.04,,
1974-07-05,2.02,,
1974-07-08,1.92,,
1974-07-09,1.84,,
1974-07-10,1.83,,
1974-07-11,1.87,,
1974-07-12,2.05,,
1974-07-15,2.07,,
1974-07-16,2.03,,
1974-07-17,2.12,,
1974-07-18,2.12,,
1974-07-19,2.15,,
1974-07-22,2.16,,
1974-07-23,2.13,,
1974-07-24,2.06,,
1974-07-25,1.97,,
1974-07-26,2.02,,
1974-07-29,2.0,,
1974-07-30,1.99,,
1974-07-31,1.98,,
1974-08-01,1.98,,
1974-08-02,1.97,,
1974-08-05,1.95,,
1974-08-06,2.05,,
1974-08-07,2.09,,
1974-08-08,2.05,,
1974-08-09,2.09,,
1974-08-12,2.08,,
1974-08-13,1.98,,
1974-08-14,1.85,,
1974-08-15,1.83,,
1974-08-16,1.83,,
1974-08-19,1.8,,
1974-08-20,1.83,,
1974-08-21,1.83,,
1974-08-22,1.81,,
1974-08-23,1.84,,
1974-08-26,1.88,,
1974-08-27,1.85,,
1974-08-28,1.81,,
1974-08-29,1.63,,
1974-08-30,1.64,,
1974-09-03,1.52,,
1974-09-04,1.45,,
1974-09-05,1.51,,
1974-09-06,1.55,,
1974-09-09,1.52,,
1974-09-10,1.53,,
1974-09-11,1.54,,
1974-09-12,1.48,,
1974-09-13,1.48,,
1974-09-16,1.53,,
1974-09-17,1.54,,
1974-09-18,1.52,,
1974-09-19,1.51,,
1974-09-20,1.48,,
1974-09-23,1.36,,
1974-09-24,1.31,,
1974-09-25,1.3,,
1974-09-26,1.28,,
1974-09-27,1.26,,
1974-09-30,1.19,,
1974-10-01,1.09,,
1974-10-02,1.11,,
1974-10-03,1.11,,
1974-10-04,1.11,,
1974-10-07,1.13,,
1974-10-08,1.13,,
1974-10-09,1.22,,
1974-10-10,1.41,,
1974-10-11,1.55,,
1974-10-14,1.51,,
1974-10-15,1.45,,
1974-10-16,1.44,,
1974-10-17,1.53,,
1974-10-18,1.63,,
1974-10-21,1.7,,
1974-10-22,1.67,,
1974-10-23,1.63,,
1974-10-24,1.56,,
1974-10-25,1.56,,
1974-10-28,1.48,,
1974-10-29,1.55,,
1974-10-30,1.66,,
1974-10-31,1.65,,
1974-11-01,1.67,,
1974-11-04,1.65,,
1974-11-05,1.63,,
1974-11-06,1.55,,
1974-11-07,1.62,,
1974-11-08,1.61,,
1974-11-11,1.6,,
1974-11-12,1.53,,
1974-11-13,1.54,,
1974-11-14,1.55,,
1974-11-15,1.57,,
1974-11-18,1.52,,
1974-11-19,1.43,,
1974-11-20,1.33,,
1974-11-21,1.39,,
1974-11-22,1.45,,
1974-11-25,1.46,,
1974-11-26,1.51,,
1974-11-27,1.52,,
1974-11-29,1.52,,
1974-12-02,1.48,,
1974-12-03,1.41,,
1974-12-04,1.34,,
1974-12-05,1.3,,
1974-12-06,1.33,,
1974-12-09,1.39,,
1974-12-10,1.48,,
1974-12-11,1.47,,
1974-12-12,1.5,,
1974-12-13,1.51,,
1974-12-16,1.48,,
1974-12-17,1.55,,
1974-12-18,1.55,,
1974-12-19,1.52,,
1974-12-20,1.48,,
1974-12-23,1.47,,
1974-12-24,1.48,,
1974-12-26,1.47,,
1974-12-27,1.44,,
1974-12-30,1.46,,
1974-12-31,1.5,,
1975-01-02,1.5,,
1975-01-03,1.54,,
1975-01-06,1.56,,
1975-01-07,1.56,,
1975-01-08,1.5,,
1975-01-09,1.56,,
1975-01-10,1.53,,
1975-01-13,1.47,,
1975-01-14,1.46,,
1975-01-15,1.44,,
1975-01-16,1.43,,
1975-01-17,1.41,,
1975-01-20,1.41,,
1975-01-21,1.37,,
1975-01-22,1.38,,
1975-01-23,1.43,,
1975-01-24,1.46,,
1975-01-27,1.48,,
1975-01-28,1.53,,
1975-01-29,1.65,,
1975-01-30,1.61,,
1975-01-31,1.66,,
1975-02-03,1.66,,
1975-02-04,1.66,,
1975-02-05,1.82,,
1975-02-06,1.86,,
1975-02-07,1.8,,
1975-02-10,1.77,,
1975-02-11,1.8,,
1975-02-12,1.84,,
1975-02-13,1.95,,
1975-02-14,2.02,,
1975-02-18,2.09,,
1975-02-19,2.18,,
1975-02-20,2.16,,
1975-02-21,2.14,,
1975-02-24,2.13,,
1975-02-25,2.06,,
1975-02-26,2.09,,
1975-02-27,2.05,,
1975-02-28,2.11,,
1975-03-03,2.18,,
1975-03-04,2.19,,
1975-03-05,2.1,,
1975-03-06,2.07,,
1975-03-07,2.05,,
1975-03-10,2.05,,
1975-03-11,1.95,,
1975-03-12,1.91,,
1975-03-13,1.97,,
1975-03-14,2.05,,
1975-03-17,2.03,,
1975-03-18,2.06,,
1975-03-19,2.06,,
1975-03-20,2.07,,
1975-03-21,1.96,,
1975-03-24,1.91,,
1975-03-25,1.95,,
1975-03-26,2.02,,
1975-03-27,2.06,,
1975-03-31,2.05,,
1975-04-01,2.07,,
1975-04-02,2.11,,
1975-04-03,2.09,,
1975-04-04,2.09,,
1975-04-07,2.09,,
1975-04-08,2.09,,
1975-04-09,2.14,,
1975-04-10,2.15,,
1975-04-11,2.15,,
1975-04-14,2.02,,
1975-04-15,1.97,,
1975-04-16,1.98,,
1975-04-17,2.02,,
1975-04-18,2.02,,
1975-04-21,2.0,,
1975-04-22,1.97,,
1975-04-23,1.99,,
1975-04-24,2.05,,
1975-04-25,2.07,,
1975-04-28,2.06,,
1975-04-29,1.99,,
1975-04-30,1.98,,
1975-05-01,1.96,,
1975-05-02,1.88,,
1975-05-05,1.84,,
1975-05-06,1.71,,
1975-05-07,1.7,,
1975-05-08,1.83,,
1975-05-09,1.85,,
1975-05-12,1.88,,
1975-05-13,1.94,,
1975-05-14,2.01,,
1975-05-15,2.0,,
1975-05-16,1.95,,
1975-05-19,1.92,,
1975-05-20,1.94,,
1975-05-21,1.91,,
1975-05-22,1.99,,
1975-05-23,2.08,,
1975-05-27,2.07,,
1975-05-28,2.03,,
1975-05-29,1.97,,
1975-05-30,1.98,,
1975-06-02,1.96,,
1975-06-03,1.97,,
1975-06-04,2.01,,
1975-06-05,1.98,,
1975-06-06,1.98,,
1975-06-09,1.94,,
1975-06-10,1.93,,
1975-06-11,1.98,,
1975-06-12,1.97,,
1975-06-13,2.04,,
1975-06-16,2.06,,
1975-06-17,2.05,,
1975-06-18,2.05,,
1975-06-19,2.07,,
1975-06-20,2.1,,
1975-06-23,2.17,,
1975-06-24,2.13,,
1975-06-25,2.11,,
1975-06-26,2.12,,
1975-06-27,2.09,,
1975-06-30,2.03,,
1975-07-01,2.0,,
1975-07-02,1.97,,
1975-07-03,1.99,,
1975-07-07,1.98,,
1975-07-08,2.0,,
1975-07-09,2.0,,
1975-07-10,2.0,,
1975-07-11,2.0,,
1975-07-14,2.0,,
1975-07-15,1.98,,
1975-07-16,1.95,,
1975-07-17,1.95,,
1975-07-18,1.93,,
1975-07-21,1.88,,
1975-07-22,1.88,,
1975-07-23,1.82,,
1975-07-24,1.82,,
1975-07-25,1.82,,
1975-07-28,1.83,,
1975-07-29,1.88,,
1975-07-30,1.96,,
1975-07-31,1.95,,
1975-08-01,1.8,,
1975-08-04,1.8,,
1975-08-05,1.73,,
1975-08-06,1.8,,
1975-08-07,1.78,,
1975-08-08,1.78,,
1975-08-11,1.75,,
1975-08-12,1.69,,
1975-08-13,1.67,,
1975-08-14,1.64,,
1975-08-15,1.57,,
1975-08-18,1.55,,
1975-08-19,1.54,,
1975-08-20,1.55,,
1975-08-21,1.57,,
1975-08-22,1.58,,
1975-08-25,1.56,,
1975-08-26,1.55,,
1975-08-27,1.6,,
1975-08-28,1.7,,
1975-08-29,1.73,,
1975-09-02,1.73,,
1975-09-03,1.73,,
1975-09-04,1.72,,
1975-09-05,1.64,,
1975-09-08,1.58,,
1975-09-09,1.55,,
1975-09-10,1.5,,
1975-09-11,1.51,,
1975-09-12,1.48,,
1975-09-15,1.48,,
1975-09-16,1.46,,
1975-09-17,1.5,,
1975-09-18,1.63,,
1975-09-19,1.58,,
1975-09-22,1.53,,
1975-09-23,1.53,,
1975-09-24,1.48,,
1975-09-25,1.52,,
1975-09-26,1.53,,
1975-09-29,1.52,,
1975-09-30,1.53,,
1975-10-01,1.54,,
1975-10-02,1.55,,
1975-10-03,1.56,,
1975-10-06,1.56,,
1975-10-07,1.64,,
1975-10-08,1.73,,
1975-10-09,1.77,,
1975-10-10,1.72,,
1975-10-13,1.75,,
1975-10-14,1.7,,
1975-10-15,1.73,,
1975-10-16,1.73,,
1975-10-17,1.72,,
1975-10-20,1.76,,
1975-10-21,1.78,,
1975-10-22,1.77,,
1975-10-23,1.78,,
1975-10-24,1.74,,
1975-10-27,1.75,,
1975-10-28,1.79,,
1975-10-29,1.76,,
1975-10-30,1.75,,
1975-10-31,1.73,,
1975-11-03,1.7,,
1975-11-04,1.73,,
1975-11-05,1.73,,
1975-11-06,1.72,,
1975-11-07,1.66,,
1975-11-10,1.61,,
1975-11-11,1.59,,
1975-11-12,1.66,,
1975-11-13,1.66,,
1975-11-14,1.66,,
1975-11-17,1.67,,
1975-11-18,1.7,,
1975-11-19,1.69,,
1975-11-20,1.7,,
1975-11-21,1.73,,
1975-11-24,1.74,,
1975-11-25,1.73,,
1975-11-26,1.73,,
1975-11-28,1.73,,
1975-12-01,1.73,,
1975-12-02,1.73,,
1975-12-03,1.72,,
1975-12-04,1.72,,
1975-12-05,1.73,,
1975-12-08,1.74,,
1975-12-09,1.73,,
1975-12-10,1.7,,
1975-12-11,1.66,,
1975-12-12,1.64,,
1975-12-15,1.63,,
1975-12-16,1.64,,
1975-12-17,1.64,,
1975-12-18,1.63,,
1975-12-19,1.58,,
1975-12-22,1.57,,
1975-12-23,1.57,,
1975-12-24,1.62,,
1975-12-26,1.63,,
1975-12-29,1.59,,
1975-12-30,1.58,,
1975-12-31,1.56,,
1976-01-02,1.55,,
1976-01-05,1.55,,
1976-01-06,1.61,,
1976-01-07,1.68,,
1976-01-08,1.7,,
1976-01-09,1.77,,
1976-01-12,1.78,,
1976-01-13,1.78,,
1976-01-14,1.8,,
1976-01-15,1.76,,
1976-01-16,1.78,,
1976-01-19,1.8,,
1976-01-20,1.82,,
1976-01-21,1.83,,
1976-01-22,1.86,,
1976-01-23,1.88,,
1976-01-26,1.86,,
1976-01-27,1.84,,
1976-01-28,1.81,,
1976-01-29,1.83,,
1976-01-30,1.88,,
1976-02-02,1.89,,
1976-02-03,1.9,,
1976-02-04,1.98,,
1976-02-05,1.94,,
1976-02-06,1.89,,
1976-02-09,1.91,,
1976-02-10,1.92,,
1976-02-11,1.96,,
1976-02-12,1.94,,
1976-02-13,1.91,,
1976-02-17,1.91,,
1976-02-18,1.95,,
1976-02-19,1.95,,
1976-02-20,1.95,,
1976-02-23,1.94,,
1976-02-24,1.95,,
1976-02-25,1.97,,
1976-02-26,1.97,,
1976-02-27,1.92,,
1976-03-01,1.91,,
1976-03-02,1.9,,
1976-03-03,1.85,,
1976-03-04,1.84,,
1976-03-05,1.8,,
1976-03-08,1.83,,
1976-03-09,1.82,,
1976-03-10,1.83,,
1976-03-11,1.86,,
1976-03-12,1.86,,
1976-03-15,1.83,,
1976-03-16,1.83,,
1976-03-17,1.79,,
1976-03-18,1.77,,
1976-03-19,1.72,,
1976-03-22,1.72,,
1976-03-23,1.74,,
1976-03-24,1.73,,
1976-03-25,1.72,,
1976-03-26,1.71,,
1976-03-29,1.7,,
1976-03-30,1.69,,
1976-03-31,1.7,,
1976-04-01,1.69,,
1976-04-02,1.68,,
1976-04-05,1.7,,
1976-04-06,1.73,,
1976-04-07,1.7,,
1976-04-08,1.67,,
1976-04-09,1.66,,
1976-04-12,1.66,,
1976-04-13,1.67,,
1976-04-14,1.68,,
1976-04-15,1.72,,
1976-04-19,1.75,,
1976-04-20,1.77,,
1976-04-21,1.73,,
1976-04-22,1.71,,
1976-04-23,1.66,,
1976-04-26,1.66,,
1976-04-27,1.59,,
1976-04-28,1.6,,
1976-04-29,1.58,,
1976-04-30,1.59,,
1976-05-03,1.56,,
1976-05-04,1.56,,
1976-05-05,1.61,,
1976-05-06,1.61,,
1976-05-07,1.63,,
1976-05-10,1.63,,
1976-05-11,1.6,,
1976-05-12,1.63,,
1976-05-13,1.63,,
1976-05-14,1.63,,
1976-05-17,1.64,,
1976-05-18,1.63,,
1976-05-19,1.64,,
1976-05-20,1.66,,
1976-05-21,1.66,,
1976-05-24,1.66,,
1976-05-25,1.67,,
1976-05-26,1.7,,
1976-05-27,1.67,,
1976-05-28,1.66,,
1976-06-01,1.6,,
1976-06-02,1.55,,
1976-06-03,1.55,,
1976-06-04,1.53,,
1976-06-07,1.54,,
1976-06-08,1.55,,
1976-06-09,1.57,,
1976-06-10,1.59,,
1976-06-11,1.58,,
1976-06-14,1.6,,
1976-06-15,1.58,,
1976-06-16,1.58,,
1976-06-17,1.6,,
1976-06-18,1.6,,
1976-06-21,1.63,,
1976-06-22,1.63,,
1976-06-23,1.6,,
1976-06-24,1.61,,
1976-06-25,1.6,,
1976-06-28,1.61,,
1976-06-29,1.61,,
1976-06-30,1.59,,
1976-07-01,1.59,,
1976-07-02,1.63,,
1976-07-06,1.61,,
1976-07-07,1.62,,
1976-07-08,1.63,,
1976-07-09,1.66,,
1976-07-12,1.66,,
1976-07-13,1.66,,
1976-07-14,1.62,,
1976-07-15,1.63,,
1976-07-16,1.64,,
1976-07-19,1.54,,
1976-07-20,1.54,,
1976-07-21,1.57,,
1976-07-22,1.56,,
1976-07-23,1.55,,
1976-07-26,1.54,,
1976-07-27,1.52,,
1976-07-28,1.48,,
1976-07-29,1.49,,
1976-07-30,1.5,,
1976-08-02,1.51,,
1976-08-03,1.52,,
1976-08-04,1.52,,
1976-08-05,1.49,,
1976-08-06,1.5,,
1976-08-09,1.5,,
1976-08-10,1.5,,
1976-08-11,1.5,,
1976-08-12,1.5,,
1976-08-13,1.44,,
1976-08-16,1.45,,
1976-08-17,1.49,,
1976-08-18,1.5,,
1976-08-19,1.45,,
1976-08-20,1.44,,
1976-08-23,1.43,,
1976-08-24,1.43,,
1976-08-25,1.42,,
1976-08-26,1.45,,
1976-08-27,1.5,,
1976-08-30,1.5,,
1976-08-31,1.5,,
1976-09-01,1.53,,
1976-09-02,1.55,,
1976-09-03,1.55,,
1976-09-07,1.55,,
1976-09-08,1.55,,
1976-09-09,1.55,,
1976-09-10,1.55,,
1976-09-13,1.55,,
1976-09-14,1.53,,
1976-09-15,1.52,,
1976-09-16,1.52,,
1976-09-17,1.51,,
1976-09-20,1.46,,
1976-09-21,1.45,,
1976-09-22,1.43,,
1976-09-23,1.43,,
1976-09-24,1.46,,
1976-09-27,1.51,,
1976-09-28,1.48,,
1976-09-29,1.48,,
1976-09-30,1.48,,
1976-10-01,1.42,,
1976-10-04,1.44,,
1976-10-05,1.42,,
1976-10-06,1.44,,
1976-10-07,1.47,,
1976-10-08,1.47,,
1976-10-11,1.49,,
1976-10-12,1.52,,
1976-10-13,1.6,,
1976-10-14,1.57,,
1976-10-15,1.6,,
1976-10-18,1.61,,
1976-10-19,1.7,,
1976-10-20,1.66,,
1976-10-21,1.65,,
1976-10-22,1.63,,
1976-10-25,1.62,,
1976-10-26,1.63,,
1976-10-27,1.64,,
1976-10-28,1.66,,
1976-10-29,1.67,,
1976-11-01,1.66,,
