date,EQIX,EQIX_EPS,PE Ratio
,,-76.18,
2000-07-20,,-81.27,
2000-08-11,420.0,-81.27,-5.167958656330749
2000-08-14,384.0,-81.27,-4.7249907715024
2000-08-15,388.0,-81.27,-4.7742094253722165
2000-08-16,396.0,-81.27,-4.87264673311185
2000-08-17,384.0,-81.27,-4.7249907715024
2000-08-18,458.0,-81.27,-5.635535868094008
2000-08-21,486.0,-81.27,-5.980066445182724
2000-08-22,432.0,-81.27,-5.3156146179401995
2000-08-23,416.0,-81.27,-5.118740002460933
2000-08-24,386.0,-81.27,-4.749600098437308
2000-08-25,412.0,-81.27,-5.069521348591116
2000-08-28,420.0,-81.27,-5.167958656330749
2000-08-29,428.0,-81.27,-5.266395964070383
2000-08-30,454.0,-81.27,-5.5863172142241915
2000-08-31,518.0,-81.27,-6.373815676141258
2000-09-01,504.0,-81.27,-6.2015503875969
2000-09-05,498.0,-81.27,-6.1277224067921745
2000-09-06,496.0,-81.27,-6.103113079857266
2000-09-07,460.0,-81.27,-5.6601451950289166
2000-09-08,448.0,-81.27,-5.512489233419466
2000-09-11,444.0,-81.27,-5.46327057954965
2000-09-12,416.0,-81.27,-5.118740002460933
2000-09-13,400.0,-81.27,-4.921865386981667
2000-09-14,406.0,-81.27,-4.995693367786392
2000-09-15,402.0,-81.27,-4.946474713916575
2000-09-18,386.0,-81.27,-4.749600098437308
2000-09-19,360.0,-81.27,-4.4296788482834994
2000-09-20,332.0,-81.27,-4.085148271194783
2000-09-21,340.0,-81.27,-4.183585578934417
2000-09-22,338.0,-81.27,-4.158976251999508
2000-09-25,302.0,-81.27,-3.716008367171158
2000-09-26,296.0,-81.27,-3.6421803863664333
2000-09-27,299.0,-81.27,-3.6790943767687954
2000-09-28,320.0,-81.27,-3.937492309585333
2000-09-29,284.0,-81.27,-3.494524424756983
2000-10-02,272.0,-81.27,-3.346868463147533
2000-10-03,254.0,-81.27,-3.125384520733358
2000-10-04,228.0,-81.27,-2.80546327057955
2000-10-05,210.0,-81.27,-2.5839793281653747
2000-10-06,195.0,-81.27,-2.3994093761535624
2000-10-09,198.0,-81.27,-2.436323366555925
2000-10-10,182.0,-81.27,-2.239448751076658
2000-10-11,132.0,-81.27,-1.62421557770395
2000-10-12,166.0,-81.27,-2.0425741355973916
2000-10-13,242.0,-81.27,-2.977728559123908
2000-10-16,260.0,-81.27,-3.1992125015380832
2000-10-17,250.0,-81.27,-3.0761658668635414
2000-10-18,258.0,-81.27,-3.174603174603175
2000-10-19,221.0,-81.27,-2.7193306263073707
2000-10-20,234.0,-81.27,-2.879291251384275
2000-10-23,264.0,-81.27,-3.2484311554079
2000-10-24,270.0,-81.27,-3.3222591362126246
2000-10-25,272.0,-81.27,-3.346868463147533
