date,EXR,EXR_EPS,PE Ratio
2004-08-16,12.5,,
2004-08-17,12.51,,
2004-08-18,12.51,,
2004-08-19,12.53,,
2004-08-20,12.55,,
2004-08-23,12.55,,
2004-08-24,12.98,,
2004-08-25,13.0,,
2004-08-26,13.38,,
2004-08-27,13.45,,
2004-08-30,13.48,,
2004-08-31,13.8,,
2004-09-01,13.65,,
2004-09-02,13.79,,
2004-09-03,13.65,,
2004-09-07,13.8,,
2004-09-08,13.65,,
2004-09-09,13.49,,
2004-09-10,13.6,,
2004-09-13,13.71,,
2004-09-14,13.51,,
2004-09-15,13.35,,
2004-09-16,13.33,,
2004-09-17,13.64,,
2004-09-20,13.35,,
2004-09-21,13.47,,
2004-09-22,13.5,,
2004-09-23,13.29,,
2004-09-24,13.5,,
2004-09-27,13.05,,
2004-09-28,12.91,,
2004-09-29,12.88,,
2004-09-30,12.75,,
2004-10-01,13.0,,
2004-10-04,12.94,,
2004-10-05,12.86,,
2004-10-06,13.1,,
2004-10-07,13.02,,
2004-10-08,13.22,,
2004-10-11,13.1,,
2004-10-12,13.1,,
2004-10-13,12.96,,
2004-10-14,13.06,,
2004-10-15,12.98,,
2004-10-18,13.12,,
2004-10-19,13.05,,
2004-10-20,13.1,,
2004-10-21,13.38,,
2004-10-22,13.3,,
2004-10-25,13.3,,
2004-10-26,13.55,,
2004-10-27,13.9,,
2004-10-28,13.92,,
2004-10-29,13.86,,
2004-11-01,13.74,,
2004-11-02,13.86,,
2004-11-03,13.9,,
2004-11-04,14.0,,
2004-11-05,14.05,,
2004-11-08,14.05,,
2004-11-09,14.08,,
2004-11-10,14.13,,
2004-11-11,14.15,,
2004-11-12,14.1,,
2004-11-15,14.35,,
2004-11-16,14.1,,
2004-11-17,14.2,,
2004-11-18,14.05,,
2004-11-19,14.05,-2.59,-5.424710424710425
2004-11-22,14.18,-2.59,-5.474903474903475
2004-11-23,14.14,-2.59,-5.45945945945946
2004-11-24,13.98,-2.59,-5.397683397683398
2004-11-26,13.9,-2.59,-5.366795366795367
2004-11-29,14.0,-2.59,-5.405405405405405
2004-11-30,13.9,-2.59,-5.366795366795367
2004-12-01,14.0,-2.59,-5.405405405405405
2004-12-02,14.2,-2.59,-5.482625482625482
2004-12-03,14.35,-2.59,-5.54054054054054
2004-12-06,14.15,-2.59,-5.463320463320464
2004-12-07,14.0,-2.59,-5.405405405405405
2004-12-08,14.05,-2.59,-5.424710424710425
2004-12-09,13.75,-2.59,-5.308880308880309
2004-12-10,13.68,-2.59,-5.281853281853282
2004-12-13,13.69,-2.59,-5.285714285714286
2004-12-14,13.51,-2.59,-5.216216216216217
2004-12-15,13.36,-2.59,-5.158301158301159
2004-12-16,13.39,-2.59,-5.16988416988417
2004-12-17,13.29,-2.59,-5.1312741312741315
2004-12-20,13.28,-2.59,-5.127413127413128
2004-12-21,13.36,-2.59,-5.158301158301159
2004-12-22,13.56,-2.59,-5.235521235521236
2004-12-23,13.55,-2.59,-5.231660231660232
2004-12-27,13.43,-2.59,-5.185328185328186
2004-12-28,13.6,-2.59,-5.250965250965251
2004-12-29,13.35,-2.59,-5.154440154440155
2004-12-30,13.4,-2.59,-5.173745173745174
2004-12-31,13.33,-2.59,-5.146718146718147
2005-01-03,13.29,-2.59,-5.1312741312741315
2005-01-04,13.42,-2.59,-5.181467181467181
2005-01-05,13.0,-2.59,-5.01930501930502
2005-01-06,13.45,-2.59,-5.193050193050193
2005-01-07,13.76,-2.59,-5.312741312741313
2005-01-10,13.41,-2.59,-5.177606177606178
2005-01-11,13.46,-2.59,-5.196911196911198
2005-01-12,13.5,-2.59,-5.212355212355213
2005-01-13,13.05,-2.59,-5.038610038610039
2005-01-14,13.86,-2.59,-5.351351351351352
2005-01-18,13.25,-2.59,-5.115830115830116
2005-01-19,13.3,-2.59,-5.135135135135136
2005-01-20,13.15,-2.59,-5.077220077220078
2005-01-21,13.18,-2.59,-5.088803088803089
2005-01-24,13.23,-2.59,-5.108108108108109
2005-01-25,13.11,-2.59,-5.061776061776062
2005-01-26,12.95,-2.59,-5.0
2005-01-27,13.0,-2.59,-5.01930501930502
2005-01-28,12.94,-2.59,-4.996138996138996
2005-01-31,12.97,-2.59,-5.007722007722008
2005-02-01,13.05,-2.59,-5.038610038610039
2005-02-02,12.96,-2.59,-5.0038610038610045
2005-02-03,13.0,-2.59,-5.01930501930502
2005-02-04,13.2,-2.59,-5.096525096525096
2005-02-07,13.27,-2.59,-5.123552123552123
2005-02-08,13.35,-2.59,-5.154440154440155
2005-02-09,13.29,-2.59,-5.1312741312741315
2005-02-10,13.52,-2.59,-5.22007722007722
2005-02-11,13.84,-2.59,-5.343629343629344
2005-02-14,13.79,-2.59,-5.324324324324325
2005-02-15,13.65,-2.59,-5.270270270270271
2005-02-16,14.03,-2.59,-5.416988416988417
2005-02-17,14.03,-2.59,-5.416988416988417
2005-02-18,13.98,-2.59,-5.397683397683398
2005-02-22,13.71,-2.59,-5.293436293436294
2005-02-23,13.8,-2.59,-5.328185328185329
2005-02-24,13.8,-2.59,-5.328185328185329
2005-02-25,14.0,-2.59,-5.405405405405405
2005-02-28,13.9,-2.59,-5.366795366795367
2005-03-01,14.0,-2.59,-5.405405405405405
2005-03-02,14.04,-2.59,-5.420849420849421
2005-03-03,13.9,-2.59,-5.366795366795367
2005-03-04,14.08,-2.59,-5.436293436293437
2005-03-07,14.05,-2.59,-5.424710424710425
2005-03-08,14.1,-2.59,-5.444015444015444
2005-03-09,14.05,-2.59,-5.424710424710425
2005-03-10,13.98,-2.59,-5.397683397683398
2005-03-11,13.75,-2.59,-5.308880308880309
2005-03-14,13.7,-2.59,-5.289575289575289
2005-03-15,13.51,0.0,inf
2005-03-16,13.38,0.0,inf
2005-03-17,13.5,0.0,inf
2005-03-18,13.61,0.0,inf
2005-03-21,13.44,0.0,inf
2005-03-22,13.28,0.0,inf
2005-03-23,13.06,0.0,inf
2005-03-24,12.97,0.0,inf
2005-03-28,12.77,0.0,inf
2005-03-29,12.8,0.0,inf
2005-03-30,13.36,0.0,inf
2005-03-31,13.5,0.0,inf
2005-04-01,12.99,0.0,inf
2005-04-04,12.99,0.0,inf
2005-04-05,13.16,0.0,inf
2005-04-06,13.19,0.0,inf
2005-04-07,13.3,0.0,inf
2005-04-08,13.06,0.0,inf
2005-04-11,13.01,0.0,inf
2005-04-12,13.1,0.0,inf
2005-04-13,13.31,0.0,inf
2005-04-14,13.28,0.0,inf
2005-04-15,13.08,0.0,inf
2005-04-18,13.13,0.0,inf
2005-04-19,13.15,0.0,inf
2005-04-20,13.12,0.0,inf
2005-04-21,13.1,0.0,inf
2005-04-22,12.82,0.0,inf
2005-04-25,13.17,0.0,inf
2005-04-26,12.94,0.0,inf
2005-04-27,13.04,0.0,inf
2005-04-28,12.92,0.0,inf
2005-04-29,13.0,0.0,inf
2005-05-02,13.0,0.0,inf
2005-05-03,13.01,0.0,inf
2005-05-04,12.9,0.0,inf
2005-05-05,12.89,0.0,inf
2005-05-06,12.83,0.0,inf
