date,FBHS,FBHS_EPS,PE Ratio
,,-3.53,
2011-09-16,12.7,-3.53,-3.5977337110481584
2011-09-19,13.78,-3.53,-3.903682719546742
2011-09-20,13.7,-3.53,-3.8810198300283285
2011-09-21,13.4,-3.53,-3.796033994334278
2011-09-22,13.2,-3.53,-3.7393767705382435
2011-09-23,12.25,-3.53,-3.4702549575070822
2011-09-26,12.67,-3.53,-3.5892351274787537
2011-09-27,13.37,-3.53,-3.7875354107648724
2011-09-28,12.85,-3.53,-3.640226628895184
2011-09-29,13.17,-3.53,-3.7308781869688388
2011-09-30,12.4,-3.53,-3.512747875354108
2011-10-03,12.3,-3.53,-3.484419263456091
2011-10-04,12.3,-3.53,-3.484419263456091
2011-10-05,12.2,-3.53,-3.456090651558074
2011-10-06,12.76,-3.53,-3.614730878186969
2011-10-07,12.35,-3.53,-3.498583569405099
2011-10-10,12.37,-3.53,-3.5042492917847023
2011-10-11,12.48,-3.53,-3.5354107648725215
2011-10-12,12.6,-3.53,-3.5694050991501416
2011-10-13,12.62,-3.53,-3.575070821529745
2011-10-14,13.01,-3.53,-3.6855524079320117
2011-10-17,13.72,-3.53,-3.8866855524079322
2011-10-18,14.48,-3.53,-4.101983002832862
2011-10-19,15.06,-3.53,-4.26628895184136
2011-10-20,14.93,-3.53,-4.229461756373937
2011-10-21,14.95,-3.53,-4.235127478753541
2011-10-24,15.8,-3.53,-4.475920679886686
2011-10-25,14.78,-3.53,-4.186968838526912
2011-10-26,14.88,-3.53,-4.21529745042493
2011-10-27,15.42,-3.53,-4.3682719546742215
2011-10-28,14.92,-3.53,-4.226628895184136
2011-10-31,14.53,-3.53,-4.11614730878187
2011-11-01,14.67,-3.53,-4.1558073654390935
2011-11-02,15.07,-3.53,-4.269121813031162
2011-11-03,15.0,-3.53,-4.2492917847025495
2011-11-04,15.0,-3.53,-4.2492917847025495
2011-11-07,14.79,-3.53,-4.189801699716714
2011-11-08,15.09,-3.53,-4.274787535410765
2011-11-09,14.9,-3.53,-4.220963172804533
2011-11-10,15.7,-3.53,-4.447592067988668
2011-11-11,15.25,-3.53,-4.3201133144475925
2011-11-14,15.03,-3.53,-4.257790368271955
2011-11-15,15.49,-3.53,-4.388101983002834
2011-11-16,15.04,-3.53,-4.260623229461756
2011-11-17,15.53,-3.53,-4.39943342776204
2011-11-18,15.51,-3.53,-4.393767705382436
2011-11-21,15.26,-3.53,-4.322946175637394
2011-11-22,15.37,-3.53,-4.354107648725212
2011-11-23,15.31,-3.53,-4.337110481586403
2011-11-25,15.45,-3.53,-4.376770538243626
2011-11-28,15.97,-3.53,-4.524079320113315
2011-11-29,16.01,-3.53,-4.535410764872522
2011-11-30,16.68,-3.53,-4.7252124645892355
2011-12-01,15.99,-3.53,-4.529745042492918
2011-12-02,16.52,-3.53,-4.679886685552408
2011-12-05,16.45,-3.53,-4.660056657223796
2011-12-06,16.47,-3.53,-4.665722379603399
2011-12-07,16.45,-3.53,-4.660056657223796
2011-12-08,16.41,-3.53,-4.64872521246459
2011-12-09,17.01,-3.53,-4.818696883852692
2011-12-12,16.32,-3.53,-4.623229461756374
2011-12-13,15.78,-3.53,-4.470254957507082
2011-12-14,15.98,-3.53,-4.526912181303117
2011-12-15,15.91,-3.53,-4.507082152974505
2011-12-16,15.59,-3.53,-4.41643059490085
2011-12-19,15.33,-3.53,-4.342776203966006
2011-12-20,15.75,-3.53,-4.4617563739376775
2011-12-21,16.2,-3.53,-4.589235127478753
