date,FDX,FDX_EPS,PE Ratio
,,-1.29,
1978-04-12,0.95,-1.29,-0.7364341085271318
1978-04-13,0.99,-1.29,-0.7674418604651162
1978-04-14,1.05,-1.29,-0.813953488372093
1978-04-17,1.02,-1.29,-0.7906976744186046
1978-04-18,1.01,-1.29,-0.7829457364341085
1978-04-19,1.03,-1.29,-0.7984496124031008
1978-04-20,1.06,-1.29,-0.8217054263565892
1978-04-21,1.05,-1.29,-0.813953488372093
1978-04-24,1.03,-1.29,-0.7984496124031008
1978-04-25,1.08,-1.29,-0.8372093023255814
1978-04-26,1.13,-1.29,-0.8759689922480619
1978-04-27,1.13,-1.29,-0.8759689922480619
1978-04-28,1.2,-1.29,-0.9302325581395349
1978-05-01,1.15,-1.29,-0.8914728682170542
1978-05-02,1.16,-1.29,-0.8992248062015503
1978-05-03,1.13,-1.29,-0.8759689922480619
1978-05-04,1.15,-1.29,-0.8914728682170542
1978-05-05,1.16,-1.29,-0.8992248062015503
1978-05-08,1.17,-1.29,-0.9069767441860465
1978-05-09,1.18,-1.29,-0.9147286821705426
1978-05-10,1.19,-1.29,-0.9224806201550387
1978-05-11,1.23,-1.29,-0.9534883720930232
1978-05-12,1.25,-1.29,-0.9689922480620154
1978-05-15,1.24,-1.29,-0.9612403100775193
1978-05-16,1.32,-1.29,-1.0232558139534884
1978-05-17,1.31,-1.29,-1.0155038759689923
1978-05-18,1.3,-1.29,-1.0077519379844961
1978-05-19,1.23,-1.29,-0.9534883720930232
1978-05-22,1.22,-1.29,-0.945736434108527
1978-05-23,1.17,-1.29,-0.9069767441860465
1978-05-24,1.13,-1.29,-0.8759689922480619
1978-05-25,1.16,-1.29,-0.8992248062015503
1978-05-26,1.18,-1.29,-0.9147286821705426
1978-05-30,1.23,-1.29,-0.9534883720930232
1978-05-31,1.23,-1.29,-0.9534883720930232
1978-06-01,1.22,-1.29,-0.945736434108527
1978-06-02,1.21,-1.29,-0.937984496124031
1978-06-05,1.23,-1.29,-0.9534883720930232
1978-06-06,1.25,-1.29,-0.9689922480620154
1978-06-07,1.23,-1.29,-0.9534883720930232
1978-06-08,1.25,-1.29,-0.9689922480620154
1978-06-09,1.24,-1.29,-0.9612403100775193
1978-06-12,1.27,-1.29,-0.9844961240310077
1978-06-13,1.34,-1.29,-1.0387596899224807
1978-06-14,1.36,-1.29,-1.054263565891473
1978-06-15,1.36,-1.29,-1.054263565891473
1978-06-16,1.32,-1.29,-1.0232558139534884
1978-06-19,1.28,-1.29,-0.9922480620155039
1978-06-20,1.23,-1.29,-0.9534883720930232
1978-06-21,1.2,-1.29,-0.9302325581395349
1978-06-22,1.22,-1.29,-0.945736434108527
1978-06-23,1.2,-1.29,-0.9302325581395349
1978-06-26,1.16,-1.29,-0.8992248062015503
1978-06-27,1.15,-1.29,-0.8914728682170542
1978-06-28,1.16,-1.29,-0.8992248062015503
1978-06-29,1.2,-1.29,-0.9302325581395349
1978-06-30,1.25,-1.29,-0.9689922480620154
1978-07-03,1.26,-1.29,-0.9767441860465116
1978-07-05,1.24,-1.29,-0.9612403100775193
1978-07-06,1.31,-1.29,-1.0155038759689923
1978-07-07,1.33,-1.29,-1.0310077519379846
1978-07-10,1.35,-1.29,-1.0465116279069768
1978-07-11,1.38,-1.29,-1.069767441860465
1978-07-12,1.36,-1.29,-1.054263565891473
1978-07-13,1.35,-1.29,-1.0465116279069768
1978-07-14,1.37,-1.29,-1.062015503875969
1978-07-17,1.43,-1.29,-1.1085271317829457
1978-07-18,1.43,-1.29,-1.1085271317829457
1978-07-19,1.48,-1.29,-1.1472868217054264
1978-07-20,1.48,-1.29,-1.1472868217054264
1978-07-21,1.44,-1.29,-1.1162790697674418
1978-07-24,1.44,-1.29,-1.1162790697674418
1978-07-25,1.43,-1.29,-1.1085271317829457
1978-07-26,1.43,-1.29,-1.1085271317829457
1978-07-27,1.45,-1.29,-1.124031007751938
1978-07-28,1.45,-1.29,-1.124031007751938
1978-07-31,1.44,-1.29,-1.1162790697674418
1978-08-01,1.47,-1.29,-1.1395348837209303
1978-08-02,1.49,-1.29,-1.1550387596899225
1978-08-03,1.56,-1.29,-1.2093023255813953
1978-08-04,1.64,-1.29,-1.2713178294573642
1978-08-07,1.7,-1.29,-1.317829457364341
1978-08-08,1.74,-1.29,-1.3488372093023255
1978-08-09,1.73,-1.29,-1.3410852713178294
1978-08-10,1.72,-1.29,-1.3333333333333333
1978-08-11,1.72,-1.29,-1.3333333333333333
1978-08-14,1.73,-1.29,-1.3410852713178294
1978-08-15,1.77,-1.29,-1.372093023255814
1978-08-16,1.84,-1.29,-1.426356589147287
1978-08-17,1.91,-1.29,-1.4806201550387597
1978-08-18,1.88,-1.29,-1.4573643410852712
1978-08-21,1.75,-1.29,-1.3565891472868217
1978-08-22,1.76,-1.29,-1.3643410852713178
1978-08-23,1.85,-1.29,-1.434108527131783
1978-08-24,1.97,-1.29,-1.5271317829457365
1978-08-25,2.06,-1.29,-1.5968992248062015
1978-08-28,1.99,-1.29,-1.5426356589147285
1978-08-29,1.92,-1.29,-1.4883720930232558
1978-08-30,1.86,-1.29,-1.4418604651162792
1978-08-31,1.81,-1.29,-1.4031007751937985
1978-09-01,1.84,-1.29,-1.426356589147287
1978-09-05,1.92,-1.29,-1.4883720930232558
1978-09-06,1.95,-1.29,-1.5116279069767442
1978-09-07,1.95,-1.29,-1.5116279069767442
1978-09-08,2.05,-1.29,-1.5891472868217051
1978-09-11,2.09,-1.29,-1.6201550387596897
1978-09-12,2.12,-1.29,-1.6434108527131783
1978-09-13,2.09,-1.29,-1.6201550387596897
1978-09-14,2.06,-1.29,-1.5968992248062015
1978-09-15,2.06,-1.29,-1.5968992248062015
1978-09-18,1.96,-1.29,-1.5193798449612403
1978-09-19,1.9,-1.29,-1.4728682170542635
1978-09-20,1.82,-1.29,-1.4108527131782946
1978-09-21,1.75,-1.29,-1.3565891472868217
1978-09-22,1.65,-1.29,-1.2790697674418603
1978-09-25,1.66,-1.29,-1.2868217054263564
1978-09-26,1.78,-1.29,-1.37984496124031
1978-09-27,1.84,-1.29,-1.426356589147287
1978-09-28,1.95,-1.29,-1.5116279069767442
1978-09-29,2.0,-1.29,-1.5503875968992247
1978-10-02,2.06,-1.29,-1.5968992248062015
1978-10-03,2.03,-1.29,-1.573643410852713
1978-10-04,2.0,-1.29,-1.5503875968992247
1978-10-05,2.02,-1.29,-1.565891472868217
1978-10-06,2.05,-1.29,-1.5891472868217051
1978-10-09,2.11,-1.29,-1.635658914728682
1978-10-10,2.08,-1.29,-1.6124031007751938
1978-10-11,2.13,-1.29,-1.6511627906976742
1978-10-12,2.14,-1.29,-1.6589147286821706
1978-10-13,2.11,-1.29,-1.635658914728682
1978-10-16,1.94,-1.29,-1.503875968992248
1978-10-17,1.86,-1.29,-1.4418604651162792
1978-10-18,1.81,-1.29,-1.4031007751937985
1978-10-19,1.72,-1.29,-1.3333333333333333
1978-10-20,1.63,-1.29,-1.263565891472868
1978-10-23,1.56,-1.29,-1.2093023255813953
1978-10-24,1.53,-1.29,-1.1860465116279069
1978-10-25,1.5,-1.29,-1.1627906976744187
1978-10-26,1.31,-1.29,-1.0155038759689923
1978-10-27,1.31,-1.29,-1.0155038759689923
1978-10-30,1.16,-1.29,-0.8992248062015503
1978-10-31,1.25,-1.29,-0.9689922480620154
1978-11-01,1.44,-1.29,-1.1162790697674418
1978-11-02,1.47,-1.29,-1.1395348837209303
1978-11-03,1.5,-1.29,-1.1627906976744187
1978-11-06,1.48,-1.29,-1.1472868217054264
1978-11-07,1.39,-1.29,-1.0775193798449612
1978-11-08,1.34,-1.29,-1.0387596899224807
1978-11-09,1.36,-1.29,-1.054263565891473
1978-11-10,1.42,-1.29,-1.1007751937984496
1978-11-13,1.34,-1.29,-1.0387596899224807
1978-11-14,1.27,-1.29,-0.9844961240310077
1978-11-15,1.3,-1.29,-1.0077519379844961
1978-11-16,1.36,-1.29,-1.054263565891473
1978-11-17,1.47,-1.29,-1.1395348837209303
1978-11-20,1.48,-1.29,-1.1472868217054264
1978-11-21,1.45,-1.29,-1.124031007751938
