date,GPN,GPN_EPS,PE Ratio
,,0.1,
2001-01-03,,0.08,
2001-01-16,3.75,0.08,46.875
2001-01-17,3.75,0.08,46.875
2001-01-18,4.13,0.08,51.625
2001-01-19,4.28,0.08,53.5
2001-01-22,4.56,0.08,56.99999999999999
2001-01-23,4.69,0.08,58.62500000000001
2001-01-24,4.56,0.08,56.99999999999999
2001-01-25,4.69,0.08,58.62500000000001
2001-01-26,4.63,0.08,57.875
2001-01-29,4.68,0.08,58.49999999999999
2001-01-30,4.65,0.08,58.125
2001-01-31,4.69,0.08,58.62500000000001
2001-02-01,5.23,0.08,65.375
2001-02-02,5.21,0.08,65.125
2001-02-05,4.99,0.08,62.375
2001-02-06,4.94,0.08,61.75000000000001
2001-02-07,5.0,0.08,62.5
2001-02-08,4.88,0.08,61.0
2001-02-09,4.94,0.08,61.75000000000001
2001-02-12,4.83,0.08,60.375
2001-02-13,4.81,0.08,60.12499999999999
2001-02-14,4.77,0.08,59.62499999999999
2001-02-15,4.58,0.08,57.25
2001-02-16,4.52,0.08,56.49999999999999
2001-02-20,4.52,0.08,56.49999999999999
2001-02-21,4.52,0.08,56.49999999999999
2001-02-22,4.51,0.08,56.37499999999999
2001-02-23,4.61,0.08,57.625
2001-02-26,4.75,0.08,59.375
2001-02-27,4.73,0.08,59.12500000000001
2001-02-28,4.75,0.08,59.375
2001-03-01,4.68,0.08,58.49999999999999
2001-03-02,4.69,0.08,58.62500000000001
2001-03-05,4.75,0.08,59.375
2001-03-06,4.7,0.08,58.75
2001-03-07,4.75,0.08,59.375
2001-03-08,4.7,0.08,58.75
2001-03-09,4.7,0.08,58.75
2001-03-12,4.68,0.08,58.49999999999999
2001-03-13,4.61,0.08,57.625
2001-03-14,4.48,0.08,56.00000000000001
2001-03-15,4.36,0.08,54.5
2001-03-16,4.34,0.08,54.25
2001-03-19,4.3,0.08,53.75
2001-03-20,4.28,0.08,53.5
2001-03-21,4.16,0.08,52.0
2001-03-22,4.46,0.08,55.75
2001-03-23,4.58,0.08,57.25
2001-03-26,4.63,0.08,57.875
2001-03-27,4.59,0.08,57.375
2001-03-28,4.46,0.08,55.75
2001-03-29,4.33,0.08,54.125
2001-03-30,4.63,0.08,57.875
2001-04-02,4.45,0.08,55.625
2001-04-03,4.5,0.08,56.25
2001-04-04,4.5,0.08,56.25
2001-04-05,4.53,0.08,56.625
2001-04-06,4.71,0.08,58.875
2001-04-09,4.65,0.08,58.125
2001-04-10,4.76,0.08,59.49999999999999
2001-04-11,5.23,0.08,65.375
2001-04-12,5.59,0.08,69.875
2001-04-16,5.38,0.06,89.66666666666667
2001-04-17,5.38,0.06,89.66666666666667
2001-04-18,5.32,0.06,88.66666666666667
2001-04-19,5.31,0.06,88.5
2001-04-20,5.25,0.06,87.5
2001-04-23,5.23,0.06,87.16666666666667
2001-04-24,5.23,0.06,87.16666666666667
2001-04-25,5.26,0.06,87.66666666666667
2001-04-26,5.25,0.06,87.5
2001-04-27,5.25,0.06,87.5
2001-04-30,5.29,0.06,88.16666666666667
2001-05-01,5.97,0.06,99.5
2001-05-02,6.12,0.06,102.0
2001-05-03,6.0,0.06,100.0
2001-05-04,6.0,0.06,100.0
2001-05-07,6.1,0.06,101.66666666666667
2001-05-08,6.29,0.06,104.83333333333334
2001-05-09,6.06,0.06,101.0
2001-05-10,5.92,0.06,98.66666666666667
2001-05-11,5.75,0.06,95.83333333333334
2001-05-14,6.02,0.06,100.33333333333333
2001-05-15,6.18,0.06,103.0
2001-05-16,6.26,0.06,104.33333333333333
2001-05-17,6.53,0.06,108.83333333333334
2001-05-18,6.5,0.06,108.33333333333334
2001-05-21,6.58,0.06,109.66666666666667
2001-05-22,6.63,0.06,110.5
2001-05-23,6.48,0.06,108.00000000000001
2001-05-24,6.28,0.06,104.66666666666667
2001-05-25,6.35,0.06,105.83333333333333
2001-05-29,6.36,0.06,106.00000000000001
2001-05-30,6.49,0.06,108.16666666666667
2001-05-31,6.58,0.06,109.66666666666667
2001-06-01,6.51,0.06,108.5
2001-06-04,6.7,0.06,111.66666666666667
2001-06-05,6.78,0.06,113.00000000000001
2001-06-06,6.78,0.06,113.00000000000001
2001-06-07,6.88,0.06,114.66666666666667
2001-06-08,6.84,0.06,114.0
2001-06-11,6.74,0.06,112.33333333333334
2001-06-12,6.85,0.06,114.16666666666667
2001-06-13,6.94,0.06,115.66666666666667
2001-06-14,6.86,0.06,114.33333333333334
2001-06-15,6.78,0.06,113.00000000000001
2001-06-18,6.85,0.06,114.16666666666667
2001-06-19,6.78,0.06,113.00000000000001
2001-06-20,6.9,0.06,115.00000000000001
2001-06-21,6.94,0.06,115.66666666666667
2001-06-22,6.99,0.06,116.50000000000001
2001-06-25,7.15,0.06,119.16666666666667
2001-06-26,7.24,0.06,120.66666666666667
2001-06-27,7.26,0.06,121.0
2001-06-28,7.46,0.06,124.33333333333334
2001-06-29,7.53,0.06,125.50000000000001
2001-07-02,7.66,0.06,127.66666666666667
2001-07-03,7.79,0.06,129.83333333333334
2001-07-05,7.96,0.06,132.66666666666666
2001-07-06,7.7,0.06,128.33333333333334
2001-07-09,7.5,0.06,125.0
2001-07-10,7.1,0.06,118.33333333333333
2001-07-11,7.1,0.06,118.33333333333333
2001-07-12,7.24,0.06,120.66666666666667
2001-07-13,7.31,0.06,121.83333333333333
2001-07-16,7.16,0.06,119.33333333333334
2001-07-17,7.23,0.06,120.50000000000001
2001-07-18,6.9,0.06,115.00000000000001
2001-07-19,7.8,0.06,130.0
2001-07-20,8.78,0.06,146.33333333333331
2001-07-23,8.53,0.06,142.16666666666666
2001-07-24,8.5,0.06,141.66666666666669
2001-07-25,8.43,0.06,140.5
2001-07-26,8.5,0.06,141.66666666666669
2001-07-27,8.47,0.06,141.16666666666669
2001-07-30,8.24,0.06,137.33333333333334
2001-07-31,8.08,0.06,134.66666666666669
2001-08-01,8.21,0.06,136.83333333333334
2001-08-02,8.18,0.06,136.33333333333334
2001-08-03,7.99,0.06,133.16666666666669
2001-08-06,7.94,0.06,132.33333333333334
2001-08-07,7.99,0.06,133.16666666666669
2001-08-08,7.9,0.06,131.66666666666669
2001-08-09,8.0,0.06,133.33333333333334
2001-08-10,8.24,0.06,137.33333333333334
2001-08-13,8.58,0.06,143.0
2001-08-14,8.89,0.06,148.16666666666669
2001-08-15,8.78,0.06,146.33333333333331
