date,J,J_EPS,PE Ratio
,,0.03,
1980-03-17,0.58,0.03,19.333333333333332
1980-03-18,0.58,0.03,19.333333333333332
1980-03-19,0.58,0.03,19.333333333333332
1980-03-20,0.57,0.03,19.0
1980-03-21,0.56,0.03,18.666666666666668
1980-03-24,0.54,0.03,18.000000000000004
1980-03-25,0.52,0.03,17.333333333333336
1980-03-26,0.5,0.03,16.666666666666668
1980-03-27,0.44,0.03,14.666666666666668
1980-03-28,0.48,0.03,16.0
1980-03-31,0.5,0.03,16.666666666666668
1980-04-01,0.49,0.03,16.333333333333332
1980-04-02,0.49,0.03,16.333333333333332
1980-04-03,0.48,0.03,16.0
1980-04-07,0.47,0.03,15.666666666666666
1980-04-08,0.47,0.03,15.666666666666666
1980-04-09,0.46,0.03,15.333333333333334
1980-04-10,0.47,0.03,15.666666666666666
1980-04-11,0.48,0.03,16.0
1980-04-14,0.48,0.03,16.0
1980-04-15,0.48,0.03,16.0
1980-04-16,0.52,0.03,17.333333333333336
1980-04-17,0.51,0.03,17.0
1980-04-18,0.5,0.03,16.666666666666668
1980-04-21,0.51,0.03,17.0
1980-04-22,0.53,0.03,17.666666666666668
1980-04-23,0.56,0.03,18.666666666666668
1980-04-24,0.54,0.03,18.000000000000004
1980-04-25,0.53,0.03,17.666666666666668
1980-04-28,0.53,0.03,17.666666666666668
1980-04-29,0.53,0.03,17.666666666666668
1980-04-30,0.55,0.03,18.333333333333336
1980-05-01,0.56,0.03,18.666666666666668
1980-05-02,0.55,0.03,18.333333333333336
1980-05-05,0.55,0.03,18.333333333333336
1980-05-06,0.55,0.03,18.333333333333336
1980-05-07,0.55,0.03,18.333333333333336
1980-05-08,0.54,0.03,18.000000000000004
1980-05-09,0.54,0.03,18.000000000000004
1980-05-12,0.54,0.03,18.000000000000004
1980-05-13,0.55,0.03,18.333333333333336
1980-05-14,0.55,0.03,18.333333333333336
1980-05-15,0.55,0.03,18.333333333333336
1980-05-16,0.55,0.03,18.333333333333336
1980-05-19,0.56,0.03,18.666666666666668
1980-05-20,0.54,0.03,18.000000000000004
1980-05-21,0.54,0.03,18.000000000000004
1980-05-22,0.52,0.03,17.333333333333336
1980-05-23,0.54,0.03,18.000000000000004
1980-05-27,0.52,0.03,17.333333333333336
1980-05-28,0.51,0.03,17.0
1980-05-29,0.52,0.03,17.333333333333336
1980-05-30,0.54,0.03,18.000000000000004
1980-06-02,0.54,0.03,18.000000000000004
1980-06-03,0.54,0.03,18.000000000000004
1980-06-04,0.58,0.03,19.333333333333332
1980-06-05,0.57,0.03,19.0
1980-06-06,0.56,0.03,18.666666666666668
1980-06-09,0.56,0.03,18.666666666666668
1980-06-10,0.56,0.03,18.666666666666668
1980-06-11,0.55,0.03,18.333333333333336
1980-06-12,0.54,0.03,18.000000000000004
1980-06-13,0.55,0.03,18.333333333333336
1980-06-16,0.54,0.03,18.000000000000004
1980-06-17,0.56,0.03,18.666666666666668
1980-06-18,0.6,0.03,20.0
1980-06-19,0.57,0.03,19.0
1980-06-20,0.56,0.03,18.666666666666668
1980-06-23,0.58,0.03,19.333333333333332
1980-06-24,0.56,0.03,18.666666666666668
1980-06-25,0.57,0.03,19.0
1980-06-26,0.6,0.03,20.0
1980-06-27,0.59,0.03,19.666666666666668
1980-06-30,0.6,0.03,20.0
1980-07-01,0.6,0.03,20.0
1980-07-02,0.59,0.03,19.666666666666668
1980-07-03,0.59,0.03,19.666666666666668
1980-07-07,0.59,0.03,19.666666666666668
1980-07-08,0.6,0.03,20.0
1980-07-09,0.6,0.03,20.0
1980-07-10,0.64,0.03,21.333333333333336
1980-07-11,0.66,0.03,22.000000000000004
1980-07-14,0.68,0.03,22.666666666666668
1980-07-15,0.66,0.03,22.000000000000004
1980-07-16,0.67,0.03,22.333333333333336
1980-07-17,0.68,0.03,22.666666666666668
