date,KMI,KMI_EPS,PE Ratio
,,0.0,
2011-02-11,31.05,0.0,inf
2011-02-14,30.7,0.0,inf
2011-02-15,30.94,0.0,inf
2011-02-16,30.72,0.0,inf
2011-02-17,30.55,0.0,inf
2011-02-18,31.37,0.0,inf
2011-02-22,30.72,0.0,inf
2011-02-23,30.42,0.0,inf
2011-02-24,30.46,0.0,inf
2011-02-25,30.5,0.0,inf
2011-02-28,30.5,0.0,inf
2011-03-01,30.45,0.0,inf
2011-03-02,30.57,0.0,inf
2011-03-03,30.77,0.0,inf
2011-03-04,30.85,0.0,inf
2011-03-07,30.9,0.0,inf
2011-03-08,30.97,0.0,inf
2011-03-09,30.75,0.0,inf
2011-03-10,30.1,0.0,inf
2011-03-11,30.1,0.0,inf
2011-03-14,29.99,0.0,inf
2011-03-15,29.88,0.0,inf
2011-03-16,30.05,0.0,inf
2011-03-17,30.15,0.0,inf
2011-03-18,30.5,0.0,inf
2011-03-21,30.82,0.0,inf
2011-03-22,30.7,0.0,inf
2011-03-23,30.02,0.0,inf
2011-03-24,30.05,0.0,inf
2011-03-25,29.52,0.0,inf
2011-03-28,29.62,0.0,inf
2011-03-29,29.79,0.0,inf
2011-03-30,29.69,0.0,inf
2011-03-31,29.64,0.0,inf
2011-04-01,29.5,0.0,inf
2011-04-04,29.44,0.0,inf
2011-04-05,29.44,0.0,inf
2011-04-06,29.46,0.0,inf
2011-04-07,29.22,0.0,inf
2011-04-08,29.33,0.0,inf
2011-04-11,29.25,0.0,inf
2011-04-12,28.73,0.0,inf
2011-04-13,28.83,0.0,inf
2011-04-14,29.12,0.0,inf
2011-04-15,28.88,0.0,inf
2011-04-18,28.52,0.0,inf
2011-04-19,28.78,0.0,inf
2011-04-20,29.45,0.0,inf
2011-04-21,29.63,0.0,inf
2011-04-25,29.36,0.0,inf
2011-04-26,29.12,0.0,inf
2011-04-27,28.86,0.0,inf
2011-04-28,28.83,0.0,inf
2011-04-29,28.58,0.0,inf
2011-05-02,28.82,0.0,inf
2011-05-03,28.19,0.0,inf
2011-05-04,27.96,0.0,inf
2011-05-05,27.98,0.0,inf
2011-05-06,28.0,0.12,233.33333333333334
2011-05-09,28.29,0.12,235.75
2011-05-10,28.52,0.12,237.66666666666669
2011-05-11,28.31,0.12,235.91666666666666
2011-05-12,28.45,0.12,237.08333333333334
2011-05-13,27.93,0.12,232.75
2011-05-16,27.54,0.12,229.5
2011-05-17,27.5,0.12,229.16666666666669
2011-05-18,27.56,0.12,229.66666666666666
2011-05-19,28.29,0.12,235.75
2011-05-20,28.5,0.12,237.5
2011-05-23,28.33,0.12,236.08333333333331
2011-05-24,29.06,0.12,242.16666666666666
2011-05-25,29.02,0.12,241.83333333333334
2011-05-26,28.69,0.12,239.08333333333334
2011-05-27,29.18,0.12,243.16666666666669
2011-05-31,29.29,0.12,244.08333333333334
2011-06-01,29.0,0.12,241.66666666666669
2011-06-02,29.38,0.12,244.83333333333334
2011-06-03,29.75,0.12,247.91666666666669
2011-06-06,29.52,0.12,246.0
2011-06-07,29.79,0.12,248.25
2011-06-08,29.73,0.12,247.75
2011-06-09,29.69,0.12,247.41666666666669
2011-06-10,29.53,0.12,246.08333333333334
2011-06-13,29.45,0.12,245.41666666666666
2011-06-14,29.5,0.12,245.83333333333334
2011-06-15,29.36,0.12,244.66666666666666
2011-06-16,29.21,0.12,243.41666666666669
2011-06-17,29.7,0.12,247.5
2011-06-20,29.61,0.12,246.75
2011-06-21,29.62,0.12,246.83333333333334
2011-06-22,29.62,0.12,246.83333333333334
2011-06-23,29.1,0.12,242.50000000000003
2011-06-24,28.6,0.12,238.33333333333334
2011-06-27,28.26,0.12,235.50000000000003
2011-06-28,28.3,0.12,235.83333333333334
2011-06-29,28.4,0.12,236.66666666666666
2011-06-30,28.73,0.12,239.41666666666669
2011-07-01,29.27,0.12,243.91666666666669
2011-07-05,29.26,0.12,243.83333333333334
2011-07-06,29.11,0.12,242.58333333333334
2011-07-07,28.98,0.12,241.5
2011-07-08,28.92,0.12,241.00000000000003
2011-07-11,28.36,0.12,236.33333333333334
2011-07-12,28.17,0.12,234.75000000000003
2011-07-13,28.19,0.12,234.91666666666669
2011-07-14,28.03,0.12,233.58333333333334
2011-07-15,28.59,0.12,238.25
2011-07-18,28.19,0.12,234.91666666666669
2011-07-19,28.35,0.12,236.25000000000003
2011-07-20,28.5,0.12,237.5
2011-07-21,28.51,0.12,237.58333333333334
2011-07-22,28.36,0.12,236.33333333333334
2011-07-25,27.5,0.12,229.16666666666669
2011-07-26,27.57,0.12,229.75
2011-07-27,28.18,0.12,234.83333333333334
2011-07-28,28.16,0.12,234.66666666666669
2011-07-29,28.23,0.12,235.25
2011-08-01,28.23,0.12,235.25
2011-08-02,27.85,0.12,232.08333333333334
2011-08-03,27.72,0.12,231.0
2011-08-04,26.47,0.31,85.38709677419355
2011-08-05,25.92,0.31,83.61290322580646
2011-08-08,23.66,0.31,76.3225806451613
2011-08-09,25.92,0.31,83.61290322580646
2011-08-10,26.05,0.31,84.03225806451613
2011-08-11,27.45,0.31,88.54838709677419
2011-08-12,26.77,0.31,86.35483870967742
2011-08-15,27.08,0.31,87.35483870967741
2011-08-16,26.5,0.31,85.48387096774194
2011-08-17,26.28,0.31,84.7741935483871
2011-08-18,24.82,0.31,80.06451612903226
2011-08-19,23.82,0.31,76.83870967741936
2011-08-22,23.76,0.31,76.64516129032259
2011-08-23,24.54,0.31,79.16129032258064
2011-08-24,24.45,0.31,78.87096774193549
2011-08-25,24.45,0.31,78.87096774193549
2011-08-26,24.78,0.31,79.93548387096774
2011-08-29,25.31,0.31,81.64516129032258
2011-08-30,25.37,0.31,81.83870967741936
2011-08-31,25.85,0.31,83.38709677419355
2011-09-01,25.72,0.31,82.96774193548387
2011-09-02,25.19,0.31,81.25806451612904
2011-09-06,25.37,0.31,81.83870967741936
2011-09-07,25.44,0.31,82.06451612903226
2011-09-08,25.4,0.31,81.93548387096774
2011-09-09,24.85,0.31,80.16129032258065
2011-09-12,24.96,0.31,80.51612903225806
2011-09-13,24.97,0.31,80.54838709677419
2011-09-14,25.25,0.31,81.45161290322581
2011-09-15,25.54,0.31,82.38709677419355
2011-09-16,25.5,0.31,82.25806451612904
2011-09-19,26.68,0.31,86.06451612903226
2011-09-20,26.7,0.31,86.12903225806451
2011-09-21,26.55,0.31,85.64516129032258
2011-09-22,25.69,0.31,82.87096774193549
2011-09-23,25.52,0.31,82.3225806451613
2011-09-26,26.34,0.31,84.96774193548387
2011-09-27,27.03,0.31,87.19354838709678
2011-09-28,26.62,0.31,85.87096774193549
2011-09-29,26.32,0.31,84.90322580645162
2011-09-30,25.89,0.31,83.51612903225806
2011-10-03,25.48,0.31,82.19354838709678
2011-10-04,26.05,0.31,84.03225806451613
2011-10-05,26.59,0.31,85.7741935483871
2011-10-06,26.7,0.31,86.12903225806451
2011-10-07,26.34,0.31,84.96774193548387
2011-10-10,26.87,0.31,86.67741935483872
2011-10-11,26.85,0.31,86.61290322580646
2011-10-12,26.9,0.31,86.77419354838709
2011-10-13,26.92,0.31,86.83870967741936
2011-10-14,26.89,0.31,86.74193548387098
2011-10-17,28.19,0.31,90.93548387096774
2011-10-18,28.06,0.31,90.51612903225806
2011-10-19,27.58,0.31,88.96774193548387
2011-10-20,28.23,0.31,91.06451612903226
2011-10-21,29.22,0.31,94.25806451612902
2011-10-24,29.98,0.31,96.70967741935485
2011-10-25,30.11,0.31,97.12903225806451
2011-10-26,29.66,0.31,95.6774193548387
2011-10-27,29.44,0.31,94.96774193548387
2011-10-28,29.1,0.31,93.87096774193549
2011-10-31,28.6,0.31,92.25806451612904
2011-11-01,27.82,0.31,89.74193548387098
2011-11-02,28.06,0.52,53.96153846153846
2011-11-03,28.17,0.52,54.17307692307693
2011-11-04,28.31,0.52,54.442307692307686
2011-11-07,27.96,0.52,53.76923076923077
2011-11-08,28.15,0.52,54.13461538461538
2011-11-09,27.03,0.52,51.98076923076923
2011-11-10,27.43,0.52,52.75
2011-11-11,27.57,0.52,53.01923076923077
2011-11-14,27.73,0.52,53.32692307692307
