date,LB,LB_EPS,PE Ratio
,,0.88,
1982-04-01,2.97,0.88,3.375
1982-04-02,2.97,0.88,3.375
1982-04-05,2.99,0.88,3.397727272727273
1982-04-06,2.99,0.88,3.397727272727273
1982-04-07,2.99,0.88,3.397727272727273
1982-04-08,3.07,0.88,3.4886363636363633
1982-04-12,3.03,0.88,3.443181818181818
1982-04-13,3.03,0.88,3.443181818181818
1982-04-14,2.93,0.88,3.3295454545454546
1982-04-15,2.99,0.88,3.397727272727273
1982-04-16,2.99,0.88,3.397727272727273
1982-04-19,2.99,0.88,3.397727272727273
1982-04-20,2.97,0.88,3.375
1982-04-21,2.97,0.88,3.375
1982-04-22,2.97,0.88,3.375
1982-04-23,3.11,0.88,3.5340909090909087
1982-04-26,3.26,0.88,3.704545454545454
1982-04-27,3.17,0.88,3.602272727272727
1982-04-28,3.03,0.88,3.443181818181818
1982-04-29,2.85,0.88,3.2386363636363638
1982-04-30,3.19,0.88,3.625
1982-05-03,3.38,0.88,3.840909090909091
1982-05-04,3.36,0.88,3.818181818181818
1982-05-05,3.17,0.88,3.602272727272727
1982-05-06,3.13,0.88,3.5568181818181817
1982-05-07,3.15,0.88,3.5795454545454546
1982-05-10,3.09,0.88,3.5113636363636362
1982-05-11,3.15,0.88,3.5795454545454546
1982-05-12,3.09,0.88,3.5113636363636362
1982-05-13,3.17,0.88,3.602272727272727
1982-05-14,3.28,0.88,3.727272727272727
1982-05-17,3.23,0.88,3.6704545454545454
1982-05-18,3.23,0.88,3.6704545454545454
1982-05-19,3.19,0.88,3.625
1982-05-20,3.19,0.88,3.625
1982-05-21,3.23,0.88,3.6704545454545454
1982-05-24,3.23,0.88,3.6704545454545454
1982-05-25,3.3,0.88,3.75
1982-05-26,3.28,0.88,3.727272727272727
1982-05-27,3.26,0.88,3.704545454545454
1982-05-28,3.23,0.88,3.6704545454545454
1982-06-01,3.21,0.88,3.6477272727272725
1982-06-02,3.21,0.88,3.6477272727272725
1982-06-03,3.07,0.88,3.4886363636363633
1982-06-04,3.05,0.88,3.465909090909091
1982-06-07,3.05,0.88,3.465909090909091
1982-06-08,3.19,0.88,3.625
1982-06-09,3.19,0.88,3.625
1982-06-10,3.26,0.88,3.704545454545454
1982-06-11,3.23,0.88,3.6704545454545454
1982-06-14,3.26,0.88,3.704545454545454
1982-06-15,3.28,0.88,3.727272727272727
1982-06-16,3.28,0.88,3.727272727272727
1982-06-17,3.3,0.88,3.75
1982-06-18,3.3,0.88,3.75
1982-06-21,3.28,0.88,3.727272727272727
1982-06-22,3.26,0.88,3.704545454545454
1982-06-23,3.34,0.88,3.7954545454545454
1982-06-24,3.36,0.88,3.818181818181818
1982-06-25,3.36,0.88,3.818181818181818
1982-06-28,3.32,0.88,3.7727272727272725
1982-06-29,3.3,0.88,3.75
1982-06-30,3.28,0.88,3.727272727272727
1982-07-01,3.28,0.88,3.727272727272727
1982-07-02,3.26,0.88,3.704545454545454
1982-07-06,3.26,0.88,3.704545454545454
1982-07-07,3.26,0.88,3.704545454545454
1982-07-08,3.32,0.88,3.7727272727272725
1982-07-09,3.32,0.88,3.7727272727272725
1982-07-12,3.34,0.88,3.7954545454545454
1982-07-13,3.38,0.88,3.840909090909091
1982-07-14,3.36,0.88,3.818181818181818
1982-07-15,3.34,0.88,3.7954545454545454
1982-07-16,3.34,0.88,3.7954545454545454
1982-07-19,3.48,0.88,3.9545454545454546
1982-07-20,3.66,0.88,4.159090909090909
1982-07-21,3.77,0.88,4.284090909090909
1982-07-22,3.79,0.88,4.306818181818182
1982-07-23,3.79,0.88,4.306818181818182
1982-07-26,3.77,0.88,4.284090909090909
1982-07-27,3.73,0.88,4.238636363636363
1982-07-28,3.73,0.88,4.238636363636363
1982-07-29,3.69,0.88,4.193181818181818
1982-07-30,3.71,0.88,4.215909090909091
1982-08-02,3.73,0.88,4.238636363636363
1982-08-03,3.77,0.88,4.284090909090909
1982-08-04,3.73,0.88,4.238636363636363
1982-08-05,3.69,0.88,4.193181818181818
1982-08-06,3.54,0.88,4.0227272727272725
1982-08-09,3.46,0.88,3.9318181818181817
1982-08-10,3.48,0.88,3.9545454545454546
1982-08-11,3.36,0.88,3.818181818181818
1982-08-12,3.26,0.88,3.704545454545454
1982-08-13,3.23,0.88,3.6704545454545454
1982-08-16,3.28,0.88,3.727272727272727
1982-08-17,3.38,0.88,3.840909090909091
1982-08-18,3.42,0.88,3.8863636363636362
1982-08-19,3.44,0.88,3.909090909090909
1982-08-20,3.52,0.88,4.0
1982-08-23,3.87,0.88,4.3977272727272725
1982-08-24,3.87,0.88,4.3977272727272725
1982-08-25,4.09,0.88,4.6477272727272725
1982-08-26,4.3,0.88,4.886363636363636
1982-08-27,4.22,0.88,4.795454545454545
1982-08-30,4.42,0.88,5.0227272727272725
1982-08-31,4.54,0.88,5.159090909090909
1982-09-01,4.59,0.88,5.215909090909091
1982-09-02,4.63,0.88,5.261363636363636
1982-09-03,4.67,0.88,5.306818181818182
1982-09-07,4.67,0.88,5.306818181818182
1982-09-08,4.67,0.88,5.306818181818182
1982-09-09,4.79,0.88,5.443181818181818
1982-09-10,4.63,0.88,5.261363636363636
1982-09-13,4.67,0.88,5.306818181818182
1982-09-14,4.67,0.88,5.306818181818182
1982-09-15,4.67,0.88,5.306818181818182
1982-09-16,4.69,0.88,5.329545454545455
1982-09-17,4.63,0.88,5.261363636363636
1982-09-20,4.46,0.88,5.068181818181818
1982-09-21,4.34,0.88,4.931818181818182
1982-09-22,4.52,0.88,5.136363636363636
1982-09-23,4.54,0.88,5.159090909090909
1982-09-24,4.59,0.88,5.215909090909091
1982-09-27,4.69,0.88,5.329545454545455
1982-09-28,4.73,0.88,5.375000000000001
1982-09-29,4.77,0.88,5.420454545454545
1982-09-30,4.91,0.88,5.579545454545455
1982-10-01,4.95,0.88,5.625
1982-10-04,5.08,0.88,5.7727272727272725
1982-10-05,5.22,0.88,5.931818181818182
1982-10-06,5.71,0.88,6.488636363636363
1982-10-07,5.49,0.88,6.238636363636364
1982-10-08,5.57,0.88,6.329545454545455
1982-10-11,5.73,0.88,6.511363636363637
1982-10-12,5.79,0.88,6.579545454545454
1982-10-13,6.0,0.88,6.818181818181818
1982-10-14,5.98,0.88,6.795454545454546
1982-10-15,6.0,0.88,6.818181818181818
1982-10-18,6.04,0.88,6.863636363636363
1982-10-19,5.96,0.88,6.7727272727272725
1982-10-20,6.16,0.88,7.0
1982-10-21,6.26,0.88,7.113636363636363
1982-10-22,6.31,0.88,7.170454545454545
1982-10-25,6.24,0.88,7.090909090909091
1982-10-26,5.86,0.88,6.659090909090909
1982-10-27,5.94,0.88,6.75
1982-10-28,6.0,0.88,6.818181818181818
1982-10-29,6.49,0.88,7.375
1982-11-01,6.47,0.88,7.352272727272727
1982-11-02,6.72,0.88,7.636363636363636
1982-11-03,6.98,0.88,7.9318181818181825
1982-11-04,6.86,0.88,7.795454545454546
1982-11-05,6.76,0.88,7.681818181818182
1982-11-08,6.86,0.88,7.795454545454546
1982-11-09,6.96,0.88,7.909090909090909
1982-11-10,6.9,0.88,7.840909090909092
1982-11-11,6.76,0.88,7.681818181818182
1982-11-12,6.78,0.88,7.704545454545455
1982-11-15,6.47,0.88,7.352272727272727
1982-11-16,6.14,0.88,6.977272727272727
1982-11-17,6.59,0.88,7.488636363636363
1982-11-18,6.65,0.88,7.5568181818181825
1982-11-19,6.78,0.88,7.704545454545455
1982-11-22,6.84,0.88,7.7727272727272725
1982-11-23,3.42,0.88,3.8863636363636362
1982-11-24,3.48,0.88,3.9545454545454546
1982-11-26,3.52,0.88,4.0
1982-11-29,3.69,0.88,4.193181818181818
1982-11-30,3.99,0.88,4.534090909090909
1982-12-01,3.91,0.88,4.443181818181818
1982-12-02,3.81,0.88,4.329545454545454
1982-12-03,3.77,0.88,4.284090909090909
1982-12-06,3.81,0.88,4.329545454545454
1982-12-07,3.73,0.88,4.238636363636363
1982-12-08,3.79,0.88,4.306818181818182
1982-12-09,3.75,0.88,4.261363636363637
1982-12-10,3.69,0.88,4.193181818181818
