date,LW,LW_EPS,PE Ratio
,,1.11,
2016-11-10,30.33,1.11,27.32432432432432
2016-11-11,29.89,1.11,26.927927927927925
2016-11-14,30.19,1.11,27.198198198198195
2016-11-15,30.43,1.11,27.414414414414413
2016-11-16,31.7,1.11,28.558558558558556
2016-11-17,32.51,1.11,29.288288288288285
2016-11-18,32.68,1.11,29.441441441441437
2016-11-21,31.74,1.11,28.59459459459459
2016-11-22,32.7,1.11,29.45945945945946
2016-11-23,33.02,1.11,29.74774774774775
2016-11-25,32.59,1.11,29.36036036036036
2016-11-28,32.74,1.11,29.495495495495494
2016-11-29,33.19,1.11,29.900900900900897
2016-11-30,33.48,1.11,30.162162162162158
2016-12-01,32.51,1.11,29.288288288288285
2016-12-02,32.99,1.11,29.72072072072072
2016-12-05,33.65,1.11,30.31531531531531
2016-12-06,33.82,1.11,30.468468468468465
2016-12-07,34.75,1.11,31.306306306306304
2016-12-08,35.93,1.11,32.369369369369366
2016-12-09,36.38,1.11,32.77477477477478
2016-12-12,36.73,1.11,33.09009009009009
2016-12-13,36.58,1.11,32.95495495495495
2016-12-14,35.15,1.11,31.666666666666664
2016-12-15,34.38,1.11,30.972972972972972
2016-12-16,35.26,1.11,31.76576576576576
2016-12-19,34.48,1.11,31.06306306306306
2016-12-20,34.95,1.11,31.486486486486488
2016-12-21,35.02,1.11,31.54954954954955
2016-12-22,36.33,1.11,32.729729729729726
2016-12-23,36.85,1.11,33.1981981981982
2016-12-27,37.34,1.11,33.63963963963964
2016-12-28,37.23,1.11,33.54054054054053
2016-12-29,37.77,1.11,34.027027027027025
2016-12-30,37.85,1.11,34.0990990990991
2017-01-03,37.49,1.11,33.77477477477478
2017-01-04,36.98,1.11,33.31531531531531
2017-01-05,36.62,1.11,32.99099099099099
2017-01-06,36.83,1.11,33.18018018018017
2017-01-09,36.89,1.11,33.23423423423423
2017-01-10,36.84,1.11,33.189189189189186
2017-01-11,36.89,1.11,33.23423423423423
2017-01-12,36.96,1.11,33.2972972972973
2017-01-13,37.22,1.11,33.53153153153153
2017-01-17,36.89,1.11,33.23423423423423
2017-01-18,36.64,1.11,33.009009009009006
2017-01-19,36.96,1.11,33.2972972972973
2017-01-20,37.11,1.11,33.43243243243243
2017-01-23,36.77,1.11,33.126126126126124
2017-01-24,37.49,1.11,33.77477477477478
2017-01-25,36.67,1.11,33.03603603603604
2017-01-26,36.33,1.11,32.729729729729726
2017-01-27,36.44,1.11,32.828828828828826
2017-01-30,36.78,1.11,33.13513513513513
2017-01-31,37.36,1.11,33.65765765765765
2017-02-01,37.77,1.11,34.027027027027025
2017-02-02,38.42,1.11,34.61261261261261
