date,LYV,LYV_EPS,PE Ratio
2005-12-21,10.85,,
2005-12-22,10.6,,
2005-12-23,11.95,,
2005-12-27,12.5,,
2005-12-28,13.3,,
2005-12-29,13.21,,
2005-12-30,13.1,,
2006-01-03,13.5,,
2006-01-04,13.0,,
2006-01-05,13.0,,
2006-01-06,12.93,,
2006-01-09,13.75,,
2006-01-10,13.65,,
2006-01-11,14.32,,
2006-01-12,14.4,,
2006-01-13,14.77,,
2006-01-17,14.87,,
2006-01-18,14.49,,
2006-01-19,15.22,,
2006-01-20,16.56,,
2006-01-23,17.59,,
2006-01-24,17.59,,
2006-01-25,16.73,,
2006-01-26,16.57,,
2006-01-27,17.05,,
2006-01-30,17.24,,
2006-01-31,17.75,,
2006-02-01,17.51,,
2006-02-02,17.4,,
2006-02-03,17.65,,
2006-02-06,17.64,,
2006-02-07,17.76,,
2006-02-08,17.87,,
2006-02-09,18.95,,
2006-02-10,19.07,,
2006-02-13,19.4,,
2006-02-14,19.02,,
2006-02-15,19.07,,
2006-02-16,18.5,,
2006-02-17,17.94,,
2006-02-21,18.93,,
2006-02-22,18.94,,
2006-02-23,18.71,,
2006-02-24,18.49,,
2006-02-27,17.91,,
2006-02-28,17.85,,
2006-03-01,17.79,,
2006-03-02,17.72,,
2006-03-03,17.55,,
2006-03-06,18.22,,
2006-03-07,17.95,,
2006-03-08,17.95,,
2006-03-09,18.11,,
2006-03-10,18.08,,
2006-03-13,17.98,,
2006-03-14,18.21,,
2006-03-15,18.0,,
2006-03-16,18.5,,
2006-03-17,18.51,,
2006-03-20,18.61,,
2006-03-21,18.85,,
2006-03-22,19.0,,
2006-03-23,18.85,,
2006-03-24,18.85,,
2006-03-27,18.72,,
2006-03-28,18.93,,
2006-03-29,18.99,,
2006-03-30,19.02,,
2006-03-31,19.84,,
2006-04-03,19.17,,
2006-04-04,19.02,,
2006-04-05,19.0,,
2006-04-06,19.19,,
2006-04-07,19.2,,
2006-04-10,19.06,,
2006-04-11,19.0,,
2006-04-12,19.17,,
2006-04-13,19.2,,
2006-04-17,19.39,,
2006-04-18,19.3,,
2006-04-19,19.24,,
2006-04-20,19.23,,
2006-04-21,19.16,,
2006-04-24,19.25,,
2006-04-25,19.21,,
2006-04-26,19.36,,
2006-04-27,19.15,,
2006-04-28,19.0,,
2006-05-01,19.41,,
2006-05-02,19.36,,
2006-05-03,19.39,,
2006-05-04,19.5,,
2006-05-05,20.24,,
2006-05-08,20.14,,
2006-05-09,21.0,,
2006-05-10,21.25,0.02,1062.5
2006-05-11,20.95,0.02,1047.5
2006-05-12,21.06,0.02,1053.0
2006-05-15,21.69,0.02,1084.5
2006-05-16,21.61,0.02,1080.5
2006-05-17,20.81,0.02,1040.5
2006-05-18,21.66,0.02,1083.0
2006-05-19,21.8,0.02,1090.0
2006-05-22,21.31,0.02,1065.5
2006-05-23,21.41,0.02,1070.5
2006-05-24,21.23,0.02,1061.5
2006-05-25,22.05,0.02,1102.5
2006-05-26,23.34,0.02,1167.0
2006-05-30,22.65,0.02,1132.5
2006-05-31,22.8,0.02,1140.0
2006-06-01,23.46,0.02,1173.0
2006-06-02,23.68,0.02,1184.0
2006-06-05,23.9,0.02,1195.0
2006-06-06,24.27,0.02,1213.5
2006-06-07,24.58,0.02,1229.0
2006-06-08,24.13,0.02,1206.5
2006-06-09,23.75,0.02,1187.5
2006-06-12,23.03,0.02,1151.5
2006-06-13,22.04,0.02,1102.0
2006-06-14,20.93,0.02,1046.5
2006-06-15,20.81,0.02,1040.5
2006-06-16,21.19,0.02,1059.5
2006-06-19,21.5,0.02,1075.0
2006-06-20,21.75,0.02,1087.5
2006-06-21,21.69,0.02,1084.5
2006-06-22,21.96,0.02,1098.0
2006-06-23,21.43,0.02,1071.5
2006-06-26,21.79,0.02,1089.5
2006-06-27,20.93,0.02,1046.5
2006-06-28,21.08,0.02,1054.0
2006-06-29,22.0,0.02,1100.0
2006-06-30,20.36,0.02,1018.0
2006-07-03,20.97,0.02,1048.5
2006-07-05,20.87,0.02,1043.5
2006-07-06,20.76,0.02,1038.0
2006-07-07,20.98,0.02,1049.0
2006-07-10,21.45,0.02,1072.5
2006-07-11,21.8,0.02,1090.0
2006-07-12,21.5,0.02,1075.0
2006-07-13,21.61,0.02,1080.5
2006-07-14,21.83,0.02,1091.5
2006-07-17,22.16,0.02,1108.0
2006-07-18,21.78,0.02,1089.0
2006-07-19,22.21,0.02,1110.5
2006-07-20,21.9,0.02,1095.0
2006-07-21,21.19,0.02,1059.5
2006-07-24,20.93,0.02,1046.5
2006-07-25,21.03,0.02,1051.5
2006-07-26,21.76,0.02,1088.0
2006-07-27,21.4,0.02,1070.0
