date,MAR,MAR_EPS,PE Ratio
1993-10-13,5.46,,
1993-10-14,5.32,,
1993-10-15,5.29,,
1993-10-18,5.4,,
1993-10-19,5.55,,
1993-10-20,5.5,,
1993-10-21,5.5,,
1993-10-22,5.32,,
1993-10-25,5.24,,
1993-10-26,5.27,,
1993-10-27,5.4,,
1993-10-28,5.45,,
1993-10-29,5.37,,
1993-11-01,5.45,,
1993-11-02,5.37,,
1993-11-03,5.29,,
1993-11-04,5.09,,
1993-11-05,5.09,,
1993-11-08,5.01,,
1993-11-09,5.04,,
1993-11-10,5.22,,
1993-11-11,5.17,,
1993-11-12,5.19,,
1993-11-15,5.09,,
1993-11-16,5.06,,
1993-11-17,4.94,,
1993-11-18,4.83,,
1993-11-19,4.81,,
1993-11-22,4.71,,
1993-11-23,4.86,,
1993-11-24,4.86,,
1993-11-26,4.91,,
1993-11-29,4.71,,
1993-11-30,4.96,,
1993-12-01,5.11,,
1993-12-02,5.29,,
1993-12-03,5.27,,
1993-12-06,5.09,,
1993-12-07,5.11,,
1993-12-08,5.5,,
1993-12-09,5.68,,
1993-12-10,5.68,,
1993-12-13,5.75,,
1993-12-14,5.86,,
1993-12-15,5.65,,
1993-12-16,5.7,,
1993-12-17,5.68,,
1993-12-20,5.49,,
1993-12-21,5.69,,
1993-12-22,5.74,,
1993-12-23,5.77,,
1993-12-27,5.82,,
1993-12-28,5.9,,
1993-12-29,5.85,,
1993-12-30,5.9,,
1993-12-31,5.95,,
1994-01-03,5.85,,
1994-01-04,5.9,,
1994-01-05,5.77,,
1994-01-06,5.82,,
1994-01-07,5.87,,
1994-01-10,5.97,,
1994-01-11,5.95,,
1994-01-12,6.0,,
1994-01-13,5.9,,
1994-01-14,5.92,,
1994-01-17,5.92,,
1994-01-18,5.79,,
1994-01-19,5.85,,
1994-01-20,5.92,,
1994-01-21,5.85,,
1994-01-24,5.79,,
1994-01-25,5.64,,
1994-01-26,5.74,,
1994-01-27,5.69,,
1994-01-28,6.03,,
1994-01-31,6.03,,
1994-02-01,6.0,,
1994-02-02,5.9,,
1994-02-03,6.13,,
1994-02-04,6.08,,
1994-02-07,5.97,,
1994-02-08,6.03,,
1994-02-09,6.28,,
1994-02-10,6.13,,
1994-02-11,6.15,,
1994-02-14,6.15,,
1994-02-15,6.23,,
1994-02-16,6.23,,
1994-02-17,6.26,,
1994-02-18,6.18,,
1994-02-22,6.18,,
1994-02-23,6.05,,
1994-02-24,5.92,,
1994-02-25,5.92,,
1994-02-28,6.0,,
1994-03-01,5.97,,
1994-03-02,5.9,,
1994-03-03,5.9,,
1994-03-04,5.87,,
1994-03-07,5.92,,
1994-03-08,5.85,,
1994-03-09,6.0,,
1994-03-10,5.9,,
1994-03-11,6.23,,
1994-03-14,6.36,,
1994-03-15,6.36,,
1994-03-16,6.38,,
1994-03-17,6.51,,
1994-03-18,6.56,,
1994-03-21,6.28,,
1994-03-22,6.28,,
1994-03-23,6.23,,
1994-03-24,6.05,,
1994-03-25,6.14,,
1994-03-28,5.99,,
1994-03-29,5.68,,
1994-03-30,5.65,,
1994-03-31,5.78,,
1994-04-04,5.6,,
1994-04-05,5.86,,
1994-04-06,5.91,,
1994-04-07,5.91,,
1994-04-08,5.89,,
1994-04-11,5.73,,
1994-04-12,5.42,,
1994-04-13,5.29,,
1994-04-14,5.37,,
1994-04-15,5.53,,
1994-04-18,5.29,,
1994-04-19,5.11,,
1994-04-20,5.11,,
1994-04-21,5.24,,
1994-04-22,5.19,,
1994-04-25,5.32,,
1994-04-26,5.27,,
1994-04-28,5.35,,
1994-04-29,5.47,,
1994-05-02,5.55,,
1994-05-03,5.58,,
1994-05-04,5.68,,
1994-05-05,5.73,,
1994-05-06,5.55,,
1994-05-09,5.4,,
1994-05-10,5.65,,
1994-05-11,5.55,,
1994-05-12,5.65,,
1994-05-13,5.81,,
1994-05-16,5.76,,
1994-05-17,5.81,,
1994-05-18,6.14,,
1994-05-19,5.99,,
1994-05-20,5.99,,
1994-05-23,5.91,,
1994-05-24,5.83,,
1994-05-25,5.96,,
1994-05-26,5.91,,
1994-05-27,5.81,,
1994-05-31,5.81,,
1994-06-01,5.83,,
1994-06-02,5.76,,
1994-06-03,5.73,,
1994-06-06,5.86,,
1994-06-07,5.76,,
1994-06-08,5.65,,
1994-06-09,5.68,,
1994-06-10,5.68,,
1994-06-13,5.71,,
1994-06-14,5.71,,
1994-06-15,5.73,,
1994-06-16,5.78,,
1994-06-17,5.96,,
1994-06-20,5.91,,
1994-06-21,5.71,,
1994-06-22,5.76,,
1994-06-23,5.71,,
1994-06-24,5.65,,
1994-06-27,5.54,,
1994-06-28,5.41,,
1994-06-29,5.54,,
1994-06-30,5.49,,
1994-07-01,5.49,,
1994-07-05,5.33,,
