date,MA,MA_EPS,PE Ratio
2002-11-14,,2.06,
2003-03-07,,1.35,
2003-05-14,,0.04,
2003-08-08,,0.03,
2003-11-07,,0.08,
2004-03-04,,-0.04,
2004-05-10,,0.07,
2004-08-05,,0.07,
2004-11-09,,0.11,
2005-03-02,,0.0,
2005-05-09,,0.07,
2005-08-05,,0.09,
2005-11-03,,0.1,
2006-03-16,,-0.03,
2006-05-02,,0.09,
2006-05-25,4.6,0.09,51.11111111111111
2006-05-26,4.49,0.09,49.88888888888889
2006-05-30,4.4,0.09,48.88888888888889
2006-05-31,4.49,0.09,49.88888888888889
2006-06-01,4.75,0.09,52.77777777777778
2006-06-02,4.7,0.09,52.22222222222223
2006-06-05,4.92,0.09,54.66666666666667
2006-06-06,4.83,0.09,53.66666666666667
2006-06-07,4.76,0.09,52.888888888888886
2006-06-08,4.77,0.09,53.0
2006-06-09,4.78,0.09,53.111111111111114
2006-06-12,4.7,0.09,52.22222222222223
2006-06-13,4.55,0.09,50.55555555555556
2006-06-14,4.51,0.09,50.11111111111111
2006-06-15,4.6,0.09,51.11111111111111
2006-06-16,4.5,0.09,50.0
2006-06-19,4.43,0.09,49.22222222222222
2006-06-20,4.4,0.09,48.88888888888889
2006-06-21,4.53,0.09,50.333333333333336
2006-06-22,4.66,0.09,51.77777777777778
2006-06-23,4.7,0.09,52.22222222222223
2006-06-26,4.75,0.09,52.77777777777778
2006-06-27,4.73,0.09,52.555555555555564
2006-06-28,4.7,0.09,52.22222222222223
2006-06-29,4.8,0.09,53.333333333333336
2006-06-30,4.8,0.09,53.333333333333336
2006-07-03,4.73,0.09,52.555555555555564
2006-07-05,4.76,0.09,52.888888888888886
2006-07-06,4.68,0.09,52.0
2006-07-07,4.61,0.09,51.22222222222223
2006-07-10,4.65,0.09,51.66666666666667
2006-07-11,4.64,0.09,51.55555555555556
2006-07-12,4.56,0.09,50.666666666666664
2006-07-13,4.47,0.09,49.666666666666664
2006-07-14,4.4,0.09,48.88888888888889
2006-07-17,4.4,0.09,48.88888888888889
2006-07-18,4.39,0.09,48.77777777777778
2006-07-19,4.53,0.09,50.333333333333336
2006-07-20,4.56,0.09,50.666666666666664
2006-07-21,4.53,0.09,50.333333333333336
2006-07-24,4.5,0.09,50.0
2006-07-25,4.61,0.09,51.22222222222223
2006-07-26,4.67,0.09,51.88888888888889
2006-07-27,4.65,0.09,51.66666666666667
2006-07-28,4.63,0.09,51.44444444444444
2006-07-31,4.59,0.09,51.0
2006-08-01,4.5,0.09,50.0
2006-08-02,5.0,-0.22,-22.727272727272727
2006-08-03,5.0,-0.22,-22.727272727272727
2006-08-04,5.01,-0.22,-22.772727272727273
2006-08-07,5.11,-0.22,-23.22727272727273
2006-08-08,5.26,-0.22,-23.909090909090907
2006-08-09,5.29,-0.22,-24.045454545454547
2006-08-10,5.36,-0.22,-24.363636363636363
2006-08-11,5.37,-0.22,-24.40909090909091
2006-08-14,5.42,-0.22,-24.636363636363637
2006-08-15,5.45,-0.22,-24.772727272727273
2006-08-16,5.43,-0.22,-24.68181818181818
2006-08-17,5.35,-0.22,-24.318181818181817
2006-08-18,5.35,-0.22,-24.318181818181817
2006-08-21,5.43,-0.22,-24.68181818181818
2006-08-22,5.52,-0.22,-25.09090909090909
2006-08-23,5.46,-0.22,-24.818181818181817
2006-08-24,5.57,-0.22,-25.31818181818182
2006-08-25,5.5,-0.22,-25.0
2006-08-28,5.5,-0.22,-25.0
2006-08-29,5.54,-0.22,-25.181818181818183
2006-08-30,5.53,-0.22,-25.136363636363637
2006-08-31,5.59,-0.22,-25.40909090909091
2006-09-01,5.66,-0.22,-25.727272727272727
2006-09-05,5.69,-0.22,-25.863636363636367
2006-09-06,5.89,-0.22,-26.77272727272727
2006-09-07,6.01,-0.22,-27.318181818181817
2006-09-08,5.98,-0.22,-27.181818181818183
2006-09-11,6.19,-0.22,-28.136363636363637
2006-09-12,6.21,-0.22,-28.227272727272727
2006-09-13,6.14,-0.22,-27.909090909090907
2006-09-14,6.28,-0.22,-28.545454545454547
2006-09-15,6.5,-0.22,-29.545454545454547
2006-09-18,6.51,-0.22,-29.59090909090909
2006-09-19,6.48,-0.22,-29.454545454545457
2006-09-20,6.66,-0.22,-30.272727272727273
2006-09-21,6.91,-0.22,-31.40909090909091
2006-09-22,6.59,-0.22,-29.954545454545453
2006-09-25,6.44,-0.22,-29.272727272727273
2006-09-26,6.6,-0.22,-30.0
2006-09-27,6.78,-0.22,-30.81818181818182
2006-09-28,6.87,-0.22,-31.227272727272727
2006-09-29,7.04,-0.22,-32.0
2006-10-02,7.0,-0.22,-31.818181818181817
2006-10-03,6.97,-0.22,-31.68181818181818
2006-10-04,6.96,-0.22,-31.636363636363637
2006-10-05,7.26,-0.22,-33.0
2006-10-06,7.52,-0.22,-34.18181818181818
2006-10-09,7.28,-0.22,-33.09090909090909
2006-10-10,7.19,-0.22,-32.68181818181818
2006-10-11,6.95,-0.22,-31.59090909090909
2006-10-12,7.04,-0.22,-32.0
2006-10-13,7.01,-0.22,-31.863636363636363
2006-10-16,7.13,-0.22,-32.40909090909091
2006-10-17,6.95,-0.22,-31.59090909090909
2006-10-18,7.05,-0.22,-32.04545454545455
2006-10-19,7.23,-0.22,-32.86363636363637
2006-10-20,7.12,-0.22,-32.36363636363637
2006-10-23,7.03,-0.22,-31.954545454545457
2006-10-24,7.12,-0.22,-32.36363636363637
2006-10-25,7.08,-0.22,-32.18181818181818
2006-10-26,7.22,-0.22,-32.81818181818182
2006-10-27,7.26,-0.22,-33.0
2006-10-30,7.25,-0.22,-32.95454545454545
2006-10-31,7.41,-0.22,-33.68181818181818
2006-11-01,8.51,0.14,60.78571428571428
2006-11-02,8.76,0.14,62.57142857142856
2006-11-03,8.95,0.14,63.928571428571416
2006-11-06,9.63,0.14,68.78571428571429
2006-11-07,9.25,0.14,66.07142857142857
2006-11-08,8.84,0.14,63.14285714285714
2006-11-09,8.82,0.14,62.99999999999999
2006-11-10,8.92,0.14,63.71428571428571
2006-11-13,9.66,0.14,69.0
2006-11-14,9.52,0.14,67.99999999999999
2006-11-15,9.53,0.14,68.07142857142856
2006-11-16,9.45,0.14,67.49999999999999
2006-11-17,9.48,0.14,67.71428571428571
2006-11-20,9.62,0.14,68.71428571428571
2006-11-21,10.06,0.14,71.85714285714285
