date,MGM,MGM_EPS,PE Ratio
,,0.01,
1988-05-02,2.75,0.01,275.0
1988-05-03,2.75,0.01,275.0
1988-05-04,2.75,0.01,275.0
1988-05-05,2.75,0.01,275.0
1988-05-06,2.75,0.01,275.0
1988-05-09,2.75,0.01,275.0
1988-05-10,2.75,0.01,275.0
1988-05-11,2.75,0.01,275.0
1988-05-12,2.75,0.01,275.0
1988-05-13,2.75,0.01,275.0
1988-05-16,2.75,0.01,275.0
1988-05-17,2.75,0.01,275.0
1988-05-18,2.75,0.01,275.0
1988-05-19,2.63,0.01,263.0
1988-05-20,2.63,0.01,263.0
1988-05-23,2.63,0.01,263.0
1988-05-24,2.63,0.01,263.0
1988-05-25,2.69,0.01,269.0
1988-05-26,2.69,0.01,269.0
1988-05-27,2.75,0.01,275.0
1988-05-31,2.75,0.01,275.0
1988-06-01,2.75,0.01,275.0
1988-06-02,2.75,0.01,275.0
1988-06-03,2.88,0.01,288.0
1988-06-06,2.88,0.01,288.0
1988-06-07,2.88,0.01,288.0
1988-06-08,2.94,0.01,294.0
1988-06-09,2.94,0.01,294.0
1988-06-10,2.94,0.01,294.0
1988-06-13,2.94,0.01,294.0
1988-06-14,2.94,0.01,294.0
1988-06-15,2.94,0.01,294.0
1988-06-16,2.94,0.01,294.0
1988-06-17,2.94,0.01,294.0
1988-06-20,2.94,0.01,294.0
1988-06-21,2.94,0.01,294.0
1988-06-22,3.0,0.01,300.0
1988-06-23,3.0,0.01,300.0
1988-06-24,3.0,0.01,300.0
1988-06-27,3.06,0.01,306.0
1988-06-28,3.06,0.01,306.0
1988-06-29,3.06,0.01,306.0
1988-06-30,3.06,0.01,306.0
1988-07-01,3.13,0.01,313.0
1988-07-05,3.13,0.01,313.0
1988-07-06,3.13,0.01,313.0
1988-07-07,3.13,0.01,313.0
1988-07-08,3.13,0.01,313.0
1988-07-11,3.13,0.01,313.0
1988-07-12,3.13,0.01,313.0
1988-07-13,3.25,0.01,325.0
1988-07-14,3.25,0.01,325.0
1988-07-15,3.25,0.01,325.0
1988-07-18,3.25,0.01,325.0
1988-07-19,3.25,0.01,325.0
1988-07-20,3.25,0.01,325.0
1988-07-21,3.25,0.01,325.0
1988-07-22,3.25,0.01,325.0
1988-07-25,3.25,0.01,325.0
1988-07-26,3.25,0.01,325.0
1988-07-27,3.19,0.01,319.0
1988-07-28,3.06,0.01,306.0
1988-07-29,3.0,0.01,300.0
1988-08-01,3.0,0.01,300.0
1988-08-02,3.0,0.01,300.0
1988-08-03,3.0,0.01,300.0
1988-08-04,3.0,0.01,300.0
1988-08-05,3.0,0.01,300.0
1988-08-08,3.0,0.01,300.0
1988-08-09,3.0,0.01,300.0
1988-08-10,3.0,0.01,300.0
1988-08-11,3.0,0.01,300.0
1988-08-12,3.0,0.01,300.0
1988-08-15,2.88,0.01,288.0
1988-08-16,2.75,0.01,275.0
1988-08-17,2.75,0.01,275.0
1988-08-18,2.75,0.01,275.0
1988-08-19,2.75,0.01,275.0
1988-08-22,2.75,0.01,275.0
1988-08-23,2.75,0.01,275.0
1988-08-24,2.75,0.01,275.0
1988-08-25,2.75,0.01,275.0
1988-08-26,2.75,0.01,275.0
1988-08-29,2.75,0.01,275.0
1988-08-30,2.75,0.01,275.0
1988-08-31,2.75,0.01,275.0
1988-09-01,2.75,0.01,275.0
1988-09-02,2.75,0.01,275.0
1988-09-06,2.75,0.01,275.0
1988-09-07,2.75,0.01,275.0
1988-09-08,2.75,0.01,275.0
1988-09-09,2.75,0.01,275.0
1988-09-12,2.75,0.01,275.0
1988-09-13,2.75,0.01,275.0
1988-09-14,2.75,0.01,275.0
1988-09-15,2.63,0.01,263.0
1988-09-16,2.63,0.01,263.0
1988-09-19,2.63,0.01,263.0
1988-09-20,2.63,0.01,263.0
1988-09-21,2.56,0.01,256.0
1988-09-22,2.56,0.01,256.0
1988-09-23,2.56,0.01,256.0
1988-09-26,2.56,0.01,256.0
1988-09-27,2.56,0.01,256.0
1988-09-28,2.56,0.01,256.0
1988-09-29,2.56,0.01,256.0
1988-09-30,2.56,0.01,256.0
1988-10-03,2.56,0.01,256.0
1988-10-04,2.56,0.01,256.0
1988-10-05,2.56,0.01,256.0
1988-10-06,2.56,0.01,256.0
1988-10-07,2.56,0.01,256.0
1988-10-10,2.56,0.01,256.0
1988-10-11,2.56,0.01,256.0
1988-10-12,2.56,0.01,256.0
1988-10-13,2.5,0.01,250.0
1988-10-14,2.5,0.01,250.0
1988-10-17,2.5,0.01,250.0
1988-10-18,2.5,0.01,250.0
1988-10-19,2.5,0.01,250.0
1988-10-20,2.44,0.01,244.0
1988-10-21,2.44,0.01,244.0
1988-10-24,2.44,0.01,244.0
1988-10-25,2.38,0.01,237.99999999999997
1988-10-26,2.38,0.01,237.99999999999997
1988-10-27,2.38,0.01,237.99999999999997
1988-10-28,2.25,0.01,225.0
1988-10-31,2.25,0.01,225.0
1988-11-01,2.25,0.01,225.0
1988-11-02,2.25,0.01,225.0
1988-11-03,2.25,0.01,225.0
1988-11-04,2.25,0.01,225.0
1988-11-07,2.19,0.01,219.0
1988-11-08,2.19,0.01,219.0
1988-11-09,2.19,0.01,219.0
1988-11-10,2.19,0.01,219.0
1988-11-11,2.19,0.01,219.0
1988-11-14,2.19,0.01,219.0
1988-11-15,2.19,0.01,219.0
1988-11-16,2.19,0.01,219.0
1988-11-17,2.19,0.01,219.0
1988-11-18,2.19,0.01,219.0
1988-11-21,2.19,0.01,219.0
