date,MMC,MMC_EPS,PE Ratio
1973-02-21,2.94,,
1973-02-22,2.96,,
1973-02-23,2.96,,
1973-02-26,2.9,,
1973-02-27,2.79,,
1973-02-28,2.77,,
1973-03-01,2.63,,
1973-03-02,2.67,,
1973-03-05,2.8,,
1973-03-06,2.9,,
1973-03-07,2.86,,
1973-03-08,2.91,,
1973-03-09,2.8,,
1973-03-12,2.79,,
1973-03-13,2.77,,
1973-03-14,2.76,,
1973-03-15,2.67,,
1973-03-16,2.66,,
1973-03-19,2.68,,
1973-03-20,2.63,,
1973-03-21,2.63,,
1973-03-22,2.59,,
1973-03-23,2.58,,
1973-03-26,2.69,,
1973-03-27,2.72,,
1973-03-28,2.76,,
1973-03-29,2.79,,
1973-03-30,2.79,,
1973-04-02,2.74,,
1973-04-03,2.72,,
1973-04-04,2.74,,
1973-04-05,2.74,,
1973-04-06,2.75,,
1973-04-09,2.74,,
1973-04-10,2.7,,
1973-04-11,2.85,,
1973-04-12,2.91,,
1973-04-13,2.91,,
1973-04-16,2.9,,
1973-04-17,2.94,,
1973-04-18,2.94,,
1973-04-19,3.1,,
1973-04-23,3.02,,
1973-04-24,2.89,,
1973-04-25,2.83,,
1973-04-26,2.9,,
1973-04-27,2.83,,
1973-04-30,2.91,,
1973-05-01,2.88,,
1973-05-02,2.84,,
1973-05-03,2.88,,
1973-05-04,2.83,,
1973-05-07,2.85,,
1973-05-08,2.88,,
1973-05-09,2.79,,
1973-05-10,2.83,,
1973-05-11,2.96,,
1973-05-14,2.85,,
1973-05-15,2.83,,
1973-05-16,2.84,,
1973-05-17,2.9,,
1973-05-18,2.8,,
1973-05-21,2.79,,
1973-05-22,2.83,,
1973-05-23,2.88,,
1973-05-24,2.94,,
1973-05-25,3.11,,
1973-05-29,3.17,,
1973-05-30,2.98,,
1973-05-31,3.0,,
1973-06-01,2.95,,
1973-06-04,2.83,,
1973-06-05,2.88,,
1973-06-06,2.9,,
1973-06-07,2.92,,
1973-06-08,2.96,,
1973-06-11,2.99,,
1973-06-12,3.02,,
1973-06-13,2.96,,
1973-06-14,2.98,,
1973-06-15,2.92,,
1973-06-18,2.9,,
1973-06-19,2.82,,
1973-06-20,2.79,,
1973-06-21,2.77,,
1973-06-22,2.79,,
1973-06-25,2.79,,
1973-06-26,2.85,,
1973-06-27,2.92,,
1973-06-28,2.94,,
1973-06-29,2.96,,
1973-07-02,2.98,,
1973-07-03,2.88,,
1973-07-05,2.95,,
1973-07-06,3.02,,
1973-07-09,3.03,,
1973-07-10,3.15,,
1973-07-11,3.35,,
1973-07-12,3.38,,
1973-07-13,3.4,,
1973-07-16,3.42,,
1973-07-17,3.51,,
1973-07-18,3.49,,
1973-07-19,3.53,,
1973-07-20,3.5,,
1973-07-23,3.58,,
1973-07-24,3.5,,
1973-07-25,3.63,,
1973-07-26,3.6,,
1973-07-27,3.61,,
1973-07-30,3.69,,
1973-07-31,3.85,,
1973-08-01,3.75,,
1973-08-02,3.78,,
1973-08-03,3.71,,
1973-08-06,3.73,,
1973-08-07,3.76,,
1973-08-08,3.71,,
1973-08-09,3.75,,
1973-08-10,3.75,,
1973-08-13,3.74,,
1973-08-14,3.71,,
1973-08-15,3.67,,
1973-08-16,3.71,,
1973-08-17,3.73,,
1973-08-20,3.73,,
1973-08-21,3.77,,
1973-08-22,3.79,,
1973-08-23,3.77,,
1973-08-24,3.75,,
1973-08-27,3.77,,
1973-08-28,3.79,,
1973-08-29,3.84,,
