date,MPC,MPC_EPS,PE Ratio
,,-0.41,
2011-06-24,18.63,-0.41,-45.4390243902439
2011-06-27,18.83,-0.41,-45.92682926829268
2011-06-28,19.35,-0.41,-47.19512195121952
2011-06-29,20.04,-0.41,-48.87804878048781
2011-06-30,20.7,-0.41,-50.487804878048784
2011-07-01,21.1,-0.41,-51.463414634146346
2011-07-05,21.11,-0.41,-51.487804878048784
2011-07-06,20.95,-0.41,-51.09756097560976
2011-07-07,20.89,-0.41,-50.951219512195124
2011-07-08,20.71,-0.41,-50.51219512195122
2011-07-11,20.05,-0.41,-48.90243902439025
2011-07-12,20.24,-0.41,-49.36585365853659
2011-07-13,19.98,-0.41,-48.73170731707317
2011-07-14,19.32,-0.41,-47.1219512195122
2011-07-15,19.58,-0.41,-47.75609756097561
2011-07-18,19.56,-0.41,-47.70731707317073
2011-07-19,19.87,-0.41,-48.463414634146346
2011-07-20,19.76,-0.41,-48.19512195121952
2011-07-21,20.05,-0.41,-48.90243902439025
2011-07-22,20.29,-0.41,-49.487804878048784
2011-07-25,20.68,-0.41,-50.43902439024391
2011-07-26,21.53,-0.41,-52.51219512195122
2011-07-27,21.03,-0.41,-51.29268292682927
2011-07-28,21.39,-0.41,-52.170731707317074
2011-07-29,21.9,-0.41,-53.41463414634146
2011-08-01,22.49,-0.41,-54.853658536585364
2011-08-02,21.17,-0.41,-51.63414634146342
2011-08-03,20.72,-0.41,-50.53658536585366
2011-08-04,19.21,-0.41,-46.85365853658537
2011-08-05,18.66,-0.41,-45.51219512195122
2011-08-08,16.17,-0.41,-39.43902439024391
2011-08-09,18.05,1.13,15.973451327433631
2011-08-10,17.56,1.13,15.539823008849558
2011-08-11,18.67,1.13,16.52212389380531
2011-08-12,18.71,1.13,16.557522123893808
2011-08-15,19.55,1.13,17.300884955752213
2011-08-16,19.43,1.13,17.194690265486727
2011-08-17,19.55,1.13,17.300884955752213
2011-08-18,18.31,1.13,16.20353982300885
2011-08-19,17.5,1.13,15.486725663716816
2011-08-22,16.29,1.13,14.415929203539823
2011-08-23,17.13,1.13,15.15929203539823
2011-08-24,17.92,1.13,15.858407079646021
2011-08-25,17.19,1.13,15.212389380530976
