date,MSCI,MSCI_EPS,PE Ratio
,,0.2,
2007-11-15,26.1,0.2,130.5
2007-11-16,24.96,0.2,124.8
2007-11-19,25.75,0.2,128.75
2007-11-20,27.32,0.2,136.6
2007-11-21,26.65,0.2,133.24999999999997
2007-11-23,27.4,0.2,136.99999999999997
2007-11-26,27.8,0.2,139.0
2007-11-27,26.98,0.2,134.9
2007-11-28,27.3,0.2,136.5
2007-11-29,27.3,0.2,136.5
2007-11-30,27.65,0.2,138.24999999999997
2007-12-03,27.97,0.2,139.85
2007-12-04,29.35,0.2,146.75
2007-12-05,29.28,0.2,146.4
2007-12-06,28.91,0.2,144.54999999999998
2007-12-07,28.88,0.2,144.39999999999998
2007-12-10,29.0,0.2,145.0
2007-12-11,29.0,0.2,145.0
2007-12-12,28.48,0.2,142.4
2007-12-13,28.94,0.2,144.7
2007-12-14,28.72,0.2,143.6
2007-12-17,27.98,0.2,139.9
2007-12-18,28.5,0.2,142.5
2007-12-19,28.95,0.2,144.75
2007-12-20,28.89,0.2,144.45
2007-12-21,33.72,0.2,168.6
2007-12-24,33.92,0.2,169.6
2007-12-26,34.35,0.2,171.75
2007-12-27,36.55,0.2,182.74999999999997
2007-12-28,37.32,0.2,186.6
2007-12-31,38.4,0.2,191.99999999999997
2008-01-02,33.85,0.2,169.25
2008-01-03,30.79,0.2,153.95
2008-01-04,30.15,0.2,150.74999999999997
2008-01-07,28.14,0.2,140.7
2008-01-08,26.63,0.2,133.14999999999998
2008-01-09,27.76,0.2,138.8
2008-01-10,29.64,0.2,148.2
2008-01-11,30.43,0.2,152.14999999999998
2008-01-14,30.5,0.2,152.5
2008-01-15,30.71,0.2,153.54999999999998
2008-01-16,29.3,0.2,146.5
2008-01-17,28.99,0.2,144.95
2008-01-18,29.32,0.2,146.6
2008-01-22,28.9,0.2,144.49999999999997
2008-01-23,31.16,0.2,155.79999999999998
2008-01-24,32.17,0.2,160.85
2008-01-25,31.78,0.2,158.9
2008-01-28,33.06,0.2,165.3
2008-01-29,32.78,0.2,163.9
2008-01-30,32.7,0.2,163.5
2008-01-31,32.97,0.2,164.85
2008-02-01,34.6,0.2,173.0
2008-02-04,33.48,0.2,167.39999999999998
2008-02-05,32.87,0.2,164.34999999999997
2008-02-06,31.37,0.2,156.85
2008-02-07,29.71,0.2,148.54999999999998
2008-02-08,31.33,0.2,156.64999999999998
2008-02-11,31.43,0.2,157.14999999999998
2008-02-12,31.3,0.2,156.5
2008-02-13,33.83,0.2,169.14999999999998
2008-02-14,33.28,0.2,166.4
2008-02-15,31.74,0.2,158.7
2008-02-19,32.1,0.2,160.5
2008-02-20,32.21,0.2,161.04999999999998
2008-02-21,33.6,0.2,168.0
2008-02-22,33.73,0.2,168.64999999999998
2008-02-25,33.09,0.2,165.45000000000002
2008-02-26,33.92,0.2,169.6
2008-02-27,32.0,0.2,160.0
2008-02-28,31.09,0.2,155.45
2008-02-29,29.73,0.2,148.65
