date,NCLH,NCLH_EPS,PE Ratio
2013-01-18,24.79,,
2013-01-22,26.95,,
2013-01-23,27.49,,
2013-01-24,27.35,,
2013-01-25,27.35,,
2013-01-28,27.76,,
2013-01-29,27.11,,
2013-01-30,26.29,,
2013-01-31,26.37,,
2013-02-01,27.65,,
2013-02-04,28.41,,
2013-02-05,28.54,,
2013-02-06,27.98,,
2013-02-07,27.55,,
2013-02-08,27.91,,
2013-02-11,27.68,,
2013-02-12,28.32,,
2013-02-13,28.92,,
2013-02-14,29.25,,
2013-02-15,30.27,,
2013-02-19,31.19,,
2013-02-20,30.8,,
2013-02-21,30.47,,
2013-02-22,29.99,,
2013-02-25,30.78,,
2013-02-26,30.21,,
2013-02-27,30.26,,
2013-02-28,30.98,,
2013-03-01,30.99,,
2013-03-04,30.45,,
2013-03-05,30.03,,
2013-03-06,30.02,,
2013-03-07,30.29,,
2013-03-08,30.3,,
2013-03-11,30.66,,
2013-03-12,30.85,,
2013-03-13,30.78,,
2013-03-14,30.0,,
2013-03-15,29.82,,
2013-03-18,30.29,,
2013-03-19,30.26,,
2013-03-20,30.5,,
2013-03-21,30.03,,
2013-03-22,30.18,,
2013-03-25,29.48,,
2013-03-26,29.54,,
2013-03-27,30.15,,
2013-03-28,29.65,,
2013-04-01,29.93,,
2013-04-02,29.92,,
2013-04-03,29.19,,
2013-04-04,29.27,,
2013-04-05,29.3,,
2013-04-08,29.99,,
2013-04-09,30.34,,
2013-04-10,30.53,,
2013-04-11,30.64,,
2013-04-12,30.5,,
2013-04-15,30.07,,
2013-04-16,30.0,,
2013-04-17,29.55,,
2013-04-18,29.34,,
2013-04-19,29.43,,
2013-04-22,29.38,,
2013-04-23,29.34,,
2013-04-24,28.9,,
2013-04-25,30.06,,
2013-04-26,30.39,,
2013-04-29,30.36,,
2013-04-30,31.01,,
2013-05-01,31.09,,
2013-05-02,31.36,,
2013-05-03,31.53,,
2013-05-06,31.82,,
2013-05-07,31.66,,
2013-05-08,31.9,-0.49,-65.10204081632654
2013-05-09,31.71,-0.49,-64.71428571428572
2013-05-10,31.01,-0.49,-63.28571428571429
2013-05-13,30.46,-0.49,-62.163265306122454
2013-05-14,30.76,-0.49,-62.775510204081634
2013-05-15,31.36,-0.49,-64.0
2013-05-16,31.42,-0.49,-64.12244897959184
2013-05-17,31.56,-0.49,-64.40816326530611
2013-05-20,32.03,-0.49,-65.36734693877551
2013-05-21,32.0,-0.49,-65.3061224489796
2013-05-22,31.8,-0.49,-64.89795918367348
2013-05-23,31.96,-0.49,-65.22448979591837
2013-05-24,32.15,-0.49,-65.61224489795919
2013-05-28,31.75,-0.49,-64.79591836734694
2013-05-29,31.57,-0.49,-64.42857142857143
2013-05-30,30.82,-0.49,-62.89795918367347
2013-05-31,30.75,-0.49,-62.755102040816325
2013-06-03,31.35,-0.49,-63.9795918367347
2013-06-04,31.41,-0.49,-64.10204081632654
2013-06-05,30.85,-0.49,-62.95918367346939
2013-06-06,30.79,-0.49,-62.83673469387755
2013-06-07,31.24,-0.49,-63.755102040816325
2013-06-10,31.17,-0.49,-63.61224489795919
2013-06-11,31.65,-0.49,-64.59183673469387
2013-06-12,31.11,-0.49,-63.48979591836735
2013-06-13,31.08,-0.49,-63.42857142857142
2013-06-14,31.28,-0.49,-63.83673469387755
2013-06-17,31.19,-0.49,-63.6530612244898
2013-06-18,31.55,-0.49,-64.38775510204081
2013-06-19,31.3,-0.49,-63.87755102040816
2013-06-20,31.28,-0.49,-63.83673469387755
2013-06-21,29.72,-0.49,-60.6530612244898
2013-06-24,28.27,-0.49,-57.69387755102041
2013-06-25,28.76,-0.49,-58.693877551020414
2013-06-26,29.43,-0.49,-60.06122448979592
2013-06-27,30.03,-0.49,-61.28571428571429
2013-06-28,30.31,-0.49,-61.857142857142854
2013-07-01,30.95,-0.49,-63.16326530612245
2013-07-02,30.48,-0.49,-62.204081632653065
2013-07-03,30.59,-0.49,-62.42857142857143
2013-07-05,31.65,-0.49,-64.59183673469387
2013-07-08,31.79,-0.49,-64.87755102040816
2013-07-09,31.76,-0.49,-64.81632653061224
2013-07-10,31.5,-0.49,-64.28571428571429
2013-07-11,31.43,-0.49,-64.14285714285714
2013-07-12,31.53,-0.49,-64.34693877551021
2013-07-15,31.38,-0.49,-64.04081632653062
2013-07-16,31.4,-0.49,-64.08163265306122
2013-07-17,31.35,-0.49,-63.9795918367347
2013-07-18,31.37,-0.49,-64.02040816326532
2013-07-19,31.2,-0.49,-63.673469387755105
2013-07-22,31.3,-0.49,-63.87755102040816
2013-07-23,31.13,-0.49,-63.53061224489796
2013-07-24,30.72,-0.49,-62.69387755102041
2013-07-25,30.27,-0.49,-61.775510204081634
2013-07-26,30.97,-0.49,-63.20408163265306
2013-07-29,30.26,-0.49,-61.75510204081633
2013-07-30,29.76,-0.03,-992.0000000000001
2013-07-31,30.31,-0.03,-1010.3333333333334
2013-08-01,30.25,-0.03,-1008.3333333333334
2013-08-02,30.59,-0.03,-1019.6666666666667
2013-08-05,30.74,-0.03,-1024.6666666666667
2013-08-06,30.26,-0.03,-1008.6666666666667
2013-08-07,30.18,-0.03,-1006.0
2013-08-08,30.05,-0.03,-1001.6666666666667
2013-08-09,31.02,-0.03,-1034.0
2013-08-12,31.6,-0.03,-1053.3333333333335
2013-08-13,32.22,-0.03,-1074.0
2013-08-14,32.44,-0.03,-1081.3333333333333
2013-08-15,32.79,-0.03,-1093.0
2013-08-16,31.97,-0.03,-1065.6666666666667
2013-08-19,31.46,-0.03,-1048.6666666666667
2013-08-20,31.46,-0.03,-1048.6666666666667
2013-08-21,31.8,-0.03,-1060.0
2013-08-22,32.42,-0.03,-1080.6666666666667
2013-08-23,31.78,-0.03,-1059.3333333333335
2013-08-26,31.69,-0.03,-1056.3333333333335
2013-08-27,31.21,-0.03,-1040.3333333333335
2013-08-28,31.1,-0.03,-1036.6666666666667
2013-08-29,31.21,-0.03,-1040.3333333333335
2013-08-30,31.09,-0.03,-1036.3333333333333
2013-09-03,31.46,-0.03,-1048.6666666666667
2013-09-04,31.16,-0.03,-1038.6666666666667
2013-09-05,31.15,-0.03,-1038.3333333333333
2013-09-06,31.31,-0.03,-1043.6666666666667
2013-09-09,31.19,-0.03,-1039.6666666666667
2013-09-10,31.75,-0.03,-1058.3333333333335
2013-09-11,31.8,-0.03,-1060.0
2013-09-12,31.88,-0.03,-1062.6666666666667
2013-09-13,32.57,-0.03,-1085.6666666666667
2013-09-16,32.3,-0.03,-1076.6666666666665
2013-09-17,33.18,-0.03,-1106.0
2013-09-18,33.06,-0.03,-1102.0000000000002
2013-09-19,33.19,-0.03,-1106.3333333333333
2013-09-20,33.05,-0.03,-1101.6666666666665
2013-09-23,32.84,-0.03,-1094.6666666666667
2013-09-24,31.94,-0.03,-1064.6666666666667
2013-09-25,31.65,-0.03,-1055.0
2013-09-26,31.27,-0.03,-1042.3333333333333
2013-09-27,31.02,-0.03,-1034.0
2013-09-30,30.85,-0.03,-1028.3333333333335
2013-10-01,30.83,-0.03,-1027.6666666666667
2013-10-02,31.34,-0.03,-1044.6666666666667
2013-10-03,30.54,-0.03,-1018.0
2013-10-04,31.25,-0.03,-1041.6666666666667
2013-10-07,30.85,-0.03,-1028.3333333333335
2013-10-08,30.2,-0.03,-1006.6666666666666
2013-10-09,30.32,-0.03,-1010.6666666666667
2013-10-10,30.89,-0.03,-1029.6666666666667
2013-10-11,30.74,-0.03,-1024.6666666666667
2013-10-14,30.48,-0.03,-1016.0
2013-10-15,30.16,-0.03,-1005.3333333333334
2013-10-16,29.93,-0.03,-997.6666666666667
2013-10-17,29.81,-0.03,-993.6666666666666
2013-10-18,30.06,-0.03,-1002.0
2013-10-21,31.22,-0.03,-1040.6666666666667
2013-10-22,31.99,-0.03,-1066.3333333333333
2013-10-23,32.35,-0.03,-1078.3333333333335
2013-10-24,32.87,-0.03,-1095.6666666666665
2013-10-25,32.44,-0.03,-1081.3333333333333
2013-10-28,32.06,-0.03,-1068.6666666666667
2013-10-29,32.23,-0.03,-1074.3333333333333
2013-10-30,32.12,-0.03,-1070.6666666666665
2013-10-31,32.02,0.84,38.11904761904763
2013-11-01,32.28,0.84,38.42857142857143
2013-11-04,32.72,0.84,38.95238095238095
2013-11-05,31.86,0.84,37.92857142857143
2013-11-06,32.24,0.84,38.38095238095239
2013-11-07,31.31,0.84,37.273809523809526
2013-11-08,31.42,0.84,37.404761904761905
2013-11-11,32.1,0.84,38.214285714285715
2013-11-12,31.97,0.84,38.05952380952381
2013-11-13,32.09,0.84,38.202380952380956
2013-11-14,31.91,0.84,37.98809523809524
2013-11-15,33.07,0.84,39.36904761904762
2013-11-18,33.13,0.84,39.4404761904762
2013-11-19,32.87,0.84,39.13095238095238
2013-11-20,32.75,0.84,38.98809523809524
2013-11-21,33.2,0.84,39.523809523809526
2013-11-22,33.57,0.84,39.964285714285715
2013-11-25,33.55,0.84,39.94047619047619
2013-11-26,33.99,0.84,40.464285714285715
2013-11-27,34.36,0.84,40.904761904761905
2013-11-29,34.1,0.84,40.595238095238095
2013-12-02,34.12,0.84,40.61904761904762
2013-12-03,33.55,0.84,39.94047619047619
2013-12-04,33.24,0.84,39.57142857142858
2013-12-05,33.0,0.84,39.285714285714285
2013-12-06,33.52,0.84,39.90476190476191
2013-12-09,33.56,0.84,39.952380952380956
2013-12-10,33.24,0.84,39.57142857142858
2013-12-11,33.0,0.84,39.285714285714285
2013-12-12,32.11,0.84,38.226190476190474
2013-12-13,31.65,0.84,37.67857142857143
2013-12-16,32.29,0.84,38.44047619047619
2013-12-17,32.14,0.84,38.261904761904766
2013-12-18,31.9,0.84,37.976190476190474
2013-12-19,33.16,0.84,39.476190476190474
2013-12-20,34.52,0.84,41.0952380952381
2013-12-23,34.75,0.84,41.36904761904762
2013-12-24,35.1,0.84,41.78571428571429
2013-12-26,35.06,0.84,41.73809523809524
2013-12-27,35.12,0.84,41.80952380952381
2013-12-30,35.25,0.84,41.964285714285715
2013-12-31,35.47,0.84,42.226190476190474
2014-01-02,34.64,0.84,41.23809523809524
2014-01-03,34.64,0.84,41.23809523809524
2014-01-06,33.96,0.84,40.42857142857143
2014-01-07,33.88,0.84,40.333333333333336
2014-01-08,34.32,0.84,40.85714285714286
2014-01-09,34.72,0.84,41.333333333333336
2014-01-10,35.25,0.84,41.964285714285715
2014-01-13,34.84,0.84,41.47619047619048
2014-01-14,35.85,0.84,42.67857142857143
2014-01-15,36.89,0.84,43.91666666666667
2014-01-16,36.91,0.84,43.94047619047619
2014-01-17,36.54,0.84,43.5
2014-01-21,36.22,0.84,43.11904761904762
2014-01-22,36.7,0.84,43.6904761904762
2014-01-23,36.04,0.84,42.904761904761905
2014-01-24,35.26,0.84,41.976190476190474
2014-01-27,34.74,0.84,41.35714285714286
2014-01-28,34.88,0.84,41.523809523809526
2014-01-29,34.44,0.84,41.0
2014-01-30,35.06,0.84,41.73809523809524
2014-01-31,35.02,0.84,41.6904761904762
2014-02-03,34.4,0.84,40.95238095238095
2014-02-04,34.21,0.84,40.72619047619048
2014-02-05,34.43,0.84,40.98809523809524
2014-02-06,35.08,0.84,41.76190476190476
2014-02-07,35.21,0.84,41.91666666666667
2014-02-10,35.62,0.84,42.404761904761905
2014-02-11,36.25,0.84,43.154761904761905
2014-02-12,35.89,0.84,42.72619047619048
2014-02-13,34.7,0.84,41.30952380952382
2014-02-14,35.17,0.84,41.86904761904762
2014-02-18,33.56,0.84,39.952380952380956
2014-02-19,33.35,0.84,39.702380952380956
2014-02-20,33.79,0.84,40.226190476190474
2014-02-21,34.27,0.18,190.3888888888889
2014-02-24,34.11,0.18,189.5
2014-02-25,33.63,0.18,186.83333333333334
2014-02-26,32.83,0.18,182.38888888888889
2014-02-27,33.34,0.18,185.22222222222226
2014-02-28,34.27,0.18,190.3888888888889
2014-03-03,33.68,0.18,187.11111111111111
2014-03-04,33.83,0.18,187.94444444444443
2014-03-05,32.91,0.18,182.83333333333331
2014-03-06,33.18,0.18,184.33333333333334
2014-03-07,33.37,0.18,185.38888888888889
2014-03-10,32.91,0.18,182.83333333333331
2014-03-11,33.07,0.18,183.72222222222223
2014-03-12,32.83,0.18,182.38888888888889
2014-03-13,32.0,0.18,177.77777777777777
2014-03-14,31.73,0.18,176.2777777777778
2014-03-17,32.2,0.18,178.8888888888889
2014-03-18,32.71,0.18,181.72222222222223
2014-03-19,32.74,0.18,181.8888888888889
2014-03-20,33.35,0.18,185.2777777777778
2014-03-21,33.49,0.18,186.05555555555557
2014-03-24,33.28,0.18,184.8888888888889
2014-03-25,33.1,0.18,183.8888888888889
2014-03-26,32.85,0.18,182.50000000000003
2014-03-27,32.59,0.18,181.05555555555557
2014-03-28,31.84,0.18,176.88888888888889
2014-03-31,32.27,0.18,179.2777777777778
2014-04-01,33.19,0.18,184.38888888888889
