date,NLOK,NLOK_EPS,PE Ratio
,,0.2,
2002-02-07,,-0.23,
2002-06-14,,0.0,
2002-08-08,,0.39,
2002-11-12,,0.75,
2003-02-06,,1.25,
2003-06-16,,0.0,
2003-08-18,,0.39,
2003-11-10,,0.94,
2004-02-13,,0.36,
2004-06-14,,1.21,
2004-08-10,,0.38,
2004-11-08,,0.81,
2005-02-04,,0.65,
2005-06-15,,0.81,
2005-08-10,,0.28,
2005-11-09,,-0.06,
2006-02-08,,0.04,
2006-06-09,,0.16,
2006-08-09,,0.09,
2006-11-08,,0.22,
2007-02-07,,0.34,
2007-05-24,,0.42,
2007-08-07,,0.11,
2007-11-05,,0.16,
2008-02-04,,0.32,
2008-05-21,,0.53,
2008-08-08,,0.22,
2008-11-07,,0.39,
2009-02-09,,-7.76,
2009-06-01,,-8.1,
2009-08-05,,0.09,
2009-11-04,,0.27,
2010-02-05,,1.15,
2010-05-24,,0.88,
2010-08-04,,0.2,
2010-11-03,,0.18,
2011-02-02,,0.17,
2011-05-20,,0.22,
2011-08-03,,0.25,
2011-11-01,,0.25,
2012-01-31,,0.32,
2012-05-21,,0.76,
2012-07-31,,0.24,
2012-10-30,,0.27,
2013-01-29,,0.31,
2013-05-17,,0.27,
2013-07-31,,0.23,
2013-10-29,,0.34,
2014-02-03,,0.41,
2014-05-16,,0.31,
2014-08-08,,0.34,
2014-11-07,,-0.34,
2015-02-09,,1.02,
2015-05-22,,0.25,
2015-08-12,,0.17,
2015-11-06,,0.23,
2016-02-04,,0.25,
2016-05-20,,3.06,
2016-08-05,,0.22,
2016-11-04,,-0.23,
2017-02-03,,0.07,
2017-05-19,,-0.23,
2017-08-04,,-0.22,
2017-11-03,,-0.02,
2018-02-02,,2.19,
2018-10-26,,-0.1,
2018-11-16,,-0.01,
2019-02-04,,0.11,
2019-03-08,21.95,0.11,199.54545454545453
2019-03-11,22.38,0.11,203.45454545454544
2019-03-12,22.46,0.11,204.1818181818182
2019-03-13,22.95,0.11,208.63636363636363
2019-03-14,22.93,0.11,208.45454545454544
2019-03-15,23.02,0.11,209.27272727272728
2019-03-18,23.07,0.11,209.72727272727272
2019-03-19,23.21,0.11,211.0
2019-03-20,23.14,0.11,210.36363636363637
2019-03-21,23.59,0.11,214.45454545454544
2019-03-22,22.86,0.11,207.8181818181818
2019-03-25,22.88,0.11,208.0
2019-03-26,23.23,0.11,211.1818181818182
2019-03-27,22.84,0.11,207.63636363636363
2019-03-28,22.94,0.11,208.54545454545456
2019-03-29,22.99,0.11,208.99999999999997
2019-04-01,23.19,0.11,210.81818181818184
2019-04-02,23.15,0.11,210.45454545454544
2019-04-03,23.33,0.11,212.09090909090907
2019-04-04,23.04,0.11,209.45454545454544
2019-04-05,22.99,0.11,208.99999999999997
2019-04-08,24.24,0.11,220.36363636363635
2019-04-09,23.88,0.11,217.0909090909091
